gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,SP,CDA,GL,PVV,CU,D66,PvdD,EénNL,LPF,SGP,PVN,Lijst 14,LDP,NVT,VSP,ABC,CDDP,ID,GVIP,TOP,LRVP,SMP
NL_0039,Scheemda,10928,9028,0,6,3183,725,1928,1668,312,314,590,79,143,33,13,12,7,2,3,2,4,5,0,0,0,0,0,0
NL_0458,Schermer,3795,3264,0,8,507,635,472,1084,147,180,58,51,64,25,12,7,2,0,0,4,4,2,0,0,3,0,0,0
NL_0279,Scherpenzeel,6547,5775,0,3,563,837,310,2223,93,230,500,43,52,27,6,879,2,0,2,0,4,2,0,0,0,0,0,0
NL_0606,Schiedam,55129,41866,0,56,10116,5321,8411,7684,1574,4262,958,1007,906,762,139,153,47,5,6,13,112,45,4,285,0,0,0,0
NL_0088,Schiermonnikoog,757,714,0,0,172,121,123,184,42,12,23,15,17,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0
NL_0844,Schijndel,17524,13608,0,24,2542,1764,2933,4713,376,775,74,121,148,44,41,6,2,2,2,3,37,0,2,0,0,0,0,0
NL_0962,Schinnen,10402,8964,0,6,1846,978,1723,2710,298,1011,115,73,146,11,16,4,5,0,0,3,18,3,0,0,0,0,0,0
NL_0608,Schoonhoven,9187,7874,0,12,1381,1349,1106,2256,306,469,464,117,169,58,16,156,3,0,4,5,0,3,0,0,0,0,0,0
NL_1676,Schouwen-Duiveland,26714,22750,0,59,3848,3950,2868,6449,605,1183,1136,209,486,155,58,1695,6,10,0,8,25,0,0,0,0,0,0,0
NL_0964,Sevenum,5753,4720,0,5,491,480,804,2259,130,388,49,55,32,12,4,4,2,0,0,0,4,2,0,0,0,0,0,0
NL_0517,s-Gravendeel,6894,5695,0,4,1063,772,759,1636,124,412,411,52,93,48,20,288,3,2,2,2,4,0,2,2,0,0,0,0
NL_0518,s-Gravenhage,334383,239127,0,513,61278,42004,34762,40530,14069,18594,5565,8632,7879,1848,506,958,233,74,109,55,301,165,23,1029,0,0,0,0
NL_0796,s-Hertogenbosch,103159,81589,0,189,17074,12356,17727,19256,4333,5554,1091,1752,1377,451,159,54,32,18,15,22,123,0,6,0,0,0,0,0
NL_0965,Simpelveld,8601,6998,0,9,1711,588,1265,2091,145,936,60,48,85,19,14,2,2,3,0,3,12,5,0,0,0,0,0,0
NL_1702,Sint Anthonis,8759,7568,0,14,875,749,1308,3920,213,270,62,45,58,13,19,7,0,2,0,0,13,0,0,0,0,0,0,0
NL_0845,Sint-Michielsgestel,21261,17192,0,16,3071,2433,3213,6282,528,866,170,218,226,77,30,3,11,4,8,3,34,0,3,0,0,0,0,0
NL_0846,Sint-Oedenrode,12898,10758,0,6,1624,1370,2019,4593,306,449,104,91,77,43,19,6,8,17,2,3,18,0,3,0,0,0,0,0
NL_1883,Sittard-Geleen,74591,57927,0,96,13338,5554,12241,14828,2330,6474,696,495,917,175,113,37,28,12,0,19,513,61,0,0,0,0,0,0
NL_0051,Skarsterlan,20362,17172,0,18,4395,1967,2508,5903,552,555,766,163,187,49,33,33,7,3,0,2,12,11,0,0,8,0,0,0
NL_0610,Sliedrecht,17916,14868,0,14,2772,1496,1999,3481,237,861,1696,138,163,85,29,1864,6,6,0,6,17,7,0,6,0,0,0,0
NL_0040,Slochteren,11523,9592,0,11,2793,1301,1450,1783,379,442,1031,122,141,29,18,70,7,2,3,2,4,5,0,0,0,0,0,0
NL_1714,Sluis,18160,13886,0,13,2985,2423,2250,4040,392,805,329,128,263,78,28,107,17,3,0,2,23,0,0,0,0,0,0,0
NL_0090,Smallingerland,41658,35116,0,32,10656,3009,5928,8792,1115,906,3551,320,362,92,51,215,13,5,0,4,17,22,0,0,26,0,0,0
NL_0091,Sneek,25138,20475,0,25,5614,2485,3899,5232,811,743,913,284,280,86,35,19,10,2,0,2,16,9,0,0,10,0,0,0
NL_0342,Soest,33885,28415,0,37,4076,6317,3333,8351,1210,1681,1327,826,655,171,54,261,10,9,5,5,47,18,0,22,0,0,0,0
NL_0847,Someren,13554,10949,0,16,1311,1341,1681,5263,203,747,108,72,108,34,26,14,5,3,3,2,10,0,2,0,0,0,0,0
NL_0848,Son en Breugel,11439,9541,0,10,1258,1889,1423,3539,316,477,153,180,167,76,10,17,4,7,2,0,13,0,0,0,0,0,0,0
NL_0612,Spijkenisse,56662,43530,0,84,10030,6098,9014,7646,1075,5375,1249,502,917,882,249,244,27,7,13,11,67,25,4,11,0,0,0,0
NL_0037,Stadskanaal,26432,20637,0,13,6759,1627,3427,5162,416,663,2002,102,246,55,28,87,10,2,2,3,15,19,0,0,0,0,0,0
NL_0180,Staphorst,10914,9985,0,5,719,701,406,3037,103,251,1804,28,53,16,12,2823,9,0,0,3,4,6,3,0,4,0,0,0
NL_0532,Stede Broec,15968,13001,0,20,2221,2017,2360,4212,455,886,235,128,253,79,32,28,7,6,2,7,37,9,2,0,6,0,0,0
NL_0851,Steenbergen,18123,14046,0,12,2957,2123,2468,4106,273,1151,289,95,230,104,39,160,0,2,2,5,12,12,2,2,5,0,0,0
NL_1708,Steenwijkerland,32924,27583,0,35,6421,3684,3806,8697,858,965,2026,346,345,106,58,137,33,0,0,4,21,15,3,0,23,0,0,0
NL_0971,Stein,20996,16671,0,32,3500,1541,3575,4408,455,2450,166,107,247,40,31,11,9,11,0,0,67,21,0,0,0,0,0,0
NL_0617,Strijen,7003,5849,0,9,997,970,802,1696,155,420,338,53,117,84,11,173,3,3,3,3,12,5,0,3,0,0,0,0
NL_0975,Swalmen,6837,5165,0,15,901,566,1078,1405,147,811,45,62,76,16,16,3,7,0,0,3,11,5,0,0,0,0,0,0
NL_0009,Ten Boer,5361,4693,0,4,1176,413,766,1116,225,141,664,45,67,8,6,53,3,3,3,3,3,0,0,0,0,0,0,0
NL_0480,Ter Aar,6736,5660,0,10,584,986,555,2686,162,303,146,64,65,26,12,55,2,0,2,2,0,2,0,0,0,0,0,0
NL_0715,Terneuzen,40913,31393,0,26,6480,3786,5442,8440,739,2145,1956,441,501,170,97,1088,13,2,0,10,57,0,0,0,0,0,0,0
NL_0093,Terschelling,3817,3335,0,7,726,723,556,829,176,116,66,42,61,11,5,2,4,0,0,0,9,2,0,0,2,0,0,0
NL_0448,Texel,10269,8973,0,13,1645,1689,1466,2643,556,289,212,150,189,31,22,43,7,2,0,2,4,4,2,0,6,0,0,0
NL_1525,Teylingen,25514,21991,0,36,2909,4898,2777,7949,796,1017,533,417,405,137,26,61,5,4,4,6,0,9,4,4,0,0,0,0
NL_0716,Tholen,18288,15292,0,32,2407,1477,1732,3972,179,832,1012,75,224,82,34,3211,6,2,0,3,12,0,0,0,0,0,0,0
NL_0977,Thorn,2047,1716,0,6,321,231,261,574,45,203,25,11,23,2,5,0,4,2,0,0,2,2,0,0,0,0,0,0
NL_0281,Tiel,29631,22388,0,26,5865,3700,3542,5114,806,1426,599,527,401,141,31,145,16,4,8,7,16,12,2,0,0,0,0,0
NL_0855,Tilburg,152505,111294,0,199,23892,14438,25360,27682,5681,6272,1260,2578,1646,1390,227,56,0,15,20,14,304,56,20,102,82,0,0,0
NL_0183,Tubbergen,15004,13009,0,5,1184,1155,1023,8660,178,473,121,68,64,35,13,15,4,0,2,0,2,3,0,0,5,0,0,0
NL_1700,Twenterand,25092,20707,0,28,3838,1301,2295,8818,293,825,2370,77,157,39,38,593,5,0,4,2,9,3,2,0,11,0,0,0
NL_1730,Tynaarlo,24372,21088,0,17,6003,4297,2966,3709,1352,731,1000,456,371,88,39,33,15,3,6,2,0,0,0,0,0,0,0,0
NL_0737,Tytsjerksteradiel,24416,20567,0,19,4989,1946,3057,7071,772,559,1539,159,219,59,30,110,11,6,0,0,6,8,0,0,7,0,0,0
NL_0282,Ubbergen,7282,6288,0,10,1385,791,1152,1928,429,232,75,103,119,26,13,2,4,0,0,0,10,9,0,0,0,0,0,0
NL_0856,Uden,30319,24436,0,59,3514,3988,5601,8268,595,1366,209,322,315,88,45,13,3,7,5,0,37,0,3,0,0,0,0,0
NL_0450,Uitgeest,8860,7437,0,7,1432,1409,1210,2096,392,410,100,124,137,53,11,6,7,3,3,2,17,12,2,0,5,0,0,0
NL_0451,Uithoorn,19761,16526,0,28,2815,3856,1821,5049,653,891,393,322,436,137,36,13,7,7,3,2,36,9,3,0,8,2,0,0
NL_0184,Urk,10916,9669,0,0,91,119,98,3636,7,245,2118,6,9,6,2,3318,4,2,0,0,2,4,0,0,3,0,0,0
NL_0344,Utrecht,214939,168676,0,327,41795,24072,27294,28605,20468,7682,4877,8052,3399,770,195,444,61,35,132,22,166,103,6,171,0,0,0,0
NL_1581,Utrechtse Heuvelrug,37094,32005,0,35,4926,6640,3427,9254,1860,1333,1588,839,702,167,51,1095,16,7,15,4,23,17,4,5,0,0,0,0
NL_0981,Vaals,6039,4515,0,8,1132,427,918,1167,166,439,49,39,95,12,21,5,13,0,0,5,14,9,0,0,0,0,0,0
NL_0994,Valkenburg aan de Geul,13673,11307,0,8,1763,1414,2586,3493,375,1105,152,118,205,23,16,4,7,3,0,6,23,6,0,0,0,0,0,0
NL_0858,Valkenswaard,24095,19222,0,30,3297,3035,4050,6270,493,1165,243,190,251,69,50,12,9,6,5,18,29,0,0,0,0,0,0,0
NL_0047,Veendam,22019,17514,0,23,6852,1981,3699,2506,524,638,687,218,243,66,17,33,8,0,2,2,7,9,0,0,0,0,0,0
NL_0345,Veenendaal,44546,37897,0,45,5576,4477,3615,12236,830,1964,5127,368,358,138,57,3007,18,4,3,4,18,18,3,31,0,0,0,0
NL_0717,Veere,16641,14582,0,22,1812,2135,1390,5004,444,575,926,142,290,71,20,1724,6,0,0,6,15,0,0,0,0,0,0,0
