gisco_id,name,registered,turnout,invalid,blank,VVD,D66,GL-PvdA,PVV,CDA,BBB,JA21,FvD,SP,PvdD,50PLUS,CU,Volt,SGP,NSC,DENK,BVNL,VvD,BIJ1,LP,FNP,PPNL,NVPLAN,VV,PvdR,DE LINIE,ELLECT
NL_1680,Aa en Hunze,21226,18121,31,83,3363,3129,2693,2314,1872,1056,923,874,497,341,277,227,197,67,66,31,24,22,13,13,8,0,0,0,0,0,0
NL_0358,Aalsmeer,23684,19689,45,55,4496,3139,1494,3196,2343,388,1788,924,225,242,224,357,156,145,66,269,37,26,42,14,0,10,7,7,0,0,0
NL_0197,Aalten,21879,18215,33,44,2295,2229,1539,2704,4206,1354,1152,992,254,158,240,431,97,181,115,97,34,17,17,6,4,13,0,3,0,0,0
NL_0059,Achtkarspelen,22269,17950,37,64,1650,1229,1197,4756,3079,833,942,1630,215,135,179,862,48,548,57,14,27,13,3,13,408,7,0,3,3,0,0
NL_0482,Alblasserdam,15076,12103,27,38,1230,1073,813,2146,1527,184,816,668,138,152,170,624,40,2166,28,189,24,11,9,8,3,7,0,4,0,8,0
NL_0613,Albrandswaard,20447,16385,43,57,3015,2520,1253,3010,1989,201,1644,798,200,258,313,219,127,194,52,338,20,40,54,17,4,11,0,2,0,6,0
NL_0361,Alkmaar,86933,68131,180,314,9722,14101,11000,8807,6039,1616,4103,3548,1602,1819,1078,551,846,188,294,1492,155,162,219,91,19,101,40,0,0,44,0
NL_0141,Almelo,56943,41386,130,159,5572,5400,3750,9919,5031,1121,2594,2359,845,419,662,748,260,309,233,1600,77,51,41,25,12,40,0,12,0,28,0
NL_0034,Almere,158693,107188,460,632,15089,17711,14920,20380,6678,1619,6059,5299,2498,2522,1881,1661,969,485,581,5689,232,241,1189,111,30,201,0,20,0,0,31
NL_0484,Alphen aan den Rijn,87934,71159,358,268,11203,12280,7040,10814,9691,1554,5033,3333,997,1111,1025,1568,620,1882,265,1538,129,79,146,56,0,78,30,6,0,55,0
NL_1723,Alphen-Chaam,8316,7066,19,24,1579,1014,478,1155,1116,452,493,328,77,78,106,8,44,6,18,24,16,11,6,2,2,6,3,2,0,2,0
NL_1959,Altena,44644,37618,63,83,4492,2927,1770,8029,6129,1042,2463,2318,387,335,417,1823,153,4814,119,90,61,23,14,23,7,14,10,7,0,12,0
NL_0060,Ameland,2977,3145,8,10,491,390,294,481,504,275,234,178,52,30,37,41,42,11,11,4,8,4,2,2,35,2,0,2,2,0,0
NL_0307,Amersfoort,123279,101581,243,342,12686,22158,17139,10438,11290,1194,5114,3407,1830,2701,1102,3504,1694,1021,391,4295,134,120,376,149,23,114,42,27,0,47,0
NL_0362,Amstelveen,58888,45629,157,146,8728,10814,7507,4868,3735,702,2283,1231,823,1122,586,479,675,140,140,934,68,102,266,34,0,56,25,8,0,0,0
NL_0363,Amsterdam,606766,432199,1959,1401,41676,102687,116374,29546,16656,2805,11164,8618,11332,23805,3036,4693,9309,768,1070,31914,591,1045,10092,478,0,815,194,0,113,0,58
NL_0200,Apeldoorn,131161,103392,212,361,15070,17994,11881,15474,13005,2301,6123,4825,1692,1727,1673,3042,951,4010,416,1868,213,195,141,70,35,94,0,19,0,0,0
NL_0202,Arnhem,125265,90212,263,310,9367,19346,18680,12027,6408,999,3723,3316,2497,3782,998,1226,1743,318,363,3481,134,213,729,111,28,136,0,14,0,0,0
NL_0106,Assen,54858,43602,101,215,5792,7601,6549,6196,5414,1067,2122,2004,1304,738,696,2075,386,467,214,328,94,73,88,36,42,0,0,0,0,0,0
NL_0743,Asten,13468,11333,23,53,2197,1591,781,2006,1950,564,933,442,180,107,230,17,91,10,37,49,17,8,10,14,4,7,8,3,0,3,0
NL_0744,Baarle-Nassau,5591,4530,6,12,768,511,273,1018,614,396,350,299,56,54,68,16,28,9,10,10,6,9,4,3,3,4,3,3,0,3,0
NL_0308,Baarn,19586,15957,45,52,2870,3522,2206,1771,1862,271,842,594,229,349,222,290,242,163,53,251,20,22,26,18,3,18,5,3,0,10,0
NL_0489,Barendrecht,37098,29589,62,99,4700,4341,2410,5113,3890,325,2611,1235,404,372,501,550,179,1214,91,1237,31,42,118,15,7,20,0,9,0,13,0
NL_0203,Barneveld,45847,40145,70,114,4405,2492,1368,5656,6332,1436,2149,2191,256,242,221,2548,108,9922,82,406,53,22,19,22,14,14,0,3,0,0,0
NL_0888,Beek,12885,10175,24,54,1522,1521,890,2478,1648,193,616,451,140,119,210,38,67,13,49,60,23,28,4,4,5,11,0,0,0,7,0
NL_1954,Beekdaelen,28971,22773,46,158,3257,2878,2278,5771,3421,645,1364,1160,441,293,394,98,167,46,102,54,53,65,22,14,11,20,0,0,0,15,0
NL_0889,Beesel,10707,8115,16,41,1084,1040,652,2339,1190,206,570,347,119,85,173,20,40,2,21,117,14,9,3,4,4,9,0,0,0,10,0
NL_1945,Berg en Dal,28614,23870,42,103,3515,4301,3465,4946,2499,536,1478,774,518,609,361,115,250,29,78,79,33,44,38,11,3,38,0,2,0,0,3
NL_1724,Bergeijk,15173,12765,20,57,2358,1635,864,2415,2325,640,1125,522,178,129,225,36,97,13,44,17,20,14,4,4,2,11,5,2,0,5,0
NL_0893,Bergen (L.),10625,8436,26,39,1240,872,640,2421,1196,410,606,473,139,89,127,24,40,6,17,21,10,18,2,4,2,5,0,0,0,9,0
NL_0373,Bergen (NH.),24320,20954,53,84,4107,4082,3067,2595,2132,552,1319,1063,294,603,261,100,282,43,74,37,53,68,17,34,4,16,10,0,0,4,0
NL_0748,Bergen op Zoom,53140,39333,121,139,6527,6456,3553,8264,4282,640,2680,1647,688,542,723,216,300,89,144,2043,72,43,66,17,10,37,10,4,0,20,0
NL_1859,Berkelland,35875,30666,64,119,4665,4032,2824,4756,4836,3057,2103,1948,573,304,496,191,211,61,183,82,62,29,19,18,11,18,0,4,0,0,0
NL_1721,Bernheze,25394,21186,38,73,3922,3518,1353,4038,3662,780,1647,784,454,161,364,41,106,17,45,91,26,10,15,7,7,15,7,7,0,10,0
NL_0753,Best,23791,19395,47,81,3486,3749,1568,3396,2726,387,1416,689,308,220,346,252,195,50,65,288,20,28,21,4,5,19,9,3,0,17,0
NL_0209,Beuningen,21179,17642,38,66,3235,3251,1782,3559,1949,375,1267,728,337,218,296,83,146,39,62,85,40,24,28,7,3,20,0,3,0,0,3
NL_0375,Beverwijk,31328,23454,74,104,3492,3895,2525,4791,1865,478,1665,1540,528,504,461,128,157,40,82,882,50,38,64,24,0,34,24,9,0,0,0
NL_1728,Bladel,16511,13611,21,58,2236,1846,840,2755,2734,563,1084,491,222,133,274,27,113,24,50,54,25,17,7,10,2,8,2,3,0,13,0
NL_0376,Blaricum,9129,7781,17,14,2473,1511,623,817,812,124,488,302,79,92,73,64,72,26,24,111,15,15,12,10,0,3,3,3,0,0,0
NL_0377,Bloemendaal,17707,15585,23,34,4093,4424,2058,893,1760,151,654,359,136,351,92,80,273,28,33,41,37,23,20,9,0,9,3,3,0,0,0
NL_1901,Bodegraven-Reeuwijk,27707,23550,57,64,3857,3212,1710,3291,3680,725,1573,974,244,228,239,995,160,1966,72,404,28,14,14,11,0,15,7,2,0,8,0
NL_0755,Boekel,8931,7415,47,34,1231,983,352,1604,1406,422,611,328,117,69,83,14,39,2,20,19,8,6,3,5,2,5,2,2,0,2,0
NL_NLZZBO,Bonaire,15578,3355,22,40,366,746,407,388,239,43,109,165,64,58,0,516,82,17,15,11,15,10,38,0,4,0,0,0,0,0,0
NL_1681,Borger-Odoorn,21275,17563,28,66,2672,2216,1914,3555,2033,1081,933,1190,436,272,345,300,97,176,90,26,46,46,15,12,14,0,0,0,0,0,0
NL_0147,Borne,19209,16371,76,39,2839,2643,1446,2579,3045,558,1175,730,274,126,249,141,95,54,158,69,21,13,14,10,6,9,0,2,0,2,0
NL_0654,Borsele,17755,15044,33,49,1897,1377,1009,2491,2095,626,1034,821,182,153,223,306,69,2535,41,21,38,14,7,8,5,10,0,0,0,0,0
NL_0757,Boxtel,26467,21236,57,93,3172,4051,2336,3934,2954,525,1349,782,425,300,330,67,221,19,74,397,29,17,38,11,3,31,8,3,0,10,0
NL_0758,Breda,143601,111820,261,404,20291,26569,14745,14575,11737,1299,6585,3555,2107,2548,1445,461,1508,180,346,2252,175,140,295,90,13,123,45,9,0,62,0
NL_1876,Bronckhorst,30010,25779,42,116,4277,3542,2436,3796,4320,2293,1835,1154,358,305,326,272,204,215,109,49,38,38,13,23,5,12,0,5,0,0,0
NL_0213,Brummen,17584,14422,27,73,2322,2331,1753,2518,1783,625,902,699,245,249,236,135,111,79,55,203,17,23,9,13,3,10,0,3,0,0,0
NL_0899,Brunssum,22216,15512,35,82,1741,1537,1381,5249,1525,321,938,1111,415,214,418,124,83,57,59,113,26,30,15,12,5,12,0,0,0,9,0
NL_0312,Bunnik,12337,11108,27,32,1563,2551,2203,938,1589,218,489,300,117,234,139,196,159,173,35,73,8,8,23,10,5,7,3,3,0,8,0
NL_0313,Bunschoten,16725,14674,23,33,1550,659,314,3129,2791,386,1331,1068,81,43,61,1574,28,1367,28,141,16,8,15,11,2,8,2,2,0,6,0
NL_0214,Buren,21838,18541,30,60,3326,2218,1311,4304,1842,769,1352,1080,159,245,219,287,135,985,54,49,41,25,18,17,6,8,0,6,0,0,6
NL_0502,Capelle aan den IJssel,50921,35356,115,140,4356,5427,4007,6208,3483,403,2971,1631,724,657,674,939,284,1748,125,971,61,83,234,16,0,45,35,2,0,17,0
NL_0383,Castricum,29563,25780,46,85,4668,5504,4150,2567,2990,613,1708,1266,350,639,357,129,247,53,83,78,59,54,36,34,6,30,11,0,0,17,0
NL_0109,Coevorden,28831,23778,57,85,3763,2719,2275,4829,3182,1761,1445,1643,464,272,395,265,143,203,100,69,34,20,20,12,22,0,0,0,0,0,0
NL_1706,Cranendonck,16235,13139,24,51,2411,1820,826,3050,2004,522,1032,552,158,128,252,46,77,18,35,41,26,19,14,9,2,11,2,2,0,7,0
NL_0216,Culemborg,23059,18987,39,71,2517,3466,3662,2633,1854,291,899,690,322,452,249,312,288,167,57,838,38,39,55,25,3,18,0,3,0,0,3
NL_0148,Dalfsen,23385,20773,35,62,2886,2451,1324,2825,4556,1732,1325,1057,213,147,232,1044,113,527,118,18,39,22,12,9,7,11,0,3,0,5,0
NL_1891,Dantumadiel,15118,12449,22,35,1009,819,833,2654,2357,680,708,1072,204,109,142,585,38,789,55,8,35,13,7,2,260,13,0,2,2,0,0
NL_0310,De Bilt,34043,28067,56,90,4634,6655,4905,2462,3156,362,1081,756,362,742,307,503,445,812,71,427,53,39,70,27,8,26,8,8,0,9,0
NL_1940,De Fryske Marren,41399,34681,62,76,5024,4164,3222,5828,6359,2226,2108,2421,493,309,351,487,183,420,139,86,94,42,18,19,517,27,0,5,5,0,0
NL_0736,De Ronde Venen,35270,29667,82,98,6414,5121,2628,4581,3458,1014,1979,1389,272,408,370,458,266,437,115,329,65,30,59,27,12,23,12,4,0,16,0
NL_1690,De Wolden,19960,17466,34,53,3023,2111,1501,2878,2457,1653,1037,1233,222,225,222,320,111,235,52,11,39,17,9,9,14,0,0,0,0,0,0
NL_0503,Delft,75866,59477,180,203,5705,14976,11949,7069,5303,545,2581,1708,1330,2014,666,998,1486,271,218,1600,85,91,312,40,20,98,0,6,0,23,0
NL_0400,Den Helder,44567,31703,103,157,5162,4166,2497,7620,3427,915,2113,2254,534,464,620,549,181,275,141,201,79,57,57,31,13,45,16,0,0,26,0
NL_0762,Deurne,26003,21128,54,109,3567,2772,1420,4576,3298,1094,1771,914,359,185,472,66,120,33,73,110,54,18,10,14,4,17,7,2,0,9,0
NL_0150,Deventer,80374,63988,163,250,7407,13114,11375,8253,6246,2882,2993,2322,1458,1715,805,1029,980,215,281,1884,104,120,187,53,22,76,0,10,0,44,0
NL_0384,Diemen,20855,15366,70,62,1978,3083,3509,1903,789,181,632,473,371,593,202,184,289,28,70,647,23,42,191,11,0,22,12,11,0,0,0
NL_1980,Dijk en Waard,68739,54435,141,231,9197,9667,5497,8691,6205,1469,4045,3275,975,903,1058,639,433,240,265,943,117,80,140,60,21,60,26,0,0,57,0
NL_1774,Dinkelland,21512,18960,23,50,3428,1786,776,3342,4271,1910,1729,823,150,87,211,59,67,28,114,26,23,15,4,10,8,10,0,2,0,8,0
NL_0221,Doesburg,9153,7122,15,32,968,1182,1034,1354,807,148,356,373,200,108,124,65,86,21,26,183,10,4,11,5,2,7,0,2,0,0,0
NL_0222,Doetinchem,47982,38056,65,115,5879,6366,4197,6928,4786,1305,2577,1950,707,495,554,460,300,409,169,524,69,68,43,19,15,46,0,10,0,0,0
NL_0766,Dongen,21354,16878,41,66,2948,2990,1394,3313,2415,433,1162,618,277,216,284,112,118,56,52,272,21,20,23,6,5,17,5,3,0,11,0
NL_0505,Dordrecht,91738,67072,177,288,8188,10496,8643,11815,6767,705,3963,2974,1363,1636,1182,2135,646,2197,240,2943,126,118,271,53,21,74,0,14,0,37,0
NL_0498,Drechterland,15811,13146,30,40,2466,2049,1049,1946,1740,771,1204,850,182,173,225,59,106,30,60,27,44,24,21,7,14,13,8,0,0,8,0
NL_1719,Drimmelen,22242,18325,38,58,3436,2732,1379,4220,2238,692,1420,896,241,207,340,58,116,31,48,49,41,15,13,17,4,16,8,4,0,8,0
NL_0303,Dronten,33264,26991,62,107,4229,3502,1956,4696,4133,1583,1774,1733,404,301,388,924,190,381,115,330,52,36,29,17,16,24,0,7,0,0,2
NL_0225,Druten,15571,12625,25,62,2308,2074,1090,2775,1526,358,899,552,225,120,190,45,94,24,45,140,9,23,19,7,3,10,0,2,0,0,2
NL_0226,Duiven,19933,16330,45,59,3025,3005,1559,2948,2046,408,1176,700,243,200,322,134,115,62,82,103,29,17,22,10,5,13,0,2,0,0,0
NL_1711,Echt-Susteren,25753,19802,25,107,2674,2322,1625,5909,2894,588,1170,1051,320,231,363,73,126,25,75,67,32,42,18,11,7,21,0,0,0,26,0
NL_0385,Edam-Volendam,29599,25430,54,57,4202,2298,1801,7224,1686,2874,1912,1974,239,253,182,89,154,34,71,159,59,31,28,17,2,16,8,0,0,6,0
NL_0228,Ede,93808,78371,185,280,9316,10021,7389,9882,10874,1853,3943,3381,869,1175,708,5227,637,10276,276,1620,105,97,109,35,23,78,0,12,0,0,0
NL_0317,Eemnes,7772,6791,11,16,1418,1193,653,979,818,256,508,375,82,111,90,69,55,54,30,27,10,22,4,4,4,5,4,4,0,4,0
NL_1979,Eemsdelta,35704,26331,53,147,3070,3012,3037,5574,3543,1195,1040,1556,1573,342,433,804,137,285,89,259,50,35,39,12,30,16,0,0,0,0,0
NL_0770,Eersel,15979,13306,29,51,2465,2259,1078,1978,2536,504,1013,450,188,142,238,29,170,23,45,37,16,11,11,10,2,11,2,2,0,8,0
NL_1903,Eijsden-Margraten,20548,17073,23,59,2808,2785,1984,3113,2998,480,1038,568,227,233,300,65,167,15,57,34,24,59,6,8,4,10,0,0,0,8,0
NL_0772,Eindhoven,164065,119068,436,528,14461,26261,20487,16855,11024,1011,5709,4001,2850,3109,2012,1002,2563,300,459,4632,203,182,504,103,18,220,62,13,0,63,0
NL_0230,Elburg,18410,15854,25,42,1711,1088,658,2714,2780,494,908,879,136,77,155,1584,42,2420,59,26,12,14,15,3,3,7,0,2,0,0,0
NL_0114,Emmen,87342,67498,134,304,8513,6977,6351,18923,8243,2639,3902,4967,1555,690,1529,905,289,472,261,419,148,114,66,40,57,0,0,0,0,0,0
NL_0388,Enkhuizen,14172,11130,29,48,1641,1964,1291,1878,1215,249,724,704,266,221,219,106,101,172,48,142,28,24,20,8,4,13,3,0,0,12,0
NL_0153,Enschede,120323,88196,287,430,10122,14817,12189,17027,8945,1726,5019,4737,1987,1579,1363,1901,1322,493,846,2576,194,145,206,58,33,133,0,11,0,50,0
NL_0232,Epe,26771,22407,43,58,3652,2997,1861,4025,3166,910,1348,1128,236,256,351,699,132,1061,75,272,38,30,30,13,8,15,0,3,0,0,0
NL_0233,Ermelo,22156,18666,31,63,2347,2131,1549,2344,3687,468,1099,997,205,285,181,1297,137,1538,67,111,24,30,30,22,8,12,0,3,0,0,0
NL_0777,Etten-Leur,34882,27117,57,111,5088,4337,2302,5553,3368,634,1993,1161,433,296,555,136,225,39,89,522,56,25,60,20,5,19,13,5,0,19,0
NL_0779,Geertruidenberg,17325,13609,26,57,2296,1829,912,3696,1591,347,1107,685,231,141,337,51,75,25,43,51,30,22,10,10,6,15,8,7,0,6,0
NL_1771,Geldrop-Mierlo,30877,24887,56,127,3665,4600,2718,4891,3373,422,1562,1028,449,371,542,144,258,51,88,349,49,35,35,23,5,23,10,6,0,7,0
NL_1652,Gemert-Bakel,24109,19623,40,91,2970,2538,1421,4267,3701,837,1561,864,357,214,345,55,124,8,59,57,34,23,11,10,3,17,3,3,0,12,0
NL_0907,Gennep,14093,10969,26,46,1673,1784,1155,2267,1573,281,672,537,283,167,158,46,116,10,40,81,17,10,8,7,2,4,0,0,0,6,0
NL_0784,Gilze en Rijen,20730,16721,43,90,2630,2855,1505,3278,2188,518,1271,736,266,247,348,51,148,22,57,328,19,28,26,12,4,15,10,3,0,23,0
NL_1924,Goeree-Overflakkee,41286,34659,47,112,4191,2760,1813,7283,4324,907,2440,2140,342,350,523,1639,141,5309,91,79,50,25,28,18,7,26,0,3,0,11,0
NL_0664,Goes,31253,24665,64,100,3507,3585,2619,3623,3490,539,1563,1242,447,384,403,788,163,1662,98,201,53,47,26,27,6,28,0,0,0,0,0
NL_0785,Goirle,19344,15954,26,69,2806,3236,1892,2708,2093,323,1033,506,267,244,312,39,151,9,47,100,22,11,14,13,4,9,10,4,0,9,0
NL_1942,Gooise Meren,44025,37196,100,99,8074,10382,4954,3095,3752,482,1718,1205,438,737,362,262,630,95,109,409,63,75,62,38,0,40,8,7,0,0,0
NL_0512,Gorinchem,29243,22634,73,80,3346,3736,2536,3599,2507,319,1456,1005,451,385,264,713,220,577,65,1148,27,28,43,12,4,14,0,5,0,21,0
NL_0513,Gouda,57787,45233,153,182,4453,8096,7212,5831,4939,491,2435,1559,802,1151,661,2230,643,2034,147,1761,72,82,153,44,0,51,20,3,0,28,0
NL_0014,Groningen,182700,148877,331,598,15186,36070,35537,12369,12795,1760,5202,4437,6751,5967,1115,3312,3113,855,533,1167,188,282,833,141,127,208,0,0,0,0,0
NL_1729,Gulpen-Wittem,11557,9739,21,41,1336,1224,1165,2068,1482,667,555,462,156,143,158,49,73,21,21,16,21,32,7,9,4,5,0,0,0,3,0
NL_0158,Haaksbergen,19493,16544,37,54,2732,2241,1051,2909,3031,961,1320,1016,234,96,285,81,102,30,106,192,26,11,5,8,3,9,0,3,0,3,0
NL_0392,Haarlem,116904,92789,304,355,10823,23525,20504,9207,6286,976,3789,2964,1966,3520,1057,727,1885,206,308,3096,250,222,552,87,0,133,41,6,0,0,0
NL_0394,Haarlemmermeer,118555,92714,270,362,18382,16207,8911,15846,9023,1785,6626,4305,1313,1490,1409,1194,779,701,318,2896,242,115,313,74,0,99,38,16,0,0,0
NL_1655,Halderberge,24289,18758,36,71,3797,2352,1144,4676,2384,511,1372,939,276,168,377,66,109,39,58,275,38,17,16,5,6,16,3,3,0,6,0
NL_0160,Hardenberg,49554,42154,79,121,5107,3583,2148,8004,8184,3188,2912,2877,470,281,507,3142,175,933,161,82,61,28,11,18,27,26,0,4,0,25,0
NL_0243,Harderwijk,38210,31402,86,126,4628,4536,2693,4497,5184,679,2160,1368,368,428,290,1793,259,875,93,1121,51,45,54,28,5,30,0,5,0,0,0
NL_0523,Hardinxveld-Giessendam,14450,12253,19,35,1259,737,509,1811,1918,180,793,698,112,79,104,1184,36,2641,24,57,20,7,4,5,3,10,0,3,0,8,0
NL_0072,Harlingen,12892,10140,19,48,1476,1370,1306,1945,1213,319,576,676,263,174,183,193,70,69,46,32,24,18,17,6,79,10,0,4,4,0,0
NL_0244,Hattem,9957,8737,10,15,1134,1262,887,1034,1646,246,514,369,107,102,106,887,70,233,37,29,29,8,7,3,3,3,0,3,0,0,0
NL_0396,Heemskerk,30849,24421,81,124,3788,4462,2594,4408,2645,585,1750,1451,405,405,505,168,148,75,92,542,48,42,44,20,0,18,13,8,0,0,0
NL_0397,Heemstede,20411,17512,25,47,4081,5140,2459,1149,1920,186,737,408,164,364,132,129,294,35,45,86,27,33,24,14,0,7,6,6,0,0,0
NL_0246,Heerde,15324,13016,22,42,1599,1312,851,2346,2562,635,711,692,124,128,168,1047,65,562,43,40,23,19,3,6,7,8,0,3,0,0,0
NL_0074,Heerenveen,41207,32972,67,133,4698,5310,4472,5119,4094,1398,1813,2053,672,529,413,610,234,194,138,295,68,57,31,28,519,20,0,6,6,0,0
NL_0917,Heerlen,67580,44491,135,243,4596,5213,5758,13212,4170,637,2160,2816,1712,866,959,218,339,82,169,737,94,132,98,34,12,57,0,0,0,42,0
NL_1658,Heeze-Leende,13450,11446,25,56,2115,2054,1087,1741,1987,395,735,443,143,141,215,43,122,16,40,34,17,8,11,7,3,4,2,2,0,2,0
NL_0399,Heiloo,19605,17116,36,55,3280,4073,2694,1448,2022,329,1001,666,260,424,174,111,227,47,59,71,27,41,16,21,6,13,5,0,0,10,0
NL_0163,Hellendoorn,28936,24861,51,83,3400,3108,1592,3938,5731,1666,1720,1326,368,209,378,516,128,248,190,82,34,18,31,6,8,19,0,6,0,11,0
NL_0794,Helmond,69269,50468,121,216,7850,7713,4717,12482,5027,704,3394,2371,1054,582,1137,227,460,42,158,1836,70,68,80,40,6,55,22,6,0,35,0
NL_0531,Hendrik-Ido-Ambacht,24201,20090,47,76,2985,2317,1179,3630,2578,199,1645,989,186,168,310,850,66,2361,60,330,34,16,24,6,6,17,0,2,0,9,0
NL_0164,Hengelo,65748,50223,121,249,6645,8623,6191,8127,6873,1154,3404,2583,1465,728,759,722,607,222,479,910,95,56,77,36,14,48,0,8,0,27,0
NL_1966,Het Hogeland,38237,31555,60,125,3155,3870,4644,4901,4916,1746,1064,1668,1432,673,360,1738,213,591,105,64,60,48,30,25,36,31,0,0,0,0,0
NL_0252,Heumen,13479,11570,26,52,1887,2531,1936,1444,1577,247,629,357,193,200,103,59,168,11,25,54,18,18,11,4,2,16,0,2,0,0,2
NL_0797,Heusden,35642,29033,66,110,5343,4868,2070,6044,4011,769,2043,1260,444,348,520,161,191,68,96,437,53,31,20,14,3,27,7,3,0,28,0
NL_0534,Hillegom,17170,14037,28,62,2570,2531,1349,2314,1598,322,1154,827,196,250,238,115,109,96,55,110,30,23,10,20,0,14,3,2,0,11,0
NL_0798,Hilvarenbeek,13011,11264,26,26,2227,1981,1028,1524,1972,507,881,379,136,128,196,32,93,10,27,18,25,10,8,11,2,8,2,2,0,6,0
NL_0402,Hilversum,66110,52647,152,190,7491,12735,9098,6224,4662,688,2341,1909,1006,1497,674,679,945,232,171,1373,94,126,192,60,0,72,22,14,0,0,0
NL_1963,Hoeksche Waard,72021,59920,115,172,9047,7298,4150,11066,8014,1253,5167,3396,712,706,992,1574,300,5209,197,171,96,94,51,37,21,38,0,4,0,40,0
NL_1735,Hof van Twente,28590,24524,43,79,4326,3013,1906,3753,4352,2165,1922,1400,291,164,311,162,141,138,183,79,30,11,12,16,6,16,0,2,0,3,0
NL_1911,Hollands Kroon,37718,30681,54,96,5503,3884,2232,6057,3568,2364,2300,2235,430,331,558,299,187,144,123,75,76,25,31,13,21,35,9,0,0,31,0
NL_0118,Hoogeveen,43832,34691,88,117,4028,3154,2491,8369,5551,1575,2238,2930,652,304,521,1153,147,811,154,203,86,35,39,22,23,0,0,0,0,0,0
NL_0405,Hoorn,56964,43141,130,204,6623,8386,5815,6734,3914,898,2848,2349,978,964,718,343,462,133,207,913,107,75,158,41,19,63,21,0,0,38,0
NL_1507,Horst aan de Maas,33985,27910,65,119,4555,4068,2087,5655,4944,1124,2045,1245,540,329,515,74,191,27,103,67,52,18,31,14,5,18,0,0,0,19,0
NL_0321,Houten,38574,33318,54,111,5084,7078,4874,4172,4152,501,2001,1042,411,559,405,1148,502,614,98,316,46,30,56,20,2,22,8,2,0,11,0
NL_0406,Huizen,32209,25704,71,90,4965,4612,2459,3426,3483,430,1632,1192,318,411,352,742,234,481,81,510,55,41,59,20,0,24,13,3,0,0,0
NL_0677,Hulst,19555,14965,42,41,2288,1870,1161,3571,2339,778,961,808,287,159,280,66,56,39,41,57,38,33,8,13,10,19,0,0,0,0,0
NL_0353,IJsselstein,25973,20890,45,95,3908,4054,2105,3277,2536,332,1417,846,268,273,348,278,157,155,85,535,34,27,48,19,6,18,11,3,0,10,0
NL_1884,Kaag en Braassem,22567,19186,41,67,3717,3178,1349,3282,2752,714,1670,953,208,271,283,147,167,67,53,122,47,23,28,18,0,10,5,2,0,12,0
NL_0166,Kampen,42502,35892,69,105,3236,3271,2607,5985,6087,1260,2055,2052,508,355,353,2957,189,4109,123,367,52,34,40,19,17,17,0,5,0,20,0
NL_0678,Kapelle,10045,8610,9,8,1195,870,580,1204,1412,262,610,403,112,97,123,422,39,1178,17,23,19,10,5,7,2,3,0,0,0,0,0
NL_0537,Katwijk,50327,42243,82,111,5546,3624,2059,9255,6995,787,3301,2603,369,450,393,1841,193,3975,109,319,53,44,36,26,0,23,16,17,0,16,0
NL_0928,Kerkrade,33803,23051,63,105,2421,2063,2255,8553,2171,411,1101,1653,543,316,635,76,124,45,72,230,41,69,41,10,2,31,0,0,0,20,0
NL_1598,Koggenland,18686,15635,29,52,3063,2299,1194,2302,2303,983,1267,965,198,232,298,67,113,34,60,39,48,25,17,11,5,15,7,0,0,9,0
NL_0542,Krimpen aan den IJssel,22869,18425,44,63,2255,2041,1497,3148,2117,254,1501,971,253,222,263,765,75,2541,58,230,24,31,38,9,0,12,5,5,0,7,0
NL_1931,Krimpenerwaard,44850,37854,59,114,5508,4642,2785,5881,5199,1130,3109,1997,440,415,540,1428,213,3663,107,400,62,42,41,18,0,32,8,6,0,15,0
NL_1659,Laarbeek,18336,14942,41,80,2391,2190,1053,3338,2402,539,1152,641,272,151,334,30,126,18,43,43,26,25,13,10,4,8,7,4,0,4,0
NL_1982,Land van Cuijk,74046,61117,116,277,9978,9865,5205,11149,9921,2651,4431,2513,1312,720,1052,193,442,72,209,590,92,79,56,51,13,62,20,3,0,45,0
NL_0882,Landgraaf,29470,21563,54,114,2540,2284,2124,7426,2232,429,1172,1312,523,279,476,60,106,30,82,139,52,54,24,15,11,16,0,0,0,9,0
NL_0415,Landsmeer,8873,7454,29,28,1350,1343,1237,1267,465,179,414,366,141,167,105,50,82,18,13,110,16,22,23,15,4,5,4,0,0,4,0
NL_1621,Lansingerland,48166,40397,79,130,7547,7225,3250,5882,6144,557,3569,1680,314,530,501,1119,357,400,97,724,70,43,81,27,0,33,15,4,0,19,0
NL_0417,Laren,8990,7530,19,14,2855,1492,568,580,806,81,385,278,72,126,60,40,70,10,13,19,11,11,5,7,0,5,3,3,0,0,0
NL_0080,Leeuwarden,100119,78393,148,350,8786,14209,14298,11253,8426,1970,4152,4155,2184,2046,1020,1459,861,406,400,689,181,186,231,63,783,115,0,10,12,0,0
NL_0546,Leiden,94843,77965,204,247,7302,19280,18889,8488,5690,606,2927,1901,1736,3430,609,965,1957,234,217,2282,87,135,520,77,0,115,32,12,0,23,0
NL_0547,Leiderdorp,21110,17523,34,62,2674,3783,2669,2362,2028,263,1061,563,264,362,276,239,243,112,52,350,34,19,31,10,0,19,6,2,0,5,0
NL_1916,Leidschendam-Voorburg,56395,44531,144,134,7769,10248,5926,5887,4963,662,2500,1562,628,938,620,461,613,137,156,792,52,87,132,35,0,55,14,4,0,12,0
NL_0995,Lelystad,59965,41493,155,259,5624,5786,4826,9195,3203,924,2548,2542,917,765,666,843,319,373,193,1801,87,89,218,56,17,69,0,6,0,0,12
