gisco_id,name,registered,turnout,invalid,blank,VVD,D66,GL-PvdA,PVV,CDA,BBB,JA21,FvD,SP,PvdD,50PLUS,CU,Volt,SGP,NSC,DENK,BVNL,VvD,BIJ1,LP,FNP,PPNL,NVPLAN,VV,PvdR,DE LINIE,ELLECT
NL_NLZZSA,Saba,976,260,0,1,9,103,68,25,11,2,2,2,2,8,0,2,2,2,21,2,2,2,6,0,2,0,0,0,0,0,0
NL_0441,Schagen,38518,31680,72,125,5991,5290,3244,4794,3844,1483,2215,2066,510,542,559,175,212,66,142,58,93,48,39,36,17,27,17,0,0,15,0
NL_0279,Scherpenzeel,7911,7002,10,8,926,533,233,1096,956,226,491,416,47,39,71,347,26,1513,12,23,8,4,6,6,4,4,0,4,0,0,0
NL_0606,Schiedam,55976,37890,130,179,4174,5465,4943,7644,2860,377,2602,1747,797,908,769,343,421,166,99,3713,62,83,260,38,19,65,0,7,0,19,0
NL_0088,Schiermonnikoog,792,1050,3,5,120,214,230,93,152,31,32,16,30,47,9,34,15,3,5,2,2,4,4,2,2,2,0,2,2,0,0
NL_1676,Schouwen-Duiveland,27514,23352,53,77,3750,2719,1910,3844,3199,746,1664,1282,331,288,326,636,149,2123,58,48,40,31,27,21,10,20,0,0,0,0,0
NL_0518,s-Gravenhage,357702,248100,1192,908,30135,49028,40603,38897,16842,2085,10543,8274,4951,8430,2416,2703,3766,1122,848,21620,338,589,1914,204,60,293,198,24,0,87,30
NL_0796,s-Hertogenbosch,124189,99252,256,338,15196,22025,13756,16578,9817,1186,5412,3303,2191,2276,1338,457,1495,133,254,2364,160,114,321,85,13,84,30,19,0,51,0
NL_0965,Simpelveld,8117,6417,7,36,788,701,587,1960,925,246,393,345,114,55,127,19,25,6,28,16,8,17,2,5,2,6,0,0,0,2,0
NL_NLZZSE,Sint Eustatius,1935,208,1,1,9,45,30,12,13,3,2,3,9,2,0,7,2,2,65,2,2,2,3,0,2,0,0,0,0,0,0
NL_0845,Sint-Michielsgestel,23599,20102,38,48,3393,4109,1833,3642,3018,435,1376,767,342,292,303,67,197,26,59,43,36,23,19,9,4,10,4,4,0,8,0
NL_1883,Sittard-Geleen,73501,52662,120,280,6497,7497,5901,13723,7415,912,2783,2661,1066,858,966,167,438,52,254,589,102,119,82,38,64,50,0,0,0,28,0
NL_0610,Sliedrecht,20410,15638,33,64,1733,1385,975,2775,1983,204,1064,752,221,164,230,1127,71,2467,52,238,27,20,17,5,8,13,0,2,0,8,0
NL_1714,Sluis,16824,13057,34,30,2399,1511,1250,2737,1640,707,855,662,283,197,229,122,72,129,48,51,36,26,16,10,6,7,0,0,0,0,0
NL_0090,Smallingerland,44645,35071,78,156,3609,4527,4290,6416,5542,1017,1645,2272,819,441,464,1705,194,875,150,188,77,54,41,22,450,28,0,6,5,0,0
NL_0342,Soest,36983,30371,52,131,5469,6125,3621,3858,3586,483,1756,1101,370,707,385,576,400,501,122,878,45,49,58,34,8,28,9,8,0,18,0
NL_0847,Someren,15652,12925,23,60,2530,1669,640,2749,2145,694,1102,604,155,112,228,19,61,11,26,39,16,10,5,4,2,9,2,5,0,6,0
NL_0848,Son en Breugel,13711,11528,18,44,2281,2341,1150,1603,1755,196,809,417,159,169,178,81,131,14,33,71,18,14,12,4,3,18,5,3,0,3,0
NL_0037,Stadskanaal,25766,19241,57,94,2154,1568,1466,5052,2837,836,857,1475,680,153,287,934,68,510,67,41,27,28,15,9,14,12,0,0,0,0,0
NL_0180,Staphorst,12923,11827,17,28,774,410,308,1597,1458,431,602,1172,59,44,43,906,18,3873,30,27,21,2,2,2,2,2,0,2,0,2,0
NL_0532,Stede Broec,17045,13696,30,56,2312,1975,1053,2823,1718,499,1176,947,231,157,243,82,79,64,61,58,38,28,23,7,6,16,4,0,0,10,0
NL_0851,Steenbergen,18956,14736,27,58,2485,1674,750,4207,1665,514,1226,901,207,152,310,128,72,178,45,58,14,17,12,7,4,14,5,4,0,6,0
NL_1708,Steenwijkerland,35980,29934,51,110,4380,3417,2713,5613,4292,1961,1858,2028,506,382,388,1024,166,535,157,121,48,43,30,29,37,19,0,6,0,20,0
NL_0971,Stein,20334,15787,171,90,2033,1958,1279,4591,2030,351,951,964,291,209,381,32,98,17,164,65,30,39,10,11,6,12,0,0,0,4,0
NL_1904,Stichtse Vecht,49861,40984,91,145,7427,7925,4720,6531,4644,891,2412,1501,515,703,578,646,428,816,121,570,63,56,103,29,10,24,17,3,0,15,0
NL_1900,Súdwest Fryslân,71480,58677,92,234,7587,7771,6752,9110,10158,3448,3323,3975,1068,691,806,1049,397,441,256,211,135,69,72,44,945,34,0,3,6,0,0
NL_0715,Terneuzen,39737,29218,84,85,3788,3308,2446,6679,3816,1037,1804,1661,605,326,592,811,139,1277,110,438,81,38,40,13,10,30,0,0,0,0,0
NL_0093,Terschelling,4000,4211,3,15,717,782,662,464,509,190,246,213,80,101,43,55,57,8,19,2,18,8,2,4,12,2,0,2,2,0,0
NL_0448,Texel,11071,10489,23,50,1662,1512,1600,1396,1180,666,636,702,218,234,122,125,110,93,43,14,29,25,16,11,6,14,6,0,0,6,0
NL_1525,Teylingen,29462,25155,38,63,4929,5275,2567,3284,3497,459,1904,1055,291,405,339,246,286,78,84,175,42,31,40,23,0,25,7,7,0,11,0
NL_0716,Tholen,20125,16846,50,36,1851,1013,737,3412,1716,546,927,975,202,138,218,632,54,4164,40,85,18,14,4,6,4,7,0,0,0,0,0
NL_0281,Tiel,31709,23454,59,104,3672,3421,2462,5349,2086,433,1524,1248,388,373,446,250,175,192,97,985,58,15,66,13,2,28,0,2,0,0,6
NL_0855,Tilburg,167078,121638,351,585,16461,24927,18606,19944,11670,1421,6738,4006,2836,3145,2504,523,1559,159,392,4396,169,196,640,85,20,150,49,10,0,96,0
NL_0183,Tubbergen,17293,15279,19,36,2413,1163,435,3248,3441,1768,1428,810,84,43,136,30,45,31,74,15,20,14,2,7,3,7,0,2,0,7,0
NL_1700,Twenterand,26610,22198,41,79,2242,1318,728,5579,4535,1396,1474,1552,233,100,289,995,74,1272,153,35,35,15,12,7,10,19,0,4,0,4,0
NL_1730,Tynaarlo,27337,23461,91,60,3894,5267,4170,2321,2748,817,944,824,553,415,245,534,228,100,87,37,45,38,22,13,8,0,0,0,0,0,0
NL_0737,Tytsjerksteradiel,25843,21668,29,78,2271,2463,2355,3682,4215,951,1181,1532,407,287,274,590,115,388,122,37,43,32,23,12,555,24,0,2,2,0,0
NL_0450,Uitgeest,10543,9065,17,29,1726,1844,1007,1303,1000,277,638,459,146,152,138,56,71,35,37,39,29,18,9,19,2,5,2,0,0,7,0
NL_0451,Uithoorn,22447,17853,58,61,3299,3242,1769,3149,1686,388,1459,940,247,336,273,146,159,54,74,324,57,34,51,11,0,23,9,4,0,0,0
NL_0184,Urk,14966,13394,25,21,159,88,76,2306,818,388,227,1202,34,22,9,704,10,7236,14,24,13,3,5,3,3,4,0,3,0,0,3
NL_0344,Utrecht,266036,215946,579,575,18546,57265,56074,14622,14160,1262,6219,3572,3964,11408,1264,2705,5935,663,544,12980,208,300,2507,161,49,241,64,27,0,52,0
NL_1581,Utrechtse Heuvelrug,39652,33962,78,108,5205,7376,5258,3305,4406,580,1611,1102,415,905,374,776,594,1163,119,335,41,71,45,30,12,36,4,7,0,6,0
NL_0981,Vaals,5809,4230,18,23,488,555,582,1040,530,164,218,203,96,92,88,25,35,10,7,27,4,10,4,5,2,3,0,0,0,2,0
NL_0994,Valkenburg aan de Geul,13259,10789,24,59,1745,1528,1198,2376,1561,304,668,464,169,174,195,54,94,15,29,34,18,41,15,5,5,6,0,0,0,8,0
NL_0858,Valkenswaard,25000,19902,53,82,3510,3281,1683,4200,2782,496,1379,824,358,225,466,67,174,23,96,73,38,24,21,21,3,10,7,3,0,6,0
NL_0047,Veendam,22342,16620,54,97,2352,2047,1879,4070,1543,628,681,1180,713,184,311,270,81,109,73,231,39,25,16,12,9,16,0,0,0,0,0
NL_0345,Veenendaal,53026,43041,99,112,5468,4348,2888,6582,6546,676,2624,1853,508,458,450,3507,230,4780,112,1554,67,21,67,17,8,31,14,2,0,19,0
NL_0717,Veere,17125,15228,22,45,2349,1845,1382,1487,2663,465,813,608,139,204,191,485,97,2297,34,13,33,21,9,15,5,6,0,0,0,0,0
NL_0861,Veldhoven,34909,27976,70,121,5212,5090,2583,5136,3911,426,1875,1051,479,323,654,167,359,58,96,173,41,34,36,17,7,25,12,2,0,18,0
NL_0453,Velsen,53380,41799,112,183,6598,7315,4619,8776,3588,737,2803,2477,655,784,822,488,389,155,129,831,91,74,66,31,0,44,25,7,0,0,0
NL_0983,Venlo,75521,55866,147,262,7819,8009,5339,15310,6767,882,3475,2209,905,712,951,160,347,62,193,1965,64,88,79,29,8,45,0,0,0,39,0
NL_0984,Venray,34069,26420,69,131,4218,4105,2240,5277,4033,1220,1703,1111,541,259,465,99,180,23,93,480,44,27,21,32,5,18,0,0,0,26,0
NL_1961,Vijfheerenlanden,47482,38313,91,132,5120,4676,2882,7042,5600,894,2392,1920,482,489,438,1502,231,2886,134,1151,56,48,57,20,7,31,9,7,0,22,0
NL_0622,Vlaardingen,54908,38106,139,151,4660,5589,4046,7897,3953,442,2830,1707,790,612,972,553,253,500,140,2506,60,68,139,25,8,41,0,5,0,20,0
NL_0096,Vlieland,940,1053,0,4,154,220,183,112,123,31,44,51,24,51,12,11,13,5,6,2,2,2,2,2,3,2,0,2,2,0,0
NL_0718,Vlissingen,34113,24209,77,119,3270,3575,2783,4755,2693,490,1444,1353,608,402,539,512,180,581,114,442,80,61,56,27,15,33,0,0,0,0,0
NL_0986,Voerendaal,9979,8198,12,41,1242,1272,924,1730,1243,256,453,355,143,137,148,25,80,6,36,35,11,25,11,3,4,4,0,0,0,2,0
