gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,CDA,PVV,D66,GL,SP,PvdD,CU-SGP,EKP,Newropeans,LDP,Libertas,DG,EV&D,PEP,Solidara
NL_0568,Bernisse,9884,3791,9,15,388,533,796,895,331,168,196,145,214,39,19,6,16,4,10,4,3
NL_0753,Best,21445,6978,15,16,729,1018,1710,1168,822,444,496,191,220,40,41,18,22,10,6,5,7
NL_0209,Beuningen,19238,6035,9,6,746,683,1525,985,669,507,563,152,80,39,22,10,21,4,6,4,7
NL_0375,Beverwijk,28769,8936,13,15,1307,943,1350,2095,866,842,712,421,112,66,63,25,29,27,17,4,29
NL_0585,Binnenmaas,22619,8990,6,24,963,1160,1667,1888,741,433,478,285,1193,39,39,11,36,11,4,6,6
NL_1728,Bladel,14607,4760,0,6,385,568,1851,714,327,252,384,115,30,36,20,8,52,4,6,2,0
NL_0376,Blaricum,6965,3374,3,2,309,811,468,618,549,229,148,131,40,18,16,13,7,5,4,2,2
NL_0377,Bloemendaal,16530,9232,14,23,733,2280,1465,1158,1952,720,259,309,132,26,39,55,32,19,8,3,5
NL_0055,Boarnsterhim,14697,6073,6,10,1562,763,1246,558,603,496,465,159,106,39,21,7,11,9,7,2,3
NL_0497,Bodegraven,14387,6211,9,11,456,657,1666,948,461,384,250,144,1125,23,8,24,26,7,3,3,6
NL_0755,Boekel,7159,2413,6,13,184,232,1113,352,120,79,213,62,10,8,5,3,7,0,2,2,2
NL_0064,Bolsward,7569,2779,7,4,456,163,936,331,201,189,236,91,117,22,5,4,6,6,4,0,4
NL_1681,Borger-Odoorn,20541,7206,13,11,1455,951,1396,1122,568,537,443,285,314,33,18,10,20,10,7,5,8
NL_0147,Borne,15893,5741,5,10,823,654,1729,745,639,407,466,99,95,25,15,10,2,8,2,2,6
NL_0654,Borsele,16900,6425,14,7,508,531,1515,860,320,349,315,224,1675,28,32,10,16,7,4,3,7
NL_0499,Boskoop,11099,4995,6,4,352,665,1336,815,447,364,208,151,555,31,18,7,17,7,3,3,8
NL_0756,Boxmeer,21680,8524,18,15,703,829,2979,1312,638,447,1227,165,75,32,32,17,13,9,7,2,4
NL_0757,Boxtel,22989,7366,14,18,850,787,1960,1112,822,568,794,192,71,42,52,19,41,10,8,5,5
NL_0758,Breda,131154,44474,99,113,5051,6190,8213,7146,6797,4554,3616,1308,500,219,205,106,149,83,50,22,53
NL_0311,Breukelen,10787,4934,4,11,415,672,1005,825,563,359,192,119,696,20,18,5,14,9,0,4,3
NL_NLYY99,Briefstemmen,39601,28755,1262,39,1170,2499,15309,1527,2039,3311,459,345,359,83,77,60,99,82,17,12,6
NL_0501,Brielle,12109,4620,6,20,545,717,724,1067,495,278,450,147,113,17,17,7,8,2,2,2,4
NL_1876,Bronckhorst,29424,11240,22,12,1334,1547,3654,1461,997,693,736,282,349,38,27,22,24,23,7,5,7
NL_0213,Brummen,16386,5786,11,6,965,777,1107,941,638,441,485,188,126,24,17,9,14,18,4,5,10
NL_0899,Brunssum,23603,6822,15,19,762,370,1583,2163,329,350,633,311,168,36,13,12,37,9,3,2,7
NL_0312,Bunnik,10886,5799,9,7,642,698,1277,605,874,887,267,205,204,25,38,19,18,9,10,4,4
NL_0313,Bunschoten,14516,5778,19,2,148,247,1513,905,133,88,79,40,2549,19,10,4,13,4,7,0,4
NL_0214,Buren,19675,7304,0,8,759,1166,1293,1571,706,442,316,240,689,27,19,16,23,15,2,5,7
NL_0381,Bussum,23728,10763,16,30,1101,2044,1471,1579,2026,1076,513,424,240,52,49,39,59,19,11,6,8
NL_0502,Capelle aan den IJssel,49799,17613,39,45,1978,1929,2218,3941,1726,971,1139,810,2454,91,57,36,54,33,19,20,53
NL_0383,Castricum,26709,11983,15,18,1557,1746,2195,1869,1514,1385,705,497,146,83,125,26,45,27,18,11,11
NL_0109,Coevorden,27828,10208,13,9,1873,1480,2609,1479,767,558,718,274,312,42,19,16,15,11,3,3,9
NL_1706,Cranendonck,15783,4950,5,21,446,633,1518,1099,348,177,390,166,48,30,22,14,21,2,6,2,3
NL_0611,Cromstrijen,10071,4027,11,6,455,574,747,819,326,194,218,126,497,17,14,5,3,6,7,2,0
NL_1684,Cuijk,18291,8008,22,53,941,863,2302,1341,776,544,818,180,42,33,24,9,27,8,7,5,13
NL_0216,Culemborg,19933,8023,10,15,1146,929,1152,1352,981,1147,556,264,319,32,33,27,22,19,7,7,11
NL_0148,Dalfsen,20404,8113,9,12,659,735,3158,859,509,346,276,125,1341,18,13,17,14,11,3,3,5
NL_1891,Dantumadiel,14866,5085,6,6,692,201,1755,649,169,214,256,91,986,27,7,6,9,5,2,2,2
