gisco_id,name,registered,turnout,invalid,blank,GL-PvdA,VVD,CDA,FvD,D66,PvdD,50PLUS,PVV,JA21,NVPLAN,CU,SGP,BBB,MDD,SP,VdR,Volt,BVNL,NSC,PPNL
NL_1950,Westerwolde,20371,8964,19,9,1467,676,722,407,268,430,90,2362,35,10,215,130,1167,23,295,4,189,55,370,21
NL_0184,Urk,14610,8763,10,2,48,34,407,305,26,22,5,1237,19,1,663,5165,650,7,18,0,19,26,93,6
NL_1700,Twenterand,26535,12473,29,15,728,733,1890,315,252,157,49,2859,79,8,853,1187,1804,5,136,6,153,52,1152,11
NL_0417,Laren,8854,5160,16,2,657,1604,452,142,501,196,36,721,47,5,37,16,117,20,46,3,357,31,148,6
NL_0938,Meerssen,15087,6820,14,19,1313,798,1145,174,496,225,135,1410,46,14,38,10,221,9,141,4,272,29,292,15
NL_0748,Bergen op Zoom,52979,19444,64,26,3290,2982,1966,501,1711,719,270,4560,151,27,169,77,716,25,496,7,787,74,760,66
NL_0072,Harlingen,12844,5983,12,8,1181,556,655,215,335,236,42,1276,43,8,226,62,425,15,220,0,214,34,195,25
NL_0917,Heerlen,68248,22954,35,53,4233,1926,2362,968,1560,1092,481,6333,98,34,134,76,510,46,1099,12,775,103,909,115
NL_0736,De Ronde Venen,35370,18750,29,20,2861,2988,2063,484,1722,582,149,3601,145,17,427,493,1281,35,169,21,925,84,603,51
NL_0546,Leiden,96368,54877,101,77,19272,4605,2570,842,7179,4267,222,4979,363,63,867,242,672,92,1231,14,5524,132,1256,307
NL_0984,Venray,34279,14176,20,31,2097,1682,1863,339,1132,333,155,2838,73,12,58,20,2007,13,423,4,471,63,512,30
NL_0603,Rijswijk,42235,18463,39,23,4252,2430,1278,488,1967,812,179,3791,130,44,327,110,387,36,350,0,1054,50,615,101
NL_0175,Ommen,14665,8569,12,5,965,849,1358,197,377,168,28,1193,36,3,661,297,1598,17,91,3,203,23,476,9
NL_0531,Hendrik-Ido-Ambacht,24028,11500,14,12,1205,1428,1135,281,653,252,99,2284,85,15,664,2318,210,12,130,2,240,48,384,29
NL_0753,Best,23619,10431,21,29,1777,1634,1192,219,1048,293,151,1978,74,19,241,63,453,11,219,4,537,38,412,18
NL_0313,Bunschoten,16627,8830,13,6,329,492,1205,233,164,70,31,2345,60,9,1347,1534,525,16,53,1,77,17,291,12
NL_1680,Aa en Hunze,21094,11586,21,15,2919,1594,808,265,840,489,123,1571,64,13,207,71,1214,17,284,5,505,44,480,37
NL_0823,Oirschot,15400,7387,20,21,956,989,1614,136,498,176,88,1416,47,5,35,11,744,6,108,1,243,28,227,18
NL_0575,Noordwijk,34458,17766,28,32,2694,3167,1798,574,1480,614,197,3763,232,24,192,107,1010,34,273,2,758,97,653,37
NL_0889,Beesel,10684,4138,8,11,644,403,793,121,218,89,88,1079,21,3,13,11,249,1,87,3,125,22,143,6
NL_0362,Amstelveen,58788,30394,88,42,7591,4922,1746,665,3718,1495,310,4127,212,84,414,180,683,133,590,6,2131,122,983,152
NL_0189,Wierden,19518,10386,8,6,857,995,1554,185,332,115,65,1900,58,12,589,810,1506,7,85,3,178,24,1087,10
NL_0344,Utrecht,266181,149853,204,161,57017,11555,6119,1690,21076,13525,476,9335,529,146,2462,732,1333,253,2723,30,16676,209,2871,731
NL_1598,Koggenland,18439,8949,14,10,1240,1327,1183,292,564,284,122,1601,91,18,56,43,1203,15,146,1,273,60,375,31
NL_0965,Simpelveld,8274,3490,13,10,455,288,681,127,149,93,45,946,19,3,12,4,168,3,57,1,74,18,311,13
NL_0214,Buren,21654,10910,13,13,1431,1359,839,284,652,323,67,2543,95,6,244,929,1117,13,128,2,370,48,410,24
NL_0281,Tiel,32004,12228,19,21,2324,1609,960,405,874,462,168,2987,99,19,232,182,538,29,277,8,470,52,452,41
