gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,CDU,MEP,PCTP/MRPP,PPM,POUS,PH,E,MPT,PLD
PT_180614,Quintela De Azurara,546,173,6,15,48,64,18,12,6,0,1,0,0,1,1,1,0
PT_180615,Santiago De Cassurrães,1336,439,15,18,177,135,35,27,15,5,3,1,0,2,1,3,2
PT_180616,São João Da Fresta,289,100,1,2,48,32,5,0,8,0,2,0,0,0,0,2,0
PT_180617,Travanca De Tavares,144,60,1,5,30,16,2,3,0,0,1,1,0,0,0,0,1
PT_180618,Várzea De Tavares,355,119,2,1,60,31,14,4,3,0,3,0,1,0,0,0,0
PT_180701,Aldeia De Nacomba,151,49,3,3,21,6,5,7,1,0,0,0,0,1,0,0,2
PT_180702,Alvite,1532,358,4,14,151,109,29,26,15,5,1,0,0,0,0,3,1
PT_180703,Arcozelos,619,208,5,20,87,53,10,23,4,1,1,0,0,1,1,2,0
PT_180704,Ariz,204,76,2,0,29,18,18,4,1,0,2,1,0,0,0,0,1
PT_180705,Baldos,229,81,4,4,38,20,9,2,3,0,0,0,0,0,0,1,0
PT_180706,Cabaços,541,137,6,0,66,33,17,7,3,3,1,0,1,0,0,0,0
PT_180707,Caria,667,164,4,5,98,33,10,5,2,0,4,0,1,0,0,2,0
PT_180708,Castelo,465,84,3,1,44,21,10,0,2,2,0,0,0,1,0,0,0
PT_180709,Leomil,1105,302,5,16,135,54,44,22,18,2,1,0,1,1,2,0,1
PT_180710,Moimenta Da Beira,2506,719,10,31,239,236,83,56,42,9,2,2,0,3,0,3,3
PT_180711,Nagosa,188,79,0,3,40,9,21,3,2,0,0,0,0,0,0,1,0
PT_180712,Paradinha,116,46,0,3,26,6,6,0,3,1,0,0,0,0,0,1,0
PT_180713,Passó,518,128,4,1,48,34,14,11,9,2,3,0,0,0,0,2,0
PT_180714,Pêra Velha,335,95,2,2,50,11,16,6,6,1,0,0,0,0,0,0,1
PT_180715,Peva,648,199,3,10,93,67,15,6,1,2,0,0,1,0,0,1,0
PT_180716,Rua,774,236,2,10,107,66,27,11,8,1,1,0,0,0,1,1,1
PT_180717,Sarzedo,211,71,3,1,40,17,4,1,3,0,1,1,0,0,0,0,0
PT_180718,Segões,167,68,0,0,48,8,5,4,3,0,0,0,0,0,0,0,0
PT_180719,Sever,667,180,8,1,85,31,40,1,7,1,2,0,0,1,0,2,1
PT_180720,Vilar,528,118,1,0,76,20,12,4,1,0,0,0,1,1,1,1,0
PT_180801,Almaça,113,44,0,5,18,13,3,4,0,0,0,0,0,1,0,0,0
PT_180802,Cercosa,422,145,3,8,48,53,14,7,5,2,1,0,0,1,2,0,1
PT_180803,Cortegaça,456,138,1,8,53,50,4,15,3,0,2,0,0,1,0,0,1
PT_180804,Espinho,1470,280,6,16,130,70,30,6,8,1,3,2,0,2,4,2,0
PT_180805,Marmeleira,571,179,1,9,52,79,7,17,8,2,3,0,0,1,0,0,0
PT_180806,Mortágua,2611,915,14,93,287,310,43,93,46,4,3,2,2,9,1,6,2
PT_180807,Pala,1168,264,11,12,125,54,24,26,5,2,2,1,1,1,0,0,0
PT_180808,Sobral,2621,669,8,75,256,156,84,55,11,3,4,3,0,8,0,2,4
PT_180809,Trezói,515,124,1,9,40,50,10,7,4,1,2,0,0,0,0,0,0
PT_180810,Vale De Remígio,880,311,7,27,86,129,14,24,18,2,1,1,0,1,0,1,0
PT_180907,Aguieira,631,238,4,10,103,68,20,20,7,0,1,1,0,1,0,3,0
PT_180901,Canas De Senhorim,3348,1139,28,75,406,202,121,167,83,17,13,4,3,4,1,8,7
PT_180902,Carvalhal Redondo,1044,389,16,19,148,119,23,37,13,1,5,1,0,0,0,6,1
PT_180908,Lapa Do Lobo,858,295,18,13,102,95,21,24,7,1,4,2,0,1,0,6,1
PT_180909,Moreira,831,237,6,10,110,67,14,15,6,0,0,1,0,2,2,3,1
PT_180903,Nelas,4041,1403,24,96,494,330,209,132,52,21,11,2,3,6,1,20,2
PT_180904,Santar,1192,366,3,11,130,126,31,25,27,3,3,2,1,0,1,3,0
PT_180905,Senhorim,1457,299,8,14,128,54,69,13,5,1,1,2,0,2,0,2,0
PT_180906,Vilar Seco,852,274,8,11,140,46,35,16,11,1,4,1,0,0,0,1,0
PT_181001,Arca,358,156,3,8,82,32,11,11,5,0,0,0,0,0,1,2,1
PT_181002,Arcozelo Das Maias,1505,477,5,21,263,78,42,24,20,11,4,1,4,0,0,3,1
PT_181003,Destriz,403,109,1,8,39,36,9,9,4,1,2,0,0,0,0,0,0
PT_181004,Oliveira De Frades,2102,901,17,63,402,192,93,56,48,10,7,2,1,2,2,1,5
PT_181005,Pinheiro,1163,441,11,27,232,58,58,19,15,4,6,2,0,2,0,5,2
PT_181006,Reigoso,323,124,2,6,69,20,10,5,8,0,0,0,1,1,0,1,1
PT_181007,Ribeiradio,1072,398,13,18,160,119,35,20,15,4,6,2,0,1,0,3,2
PT_181008,São João Da Serra,611,228,2,9,119,62,11,8,8,6,1,0,0,0,0,1,1
PT_181009,São Vicente De Lafões,720,327,8,22,152,59,34,22,12,6,4,0,0,3,0,5,0
PT_181010,Sejães,235,96,4,3,61,20,5,3,0,0,0,0,0,0,0,0,0
