gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,CDU,PPM,PAN,PCTP/MRPP,PDA,PTP,E,MPT,MEP,PPV/CDC,PH,POUS,PND
PT_041229,Vila Boa De Ousilhão,205,74,5,1,20,29,13,1,2,0,0,1,1,0,0,1,0,0,0,0,0
PT_041231,Vilar De Lomba,269,96,1,2,50,32,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0
PT_041232,Vilar De Ossos,333,170,5,4,77,55,16,10,2,0,0,0,0,0,0,0,0,0,1,0,0
PT_041233,Vilar De Peregrinos,232,96,0,0,61,19,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PT_041234,Vilar Seco De Lomba,340,153,0,0,83,50,12,0,2,0,0,0,0,0,0,3,1,0,2,0,0
PT_041230,Vila Verde,252,134,2,1,64,43,13,1,5,1,0,1,1,0,0,0,2,0,0,0,0
PT_041235,Vinhais,2230,1195,25,23,534,422,110,28,33,2,0,4,0,2,0,2,6,0,4,0,0
PT_050101,Belmonte,2767,1542,17,38,488,580,125,89,126,3,13,31,0,9,3,9,6,5,0,0,0
PT_050102,Caria,2041,1015,15,21,369,346,92,47,53,7,10,21,0,6,8,9,6,5,0,0,0
PT_050103,Colmeal Da Torre,783,453,4,9,139,201,35,18,22,4,2,4,0,7,4,1,3,0,0,0,0
PT_050104,Inguias,716,347,4,16,130,120,20,17,23,1,0,6,0,3,3,3,0,1,0,0,0
PT_050105,Maçainhas,368,221,8,8,62,92,18,16,9,0,0,4,0,2,2,0,0,0,0,0,0
PT_050201,Alcains,4543,2452,48,110,773,983,208,148,98,8,17,26,0,13,8,8,2,2,0,0,0
PT_050202,Almaceda,914,462,7,8,195,173,34,9,11,4,4,12,0,4,0,0,1,0,0,0,0
PT_050203,Benquerenças,658,417,1,5,151,167,38,17,18,4,0,4,0,2,2,5,1,2,0,0,0
PT_050204,Cafede,267,175,3,4,55,56,22,9,10,0,4,6,0,2,0,1,2,1,0,0,0
PT_050205,Castelo Branco,28968,17115,264,522,6997,4622,2104,1079,853,65,153,218,0,41,61,64,57,15,0,0,0
PT_050206,Cebolais De Cima,1135,737,10,20,184,301,66,42,67,2,8,21,0,2,1,5,3,5,0,0,0
PT_050207,Escalos De Baixo,842,430,8,15,109,221,34,14,11,0,1,9,0,3,2,0,1,2,0,0,0
PT_050208,Escalos De Cima,1017,586,7,9,165,296,42,40,8,2,1,10,0,1,2,1,1,1,0,0,0
PT_050209,Freixial Do Campo,473,316,9,13,77,155,20,13,12,1,2,5,0,3,2,4,0,0,0,0,0
PT_050210,Juncal Do Campo,415,268,9,11,86,95,22,15,11,0,2,4,0,6,2,2,2,1,0,0,0
PT_050211,Lardosa,967,566,5,4,210,193,57,41,27,1,5,9,0,6,2,1,3,2,0,0,0
PT_050212,Louriçal Do Campo,702,365,4,3,179,122,30,4,8,2,1,2,0,3,4,1,2,0,0,0,0
PT_050213,Lousa,728,413,7,16,114,191,46,10,17,1,1,5,0,1,3,0,0,1,0,0,0
PT_050214,Malpica Do Tejo,608,350,2,3,72,191,4,16,41,3,1,10,0,4,0,2,0,1,0,0,0
PT_050215,Mata,532,328,4,12,116,121,38,12,6,2,1,6,0,3,2,1,3,1,0,0,0
PT_050216,Monforte Da Beira,378,240,3,3,64,140,13,5,4,2,0,0,0,2,3,0,0,1,0,0,0
PT_050217,Ninho Do Açor,490,267,5,9,61,122,29,11,8,3,0,7,0,3,4,2,1,2,0,0,0
PT_050218,Póvoa De Rio De Moinhos,711,391,10,9,129,121,77,22,7,2,0,5,0,1,5,0,2,1,0,0,0
PT_050219,Retaxo,854,560,10,11,129,242,47,28,58,4,6,16,0,1,3,4,0,1,0,0,0
PT_050220,Salgueiro Do Campo,882,594,11,13,200,233,61,24,22,4,5,5,0,4,3,5,2,2,0,0,0
PT_050221,Santo André Das Tojeiras,988,549,13,14,284,159,43,11,5,1,1,7,0,4,3,1,1,2,0,0,0
PT_050222,São Vicente Da Beira,1526,844,22,22,375,302,54,16,20,5,3,10,0,4,2,3,1,5,0,0,0
PT_050223,Sarzedas,1617,943,14,22,485,286,71,23,12,4,7,3,0,6,3,3,2,2,0,0,0
PT_050224,Sobral Do Campo,483,262,5,1,84,111,36,6,4,0,4,7,0,2,0,2,0,0,0,0,0
PT_050225,Tinalhas,656,374,5,8,124,140,33,22,19,3,6,6,0,2,3,2,0,1,0,0,0
PT_050302,Aldeia De São Francisco De Assis,649,308,1,5,85,159,19,4,29,0,1,3,0,1,0,0,0,1,0,0,0
PT_050303,Aldeia Do Souto,267,156,2,6,30,73,23,7,8,0,1,3,0,1,0,1,0,1,0,0,0
PT_050304,Barco,714,341,6,10,113,158,27,5,6,1,2,3,0,3,1,2,1,3,0,0,0
PT_050305,Boidobra,2493,1560,22,54,346,658,132,90,201,2,16,23,0,3,6,3,2,2,0,0,0
PT_050331,Canhoso,1829,1121,19,28,255,544,96,59,84,1,4,16,0,3,2,4,4,2,0,0,0
PT_050330,Cantar-Galo,2342,1260,23,25,165,774,57,53,109,2,4,29,0,4,2,7,1,5,0,0,0
PT_050306,Casegas,706,297,10,9,100,139,14,4,17,2,0,0,0,0,2,0,0,0,0,0,0
PT_050308,Cortes Do Meio,961,526,7,15,113,281,43,25,26,0,5,7,0,0,1,1,2,0,0,0,0
PT_050329,Coutada,521,257,6,4,89,111,23,8,9,1,0,2,0,0,2,1,0,1,0,0,0
PT_050307,Covilhã (Conceição),6884,4320,50,110,1201,1870,355,231,366,3,33,51,0,12,13,11,8,6,0,0,0
PT_050317,Covilhã (Santa Maria),2691,1531,21,41,552,541,146,88,97,3,14,16,0,0,2,3,7,0,0,0,0
PT_050319,Covilhã (São Martinho),4216,2533,34,70,705,1148,180,131,182,9,22,29,0,5,5,6,4,3,0,0,0
PT_050320,Covilhã (São Pedro),2159,1361,15,37,534,479,120,64,75,3,6,12,0,3,4,0,7,2,0,0,0
PT_050309,Dominguizo,1071,628,18,10,240,205,49,38,37,2,3,12,0,2,3,5,3,1,0,0,0
PT_050310,Erada,883,497,9,14,92,277,38,32,15,3,1,8,0,2,2,2,1,1,0,0,0
PT_050311,Ferro,1578,803,17,18,199,358,83,35,41,6,9,17,0,7,4,6,2,1,0,0,0
PT_050312,Orjais,844,526,14,12,131,261,44,23,24,1,4,4,0,3,0,3,2,0,0,0,0
PT_050313,Ourondo,483,234,7,4,94,71,23,3,25,0,2,3,0,2,0,0,0,0,0,0,0
PT_050314,Paul,1606,867,20,26,265,334,68,28,94,3,9,15,0,0,1,1,3,0,0,0,0
PT_050315,Peraboa,1040,526,11,12,177,179,81,20,21,2,8,5,0,1,3,3,2,1,0,0,0
PT_050316,Peso,774,406,5,10,130,174,35,19,14,2,2,8,0,2,2,1,1,1,0,0,0
PT_050318,São Jorge Da Beira,869,418,8,12,147,197,13,16,16,0,1,0,0,3,2,1,0,2,0,0,0
PT_050321,Sarzedo,187,107,1,2,23,75,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
PT_050322,Sobral De São Miguel,591,273,6,1,99,113,28,5,9,0,2,4,0,2,0,1,2,1,0,0,0
PT_050323,Teixoso,4131,2327,36,56,529,1249,145,108,111,3,24,30,0,12,10,4,7,3,0,0,0
PT_050324,Tortosendo,5006,3249,48,81,796,1091,262,189,622,8,23,95,0,11,4,8,7,4,0,0,0
PT_050325,Unhais Da Serra,1302,821,15,17,188,407,59,44,63,4,3,12,0,3,4,0,2,0,0,0,0
PT_050326,Vale Formoso,594,271,1,7,75,109,41,12,14,1,0,5,0,3,1,1,1,0,0,0,0
PT_050328,Vales Do Rio,786,516,8,32,139,233,41,10,43,1,2,4,0,0,3,0,0,0,0,0,0
PT_050327,Verdelhos,782,262,10,4,85,122,8,10,11,3,1,0,0,1,4,1,0,2,0,0,0
PT_050301,Vila Do Carvalho,1891,1048,14,17,167,617,46,47,94,2,4,22,0,5,8,1,3,1,0,0,0
PT_050401,Alcaide,672,394,7,14,88,181,42,15,24,0,7,8,0,3,2,2,1,0,0,0,0
PT_050402,Alcaria,1154,633,8,20,242,235,46,36,18,2,5,12,0,1,3,3,2,0,0,0,0
PT_050403,Alcongosta,534,315,2,13,109,134,31,9,12,0,1,2,0,2,0,0,0,0,0,0,0
PT_050404,Aldeia De Joanes,971,578,8,13,210,208,67,21,29,0,6,7,0,4,0,3,2,0,0,0,0
PT_050405,Aldeia Nova Do Cabo,629,346,12,12,90,134,43,20,20,0,4,3,0,4,0,1,1,2,0,0,0
PT_050406,Alpedrinha,1039,571,12,12,219,196,61,27,17,4,0,4,0,5,4,3,6,1,0,0,0
PT_050407,Atalaia Do Campo,647,333,7,8,162,89,32,10,7,1,1,2,0,4,6,2,0,2,0,0,0
PT_050408,Barroca,709,349,6,15,149,120,38,8,7,1,0,1,0,0,0,1,2,1,0,0,0
PT_050409,Bogas De Baixo,340,150,1,2,86,42,13,1,1,1,0,0,0,2,0,0,1,0,0,0,0
PT_050410,Bogas De Cima,547,222,2,5,119,61,25,2,1,1,2,2,0,1,0,1,0,0,0,0,0
PT_050411,Capinha,631,260,1,6,113,80,24,6,24,1,1,3,0,1,0,0,0,0,0,0,0
PT_050412,Castelejo,830,456,15,16,190,159,30,15,10,0,2,7,0,4,0,4,3,1,0,0,0
PT_050413,Castelo Novo,336,203,2,3,98,60,15,6,15,0,1,0,0,1,2,0,0,0,0,0,0
PT_050414,Donas,822,484,10,17,98,255,28,21,26,1,0,14,0,8,1,3,2,0,0,0,0
PT_050431,Enxames,576,299,6,16,56,124,17,26,20,1,2,11,0,12,1,2,2,3,0,0,0
PT_050415,Escarigo,370,172,3,4,78,58,11,6,1,3,1,3,0,0,2,1,0,1,0,0,0
PT_050416,Fatela,568,274,0,8,73,112,26,18,12,2,2,12,0,0,2,4,3,0,0,0,0
PT_050417,Fundão,7897,4647,79,159,1828,1373,477,225,268,23,64,67,0,25,18,23,11,7,0,0,0
PT_050418,Janeiro De Cima,402,195,1,3,95,66,18,1,4,1,1,2,0,0,0,2,1,0,0,0,0
PT_050419,Lavacolhos,278,145,1,2,40,77,9,5,8,1,0,0,0,2,0,0,0,0,0,0,0
PT_050430,Mata Da Rainha,246,115,6,1,46,40,12,0,1,0,0,2,0,1,2,1,3,0,0,0,0
PT_050420,Orca,749,409,13,4,160,161,35,7,9,4,1,4,0,5,3,3,0,0,0,0,0
PT_050421,Pêro Viseu,777,377,5,11,127,139,37,22,17,0,2,8,0,3,2,3,0,1,0,0,0
PT_050422,Póvoa De Atalaia,737,374,7,6,171,125,31,14,4,0,3,4,0,3,1,3,1,1,0,0,0
PT_050423,Salgueiro,856,379,11,5,111,182,27,8,5,1,5,10,0,7,4,0,0,3,0,0,0
PT_050424,Silvares,1179,583,5,24,231,256,25,11,13,1,2,8,0,1,0,4,1,1,0,0,0
PT_050425,Soalheira,1046,496,5,9,263,102,69,16,13,3,3,1,0,0,3,5,2,2,0,0,0
PT_050426,Souto Da Casa,944,503,11,23,223,158,37,12,14,3,1,10,0,2,2,3,1,3,0,0,0
PT_050427,Telhado,665,376,8,8,155,136,18,16,13,0,0,13,0,3,4,2,0,0,0,0,0
PT_050428,Vale De Prazeres,1390,544,8,7,199,184,62,28,19,7,3,11,0,6,6,1,3,0,0,0,0
PT_050429,Valverde,1262,748,10,21,175,374,62,46,31,4,1,10,0,6,3,0,3,2,0,0,0
PT_050501,Alcafozes,207,143,4,5,55,64,6,3,1,1,0,1,0,2,0,0,1,0,0,0,0
PT_050502,Aldeia De Santa Margarida,321,191,6,7,43,102,13,3,4,3,0,7,0,0,1,1,1,0,0,0,0
PT_050503,Idanha-a-Nova,2025,1258,13,36,479,492,114,44,42,4,7,12,0,6,1,1,3,4,0,0,0
PT_050504,Idanha-a-Velha,96,69,0,1,19,40,1,0,4,1,0,0,0,0,2,0,1,0,0,0,0
PT_050505,Ladoeiro,1341,719,8,7,299,266,74,22,11,4,3,8,0,4,3,2,5,3,0,0,0
PT_050506,Medelim,266,158,3,4,59,64,12,2,7,3,2,0,0,1,1,0,0,0,0,0,0
PT_050507,Monfortinho,596,351,6,9,191,99,32,0,2,2,1,3,0,4,0,1,1,0,0,0,0
PT_050508,Monsanto,815,461,7,7,147,193,45,14,18,0,1,13,0,8,4,2,0,2,0,0,0
PT_050509,Oledo,409,233,4,5,90,78,22,9,5,2,2,6,0,1,3,3,2,1,0,0,0
PT_050510,Penha Garcia,833,515,16,5,170,223,42,8,10,9,1,4,0,13,7,1,3,3,0,0,0
PT_050511,Proença-a-Velha,252,135,2,5,56,45,10,2,7,1,2,2,0,2,0,0,1,0,0,0,0
PT_050512,Rosmaninhal,706,314,7,6,131,118,22,8,7,3,2,2,0,2,2,1,3,0,0,0,0
PT_050513,Salvaterra Do Extremo,199,111,4,2,41,41,9,4,6,0,1,2,0,0,0,0,0,1,0,0,0
PT_050514,São Miguel De Acha,662,375,7,6,153,130,31,14,16,2,3,5,0,2,3,1,1,1,0,0,0
PT_050515,Segura,182,122,0,5,44,33,17,2,10,1,0,8,0,2,0,0,0,0,0,0,0
PT_050516,Toulões,273,174,6,3,53,80,8,6,6,0,2,5,0,1,4,0,0,0,0,0,0
PT_050517,Zebreira,1023,469,12,6,189,163,45,10,24,3,0,9,0,4,0,1,1,2,0,0,0
PT_050601,Álvaro,256,190,0,3,165,10,7,0,2,2,0,1,0,0,0,0,0,0,0,0,0
PT_050602,Amieira,161,101,2,2,71,12,10,0,1,0,0,0,0,0,0,0,0,3,0,0,0
PT_050603,Cambas,379,178,1,4,114,43,8,1,0,1,0,0,0,4,1,0,0,1,0,0,0
PT_050604,Estreito,1042,624,19,20,371,125,55,7,6,3,1,1,0,8,2,2,1,3,0,0,0
PT_050605,Isna,234,211,5,1,155,25,18,2,4,0,1,0,0,0,0,0,0,0,0,0,0
PT_050606,Madeirã,183,101,2,4,65,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_050607,Mosteiro,367,226,6,3,144,45,22,1,0,1,0,1,0,1,2,0,0,0,0,0,0
PT_050608,Oleiros,2158,1315,22,28,777,253,153,25,17,4,7,10,0,2,4,8,4,1,0,0,0
PT_050609,Orvalho,628,315,8,4,143,121,18,4,4,1,0,5,0,1,3,0,2,1,0,0,0
PT_050610,Sarnadas De São Simão,288,139,5,8,83,29,7,0,2,0,2,0,0,0,0,1,1,1,0,0,0
PT_050611,Sobral,202,136,7,6,101,9,7,0,1,1,3,0,0,0,1,0,0,0,0,0,0
PT_050612,Vilar Barroco,149,106,0,1,87,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_050701,Águas,337,191,4,4,81,51,19,9,14,0,0,2,0,1,2,2,2,0,0,0,0
PT_050703,Aldeia De João Pires,219,157,2,3,83,25,17,8,7,2,0,1,0,4,3,1,0,1,0,0,0
PT_050702,Aldeia Do Bispo,671,324,5,1,116,104,49,15,10,3,1,8,0,4,1,2,2,3,0,0,0
PT_050704,Aranhas,384,208,8,5,80,79,19,3,1,2,2,2,0,1,4,2,0,0,0,0,0
PT_050705,Bemposta,157,103,2,0,48,34,9,3,3,1,0,1,0,0,0,2,0,0,0,0,0
PT_050706,Benquerença,673,294,6,10,114,94,37,12,4,2,0,0,0,5,5,0,3,2,0,0,0
PT_050707,Meimão,389,205,5,3,68,98,18,1,3,1,1,2,0,3,1,0,1,0,0,0,0
PT_050708,Meimoa,460,231,3,3,89,77,24,8,13,1,3,5,0,2,0,3,0,0,0,0,0
PT_050709,Pedrógão De São Pedro,635,274,6,5,105,108,22,2,3,3,0,5,0,4,6,1,2,2,0,0,0
PT_050710,Penamacor,1347,745,10,9,332,214,108,31,15,1,4,7,0,3,4,1,4,2,0,0,0
