gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD-CDS-PP,MPT,CDU,B.E.,L,PCTP/MRPP,PPV/CDC,PAN,PND,PPM,PTP,MAS,PDA,E,POUS
PT_160109,Couto,850,193,4,12,52,92,15,7,3,0,2,0,1,1,1,2,0,0,1,0
PT_160155,Eiras e Mei,543,146,3,2,37,62,8,14,2,1,3,2,0,4,3,4,0,0,1,0
PT_160113,Gavieira,597,106,7,2,34,48,5,1,1,1,1,1,0,2,1,1,1,0,0,0
PT_160115,Gondoriz,1328,230,3,9,69,100,20,11,3,3,2,0,0,5,0,2,2,0,0,1
PT_160156,Grade e Carralcova,602,159,1,1,29,107,1,8,2,3,1,0,2,1,0,1,0,0,2,0
PT_160157,Guilhadeses e Santar,1188,368,9,19,88,174,37,20,3,2,3,1,3,7,1,0,0,0,0,1
PT_160158,Jolda (Madalena) e Rio Cabrão,593,165,3,14,30,91,6,5,1,5,1,0,2,1,0,3,0,1,2,0
PT_160142,Jolda (São Paio),406,139,2,4,57,60,4,3,0,1,2,0,2,1,0,2,1,0,0,0
PT_160121,Miranda,580,128,1,3,44,59,6,3,1,2,2,0,2,4,0,0,1,0,0,0
PT_160122,Monte Redondo,335,112,1,2,14,78,0,4,2,0,1,0,3,3,0,1,1,0,2,0
PT_160123,Oliveira,366,111,4,4,26,56,6,1,1,1,2,0,1,4,0,0,1,1,3,0
PT_160124,Paçô,1066,264,3,14,98,88,27,5,6,10,4,1,2,1,0,4,0,0,0,1
PT_160159,Padreiro (Salvador e Santa Cristina),484,191,4,8,40,112,16,3,2,1,2,1,0,1,0,0,0,0,1,0
PT_160125,Padroso,330,102,2,0,29,61,3,2,1,0,0,0,0,1,2,0,1,0,0,0
PT_160160,Portela e Extremo,613,151,3,5,46,69,8,3,2,4,2,0,2,6,0,0,1,0,0,0
PT_160128,Prozelo,965,262,6,11,103,96,14,16,2,2,3,0,1,0,1,1,4,0,1,1
PT_160131,Rio De Moinhos,623,201,5,4,42,125,5,6,2,0,2,0,2,4,1,1,1,1,0,0
PT_160130,Rio Frio,1081,218,1,13,66,106,8,3,4,1,3,2,4,4,0,2,1,0,0,0
PT_160133,Sabadim,620,104,1,0,36,54,3,1,2,0,1,0,0,2,0,2,0,0,1,1
PT_160161,São Jorge e Ermelo,1121,217,8,6,62,106,13,5,0,0,2,0,2,5,3,2,1,0,1,1
PT_160154,"São Salvador, Vila Fonche e Parada",2587,801,12,49,260,251,91,53,31,14,7,0,13,8,2,3,4,2,1,0
PT_160144,Senharei,405,99,1,4,23,51,6,2,1,2,1,2,0,1,0,0,1,0,3,1
PT_160145,Sistelo,373,93,2,3,11,69,3,0,1,0,0,0,0,1,0,2,0,1,0,0
PT_160146,Soajo,1471,206,6,7,52,81,12,28,1,1,6,1,3,4,0,0,0,0,3,1
PT_160162,Souto e Tabaçô,1055,305,8,13,65,112,74,5,3,5,1,0,0,4,4,4,3,0,3,1
PT_160163,Távora (Santa Maria e São Vicente),1082,315,9,15,98,127,38,10,3,3,2,2,1,3,1,1,0,0,2,0
PT_160149,Vale,995,207,4,6,76,97,7,8,0,2,0,1,1,1,1,2,0,0,1,0
PT_160164,"Vilela, São Cosme e São Damião e Sá",712,244,5,15,69,124,10,4,1,1,0,0,4,5,0,2,2,0,0,2
PT_160201,Âncora,1142,429,13,21,177,91,49,29,15,5,11,0,4,8,0,4,0,0,1,1
PT_160221,"Arga (Baixo, Cima e São João)",230,125,1,2,46,63,5,0,0,0,0,0,3,3,1,1,0,0,0,0
PT_160205,Argela,386,143,5,8,52,37,8,18,6,0,0,1,4,1,0,2,1,0,0,0
PT_160222,Caminha (Matriz) e Vilarelho,2494,876,31,44,360,219,45,83,31,24,9,0,11,6,8,3,1,0,1,0
PT_160209,Dem,380,126,1,6,49,47,8,5,1,2,4,0,0,3,0,0,0,0,0,0
PT_160223,Gondar e Orbacém,467,197,3,15,92,41,11,8,5,2,6,1,1,5,2,1,2,0,2,0
PT_160211,Lanhelas,998,368,10,26,107,125,37,16,20,3,2,3,4,4,2,2,2,2,3,0
PT_160224,Moledo e Cristelo,1601,512,10,21,203,144,40,37,22,7,6,1,8,6,4,0,2,0,1,0
PT_160214,Riba De Âncora,758,244,7,11,62,99,25,16,6,2,5,2,1,3,2,2,0,0,0,1
PT_160215,Seixas,1442,453,16,22,203,91,33,28,21,5,6,3,9,4,3,4,2,1,0,2
PT_160225,Venade e Azevedo,986,381,24,16,121,134,23,18,12,5,6,1,8,3,2,2,2,1,3,0
PT_160217,Vila Praia De Âncora,4976,1305,34,70,487,340,125,98,43,19,31,6,13,7,7,10,4,3,7,1
PT_160218,Vilar De Mouros,756,302,10,26,97,41,12,67,15,10,13,1,4,2,1,1,0,0,2,0
PT_160220,Vile,293,135,3,12,43,43,10,8,2,3,3,0,4,2,0,0,0,0,1,1
PT_160301,Alvaredo,615,139,8,11,63,35,12,4,2,1,0,0,0,0,1,1,0,0,1,0
PT_160319,Castro Laboreiro e Lamas de Mouro,1031,192,3,6,117,35,8,7,3,1,1,0,1,6,1,2,1,0,0,0
PT_160320,Chaviães e Paços,974,178,2,14,95,37,6,2,4,1,6,2,0,5,0,2,1,1,0,0
PT_160304,Cousso,476,98,1,11,27,49,2,1,0,1,0,0,0,4,1,1,0,0,0,0
PT_160305,Cristoval,687,109,1,5,42,45,5,2,0,2,1,0,1,3,1,0,1,0,0,0
PT_160307,Fiães,351,65,0,1,47,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PT_160308,Gave,372,107,3,10,43,43,2,1,0,0,2,0,0,2,0,0,0,0,1,0
PT_160311,Paderne,1439,234,6,15,107,69,15,5,5,1,2,0,2,3,1,1,2,0,0,0
PT_160321,Parada do Monte e Cubalhão,1076,212,2,4,38,123,15,2,1,4,1,2,2,7,3,5,1,0,2,0
PT_160313,Penso,579,130,2,5,48,55,10,2,3,0,2,0,0,2,1,0,0,0,0,0
PT_160322,Prado e Remoães,610,193,3,12,97,47,19,4,3,2,0,1,1,1,0,1,1,0,1,0
PT_160317,São Paio,819,160,5,5,82,46,11,1,4,0,1,0,1,3,1,0,0,0,0,0
PT_160323,Vila e Roussas,2583,542,14,28,218,176,37,12,7,13,7,2,8,9,1,1,2,3,2,2
PT_160401,Abedim,269,75,1,8,22,39,1,0,0,0,1,0,0,0,0,2,1,0,0,0
PT_160434,Anhões e Luzio,384,161,2,5,40,89,12,1,2,0,0,0,1,3,2,1,1,0,0,2
PT_160404,Barbeita,1068,239,9,12,68,84,22,9,15,4,4,0,3,3,1,1,1,1,1,1
PT_160405,Barroças E Taias,374,88,0,3,15,51,9,2,3,2,1,0,0,0,1,0,0,0,1,0
PT_160406,Bela,714,164,5,14,43,73,7,4,8,1,3,1,1,0,0,3,0,1,0,0
PT_160407,Cambeses,494,137,1,9,51,47,12,5,2,1,3,0,4,1,0,1,0,0,0,0
PT_160435,Ceivães e Badim,792,203,5,8,109,45,15,9,7,1,0,0,1,0,0,1,1,0,1,0
PT_160410,Lara,317,99,2,10,26,45,6,1,5,1,0,1,0,0,0,1,0,0,0,1
PT_160411,Longos Vales,1117,247,5,10,81,113,16,3,4,1,0,0,4,6,2,0,0,0,1,1
PT_160436,Mazedo e Cortes,2950,741,16,47,249,238,56,37,45,7,8,1,10,10,4,6,2,0,4,1
PT_160415,Merufe,1235,260,4,14,52,157,10,4,3,1,0,1,4,5,2,1,0,0,1,1
PT_160437,"Messegães, Valadares e Sá",789,193,4,7,73,64,15,5,8,4,3,0,2,2,0,2,2,0,1,1
PT_160438,Monção e Troviscoso,3559,839,18,48,340,257,43,51,40,7,3,1,4,10,1,4,2,2,8,0
PT_160418,Moreira,712,181,7,11,27,105,15,3,4,4,1,0,1,1,2,0,0,0,0,0
PT_160420,Pias,909,253,4,26,64,127,14,6,2,3,3,0,0,2,0,0,0,0,2,0
PT_160421,Pinheiros,329,116,0,11,25,52,19,1,1,1,1,0,1,1,2,0,0,0,1,0
PT_160422,Podame,351,108,2,6,49,31,3,5,5,2,2,0,0,2,0,1,0,0,0,0
PT_160423,Portela,276,69,1,1,26,22,7,4,5,0,0,0,0,0,0,1,1,0,1,0
PT_160424,Riba De Mouro,1378,206,3,1,49,122,8,4,9,2,0,0,4,1,1,1,0,0,0,1
PT_160439,"Sago, Lordelo e Parada",592,213,1,10,36,138,10,2,0,1,0,0,1,2,2,3,2,0,3,2
PT_160427,Segude,424,120,0,13,44,46,8,4,2,0,0,0,0,1,1,1,0,0,0,0
PT_160428,Tangil,916,248,3,14,69,128,9,8,6,1,1,0,1,4,0,3,0,0,1,0
