gisco_id,registered,turnout,invalid,blank,PPD/PSD-CDS-PP-PPM,PS,CH,B.E.,IL,ADN,L,CDU,R.I.R.,E,JPP,MPT,PAN,PPD/PSD-CDS-PP,PCTP/MRPP,NC,PPM,PND,Volt,PLS,PTP
PT_030298,1278,925,15,16,0,163,237,9,38,17,19,12,4,1,0,0,10,380,0,0,2,0,2,0,0
PT_030234,708,498,3,6,0,42,175,5,16,7,5,2,0,0,0,0,1,234,0,0,0,2,0,0,0
PT_030235,1935,1299,20,29,0,194,338,14,45,15,19,12,0,1,1,0,7,597,0,0,1,3,3,0,0
PT_030268,2565,1914,23,30,0,290,430,33,136,11,65,9,1,3,0,0,23,853,0,0,2,4,1,0,0
PT_030272,1701,1228,13,17,0,165,349,19,66,19,41,9,1,2,0,0,5,514,0,0,2,5,1,0,0
PT_030299,1270,975,15,18,0,230,187,25,55,13,24,12,4,0,0,0,8,382,0,0,0,0,2,0,0
PT_030237,1401,1010,15,15,0,145,240,9,60,9,19,7,2,0,0,0,13,474,0,0,0,2,0,0,0
PT_030242,1118,808,8,18,0,88,255,11,45,6,20,4,1,2,0,0,5,343,0,0,1,0,1,0,0
PT_030243,2163,1630,25,43,0,257,390,19,91,20,45,18,8,0,0,0,12,692,0,0,0,8,2,0,0
PT_030244,1601,1211,16,15,0,82,256,9,75,21,15,6,2,2,1,0,3,703,0,0,0,4,1,0,0
PT_030245,1709,1315,12,19,0,236,279,26,102,10,43,8,5,1,0,0,12,553,0,0,2,4,3,0,0
PT_030247,1989,1409,15,25,0,271,365,27,75,15,28,11,4,1,4,0,8,555,0,0,0,3,2,0,0
PT_0302FA,1827,1360,9,28,0,181,286,11,62,13,29,3,1,3,4,0,4,718,0,0,0,4,4,0,0
PT_030252,827,638,5,12,0,102,151,5,34,8,19,9,1,0,0,0,1,289,0,0,0,0,2,0,0
PT_0302FB,2086,1553,10,15,0,112,324,14,91,28,18,9,0,0,0,0,7,925,0,0,0,0,0,0,0
PT_030254,971,698,14,11,0,87,181,7,30,9,15,2,4,0,0,0,2,332,0,0,1,3,0,0,0
PT_030255,920,600,14,8,0,71,128,10,22,8,4,0,0,0,0,0,0,334,0,0,0,0,1,0,0
PT_030256,613,422,5,2,0,55,121,7,10,3,3,5,0,0,0,0,0,211,0,0,0,0,0,0,0
PT_030257,727,514,3,3,0,56,117,1,19,6,6,4,1,1,0,0,2,291,0,0,1,3,0,0,0
PT_030259,1140,873,3,13,0,195,165,12,56,8,8,3,3,3,1,0,3,398,0,0,1,0,1,0,0
PT_030260,1566,1131,20,12,0,182,285,17,61,13,28,8,5,3,3,0,10,482,0,0,0,2,0,0,0
PT_030261,1992,1435,13,23,0,285,348,24,87,13,40,14,4,2,1,0,16,559,0,0,0,4,2,0,0
PT_0302FC,993,711,5,8,0,78,173,10,29,10,11,3,2,0,0,0,2,378,0,0,0,1,1,0,0
PT_030263,1203,878,15,20,0,105,183,16,47,17,19,8,2,1,0,0,5,437,0,0,0,2,1,0,0
PT_030265,1413,1072,13,22,0,215,287,16,88,13,36,7,6,0,2,0,5,362,0,0,0,0,0,0,0
PT_030264,1871,1330,14,23,0,115,347,10,67,23,41,10,3,2,0,0,9,661,0,0,0,3,2,0,0
PT_0302FD,1743,1280,24,19,0,243,371,21,47,12,19,11,3,2,2,0,11,492,0,0,0,2,1,0,0
PT_030279,794,634,2,11,0,136,143,5,45,9,12,7,2,1,1,0,4,251,0,0,1,4,0,0,0
PT_0302FE,1814,1307,11,23,0,232,336,24,62,23,32,15,6,4,0,0,7,527,0,0,0,5,0,0,0
PT_0302FF,1175,902,12,16,0,155,233,13,37,10,14,8,3,1,1,0,8,389,0,0,0,1,1,0,0
PT_030277,2745,2003,20,44,0,451,526,52,126,16,59,16,7,2,1,0,27,651,0,0,0,4,1,0,0
PT_030282,1291,922,14,13,0,173,260,11,44,17,12,3,2,4,0,0,4,359,0,0,1,5,0,0,0
PT_030283,1651,1258,7,23,0,267,355,20,78,11,37,8,3,4,1,0,14,421,0,0,1,4,4,0,0
PT_0302FG,3521,2641,27,50,0,558,547,34,134,24,57,12,6,2,1,0,18,1161,0,0,0,7,3,0,0
PT_0302FH,2243,1581,24,31,0,198,399,15,69,21,33,11,2,2,1,0,11,761,0,0,1,1,1,0,0
PT_030287,967,679,5,14,0,114,116,6,32,9,16,2,2,0,0,0,2,359,0,0,1,1,0,0,0
PT_030301,3490,2277,24,45,0,602,532,33,180,25,77,37,2,1,0,0,27,682,0,0,2,4,4,0,0
PT_030363,1334,1060,17,26,0,284,262,16,57,10,21,17,3,5,1,0,9,329,0,0,0,1,2,0,0
PT_030364,12844,8620,102,131,0,2120,1904,271,736,55,462,270,9,13,4,0,124,2387,0,0,6,10,16,0,0
PT_030365,12240,8082,80,101,0,2111,1505,261,672,62,416,234,5,8,3,0,101,2503,0,0,3,11,6,0,0
PT_030349,11462,7794,99,131,0,1810,1628,252,760,38,460,222,8,7,3,0,85,2270,0,0,1,4,16,0,0
PT_030351,25126,16335,196,225,0,3860,3158,596,1574,115,901,434,20,19,8,0,229,4931,0,0,8,23,38,0,0
PT_030366,1997,1485,13,23,0,338,294,28,107,18,40,29,5,0,1,0,4,577,0,0,4,3,1,0,0
PT_030367,6075,4512,55,89,0,1050,1144,64,396,54,134,88,15,4,1,0,38,1367,0,0,3,4,6,0,0
PT_030368,1208,835,8,12,0,180,228,9,54,7,28,19,2,0,1,0,3,279,0,0,2,1,2,0,0
PT_030369,1708,1254,18,32,0,244,326,23,79,19,35,13,2,0,1,0,7,452,0,0,1,0,2,0,0
PT_030312,1050,717,12,12,0,162,210,10,37,12,14,11,2,1,0,0,3,228,0,0,0,2,1,0,0
PT_030313,1613,1240,10,25,0,214,274,22,109,11,43,20,2,0,1,0,10,496,0,0,1,2,0,0,0
PT_030370,3905,2894,36,57,0,715,600,47,266,32,95,33,8,4,0,0,25,963,0,0,4,5,4,0,0
PT_030371,8573,6185,69,108,0,1406,1530,160,564,64,248,111,10,7,4,0,82,1812,0,0,3,4,3,0,0
PT_030315,1062,842,15,10,0,191,205,8,55,13,17,10,3,0,1,0,9,299,0,0,0,3,3,0,0
PT_030319,5780,4306,31,70,0,953,763,126,509,23,262,78,4,3,1,0,46,1420,0,0,4,5,8,0,0
PT_030372,977,757,8,11,0,152,183,9,68,10,13,14,1,1,1,0,5,279,0,0,0,2,0,0,0
PT_030322,741,582,8,14,0,115,141,8,40,7,11,4,3,2,0,0,9,216,0,0,0,2,2,0,0
PT_030373,6357,4700,56,77,0,1049,1083,107,475,54,184,95,10,4,2,0,52,1435,0,0,4,6,7,0,0
PT_030374,4487,3332,39,56,0,800,814,68,272,28,120,121,3,4,2,0,42,952,0,0,0,3,8,0,0
PT_030375,3973,3089,36,68,0,705,678,65,269,15,147,59,6,2,1,0,49,979,0,0,0,3,7,0,0
PT_030325,2183,1646,17,22,0,414,336,28,133,24,59,47,2,0,1,0,13,542,0,0,2,3,3,0,0
PT_030376,1294,1016,12,18,0,182,239,15,76,8,31,11,3,0,1,0,11,404,0,0,1,3,1,0,0
PT_030377,13712,10477,90,153,0,2167,1757,308,1299,59,610,195,17,6,1,0,124,3658,0,0,3,7,23,0,0
PT_030378,4936,3693,22,66,0,802,420,117,511,30,205,66,3,2,1,0,65,1377,0,0,1,2,3,0,0
PT_030330,1442,1033,8,13,0,299,183,10,75,16,24,25,0,0,1,0,13,362,0,0,1,3,0,0,0
PT_030331,5173,3692,40,57,0,836,800,82,333,30,129,72,6,2,5,0,42,1248,0,0,0,3,7,0,0
PT_030334,1111,750,12,15,0,135,238,12,44,11,10,17,1,2,4,0,11,236,0,0,2,0,0,0,0
PT_030336,1251,941,11,18,0,143,239,7,64,12,23,7,0,0,0,0,12,402,0,0,1,1,1,0,0
PT_030379,12177,9014,102,181,0,2005,2111,232,996,55,448,178,13,10,11,0,130,2502,0,0,7,17,16,0,0
PT_030338,1066,752,11,16,0,191,109,17,73,7,26,25,0,1,1,0,13,256,0,0,2,3,1,0,0
PT_030380,898,676,14,7,0,178,162,9,50,7,25,15,2,0,0,0,13,191,0,0,0,2,1,0,0
PT_030354,1698,1223,11,22,0,299,226,20,102,14,24,30,1,1,3,0,19,443,0,0,1,4,3,0,0
PT_030355,1285,886,10,15,0,137,214,12,64,11,16,19,3,0,0,0,8,374,0,0,0,3,0,0,0
PT_030356,1063,858,12,21,0,218,215,16,70,4,28,9,1,1,0,0,11,250,0,0,1,0,1,0,0
PT_030357,988,723,10,8,0,166,159,4,52,12,10,9,1,0,0,0,8,283,0,0,0,1,0,0,0
PT_030381,1497,1169,13,28,0,246,235,18,94,6,26,16,3,1,0,0,12,470,0,0,1,0,0,0,0
PT_030401,504,350,2,4,0,173,44,4,8,2,6,3,3,0,0,0,0,99,0,0,1,1,0,0,0
PT_030418,1082,621,9,11,0,183,105,4,17,10,6,12,4,0,1,0,4,253,0,0,1,1,0,0,0
PT_030419,2086,1229,19,13,0,391,187,26,50,9,21,11,2,0,0,0,11,485,0,0,1,1,2,0,0
PT_030404,895,574,7,4,0,128,111,10,23,9,12,2,2,1,0,0,2,259,0,0,1,2,1,0,0
PT_030405,548,339,1,4,0,77,70,1,8,3,3,0,1,0,0,0,0,169,0,0,0,1,1,0,0
PT_030406,668,401,4,1,0,104,88,6,6,2,2,3,1,0,0,0,1,182,0,0,0,1,0,0,0
PT_030407,1560,660,6,5,0,209,115,6,19,5,2,4,4,2,1,0,1,277,0,0,2,1,1,0,0
PT_030408,539,319,6,5,0,98,72,4,8,8,5,2,0,0,0,0,2,106,0,0,1,1,1,0,0
PT_030420,527,225,5,0,0,74,13,3,1,2,4,0,2,0,0,0,0,121,0,0,0,0,0,0,0
PT_030413,724,390,6,1,0,71,77,1,7,8,1,2,0,2,0,0,2,211,0,0,0,1,0,0,0
PT_030421,6757,4154,59,54,0,1107,732,48,150,38,69,39,11,2,2,0,28,1803,0,0,0,8,4,0,0
PT_030415,931,479,7,5,0,148,58,3,15,6,8,4,6,0,0,0,5,211,0,0,0,2,1,0,0
PT_030501,1116,725,17,5,0,104,192,12,28,8,10,5,2,0,1,0,8,329,0,0,1,2,1,0,0
PT_030502,1443,892,11,10,0,274,135,15,35,13,21,10,0,2,1,0,9,356,0,0,0,0,0,0,0
PT_030520,1360,691,7,7,0,147,106,6,26,11,7,15,3,0,0,0,4,350,0,0,0,2,0,0,0
PT_030503,1129,651,4,8,0,72,105,14,31,5,13,4,4,1,0,0,4,383,0,0,1,1,1,0,0
PT_030523,3392,2088,31,17,0,640,351,30,91,19,51,19,5,0,2,0,14,811,0,0,0,5,2,0,0
PT_030524,598,299,1,1,0,50,55,6,9,3,2,2,2,1,1,0,2,163,0,0,0,0,1,0,0
PT_030525,1132,701,8,15,0,249,104,10,23,9,10,6,1,0,0,0,4,260,0,0,1,1,0,0,0
PT_030526,812,427,4,8,0,68,73,4,10,3,8,3,3,2,1,0,2,234,0,0,0,4,0,0,0
PT_030508,371,241,1,4,0,68,48,3,6,1,3,1,0,0,0,0,0,105,0,0,0,1,0,0,0
PT_030510,1100,680,8,5,0,97,134,6,18,12,9,4,2,1,2,0,4,377,0,0,0,0,1,0,0
PT_030515,544,357,4,9,0,88,52,4,6,7,3,0,3,1,0,0,1,178,0,0,1,0,0,0,0
PT_030517,1120,622,9,7,0,76,121,7,29,9,11,2,1,1,2,0,6,338,0,0,0,3,0,0,0
PT_030518,837,511,8,8,0,92,82,6,8,7,5,5,0,0,0,0,4,282,0,0,0,3,1,0,0
PT_030521,687,352,3,4,0,78,57,6,8,6,7,5,0,0,0,0,2,175,0,0,0,1,0,0,0
PT_030527,1653,1076,9,9,0,307,133,20,41,11,17,13,5,0,0,0,9,500,0,0,0,2,0,0,0
PT_030601,2070,1406,19,26,0,206,331,18,90,27,39,7,6,4,3,0,17,605,0,0,1,5,2,0,0
PT_030616,7687,5117,37,78,0,719,1262,90,348,51,183,73,15,2,3,0,57,2188,0,0,0,4,7,0,0
PT_030617,2909,1849,34,23,0,204,520,23,87,37,45,21,6,4,0,0,20,819,0,0,1,3,2,0,0
PT_030618,11673,8110,72,127,0,1340,1900,147,685,66,313,133,13,18,1,0,107,3166,0,0,4,7,11,0,0
PT_030619,1665,1253,12,22,0,152,267,12,65,12,16,4,4,0,0,0,6,679,0,0,0,0,2,0,0
PT_030608,2463,1684,16,30,0,363,317,27,119,22,46,22,5,3,1,0,13,698,0,0,0,1,1,0,0
PT_030610,1042,715,8,9,0,105,145,8,51,8,19,2,2,0,0,0,3,352,0,0,0,1,2,0,0
PT_030620,2890,2057,23,45,0,286,502,29,138,28,50,19,5,2,1,0,12,908,0,0,0,5,4,0,0
PT_030615,1305,769,12,15,0,81,170,6,42,20,13,7,3,0,0,0,5,392,0,0,0,3,0,0,0
PT_030737,1070,490,3,6,0,112,136,7,22,7,4,8,2,0,0,0,7,173,0,0,0,2,1,0,0
PT_030738,1139,706,6,3,0,218,149,3,13,8,10,3,0,2,0,0,4,283,0,0,0,4,0,0,0
PT_030739,1982,1382,14,15,0,426,312,28,56,15,48,43,5,0,1,0,17,395,0,0,1,4,2,0,0
PT_030740,1098,649,4,8,0,152,160,3,16,6,6,2,1,0,0,0,5,283,0,0,0,3,0,0,0
PT_030705,650,449,9,5,0,138,96,3,16,5,15,9,0,0,0,0,4,145,0,0,0,0,4,0,0
PT_030726,1452,901,12,17,0,278,217,14,40,14,19,16,5,0,0,0,11,255,0,0,0,1,2,0,0
PT_030730,3410,2170,28,45,0,494,537,36,126,24,55,28,7,1,0,0,21,761,0,0,1,2,4,0,0
PT_030741,2062,1333,27,21,0,358,324,30,61,16,33,9,8,2,1,0,6,433,0,0,0,4,0,0,0
PT_030708,1932,1120,21,14,0,321,296,27,66,19,14,19,0,0,0,0,7,308,0,0,0,5,3,0,0
PT_030709,15062,9589,99,154,0,2510,1940,156,527,79,253,213,12,7,7,0,89,3519,0,0,0,15,9,0,0
PT_030712,1525,888,14,11,0,244,250,9,37,12,19,15,2,1,0,0,8,263,0,0,1,1,1,0,0
PT_030742,763,449,6,5,0,121,116,6,15,7,8,5,1,0,1,0,1,156,0,0,0,0,1,0,0
PT_030714,2035,1278,14,29,0,334,250,24,43,14,14,17,2,0,1,0,7,526,0,0,0,2,1,0,0
PT_030716,1386,882,10,21,0,248,207,11,36,10,18,7,2,0,0,0,4,305,0,0,0,3,0,0,0
PT_030743,1046,408,1,3,0,84,82,3,7,10,2,2,5,0,1,0,2,202,0,0,1,3,0,0,0
PT_030744,1929,1073,15,7,0,273,271,5,29,16,20,23,1,3,1,0,3,403,0,0,1,2,0,0,0
PT_030719,1024,581,15,10,0,151,129,16,15,4,6,6,1,1,0,0,5,219,0,0,0,2,1,0,0
PT_030722,2188,1372,25,21,0,369,309,19,48,18,23,18,6,0,0,0,8,506,0,0,1,1,0,0,0
PT_030723,1551,1034,15,7,0,246,206,10,37,14,19,9,2,0,1,0,9,456,0,0,0,3,0,0,0
PT_030724,754,421,5,7,0,117,96,5,14,7,10,6,1,0,0,0,1,149,0,0,0,2,1,0,0
PT_030725,580,366,3,4,0,113,78,6,16,2,15,4,1,1,0,0,2,116,0,0,2,3,0,0,0
PT_030728,1706,1054,9,11,0,284,252,6,46,19,12,5,2,1,1,0,9,394,0,0,0,3,0,0,0
PT_030729,1276,853,4,12,0,242,185,15,30,6,17,15,0,1,0,0,7,317,0,0,2,0,0,0,0
PT_030733,1647,893,14,14,0,238,228,15,16,8,19,16,6,0,1,0,8,308,0,0,0,2,0,0,0
PT_030736,681,417,7,8,0,128,98,4,15,2,9,8,1,0,0,0,1,135,0,0,0,1,0,0,0
PT_030875,2416,1831,18,34,0,373,464,27,132,27,35,23,4,4,1,0,15,669,0,0,1,3,1,0,0
PT_030876,3178,2488,14,47,0,662,441,37,130,22,50,27,2,1,1,0,14,1036,0,0,1,2,1,0,0
PT_030801,1258,957,5,22,0,207,210,17,84,16,25,15,1,0,1,0,7,345,0,0,0,1,1,0,0
PT_030877,677,404,1,8,0,111,91,7,21,3,7,4,2,0,1,0,0,147,0,0,0,1,0,0,0
PT_030878,2401,1612,20,21,0,348,462,24,65,28,30,26,3,0,1,0,12,561,0,0,0,9,2,0,0
