gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,CD&V,SP.A,VLAAMS BELANG,GROEN,PVDA+,PS,MR,CDH,Parti Populaire,ECOLO,PTB-GO!,DEBOUT LES BELGES,FDF,LA DROITE,VEGA,MG,Stand Up USE,CSP,PRO DG,SP,VIVANT,PFF,VB
BE_63061,Raeren,0,4090,426,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,1022,510,603,191,668,0
BE_25122,Ramillies,0,4139,215,0,0,0,0,0,0,0,0,833,1597,340,279,533,87,40,126,40,16,2,31,0,0,0,0,0,0
BE_11035,Ranst,0,13584,468,0,4932,2179,2470,764,982,1595,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13035,Ravels,0,7718,413,0,2322,859,2572,440,548,485,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_25123,Rebecq,0,6455,419,0,0,0,0,0,0,0,0,1380,1999,575,486,871,192,141,240,75,33,6,38,0,0,0,0,0,0
BE_64063,Remicourt,0,4001,229,0,0,0,0,0,0,0,0,1317,1058,346,220,366,217,65,70,68,23,6,16,0,0,0,0,0,0
BE_45041,Ronse / Renaix,0,16455,1745,0,2892,3459,2453,3456,965,1172,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_83044,Rendeux,0,1756,153,0,0,0,0,0,0,0,0,382,449,335,116,165,51,41,33,22,5,4,0,0,0,0,0,0,0
BE_13036,Retie,0,7603,352,0,2289,967,2369,510,435,591,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23101,Sint-Genesius-Rode / Rhode-Saint-Genèse,0,10432,564,0,1113,1859,668,265,122,348,31,584,2724,382,154,686,64,50,668,26,26,1,97,0,0,0,0,0,0
BE_73066,Riemst,0,10417,722,0,2443,1932,3205,847,610,540,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13037,Rijkevorsel,0,7992,410,0,2838,1289,1662,591,538,559,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_25091,Rixensart,0,14963,579,0,0,0,0,0,0,0,0,2242,5920,1296,641,2781,281,168,631,119,85,3,217,0,0,0,0,0,0
BE_91114,Rochefort,0,8383,831,0,0,0,0,0,0,0,0,1985,2671,897,400,949,236,131,133,108,17,11,14,0,0,0,0,0,0
BE_36015,Roeselare / Roulers,0,41856,2064,0,11374,6305,9070,5860,2621,3943,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23097,Roosdaal,0,8047,361,0,2711,1543,1688,528,542,606,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24094,Rotselaar,0,11636,419,0,2746,2289,2579,1272,482,1642,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_85047,Rouvroy,0,1326,169,0,0,0,0,0,0,0,0,242,237,346,73,151,33,33,10,20,3,6,3,0,0,0,0,0,0
BE_37012,Ruiselede,0,3845,223,0,835,793,1154,281,218,284,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_57072,Rumes,0,3623,496,0,0,0,0,0,0,0,0,1216,596,630,120,268,102,76,48,54,5,10,2,0,0,0,0,0,0
