gisco_id,name,registered,turnout,invalid,blank,open vld,VLAAMS BELANG,CD&V,SP.A,N-VA,Lijst Dedecker,GROEN!,PVDA+,SLP,LSP,CAP,SP,ECOLO,PFF,CSP,FN,R.W.F.,WALLONIE D'ABORD,PTB+,MS,CAP D'ORAZIO,LCR-PSL,PC-GE,PS,MR,CDH,ProDG,VIVANT,EUROPA der WERTE
BE_K00125,Malmedy,14218,12771,1429,0,0,0,0,0,0,0,0,0,0,0,0,1470,2706,4004,2392,359,148,148,35,13,25,15,27,0,0,0,0,0,0
BE_K00126,Marche-en-Famenne,16542,15026,1295,0,0,0,0,0,0,0,0,0,0,0,0,4843,2503,2807,2797,383,131,157,56,8,11,18,17,0,0,0,0,0,0
BE_K00124,Malines,76327,69633,2659,0,12322,12977,11877,12763,6083,3367,6301,602,380,197,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00127,Meise,71547,65022,3897,0,12097,8569,11691,4318,6518,3062,4269,268,202,49,33,1325,2758,4271,912,305,68,252,55,22,34,33,14,0,0,0,0,0,0
BE_K00128,Menin,48416,44884,3187,0,6266,5532,11520,6736,3171,4346,3170,435,337,102,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00129,Merbes-le-Château,18240,14180,1407,0,0,0,0,0,0,0,0,0,0,0,0,4224,1979,2570,2532,754,201,289,63,70,25,27,39,0,0,0,0,0,0
BE_K00132,Messines,6666,6233,553,0,1036,626,2009,480,355,668,388,53,43,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00131,Messancy,15065,13550,1887,0,0,0,0,0,0,0,0,0,0,0,0,2899,2994,2475,2305,513,122,194,46,21,18,34,42,0,0,0,0,0,0
BE_K00133,Meulebeke,15063,14113,961,0,2099,1635,4811,1084,1284,1436,633,55,82,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00134,Mol,78421,72953,4320,0,9147,11882,19571,9603,8982,4294,4039,558,292,161,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00135,Molenbeek-Saint-Jean,100275,84369,5557,0,3901,2390,1542,1932,563,453,1370,162,53,50,24,0,14534,0,0,1997,246,380,947,87,200,289,189,20216,16749,10538,0,0,0
BE_K00136,Mons,62508,54045,4357,0,0,0,0,0,0,0,0,0,0,0,0,20986,9684,9037,4795,2323,576,691,751,67,316,253,209,0,0,0,0,0,0
BE_K00137,Mouscron,35196,31894,4340,0,0,0,0,0,0,0,0,0,0,0,0,7672,6295,5023,5617,1429,219,781,261,34,58,70,95,0,0,0,0,0,0
BE_K00138,Namur,86839,75595,5511,0,0,0,0,0,0,0,0,0,0,0,0,16799,19190,17390,10965,1999,1481,1133,657,73,115,169,113,0,0,0,0,0,0
BE_K00139,Nandrin,24309,22231,1454,0,0,0,0,0,0,0,0,0,0,0,0,6309,5556,5111,2321,559,289,256,231,24,48,34,39,0,0,0,0,0,0
BE_K00140,Nassogne,3824,3466,277,0,0,0,0,0,0,0,0,0,0,0,0,881,822,721,579,76,33,34,25,1,2,8,7,0,0,0,0,0,0
BE_K00141,Nazareth,23377,21776,805,0,7324,1699,4946,1413,1894,1605,1799,121,118,33,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
