gisco_id,name,registered,turnout,invalid,blank,Latvijas Sociālistiskā partija,Tautas partija,Konservatīvā partija,Latgales Gaisma,"Apvienība ""Tēvzemei un Brīvībai""/LNNK","Politisko organizāciju apvienība ""Par cilvēka tiesībām vienotā Latvijā""","""Apvienotā sociāldemokrātiskā labklājības partija""",Tautas saskaņas partija,"""Zaļo un Zemnieku savienība""","""Latvijas Pirmā Partija""",Latvijas Sociāldemokrātiskā strādnieku partija,"""Jaunais laiks""","Savienība ""Latvijas ceļš""",Kristīgi demokrātiskā savienība (KDS),"Politiskā organizācija (partija) ""Eiroskeptiķi""","""Sociāldemokrātu savienība - SDS"""
LV_3870,Medņevas pagasts,679,295,0,0,10,22,6,17,69,5,1,2,40,16,10,59,26,5,3,4
LV_7476,Meņģeles pagasts,574,193,0,0,0,9,5,1,84,1,0,1,16,5,14,44,11,1,0,1
LV_4072,Mežotnes pagasts,1154,372,0,0,4,25,5,1,114,4,3,3,19,14,36,101,30,0,11,2
LV_6870,Mežvidu pagasts,814,283,0,0,3,14,15,4,85,10,0,3,24,2,21,72,25,5,0,0
LV_5676,Mežāres pagasts,727,270,0,0,12,3,9,2,32,28,3,132,14,1,2,27,3,0,1,1
LV_7078,Murmastienes pagasts,718,328,0,0,3,16,7,3,124,1,0,0,31,11,18,87,22,0,2,3
LV_7872,Mākoņkalna pagasts,607,305,0,0,12,10,5,2,30,36,0,33,111,3,18,35,8,0,2,0
LV_8074,Mālpils pagasts,2939,1146,0,0,20,93,19,1,466,31,15,9,39,44,44,251,85,11,12,6
LV_3674,Mālupes pagasts,542,222,0,0,3,26,8,0,98,5,0,1,17,2,16,26,17,1,1,1
LV_7074,Mārcienas pagasts,777,293,0,0,9,26,10,2,109,4,0,4,22,8,17,56,18,0,5,3
LV_3676,Mārkalnes pagasts,345,159,0,0,4,8,5,5,48,3,0,1,16,5,19,31,13,0,0,1
LV_4264,Mārsnēnu pagasts,579,254,0,0,1,32,7,0,85,4,2,0,13,3,19,58,24,0,6,0
LV_8076,Mārupes pagasts,5493,2390,0,0,6,163,25,8,791,168,70,59,92,59,51,695,152,10,33,8
LV_6872,Mērdzenes pagasts,723,266,0,0,21,19,7,10,70,21,2,3,28,2,27,24,27,2,2,1
LV_8878,Mērsraga pagasts,1559,578,0,0,4,59,1,0,222,8,0,2,7,28,24,168,42,1,8,4
LV_7076,Mētrienas pagasts,638,235,0,0,0,23,0,1,85,6,1,4,19,7,14,59,12,1,2,1
LV_7874,Nagļu pagasts,490,194,0,0,1,7,1,3,61,2,0,2,22,4,51,28,11,1,0,0
LV_4680,Naudītes pagasts,627,216,0,0,1,15,6,0,83,1,3,0,12,5,2,70,14,0,2,2
LV_4474,Naujenes pagasts,3611,1367,0,0,28,41,34,232,126,362,24,153,33,47,75,77,110,9,8,8
LV_9672,Naukšēnu pagasts,1132,493,0,0,2,53,6,2,152,0,2,0,60,20,35,109,45,1,5,1
LV_7875,Nautrēnu pagasts,1192,409,0,0,8,23,5,5,94,6,2,3,66,3,67,83,23,9,10,2
LV_3270,Neretas pagasts,1397,533,0,0,4,61,10,2,197,5,5,4,30,24,20,129,21,2,16,3
LV_6878,Nirzas pagasts,460,175,0,0,20,25,6,6,36,11,2,9,8,5,10,23,11,1,2,0
LV_8472,Novadnieku pagasts,1446,451,0,0,5,39,1,0,195,3,1,1,27,21,24,107,21,0,6,0
LV_6478,Nīcas pagasts,2178,875,0,0,3,88,2,1,414,6,0,2,37,60,31,178,41,5,6,1
LV_4476,Nīcgales pagasts,656,235,0,0,4,24,11,13,55,12,2,4,19,6,9,34,35,6,0,1
LV_8470,Nīgrandes pagasts,1175,460,0,0,3,39,7,1,173,2,1,0,53,19,15,104,34,0,9,0
LV_6268,Nīkrāces pagasts,531,217,0,0,1,34,5,1,83,1,0,1,14,13,4,44,13,0,2,1
LV_4268,Nītaures pagasts,731,320,0,0,4,17,8,1,93,1,2,2,25,12,6,102,38,4,5,0
LV_7401,Ogre,19040,8593,0,0,65,532,119,27,2576,642,151,225,197,342,360,2279,978,27,62,11
LV_8009,Olaine,5735,2608,0,0,36,150,60,15,587,516,173,204,62,104,131,376,161,9,20,4
LV_8080,Olaines pagasts,2921,1055,0,0,15,73,26,5,263,116,57,38,45,45,70,229,65,4,4,0
LV_6480,Otaņķu pagasts,773,307,0,0,0,31,2,0,157,1,0,0,15,10,20,41,27,0,3,0
