gisco_id,name,registered,turnout,invalid,blank,EESTI KESKERAKOND,RAHVAERAKOND MÕÕDUKAD,EESTIMAA RAHVALIIT,ERAKOND ISAMAALIIT,EESTI SOTSIAALDEMOKRAATLIK TÖÖPARTEI,EESTIMAA ÜHENDATUD RAHVAPARTEI,EESTI REFORMIERAKOND,ÜHENDUS VABARIIGI EEST - RES PUBLICA,EESTI KRISTLIK RAHVAPARTEI,EESTI ISESEISVUSPARTEI,VENE ERAKOND EESTIS,ASTRID KOPPEL,VÄINO KARO,AINO VÄRBU,AADO LUIK,ALEKSANDER RAAG,JAANUS RAIDAL,EDGAR-JULIUS PRUKS,ENN OJA,KAAREL JAAK ROOSAARE,KALJU MÄTIK,MART RIISENBERG,REIN HAGGI,HASSO NURM,EINO PAJU,IVAN TSVETKOV,ALEKSEI KOLPAKOV
EE_0927,Väike-Maarja,0,0,0,0,502,121,419,95,9,0,122,562,22,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0149,Are,0,0,0,0,105,32,281,32,2,0,23,71,7,3,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0159,Audru,0,0,0,0,409,173,306,136,4,2,203,535,9,14,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0188,Halinga,0,0,0,0,350,82,278,223,8,1,139,391,2,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0213,Häädemeeste,0,0,0,0,421,56,224,126,1,0,101,294,10,7,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0276,Kaisma,0,0,0,0,43,7,147,27,0,0,25,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0303,Kihnu,0,0,0,0,92,4,8,108,1,0,9,59,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0306,Kilingi-Nõmme,0,0,0,0,269,47,153,69,9,0,51,423,25,7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0334,Koonga,0,0,0,0,152,70,246,17,4,0,14,61,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0395,Lavassaare,0,0,0,0,74,19,36,18,0,5,29,62,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0568,Paikuse,0,0,0,0,236,87,400,107,6,13,185,332,15,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0625,Pärnu,0,0,0,0,3876,1150,1324,1538,75,440,2858,5334,144,345,56,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA08,Pärnu maakond,66990,36316,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0711,Saarde,0,0,0,0,168,39,171,42,0,0,61,382,10,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0730,Sauga,0,0,0,0,183,46,196,73,5,9,143,283,3,16,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0741,Sindi,0,0,0,0,406,72,135,134,10,18,257,465,11,14,10,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0756,Surju,0,0,0,0,38,14,320,11,1,0,12,75,4,7,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0848,Tahkuranna,0,0,0,0,164,53,191,53,1,0,84,223,10,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0782,Tali,0,0,0,0,80,12,92,21,0,0,10,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0805,Tootsi,0,0,0,0,163,32,59,33,3,1,37,100,2,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0808,Tori,0,0,0,0,214,176,254,58,3,0,92,212,6,9,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0826,Tõstamaa,0,0,0,0,103,52,236,38,5,0,57,239,6,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0863,Varbla,0,0,0,0,173,34,135,22,1,0,22,100,13,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0930,Vändra,0,0,0,0,234,36,295,79,4,1,52,180,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0931,Vändra (alev),0,0,0,0,283,54,119,96,5,1,105,429,5,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0117,Ahja,0,0,0,0,148,115,42,10,2,0,99,92,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EE_0285,Kanepi,0,0,0,0,347,280,191,49,1,2,110,177,1,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0
EE_0354,Kõlleste,0,0,0,0,144,55,76,23,1,0,55,60,1,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
EE_0385,Laheda,0,0,0,0,139,319,48,20,0,2,26,64,6,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
EE_0465,Mikitamäe,0,0,0,0,381,32,46,26,0,21,35,77,7,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
EE_0473,Mooste,0,0,0,0,122,42,265,17,0,3,52,101,6,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
EE_0547,Orava,0,0,0,0,142,65,100,13,2,0,72,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0620,Põlva linn,0,0,0,0,855,305,479,132,16,13,420,624,21,6,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
EE_MA09,Põlva maakond,25409,14344,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0619,Põlva vald,0,0,0,0,491,258,365,51,4,4,156,491,12,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
EE_0707,Räpina vald,0,0,0,0,571,297,338,87,6,101,580,492,32,3,1,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0
EE_0856,Valgjärve,0,0,0,0,137,98,163,16,0,1,59,142,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
EE_0872,Vastse-Kuuste,0,0,0,0,147,82,68,24,0,0,71,121,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
EE_0879,Veriora,0,0,0,0,178,71,74,26,1,2,66,101,3,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
EE_0934,Värska,0,0,0,0,277,108,156,15,1,6,68,123,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
EE_0240,Juuru,0,0,0,0,151,31,68,34,1,0,85,172,5,2,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0
EE_0260,Järvakandi,0,0,0,0,198,67,31,25,2,4,66,288,18,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
EE_0277,Kaiu,0,0,0,0,76,19,387,13,4,0,42,148,18,2,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0
EE_0292,Kehtna,0,0,0,0,409,119,539,71,6,0,224,555,22,2,1,0,0,0,0,0,0,0,0,0,0,14,163,0,0,0,0
EE_0317,Kohila vald,0,0,0,0,604,165,274,127,6,25,326,687,48,27,1,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0
EE_0375,Käru,0,0,0,0,78,36,49,14,1,0,32,106,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0504,Märjamaa vald,0,0,0,0,893,155,441,171,4,2,499,793,36,11,4,0,0,0,0,0,0,0,0,0,0,5,17,2,0,0,0
EE_0654,Raikküla,0,0,0,0,205,28,139,41,2,2,96,184,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0
EE_MA10,Rapla maakond,28178,15797,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0669,Rapla vald,0,0,0,0,949,237,382,237,14,12,971,1418,48,16,1,0,0,0,0,0,0,0,0,0,0,1,79,4,0,0,0
EE_0884,Vigala,0,0,0,0,219,20,229,22,7,0,53,165,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EE_0270,Kaarma,0,0,0,0,422,32,338,105,13,0,204,398,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
EE_0301,Kihelkonna,0,0,0,0,168,12,112,22,2,0,59,80,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
