gisco_id,name,registered,turnout,invalid,blank,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,MI HAZÁNK MOZGALOM,MAGYAR KÉTFARKÚ KUTYA PÁRT,NORMÁLIS ÉLET PÁRTJA,MEGOLDÁS MOZGALOM,ORSZÁGOS LENGYEL ÖNKORMÁNYZAT,ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT,MAGYARORSZÁGI GÖRÖGÖK ORSZÁGOS ÖNKORMÁNYZATA,MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA,ORSZÁGOS HORVÁT ÖNKORMÁNYZAT,BOLGÁR ORSZÁGOS ÖNKORMÁNYZAT,ORSZÁGOS RUSZIN ÖNKORMÁNYZAT,UKRÁN ORSZÁGOS ÖNKORMÁNYZAT,ORSZÁGOS SZLOVÁK ÖNKORMÁNYZAT,SZERB ORSZÁGOS ÖNKORMÁNYZAT,MAGYARORSZÁGI ROMÁNOK ORSZÁGOS ÖNKORMÁNYZATA,ORSZÁGOS SZLOVÉN ÖNKORMÁNYZAT
HU_30076,Vatta,686,493,2,0,296,133,45,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0
HU_29151,Vágáshuta,80,52,0,0,32,14,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
HU_15149,Vámosújfalu,577,413,10,0,237,104,34,6,3,4,0,0,0,0,0,0,15,0,0,0,0,0
HU_11581,Vilmány,943,488,4,0,413,56,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_12982,Vilyvitány,207,133,1,0,94,25,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_05096,Viss,417,171,5,0,118,42,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_03957,Viszló,52,43,0,0,33,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_21087,Vizsoly,599,374,4,0,274,69,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_15617,Zalkod,166,109,2,0,72,32,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_03063,Zádorfalva,316,175,2,0,139,29,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_31608,Zemplénagárd,503,256,3,0,195,48,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_19275,Ziliz,296,191,7,0,104,54,22,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
