gisco_id,name,registered,turnout,invalid,blank,LEHET MÁS A POLITIKA,MSZP,"FIDESZ,KDNP",Jobbik,MDF,"MDF,SZDSZ",Független jelölt,ÖSSZEFOGÁS PÁRT,Független Kisgazdapárt,TORGYÁN-KISGAZDA-KOALÍCIÓ,MUNKÁSPÁRT,CIVILEK,MIÉP,Ind.,MSZDP,MCF ROMA ÖSSZEFOGÁS PÁRT,ZÖLD BALOLDAL,"FIDESZ,KDNP,Vállalkozók Pártja",SOMOGYÉRT,"ÖSSZEFOGÁS MEGYÉNKÉRT,MDF",MESZ
HU_2681,Vecsés,16004,10604,75,0,0,2081,5671,1663,301,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,0
HU_1834,Veresegyház,11548,8261,67,0,1069,1458,4245,1119,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3372,Verõce,2819,1971,11,0,181,284,1069,387,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2248,Verseg,1110,610,6,0,0,119,312,162,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2841,Visegrád,1448,1081,15,0,97,204,580,149,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1496,Zebegény,1029,734,2,0,39,145,417,115,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2503,Zsámbék,3905,2777,25,0,229,575,1642,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2203,Zsámbok,1946,1128,18,0,0,180,586,305,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3433,Csörög,1460,829,5,0,69,150,362,227,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3431,Remeteszőlős,488,379,0,0,76,61,205,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3439,Monorierdő,3313,1983,16,0,0,340,934,545,46,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0
HU_3418,Alsóbogát,219,153,2,0,3,81,57,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2871,Andocs,868,431,6,0,0,98,286,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0608,Ádánd,1776,922,16,0,0,127,577,170,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3047,Babócsa,1311,752,13,0,0,77,409,82,0,0,0,0,0,0,0,0,0,0,3,0,0,0,168,0,0
HU_1439,Bakháza,159,79,0,0,0,2,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
HU_2737,Balatonberény,931,594,4,0,18,123,296,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0
HU_3385,Balatonboglár,5058,3408,18,0,363,616,1909,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0
HU_1946,Balatonendréd,1125,722,11,0,0,76,539,70,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2072,Balatonfenyves,1803,1129,8,0,66,157,607,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
HU_0711,Balatonföldvár,2025,1412,20,0,135,332,731,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
HU_0737,Balatonkeresztúr,1394,895,11,0,40,89,430,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0
HU_3386,Balatonlelle,4250,2801,24,0,221,424,1686,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
HU_1456,Balatonmáriafürdõ,604,380,6,0,13,58,159,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0
HU_1191,Balatonõszöd,442,303,3,0,18,45,192,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
HU_1660,Balatonszabadi,2397,1442,17,0,0,225,844,302,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2490,Balatonszárszó,1814,1233,9,0,77,227,760,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
HU_2282,Balatonszemes,1496,1023,10,0,68,166,620,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
HU_2132,Balatonszentgyörgy,1306,838,12,0,40,178,435,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0
HU_1647,Balatonújlak,436,285,6,0,9,20,150,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0
HU_3279,Barcs,9241,5864,87,0,0,1276,3370,565,0,0,0,0,0,0,0,0,0,0,25,0,0,0,541,0,0
HU_3233,Baté,672,408,1,0,25,92,249,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
