gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,JOBBIK,MSZP-EGYÜTT-DK-PM-MLP,LMP,ZÖLDEK PÁRTJA,SEM,KTI,MUNKÁSPÁRT,SZOCIÁLDEMOKRATÁK,FÜGGETLEN KISGAZDAPÁRT,JESZ,EGYÜTT 2014,A HAZA NEM ELADÓ MOZGALOM PÁRT,SERES MÁRIA SZÖVETSÉGESEI,ÖSSZEFOGÁS,ÚDP,MCP,ÚMP
HU_34193,Kaszó,95,59,0,0,25,12,16,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0
HU_26888,Kazsok,238,108,2,0,75,12,14,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0
HU_06105,Kálmáncsa,485,220,2,0,130,55,25,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0
HU_05272,Kánya,367,157,9,0,102,29,11,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0
HU_05351,Kára,48,34,0,0,20,4,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_17446,Kelevíz,251,142,1,0,56,59,19,2,0,0,0,1,1,0,0,1,2,0,0,0,0,0
HU_14386,Kercseliget,321,145,2,0,72,46,19,0,0,2,0,1,1,0,0,0,1,0,0,0,1,0
HU_04598,Kereki,465,272,3,0,110,99,48,4,0,0,0,2,1,0,0,1,2,2,0,0,0,0
HU_11174,Kéthely,1753,1009,10,0,514,260,177,19,4,1,1,7,2,1,1,0,6,4,1,1,0,0
HU_19053,Kisasszond,148,88,0,0,47,17,15,4,1,0,0,0,0,0,1,1,0,0,0,0,2,0
HU_24387,Kisbajom,316,134,1,0,60,30,40,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
HU_24493,Kisbárapáti,345,182,0,0,95,46,32,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0
HU_30827,Kisberény,134,71,0,0,33,15,18,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
HU_04826,Kisgyalán,173,114,0,0,49,29,33,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
HU_13781,Kiskorpád,719,334,3,0,152,114,45,5,0,3,1,1,1,0,0,0,4,2,0,1,0,1
HU_09858,Komlósd,156,95,0,0,63,19,9,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
HU_18148,Kötcse,403,227,1,0,115,29,69,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_13745,Kőkút,438,133,6,0,77,14,27,0,2,0,0,2,0,1,0,0,1,0,0,1,2,0
HU_15510,Kőröshegy,1161,684,8,0,341,111,182,24,1,2,1,4,1,0,0,2,5,0,0,0,1,1
