gisco_id,name,registered,turnout,invalid,blank,SZDSZ-A MAGYAR LIBERÁLIS PÁRT,MIÉP-Jobbik,"FIDESZ,KDNP",MDF,MSZP,MUNKÁSPÁRT,CENTRUM,ZÖLDEK PÁRTJA,Független jelölt,SZOCIÁLDEMOKRATA PÁRT,MCF ROMA ÖSSZEFOGÁS PÁRT,ZÖLDEK SZÖVETSÉGE,MVPP,KERESZTÉNYDEMOKRATAPÁRT,MUNKÁSPÁRT 2006,FÜGGETLEN KISGAZDA NEMZETI E.P,FÜGGETLEN KISGAZDAPÁRT,"MSZP,SZDSZ-A MAGYAR LIBERÁLIS PÁRT","SZDSZ-A MAGYAR LIBERÁLIS PÁRT,MSZP",M NY P,"MDF,M NY P",LÉTALAP PÁRT,ÉLÕLÁNC,"MDF,FIDESZ,KDNP",SOMOGYÉRT,"MDF,ÖSSZEFOGÁS MEGYÉNKÉRT",MESZ
HU_0760,Bánfa,166,112,1,0,4,2,44,0,58,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2437,Bár,501,370,4,0,16,0,235,12,95,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1900,Belvárdgyula,348,222,3,0,10,0,72,19,90,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3192,Beremend,2223,1376,12,0,85,0,462,144,651,0,0,0,0,0,0,6,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1646,Berkesd,708,415,13,0,5,0,174,21,162,0,0,0,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3004,Besence,101,69,2,0,16,0,27,2,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1411,Bezedek,235,167,2,0,2,0,112,4,44,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1331,Bicsérd,808,533,7,0,25,5,191,21,282,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0489,Bikal,697,492,1,0,25,0,122,18,319,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_0513,Birján,392,267,5,0,6,0,106,26,120,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2492,Bisse,206,129,2,0,8,0,33,17,64,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2089,Boda,342,198,2,0,4,7,65,10,109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3300,Bodolyabér,225,119,2,0,1,0,51,5,52,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_3215,Bogád,732,486,4,0,14,0,197,37,221,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2189,Bogádmindszent,338,226,1,0,6,0,143,8,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1069,Bogdása,256,163,6,0,4,3,70,3,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1311,Boldogasszonyfa,384,255,3,0,11,24,100,7,107,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0672,Borjád,357,253,4,0,12,0,150,15,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1436,Bosta,103,78,2,0,3,0,21,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1336,Botykapeterd,269,169,4,0,7,4,70,4,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3315,Bóly,2970,2169,27,0,209,0,1148,105,664,9,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2316,Bükkösd,978,570,13,0,25,7,224,23,271,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0753,Bürüs,84,54,3,0,0,2,31,1,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3061,Csarnóta,116,77,1,0,1,0,40,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1990,Csányoszró,592,385,4,0,18,0,170,11,181,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2159,Csebény,86,52,0,0,4,3,14,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
