gisco_id,name,registered,turnout,invalid,blank,FÜGGETLEN KISGAZDAPÁRT,CENTRUM,MUNKÁSPÁRT,MSZP,SZDSZ,MIÉP,FIDESZ MDF,SZABAD DEMOKRATÁK SZÖVETSÉGE,FIDESZ-MDF,MAGYAR IGAZSÁG ÉS ÉLET PÁRJA,MAGYAR SZOCIALISTA PÁRT,REFORM KISGAZDAPÁRT,ÚJ-BAL,MAVEP,MAGYAR  SZOCIALISTA PÁRT,MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA,ÚJ BALOLDAL,RKGP,MRP,SZOCIÁLDEMOKRATA PÁRT,KISGAZDAPÁRT,ÚJ BAL
HU_2906,Nagyberény,1138,711,8,0,18,22,9,0,0,12,0,27,368,0,247,0,0,0,0,0,0,0,0,0,0,0
HU_2144,Nagyberki,1227,873,6,0,8,27,14,0,0,27,0,48,370,0,373,0,0,0,0,0,0,0,0,0,0,0
HU_2059,Nagycsepely,333,214,0,0,9,6,6,0,0,4,0,6,86,0,97,0,0,0,0,0,0,0,0,0,0,0
HU_3280,Nagykorpád,473,278,6,0,2,21,4,0,0,8,0,6,155,0,76,0,0,0,0,0,0,0,0,0,0,0
HU_2552,Nagyszakácsi,434,253,3,0,1,8,2,0,0,6,0,8,130,0,95,0,0,0,0,0,0,0,0,0,0,0
HU_1590,Nágocs,529,317,1,0,1,11,18,0,0,7,0,9,147,0,123,0,0,0,0,0,0,0,0,0,0,0
HU_0791,Nemesdéd,571,339,5,0,18,5,1,0,0,13,0,13,192,0,92,0,0,0,0,0,0,0,0,0,0,0
HU_2551,Nemeskisfalud,55,37,0,0,2,2,0,0,0,1,0,2,18,0,12,0,0,0,0,0,0,0,0,0,0,0
HU_1756,Nemesvid,668,399,12,0,9,3,5,0,0,18,0,70,171,0,111,0,0,0,0,0,0,0,0,0,0,0
HU_1095,Nikla,550,321,7,0,4,4,8,0,0,27,0,3,176,0,92,0,0,0,0,0,0,0,0,0,0,0
HU_0320,Nyim,261,168,1,0,3,5,6,0,0,3,0,5,61,0,84,0,0,0,0,0,0,0,0,0,0,0
HU_2453,Orci,430,336,7,0,1,3,2,0,0,8,0,14,123,0,178,0,0,0,0,0,0,0,0,0,0,0
HU_1682,Ordacsehi,672,457,1,0,7,13,7,0,0,13,0,23,209,0,184,0,0,0,0,0,0,0,0,0,0,0
HU_1977,Osztopán,667,410,4,0,5,4,22,0,0,5,0,10,195,0,165,0,0,0,0,0,0,0,0,0,0,0
HU_0705,Öreglak,1294,812,5,0,10,28,14,0,0,17,0,24,368,0,346,0,0,0,0,0,0,0,0,0,0,0
HU_3211,Ötvöskónyi,674,435,8,0,9,52,9,0,0,8,0,10,173,0,166,0,0,0,0,0,0,0,0,0,0,0
HU_1401,Õrtilos,509,359,7,0,4,7,5,0,0,18,0,13,225,0,80,0,0,0,0,0,0,0,0,0,0,0
HU_2639,Pamuk,207,113,1,0,0,0,7,0,0,1,0,3,39,0,62,0,0,0,0,0,0,0,0,0,0,0
HU_0614,Patalom,327,205,5,0,9,27,3,0,0,1,0,8,90,0,62,0,0,0,0,0,0,0,0,0,0,0
HU_1216,Patca,57,34,2,0,1,1,0,0,0,2,0,1,17,0,10,0,0,0,0,0,0,0,0,0,0,0
HU_1559,Patosfa,245,174,2,0,6,9,2,0,0,2,0,2,87,0,64,0,0,0,0,0,0,0,0,0,0,0
HU_3404,Pálmajor,184,119,3,0,0,3,1,0,0,0,0,5,96,0,11,0,0,0,0,0,0,0,0,0,0,0
HU_2919,Péterhida,169,118,0,0,1,8,0,0,0,2,0,1,62,0,44,0,0,0,0,0,0,0,0,0,0,0
HU_2755,Pogányszentpéter,369,226,1,0,0,2,11,0,0,5,0,5,94,0,108,0,0,0,0,0,0,0,0,0,0,0
HU_1379,Polány,191,115,1,0,1,4,1,0,0,6,0,4,58,0,40,0,0,0,0,0,0,0,0,0,0,0
HU_1182,Porrog,192,146,5,0,1,5,4,0,0,3,0,4,77,0,47,0,0,0,0,0,0,0,0,0,0,0
HU_1393,Porrogszentkirály,273,189,0,0,6,9,4,0,0,9,0,3,131,0,27,0,0,0,0,0,0,0,0,0,0,0
HU_2851,Porrogszentpál,87,68,0,0,3,3,1,0,0,2,0,1,46,0,12,0,0,0,0,0,0,0,0,0,0,0
HU_2836,Potony,230,147,3,0,0,8,0,0,0,9,0,2,91,0,34,0,0,0,0,0,0,0,0,0,0,0
HU_1902,Pusztakovácsi,662,426,6,0,7,8,14,0,0,4,0,7,207,0,173,0,0,0,0,0,0,0,0,0,0,0
HU_2331,Pusztaszemes,336,240,4,0,2,1,7,0,0,1,0,2,119,0,104,0,0,0,0,0,0,0,0,0,0,0
