gisco_id,id,name_or,level,start_date,end_date,predecessors,parent,names,type
AT_31899,AT_31899,Briefwahlkarten - Neunkirchen,,,,,AT122,,Postal Vote
AT_31999,AT_31999,Briefwahlkarten - Sankt Pölten(Land),,,,,AT123,,Postal Vote
AT_32099,AT_32099,Briefwahlkarten - Scheibbs,,,,,AT121,,Postal Vote
AT_32199,AT_32199,Briefwahlkarten - Tulln,,,,,AT126,,Postal Vote
AT_32299,AT_32299,Briefwahlkarten - Waidhofen an der Thaya,,,,,AT124,,Postal Vote
AT_32399,AT_32399,Briefwahlkarten - Wiener Neustadt(Land),,,,,AT122,,Postal Vote
AT_32499,AT_32499,Briefwahlkarten - Wien-Umgebung,,,,,AT127,,Postal Vote
AT_32599,AT_32599,Briefwahlkarten - Zwettl,,,,,AT124,,Postal Vote
AT_39999,AT_39999,Wahlkarten,,,,,AT124,,Postal Vote
AT_3A099,AT_3A099,Wahlkarten - Weinviertel,,,,,AT124,,Postal Vote
AT_3A999,AT_3A999,Wahlkarten,,,,,AT124,,Postal Vote
AT_3B099,AT_3B099,Wahlkarten - Waldviertel,,,,,AT124,,Postal Vote
AT_3B999,AT_3B999,Wahlkarten,,,,,AT124,,Postal Vote
AT_3C099,AT_3C099,Wahlkarten - Mostviertel,,,,,AT124,,Postal Vote
AT_3C999,AT_3C999,Wahlkarten,,,,,AT124,,Postal Vote
AT_3D099,AT_3D099,Wahlkarten - Niederösterreich Mitte,,,,,AT124,,Postal Vote
AT_3D999,AT_3D999,Wahlkarten,,,,,AT124,,Postal Vote
AT_3E099,AT_3E099,Wahlkarten - Niederösterreich Süd,,,,,AT124,,Postal Vote
AT_3E999,AT_3E999,Wahlkarten,,,,,AT124,,Postal Vote
AT_3F099,AT_3F099,Wahlkarten - Wien Umgebung,,,,,AT124,,Postal Vote
AT_3F999,AT_3F999,Wahlkarten,,,,,AT124,,Postal Vote
AT_3G099,AT_3G099,Wahlkarten - Süd-Ost,,,,,AT124,,Postal Vote
AT_3G999,AT_3G999,Wahlkarten,,,,,AT124,,Postal Vote
AT_40099,AT_40099,nichtzuordenbare Wahlkarten - Oberösterreich,,,,,AT311,,Postal Vote
AT_40199,AT_40199,Briefwahlkarten - Linz(Stadt,,,,,AT312,,Postal Vote
AT_40299,AT_40299,Briefwahlkarten - Steyr(Stadt),,,,,AT314,,Postal Vote
AT_40399,AT_40399,Briefwahlkarten - Wels(Stadt),,,,,AT312,,Postal Vote
AT_40499,AT_40499,Briefwahlkarten - Braunau am Inn,,,,,AT311,,Postal Vote
AT_40599,AT_40599,Briefwahlkarten - Eferding,,,,,AT312,,Postal Vote
