id,gisco_id,name_or,level,start_date,end_date,predecessors,parent,names
DE12,DE12,Karlsruhe,NUTS 2,,,,DE1,
DE13,DE13,Freiburg,NUTS 2,,,,DE1,
DE14,DE14,Tübingen,NUTS 2,,,,DE1,
DE21,DE21,Oberbayern,NUTS 2,,,,DE2,
DE22,DE22,Niederbayern,NUTS 2,,,,DE2,
DE23,DE23,Oberpfalz,NUTS 2,,,,DE2,
DE24,DE24,Oberfranken,NUTS 2,,,,DE2,
DE25,DE25,Mittelfranken,NUTS 2,,,,DE2,
DE26,DE26,Unterfranken,NUTS 2,,,,DE2,
DE27,DE27,Schwaben,NUTS 2,,,,DE2,
DE30,DE30,Berlin,NUTS 2,,,,DE3,
DE41,DE41,Brandenburg - Nordost,NUTS 2,,2012-01-01,,DE4,
DE42,DE42,Brandenburg - Südwest,NUTS 2,,2012-01-01,,DE4,
DE50,DE50,Bremen,NUTS 2,,,,DE5,
DE60,DE60,Hamburg,NUTS 2,,,,DE6,
DE71,DE71,Darmstadt,NUTS 2,,,,DE7,
DE72,DE72,Gießen,NUTS 2,,,,DE7,
DE73,DE73,Kassel,NUTS 2,,,,DE7,
DE80,DE80,Mecklenburg-Vorpommern,NUTS 2,,,,DE8,
DE91,DE91,Braunschweig,NUTS 2,,,,DE9,
DE92,DE92,Hannover,NUTS 2,,,,DE9,
DE93,DE93,Lüneburg,NUTS 2,,,,DE9,
DE94,DE94,Weser-Ems,NUTS 2,,,,DE9,
DEA1,DEA1,Düsseldorf,NUTS 2,,,,DEA,
DEA2,DEA2,Köln,NUTS 2,,,,DEA,
DEA3,DEA3,Münster,NUTS 2,,,,DEA,
DEA4,DEA4,Detmold,NUTS 2,,,,DEA,
DEA5,DEA5,Arnsberg,NUTS 2,,,,DEA,
DEB1,DEB1,Koblenz,NUTS 2,,,,DEB,
DEB2,DEB2,Trier,NUTS 2,,,,DEB,
DEB3,DEB3,Rheinhessen-Pfalz,NUTS 2,,,,DEB,
DEC0,DEC0,Saarland,NUTS 2,,,,DEC,
DED1,DED1,Chemnitz,NUTS 2,,2012-01-01,,DED,
DED2,DED2,Dresden,NUTS 2,,,,DED,
DED3,DED3,Leipzig,NUTS 2,,2012-01-01,,DED,
DEE1,DEE1,Dessau,NUTS 2,,2008-01-01,,DEE,
DEE2,DEE2,Halle,NUTS 2,,2008-01-01,,DEE,
DEE3,DEE3,Magdeburg,NUTS 2,,2008-01-01,,DEE,
DEF0,DEF0,Schleswig-Holstein,NUTS 2,,,,DEF,
DEG0,DEG0,Thüringen,NUTS 2,,,,DEG,
DK00,DK00,Danmark,NUTS 2,,2008-01-01,,DK0,
EE00,EE00,Eesti,NUTS 2,,,,EE0,
EL11,EL11,"Aνατολική Μακεδονία, Θράκη",NUTS 2,,2015-01-01,,EL1,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Anatoliki Makedonia, Thraki""}]"
EL12,EL12,Κεντρική Μακεδονία,NUTS 2,,2015-01-01,,EL1,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Kentriki Makedonia""}]"
EL13,EL13,Δυτική Μακεδονία,NUTS 2,,2015-01-01,,EL1,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Dytiki Makedonia""}]"
EL14,EL14,Thessalia,NUTS 2,,2015-01-01,,EL1,
EL21,EL21,Ήπειρος,NUTS 2,,2015-01-01,,EL2,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Ipeiros""}]"
EL22,EL22,Ιόνια Νησιά,NUTS 2,,2015-01-01,,EL2,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Ionia Nisia""}]"
EL23,EL23,Δυτική Ελλάδα,NUTS 2,,2015-01-01,,EL2,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Dytiki Ellada""}]"
EL24,EL24,Sterea Ellada,NUTS 2,,2015-01-01,,EL2,
EL25,EL25,Πελοπόννησος,NUTS 2,,2015-01-01,,EL2,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Peloponnisos""}]"
EL30,EL30,Aττική,NUTS 2,,,,EL3,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Attiki""}]"
EL41,EL41,Βόρειο Αιγαίο,NUTS 2,,,,EL4,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Voreio Aigaio""}]"
EL42,EL42,Notio Aigaio,NUTS 2,,,,EL4,
EL43,EL43,Κρήτη,NUTS 2,,,,EL4,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Kriti""}]"
ES11,ES11,Galicia,NUTS 2,,,,ES1,
ES12,ES12,Principado de Asturias,NUTS 2,,,,ES1,
ES13,ES13,Cantabria,NUTS 2,,,,ES1,
ES21,ES21,País Vasco,NUTS 2,,,,ES2,
ES22,ES22,Comunidad Foral de Navarra,NUTS 2,,,,ES2,
ES23,ES23,La Rioja,NUTS 2,,,,ES2,
ES24,ES24,Aragón,NUTS 2,,,,ES2,
ES30,ES30,Comunidad de Madrid,NUTS 2,,,,ES3,
ES41,ES41,Castilla y León,NUTS 2,,,,ES4,
ES42,ES42,Castilla-La Mancha,NUTS 2,,,,ES4,
ES43,ES43,Extremadura,NUTS 2,,,,ES4,
ES51,ES51,Cataluña,NUTS 2,,,,ES5,
ES52,ES52,Comunitat Valenciana,NUTS 2,,,,ES5,"[{""start_date"": """", ""end_date"": ""2021-01-01"", ""name"": ""Comunidad Valenciana""}]"
ES53,ES53,Illes Balears,NUTS 2,,,,ES5,
ES61,ES61,Andalucía,NUTS 2,,,,ES6,
ES62,ES62,Región de Murcia,NUTS 2,,,,ES6,
ES63,ES63,Ciudad de Ceuta,NUTS 2,,,,ES6,"[{""start_date"": """", ""end_date"": ""2021-01-01"", ""name"": ""Ciudad Autónoma de Ceuta""}]"
ES64,ES64,Ciudad de Melilla,NUTS 2,,,,ES6,"[{""start_date"": """", ""end_date"": ""2021-01-01"", ""name"": ""Ciudad Autónoma de Melilla""}]"
ES70,ES70,Canarias,NUTS 2,,,,ES7,
FI13,FI13,Itä-Suomi,NUTS 2,,2012-01-01,,FI1,
FI18,FI18,Etelä-Suomi,NUTS 2,,2012-01-01,,FI1,
FI19,FI19,Länsi-Suomi,NUTS 2,,,,FI1,
FI1A,FI1A,Pohjois-Suomi,NUTS 2,,2012-01-01,,FI1,
FI20,FI20,Åland,NUTS 2,,,,FI2,
FR10,FR10,Île de France,NUTS 2,,,,FR1,
FR21,FR21,Champagne-Ardenne,NUTS 2,,2019-01-01,,FR2,
FR22,FR22,Picardie,NUTS 2,,2019-01-01,,FR2,
FR23,FR23,Haute-Normandie,NUTS 2,,2019-01-01,,FR2,
FR24,FR24,Centre,NUTS 2,,2019-01-01,,FR2,
FR25,FR25,Basse-Normandie,NUTS 2,,2019-01-01,,FR2,
FR26,FR26,Bourgogne,NUTS 2,,2019-01-01,,FR2,
FR30,FR30,Nord - Pas-de-Calais,NUTS 2,,2019-01-01,,FR3,
FR41,FR41,Lorraine,NUTS 2,,2019-01-01,,FR4,
FR42,FR42,Alsace,NUTS 2,,2019-01-01,,FR4,
FR43,FR43,Franche-Comté,NUTS 2,,2019-01-01,,FR4,
FR51,FR51,Pays de la Loire,NUTS 2,,2019-01-01,,FR5,
FR52,FR52,Bretagne,NUTS 2,,2019-01-01,,FR5,
FR53,FR53,Poitou-Charentes,NUTS 2,,2019-01-01,,FR5,
FR61,FR61,Aquitaine,NUTS 2,,2019-01-01,,FR6,
FR62,FR62,Midi-Pyrénées,NUTS 2,,2019-01-01,,FR6,
FR63,FR63,Limousin,NUTS 2,,2019-01-01,,FR6,
FR71,FR71,Rhône-Alpes,NUTS 2,,2019-01-01,,FR7,
FR72,FR72,Auvergne,NUTS 2,,2019-01-01,,FR7,
FR81,FR81,Languedoc-Roussillon,NUTS 2,,2019-01-01,,FR8,
FR82,FR82,Provence-Alpes-Côte d'Azur,NUTS 2,,2019-01-01,,FR8,
FR83,FR83,Corse,NUTS 2,,2019-01-01,,FR8,
FR91,FR91,Guadeloupe,NUTS 2,,2015-01-01,,FR9,
FR92,FR92,Martinique,NUTS 2,,2015-01-01,,FR9,
FR93,FR93,Guyane,NUTS 2,,2015-01-01,,FR9,
FR94,FR94,Réunion,NUTS 2,,2015-01-01,,FR9,
HR01,HR01,Sjeverozapadna Hrvatska,NUTS 2,,2012-01-01,,HR0,
HR02,HR02,Središnja i Istočna (Panonska) Hrvatska,NUTS 2,,2012-01-01,,HR0,
HR03,HR03,Jadranska Hrvatska,NUTS 2,,,,HR0,
HU10,HU10,Közép-Magyarország,NUTS 2,,2019-01-01,,HU1,
HU21,HU21,Közép-Dunántúl,NUTS 2,,,,HU2,
HU22,HU22,Nyugat-Dunántúl,NUTS 2,,,,HU2,
HU23,HU23,Dél-Dunántúl,NUTS 2,,,,HU2,
HU31,HU31,Észak-Magyarország,NUTS 2,,,,HU3,
HU32,HU32,Észak-Alföld,NUTS 2,,,,HU3,
HU33,HU33,Dél-Alföld,NUTS 2,,,,HU3,
IE01,IE01,"Border, Midland and Western",NUTS 2,,2019-01-01,,IE0,
IE02,IE02,Southern and Eastern,NUTS 2,,2019-01-01,,IE0,
IS00,IS00,Ísland,NUTS 2,,,,IS0,
ITC1,ITC1,Piemonte,NUTS 2,,,,ITC,
ITC2,ITC2,Valle d'Aosta/Vallée d'Aoste,NUTS 2,,,,ITC,
ITC3,ITC3,Liguria,NUTS 2,,,,ITC,
ITC4,ITC4,Lombardia,NUTS 2,,,,ITC,
ITD1,ITD1,Provincia Autonoma Bolzano/Bozen,NUTS 2,,2012-01-01,,ITD,
ITD2,ITD2,Provincia Autonoma Trento,NUTS 2,,2012-01-01,,ITD,
ITD3,ITD3,Veneto,NUTS 2,,2012-01-01,,ITD,
ITD4,ITD4,Friuli-Venezia Giulia,NUTS 2,,2012-01-01,,ITD,
ITD5,ITD5,Emilia-Romagna,NUTS 2,,2012-01-01,,ITD,
ITE1,ITE1,Toscana,NUTS 2,,2012-01-01,,ITE,
ITE2,ITE2,Umbria,NUTS 2,,2012-01-01,,ITE,
ITE3,ITE3,Marche,NUTS 2,,2012-01-01,,ITE,
ITE4,ITE4,Lazio,NUTS 2,,2012-01-01,,ITE,
ITF1,ITF1,Abruzzo,NUTS 2,,,,ITF,
ITF2,ITF2,Molise,NUTS 2,,,,ITF,
ITF3,ITF3,Campania,NUTS 2,,,,ITF,
ITF4,ITF4,Puglia,NUTS 2,,,,ITF,
ITF5,ITF5,Basilicata,NUTS 2,,,,ITF,
ITF6,ITF6,Calabria,NUTS 2,,,,ITF,
ITG1,ITG1,Sicilia,NUTS 2,,,,ITG,
ITG2,ITG2,Sardegna,NUTS 2,,,,ITG,
LI00,LI00,Liechtenstein,NUTS 2,,,,LI0,
LT00,LT00,Lietuva,NUTS 2,,2019-01-01,,LT0,
LU00,LU00,Luxembourg,NUTS 2,,,,LU0,"[{""start_date"": """", ""end_date"": ""2012-01-01"", ""name"": ""Luxembourg (Grand-Duché)""}]"
LV00,LV00,Latvija,NUTS 2,,,,LV0,
MT00,MT00,Malta,NUTS 2,,,,MT0,
NL11,NL11,Groningen,NUTS 2,,,,NL1,
NL12,NL12,Friesland (NL),NUTS 2,,,,NL1,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Friesland""}]"
NL13,NL13,Drenthe,NUTS 2,,,,NL1,
NL21,NL21,Overijssel,NUTS 2,,,,NL2,
NL22,NL22,Gelderland,NUTS 2,,,,NL2,
NL23,NL23,Flevoland,NUTS 2,,,,NL2,
NL31,NL31,Utrecht,NUTS 2,,2024-01-01,,NL3,
NL32,NL32,Noord-Holland,NUTS 2,,,,NL3,
NL33,NL33,Zuid-Holland,NUTS 2,,2024-01-01,,NL3,
NL34,NL34,Zeeland,NUTS 2,,,,NL3,
NL41,NL41,Noord-Brabant,NUTS 2,,,,NL4,
NL42,NL42,Limburg (NL),NUTS 2,,,,NL4,
NO01,NO01,Oslo og Akershus,NUTS 2,,2021-01-01,,NO0,
NO02,NO02,Innlandet,NUTS 2,,,,NO0,"[{""start_date"": """", ""end_date"": ""2021-01-01"", ""name"": ""Hedmark og Oppland""}]"
NO03,NO03,Sør-Østlandet,NUTS 2,,2021-01-01,,NO0,
NO04,NO04,Agder og Rogaland,NUTS 2,,2021-01-01,,NO0,
NO05,NO05,Vestlandet,NUTS 2,,2021-01-01,,NO0,
NO06,NO06,Trøndelag/Trööndelage,NUTS 2,,,,NO0,"[{""start_date"": """", ""end_date"": ""2024-01-01"", ""name"": ""Trøndelag""}]"
NO07,NO07,Nord-Norge,NUTS 2,,,,NO0,
PL11,PL11,Łódzkie,NUTS 2,,2019-01-01,,PL1,
PL12,PL12,Mazowieckie,NUTS 2,,2019-01-01,,PL1,
PL21,PL21,Małopolskie,NUTS 2,,,,PL2,
PL22,PL22,Śląskie,NUTS 2,,,,PL2,
PL31,PL31,Lubelskie,NUTS 2,,2019-01-01,,PL3,
PL32,PL32,Podkarpackie,NUTS 2,,2019-01-01,,PL3,
PL33,PL33,Świętokrzyskie,NUTS 2,,2019-01-01,,PL3,
PL34,PL34,Podlaskie,NUTS 2,,2019-01-01,,PL3,
PL41,PL41,Wielkopolskie,NUTS 2,,,,PL4,
PL42,PL42,Zachodniopomorskie,NUTS 2,,,,PL4,
PL43,PL43,Lubuskie,NUTS 2,,,,PL4,
PL51,PL51,Dolnośląskie,NUTS 2,,,,PL5,
PL52,PL52,Opolskie,NUTS 2,,,,PL5,
PL61,PL61,Kujawsko-Pomorskie,NUTS 2,,,,PL6,
PL62,PL62,Warmińsko-Mazurskie,NUTS 2,,,,PL6,
PL63,PL63,Pomorskie,NUTS 2,,,,PL6,
PT11,PT11,Norte,NUTS 2,,,,PT1,
PT15,PT15,Algarve,NUTS 2,,,,PT1,
PT16,PT16,Centro (PT),NUTS 2,,2024-01-01,,PT1,"[{""start_date"": """", ""end_date"": ""2012-01-01"", ""name"": ""Centro (P)""}]"
PT17,PT17,Área Metropolitana de Lisboa,NUTS 2,,2024-01-01,,PT1,"[{""start_date"": """", ""end_date"": ""2015-01-01"", ""name"": ""Lisboa""}]"
PT18,PT18,Alentejo,NUTS 2,,2024-01-01,,PT1,
PT20,PT20,Região Autónoma dos Açores,NUTS 2,,,,PT2,
PT30,PT30,Região Autónoma da Madeira,NUTS 2,,,,PT3,
RO11,RO11,Nord-Vest,NUTS 2,,,,RO1,
RO12,RO12,Centru,NUTS 2,,,,RO1,
RO21,RO21,Nord-Est,NUTS 2,,,,RO2,
RO22,RO22,Sud-Est,NUTS 2,,,,RO2,
RO31,RO31,Sud - Muntenia,NUTS 2,,,,RO3,
RO32,RO32,Bucureşti - Ilfov,NUTS 2,,,,RO3,
RO41,RO41,Sud-Vest Oltenia,NUTS 2,,,,RO4,
RO42,RO42,Vest,NUTS 2,,,,RO4,
SE01,SE01,Stockholm,NUTS 2,,2008-01-01,,SE0,
SE02,SE02,Östra Mellansverige,NUTS 2,,2008-01-01,,SE0,
SE04,SE04,Sydsverige,NUTS 2,,2008-01-01,,SE0,
SE06,SE06,Norra Mellansverige,NUTS 2,,2008-01-01,,SE0,
SE07,SE07,Mellersta Norrland,NUTS 2,,2008-01-01,,SE0,
SE08,SE08,Övre Norrland,NUTS 2,,2008-01-01,,SE0,
SE09,SE09,Småland med öarna,NUTS 2,,2008-01-01,,SE0,
SE0A,SE0A,Västsverige,NUTS 2,,2008-01-01,,SE0,
SI00,SI00,Slovenija,NUTS 2,,2008-01-01,,SI0,
SK01,SK01,Bratislavský kraj,NUTS 2,,,,SK0,
SK02,SK02,Západné Slovensko,NUTS 2,,,,SK0,
SK03,SK03,Stredné Slovensko,NUTS 2,,,,SK0,
SK04,SK04,Východné Slovensko,NUTS 2,,,,SK0,
SE21,SE21,Småland med öarna,NUTS 2,2008-01-01,,SE09,SE2,
SE22,SE22,Sydsverige,NUTS 2,2008-01-01,,SE04,SE2,
SE32,SE32,Mellersta Norrland,NUTS 2,2008-01-01,,SE07,SE3,
SE31,SE31,Norra Mellansverige,NUTS 2,2008-01-01,,SE06,SE3,
SE12,SE12,Östra Mellansverige,NUTS 2,2008-01-01,,SE02,SE1,
SE33,SE33,Övre Norrland,NUTS 2,2008-01-01,,SE08,SE3,
SE11,SE11,Stockholm,NUTS 2,2008-01-01,,SE01,SE1,
DEE0,DEE0,Sachsen-Anhalt,NUTS 2,2008-01-01,,"DEE3,DEE2,DEE1",DEE,
SE23,SE23,Västsverige,NUTS 2,2008-01-01,,SE0A,SE2,
SI01,SI01,Vzhodna Slovenija,NUTS 2,2008-01-01,2015-01-01,SI00,SI0,
SI02,SI02,Zahodna Slovenija,NUTS 2,2008-01-01,2015-01-01,SI00,SI0,
DK04,DK04,Midtjylland,NUTS 2,2008-01-01,,DK00,DK0,
DK02,DK02,Sjælland,NUTS 2,2008-01-01,,,DK0,
DK03,DK03,Syddanmark,NUTS 2,2008-01-01,,DK00,DK0,
DK01,DK01,Hovedstaden,NUTS 2,2008-01-01,,,DK0,
DK05,DK05,Nordjylland,NUTS 2,2008-01-01,,,DK0,
ITH3,ITH3,Veneto,NUTS 2,2012-01-01,,ITD3,ITH,
HR04,HR04,Kontinentalna Hrvatska,NUTS 2,2012-01-01,2021-01-01,"HR02,HR01",HR0,
DED4,DED4,Chemnitz,NUTS 2,2012-01-01,,DED1,DED,
FI1B,FI1B,Helsinki-Uusimaa,NUTS 2,2012-01-01,,FI18,FI1,
DE40,DE40,Brandenburg,NUTS 2,2012-01-01,,"DE41,DE42",DE4,
DED5,DED5,Leipzig,NUTS 2,2012-01-01,,DED3,DED,
FI1C,FI1C,Etelä-Suomi,NUTS 2,2012-01-01,,FI18,FI1,
FI1D,FI1D,Pohjois- ja Itä-Suomi,NUTS 2,2012-01-01,,"FI1A,FI13",FI1,
ITH2,ITH2,Provincia Autonoma di Trento,NUTS 2,2012-01-01,,ITD2,ITH,
ITH5,ITH5,Emilia-Romagna,NUTS 2,2012-01-01,,ITD5,ITH,
ITI3,ITI3,Marche,NUTS 2,2012-01-01,,ITE3,ITI,
ITH4,ITH4,Friuli-Venezia Giulia,NUTS 2,2012-01-01,,ITD4,ITH,
ITI4,ITI4,Lazio,NUTS 2,2012-01-01,,ITE4,ITI,
ITI2,ITI2,Umbria,NUTS 2,2012-01-01,,ITE2,ITI,
ITH1,ITH1,Provincia Autonoma di Bolzano/Bozen,NUTS 2,2012-01-01,,ITD1,ITH,
ITI1,ITI1,Toscana,NUTS 2,2012-01-01,,ITE1,ITI,
FRA5,FRA5,Mayotte,NUTS 2,2015-01-01,2019-01-01,,FRA,
FRA2,FRA2,Martinique,NUTS 2,2015-01-01,2019-01-01,FR92,FRA,
EL53,EL53,Δυτική Μακεδονία,NUTS 2,2015-01-01,,EL13,EL5,
EL63,EL63,Δυτική Ελλάδα,NUTS 2,2015-01-01,,EL23,EL6,
EL64,EL64,Στερεά Ελλάδα,NUTS 2,2015-01-01,,EL24,EL6,
EL65,EL65,Πελοπόννησος,NUTS 2,2015-01-01,,EL25,EL6,
EL52,EL52,Κεντρική Μακεδονία,NUTS 2,2015-01-01,,EL12,EL5,
EL62,EL62,Ιόνια Νησιά,NUTS 2,2015-01-01,,EL22,EL6,
EL54,EL54,Ήπειρος,NUTS 2,2015-01-01,,EL21,EL5,
EL51,EL51,"Aνατολική Μακεδονία, Θράκη",NUTS 2,2015-01-01,,EL11,EL5,
FRA3,FRA3,Guyane,NUTS 2,2015-01-01,2019-01-01,FR93,FRA,
FRA1,FRA1,Guadeloupe,NUTS 2,2015-01-01,2019-01-01,FR91,FRA,
EL61,EL61,Θεσσαλία,NUTS 2,2015-01-01,,EL14,EL6,
FRA4,FRA4,La Réunion,NUTS 2,2015-01-01,2019-01-01,FR94,FRA,
SI03,SI03,Vzhodna Slovenija,NUTS 2,2015-01-01,,SI01,SI0,
SI04,SI04,Zahodna Slovenija,NUTS 2,2015-01-01,,SI02,SI0,
PL84,PL84,Podlaskie,NUTS 2,2019-01-01,,PL34,PL8,
PL81,PL81,Lubelskie,NUTS 2,2019-01-01,,PL31,PL8,
PL92,PL92,Mazowiecki regionalny,NUTS 2,2019-01-01,,PL12,PL9,
PL91,PL91,Warszawski stołeczny,NUTS 2,2019-01-01,,,PL9,
PL82,PL82,Podkarpackie,NUTS 2,2019-01-01,,PL32,PL8,
PL72,PL72,Świętokrzyskie,NUTS 2,2019-01-01,,PL33,PL7,
LT01,LT01,Sostinės regionas,NUTS 2,2019-01-01,,,LT0,
LT02,LT02,Vidurio ir vakarų Lietuvos regionas,NUTS 2,2019-01-01,,LT00,LT0,
PL71,PL71,Łódzkie,NUTS 2,2019-01-01,,PL11,PL7,
FRD1,FRD1,Basse-Normandie,NUTS 2,2019-01-01,,FR25,FRD,
FRL0,FRL0,Provence-Alpes-Côte d’Azur,NUTS 2,2019-01-01,,FR82,FRL,
FRJ1,FRJ1,Languedoc-Roussillon,NUTS 2,2019-01-01,,FR81,FRJ,
FRM0,FRM0,Corse,NUTS 2,2019-01-01,,FR83,FRM,
IE05,IE05,Southern,NUTS 2,2019-01-01,,IE02,IE0,
IE06,IE06,Eastern and Midland,NUTS 2,2019-01-01,,IE01,IE0,
FRE2,FRE2,Picardie,NUTS 2,2019-01-01,,FR22,FRE,
HU12,HU12,Pest,NUTS 2,2019-01-01,,HU10,HU1,
HU11,HU11,Budapest,NUTS 2,2019-01-01,,,HU1,
FRY4,FRY4,La Réunion,NUTS 2,2019-01-01,,FRA4,FRY,
FRF1,FRF1,Alsace,NUTS 2,2019-01-01,,FR42,FRF,
FRG0,FRG0,Pays de la Loire,NUTS 2,2019-01-01,,FR51,FRG,
FRK1,FRK1,Auvergne,NUTS 2,2019-01-01,,FR72,FRK,
FRC2,FRC2,Franche-Comté,NUTS 2,2019-01-01,,FR43,FRC,
FRK2,FRK2,Rhône-Alpes,NUTS 2,2019-01-01,,FR71,FRK,
IE04,IE04,Northern and Western,NUTS 2,2019-01-01,,IE01,IE0,
FRF2,FRF2,Champagne-Ardenne,NUTS 2,2019-01-01,,FR21,FRF,
FRY3,FRY3,Guyane,NUTS 2,2019-01-01,,FRA3,FRY,
FRD2,FRD2,Haute-Normandie,NUTS 2,2019-01-01,,FR23,FRD,
FRB0,FRB0,Centre - Val de Loire,NUTS 2,2019-01-01,,FR24,FRB,
FRC1,FRC1,Bourgogne,NUTS 2,2019-01-01,,FR26,FRC,
FRF3,FRF3,Lorraine,NUTS 2,2019-01-01,,FR41,FRF,
FRI3,FRI3,Poitou-Charentes,NUTS 2,2019-01-01,,FR53,FRI,
FRI1,FRI1,Aquitaine,NUTS 2,2019-01-01,,FR61,FRI,
FRH0,FRH0,Bretagne,NUTS 2,2019-01-01,,FR52,FRH,
FRJ2,FRJ2,Midi-Pyrénées,NUTS 2,2019-01-01,,FR62,FRJ,
FRY2,FRY2,Martinique,NUTS 2,2019-01-01,,FRA2,FRY,
FRE1,FRE1,Nord-Pas de Calais,NUTS 2,2019-01-01,,FR30,FRE,
FRY5,FRY5,Mayotte,NUTS 2,2019-01-01,,FRA5,FRY,
FRY1,FRY1,Guadeloupe,NUTS 2,2019-01-01,,FRA1,FRY,
FRI2,FRI2,Limousin,NUTS 2,2019-01-01,,FR63,FRI,
HR02(2021),HR02,Panonska Hrvatska,NUTS 2,2021-01-01,,HR04,HR0,
NO08,NO08,Oslo og Viken,NUTS 2,2021-01-01,,"NO01,NO03",NO0,
NO09,NO09,Agder og Sør-Østlandet,NUTS 2,2021-01-01,,"NO04,NO03",NO0,
NO0B,NO0B,Svalbard og Jan Mayen,NUTS 2,2021-01-01,,,NO0,"[{""start_date"": ""2021-01-01"", ""end_date"": ""2024-01-01"", ""name"": ""Jan Mayen and Svalbard""}]"
HR06,HR06,Sjeverna Hrvatska,NUTS 2,2021-01-01,,HR04,HR0,
HR05,HR05,Grad Zagreb,NUTS 2,2021-01-01,,,HR0,
NO0A,NO0A,Vestlandet,NUTS 2,2021-01-01,,"NO05,NO04",NO0,
