gisco_id,name,registered,turnout,invalid,blank,Abeceda,AMD,AM,ASH-DSŽ-SP-SUH,ABH,ABH-JH,A-HSS,DC,GR-MS,HRAST,HČSP,HDZ-HSP-BUZ,HRS,HSLS-HSS,HSP,HDSSB-HDSSD-Zeleni HR,HL,KLGB,NS-NSS,NSH,OS,PS,HB,SDP-HNS-HSU,SRP,HSU,ZNL,ZZ
HR_02950,Nijemci,4192,986,51,0,11,4,8,5,9,11,5,7,2,15,12,512,7,36,12,70,13,4,21,3,2,9,1,139,4,10,1,2
HR_02968,Obrovac,6111,708,36,0,10,4,6,9,4,2,1,4,4,9,5,315,5,11,9,8,31,8,18,2,4,0,5,182,4,5,0,7
HR_02976,Ogulin,11578,2432,159,0,23,4,31,19,22,12,8,12,20,29,13,1008,22,36,27,11,83,48,32,17,8,20,9,688,11,42,3,15
HR_02984,Promina,1055,277,14,0,2,0,2,2,0,0,0,0,0,2,1,164,2,9,30,1,2,2,0,0,0,0,0,35,2,5,0,2
HR_02992,Okucani,3778,987,41,0,13,5,8,3,11,6,9,3,0,14,2,535,5,122,9,24,20,6,6,1,5,3,2,122,3,5,1,3
HR_03000,Omis,13512,2861,187,0,18,18,58,12,13,22,5,16,20,87,34,1145,7,71,45,70,123,37,4,11,30,19,17,723,11,30,4,24
HR_03018,Omišalj,3126,610,21,0,3,2,18,6,0,2,2,4,6,22,1,117,3,13,20,3,51,47,2,3,5,10,4,229,2,8,0,6
HR_03026,Opatija,10865,2385,91,0,9,11,100,13,11,6,1,13,12,21,5,327,2,14,10,2,121,371,15,3,10,23,17,1082,14,43,0,38
HR_03034,Oprisavci,2144,467,32,0,2,4,8,4,2,6,2,1,4,3,1,173,3,60,10,29,15,5,2,4,4,5,2,79,3,3,0,1
HR_03042,Oprtalj / Portole,791,184,18,0,1,0,2,0,0,2,0,1,2,1,0,23,1,2,2,0,3,83,0,0,0,0,1,32,0,3,1,6
HR_03069,Opuzen,2648,721,64,0,6,1,9,4,0,24,12,2,0,14,2,312,1,26,3,1,9,16,1,2,2,2,3,191,1,11,1,1
HR_03077,Orahovica,4567,1154,53,0,7,3,16,7,15,9,2,1,2,6,1,434,3,35,24,97,44,5,6,1,4,6,8,342,4,11,1,7
HR_03085,Orebić,3752,859,27,0,3,4,15,12,3,8,3,9,6,16,4,311,7,25,13,8,29,22,2,1,2,4,13,287,5,10,0,10
HR_03093,Oriovac,5016,1258,85,0,7,10,15,19,7,18,4,8,4,10,11,469,8,107,10,116,32,5,4,3,8,9,4,257,4,17,1,6
HR_03107,Biskupija,2268,564,17,0,3,1,0,5,2,1,3,1,2,2,1,49,2,2,3,1,10,2,18,0,2,2,2,430,0,3,0,0
HR_03115,Oroslavje,5074,919,49,0,6,2,17,4,5,13,1,9,3,18,2,184,8,32,24,7,122,11,4,15,3,8,7,334,2,19,0,10
HR_03123,Osijek,93206,18593,771,0,76,61,292,143,122,71,57,153,57,495,85,3740,66,327,440,3913,960,252,145,58,88,165,64,5443,55,356,12,126
HR_03131,Otocac,8683,1782,90,0,16,7,25,16,6,10,4,9,8,32,8,936,12,39,52,5,69,25,6,9,6,10,15,326,4,21,2,14
