gisco_id,name,registered,turnout,invalid,blank,Abeceda,AMD-HSM,AM,ASH-SUH-SSU,A-HSS,A-HSP,BUZ-PGS-HRS,DLS,DSŽ,GR,HDZ-HGS,HDS-JH,HSS-ZS-SP,HSLS,HSP,HSP-HČSP,HL,HRAST,HKDU,NL [Neovisna lista],NH,OS,SDP-HNS-IDS-HSU,SPH,SRP,SHZ,VH,ZL,SP-A-HSS,DSRS,HDSS,HDZ,HSS,HSP-HS,HDSSB,JH,ZS (2004),Zeleni HR,HSZ,SDSS,ABH-JH,HES,HSLS-ZDS,MDS,Bešić,Bratić,Hodžić [Nedžad Hodžić],KLJUČ,Prljaskaj,Malići,Mitrevski,Prekpalaj [Nikolle Prekpalaj],Ružnić,Sulejmani,Tabaković,Tanković,DSBSB,UZARH,UAZŽ,UGANMP,SDA,HDZ-DC,H21,ZNL,ZZ,SNS-DPS,Cvetanović,Parić,Mikić,Milošević [Slobodan Milošević],Pupovac,Resan,Simić,Stanimirović,Tekić,Vuković,Ajduković,Džakula,USOBŽ,Rodić,SP-A-HSS-DPS,HDS,SDP-HNS-IDS,ČBK-MSJ,Danjek,Komak,Vojta,ČBK-MSJ-ČBS,SSRH,Jankovics,Šoja,SMU,ZDS,Bajrić,Balog [Bojan Balog],Balog [Željko Balog],Bogdan,ASH-SUH,Dedić,Filima,Gušani,Hasanović,Ignac,Ivanišević,Jelenić,Kajtazi,Kostelnik,Memedi [Nazif Memedi],Mešić [Alija Mešić],Metzinger,UZRIBŽR,Petter,Šajtoš,Tolj,Trischler,Zavacki,UZBRM,UROBŽ,UZRH,MRUHSB,KRUH,URH,HRDS,CPI EU,URZZŽ,Bejahad,UZRIBŽR-RUU,PKUFC,NNZ/DG,PKUMK,Radin,ASH-SUH-SSU-RI,RI-ASH-SUH,ISDNS,Ladonja,DSZ,AM-RI-SUH
HR_04421,Sveti Petar Orehovec,3810,1985,46,0,2,3,4,10,0,1,23,0,4,1,0,0,0,32,34,8,70,11,1,21,0,1,771,0,5,0,5,4,0,2,79,491,284,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_04430,Sestanovac,2184,1229,20,0,1,2,3,7,3,2,11,2,5,1,733,13,22,4,43,118,11,14,1,14,1,2,107,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_04448,Šibenik,44635,26948,467,0,44,0,116,99,68,47,479,2,82,0,7933,165,2,907,676,789,505,303,0,3131,0,48,9089,0,53,16,0,47,3,0,0,7,325,0,0,0,31,0,66,123,0,0,0,0,0,1,0,0,10,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,35,2,1,2,5,13,1,3,15,13,5,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HR_04456,Škabrnja,1639,943,5,0,0,0,1,2,0,4,8,0,6,0,634,12,0,21,31,38,9,4,0,5,0,1,131,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_04472,Šolta,2046,1250,31,0,1,5,15,10,4,7,35,3,8,2,233,11,27,15,14,37,36,3,1,11,0,2,509,1,1,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_04499,Spisic Bukovica,3781,2407,41,0,1,6,11,18,0,13,63,0,7,0,0,0,0,19,0,25,51,8,2,42,0,0,888,0,9,0,2,4,11,20,17,689,138,175,126,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_04502,Stefanje,1797,1082,19,0,1,4,6,10,0,2,19,0,4,2,0,0,0,45,53,11,42,2,1,12,0,0,383,0,1,0,1,0,0,1,9,319,94,0,0,0,1,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,1,3,1,0,2,1,2,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_04529,Strigova,2715,1482,23,0,1,3,5,18,8,0,14,0,3,0,0,0,0,0,18,4,253,13,6,8,2,0,827,0,2,1,0,1,0,0,14,179,21,0,0,0,2,0,1,0,6,1,19,23,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_04537,Tinjan,1452,928,18,0,4,1,0,0,0,0,12,0,0,0,0,0,5,9,4,8,20,2,1,20,0,0,478,0,4,1,1,1,2,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,18,244,2,0
HR_04545,Tisno,3264,1849,32,0,3,0,7,7,8,10,30,0,8,0,434,15,0,39,45,72,37,25,0,213,0,2,741,0,3,0,0,1,0,0,0,0,39,0,0,0,2,0,2,4,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
