gisco_id,name,registered,turnout,invalid,blank,DZMH,Kučera,HSS,SMU,ASH,LH,DSU-SN,HČSP-HKDU,HDRS,HDSS-HDC-DPS,HDZ,HGSS-HKDS,HNS-SBHS,HPS,HRZ,HSLS-DC,HSP,HSP1861,HSU,HB-HIP,HDS,HP (2005),HR,NL [Neovisna lista],Zec,POL-INS,SDP,SRP,DSRS,SHB,ZS-Zeleni-SND-SNA,Zeleni HR,Kuzhnini,ZAOBŽ,Reçica,SSDRH,Tabaković,SDA,Alijansa,HRS,HDS-HKDS-HGSS,HND,Levaković,SDP-LIBRA,DGS,HDSS,HNS,HPSS-1904,HSP-ZDS-MS,SDU,HES,HNS-PGS,HDS-HDRS,Pavlek,ZS-SNA-PGSU-Zeleni-SND,HDRS-HDS-JHS,HGSS,HKDS,HDD,HP (2000),KSU,Antić,Živković,Maslina,RUSNAK,RiU-Z,RiU-O,LS,TB-SU,NNZ/DG,Memedi [Nazif Memedi],KUD-V,NSNH,SRURH,Ukrajina-SB,SSRH,SBHS-PGS,LIBRA,DSU,HPS-HP,Adamović,SDP-LS,Bakula,SDSS,SNS,HSP-ZDS,ASH-JS,SDP-LIBRA-LS,SHP,DSZ,HGSS-HDS,Petter,PPS,ZSR,U.P.D.K.,Bognolo,FDI,Poropat,Radin,DAN,HČSP-HKDU-HDSS,Ciganović,SDP-IDS
HR_00221,Biograd na Moru,4866,3138,65,0,0,0,316,0,5,15,6,50,0,0,1352,0,0,7,6,72,117,9,66,3,0,0,3,12,0,4,578,20,0,4,18,9,0,0,0,0,0,0,0,3,0,0,0,0,1,0,235,0,0,0,0,0,0,0,0,21,12,8,9,5,7,81,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
HR_00230,Bizovac,4141,2790,80,0,0,0,253,0,0,9,16,22,0,38,965,0,101,12,6,154,197,27,217,42,0,2,1,10,0,3,0,14,53,6,0,11,0,0,0,0,0,0,11,7,19,24,3,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HR_00248,Bjelovar,36491,23454,527,0,1,2,1922,1,54,131,59,42,0,169,6220,0,0,45,76,5353,1142,166,750,117,0,23,13,29,0,23,0,179,0,25,65,63,3,0,1,2,0,2,31,18,0,26,0,4452,21,0,1195,32,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,165,162,0,0,0,0,94,78,20,47,16,10,0,0,0,0,0,0,0,0
HR_00256,Blato,3592,2429,64,0,0,0,171,0,0,0,7,14,0,0,1297,9,0,8,0,15,61,8,24,26,0,1,3,2,0,3,0,13,0,6,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,109,0,0,0,0,0,0,0,0,13,0,0,0,1,3,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00264,Bogdanovci,2223,1103,26,0,0,0,64,0,0,5,1,3,1,14,418,3,21,54,2,37,95,1,6,3,1,0,1,12,5,1,54,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,11,14,15,0,0,1,36,0,28,7,0,0,0,0,0,0,0,0,135,27,0,0,0,0,0,0,0,19,5,6,0,0,0,0,0,0,0,0
HR_00272,Bol,1480,1002,17,0,0,0,117,0,0,0,2,7,0,0,273,4,0,1,0,22,47,7,17,10,0,0,0,0,0,5,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,85,0,0,0,0,0,0,0,0,22,0,0,0,1,6,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00299,Borovo,5002,2214,71,0,0,0,3,2,5,232,0,2,2,2,89,1,20,0,1,2,8,1,11,1,3,0,0,4,2,3,49,10,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3322,444,0,0,0,0,0,0,0,432,54,35,0,0,0,0,0,0,0,0
HR_00302,Bosiljevo,1470,839,37,0,0,0,94,0,1,3,0,9,0,11,431,5,0,1,0,31,61,12,6,3,0,2,0,3,0,0,78,4,0,5,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,12,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00329,Bosnjaci,3901,2029,73,0,0,0,508,1,6,1,6,6,2,29,806,16,31,9,0,114,115,13,29,14,11,2,2,27,4,2,173,3,1,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HR_00337,Brckovljani,5469,3235,104,0,0,0,467,0,20,8,35,20,0,29,1104,0,0,14,4,63,268,36,192,37,0,4,5,4,0,4,0,9,0,16,12,16,0,0,0,0,0,0,6,6,0,9,0,556,5,0,115,7,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,4,0,0,0,0,19,14,2,3,0,0,0,0,0,0,0,0,0,0
