gisco_id,name,registered,turnout,invalid,blank,Radin,Zennaro,Akšamija,Avdić,Hodžić [Nedžad Hodžić],Prljaskaj,Mešić [Mirza Mešić],Morina,Srebreniković,Sulejmani,A-HSP,BM365-NS-R-NV-HSS-BUZ,HSP-HČSP-ABH-OS,HSP-HKDU-HDS-USP-DESNO,MOST,Pametno-Za grad,DSŽ,HDZ,HDSSB-HKS,HL,Dukić,NLSP-SH-PZ-ORaH,SDP-HNS-HSS-HSU,HSU,ŽZ-PH-AM,B-DH,BDSH,HBPS,HDZ-HSLS,HRS,HB,SMS,SRP,ŽZ-PH-AM-Abeceda,AM,HNS-HSU,HSR,Glasnović,IDS-PGS-RI,SHV,SRNA,DI,Zeleni,MDS,Knapić,ZS-SU,ŽZ-PH-AM-Abeceda-HDSS-MS,Ajduković,Horvat [Mile Horvat],Ljubojević,Milaković,Milošević [Boris Milošević],Pupovac,Radmanović,Jankovics,Juhas,ŽZ-PH-AM-HDSS-Abeceda,NLSP-SH-PZ-ORaH-SHZ-SU,ABUH,Bilek,Komak,HDZ-HDS,HSP1861,NLSP-SH-PZ-ORaH-SU,Ahmedi,Avdagić,Bosak [Robert Bosak],Hasanović,Ismailovski,Kajtazi,Kostić,Memedi [Orhan Memedi]
HR_00221,Biograd na Moru,5290,2848,45,0,0,0,0,0,0,17,0,0,0,0,16,34,13,32,308,32,0,1251,0,0,0,0,854,0,152,10,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00230,Bizovac,3852,1996,42,0,1,0,0,0,0,0,0,0,0,0,4,17,16,7,139,10,0,672,462,2,0,6,474,11,0,0,6,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00248,Bjelovar,33770,17129,268,0,0,0,0,0,0,30,0,0,0,2,39,725,98,118,1217,166,0,27,0,29,0,67,6815,93,2,0,0,18,6140,0,0,0,43,4,0,0,21,0,2,0,0,0,0,0,0,0,0,6,13,3,3,13,40,4,4,16,1081,0,0,15,1,1,0,0,0,2,3,0,0,36,0,0
HR_00256,Blato,3437,2035,53,0,0,0,0,0,0,0,0,0,0,0,10,12,21,6,175,35,0,1,0,0,0,0,553,0,0,6,0,1,0,0,0,0,15,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,12,7,0,0,0,0,0,0,0,0
HR_00264,Bogdanovci,1688,823,12,0,0,0,0,0,0,6,0,0,0,0,6,18,8,7,42,4,2,388,80,1,0,2,155,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,6,8,13,5,1,0,0,0,0,0,0,0,0,0,1,3,27,1,1,6,0,0
HR_00272,Bol,1592,918,14,0,0,0,0,0,0,0,0,0,0,1,1,8,6,1,105,47,0,0,0,0,0,0,322,0,0,6,0,2,0,0,0,0,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,6,4,0,0,0,0,0,0,0,0
HR_00299,Borovo,4234,1303,45,0,0,0,0,0,0,1,0,0,0,0,2,17,1,2,11,1,1,27,7,0,0,1,117,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,731,77,129,680,884,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00302,Bosiljevo,1133,611,17,0,0,0,0,0,0,0,0,0,0,0,4,17,7,2,16,1,2,274,0,1,0,4,221,4,0,0,0,0,0,3,0,0,0,36,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00329,Bosnjaci,3317,1445,34,0,0,0,0,0,0,0,0,0,0,0,6,64,8,20,80,12,6,702,103,4,3,8,327,7,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00337,Brckovljani,5896,2502,35,0,0,0,0,0,0,0,0,0,0,0,10,296,12,16,242,20,0,3,0,8,0,4,718,24,0,0,0,6,918,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,181,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HR_00345,Brdovec,9985,5284,106,0,0,0,0,0,0,6,5,0,1,0,19,293,20,20,463,100,0,0,0,8,0,22,2236,35,0,14,11,4,1464,7,7,26,13,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00353,Brestovac,3409,1767,43,0,0,0,0,0,0,0,0,0,0,0,5,75,8,12,122,5,5,904,67,6,1,4,404,3,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,1,5,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00361,Breznica,1811,830,18,0,0,0,0,0,0,0,0,0,0,0,2,69,4,1,65,5,0,271,0,3,0,4,316,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00370,Brinje,2816,1158,27,0,0,0,0,0,0,0,0,0,0,0,6,42,5,7,52,1,0,722,0,0,0,0,256,0,18,7,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00388,Brod Moravice,728,393,4,0,0,0,0,0,0,0,0,0,0,0,1,17,3,1,20,5,1,169,0,3,0,1,122,9,0,0,0,1,0,0,0,0,0,20,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HR_00396,Brodski Stupnik,2547,1198,29,0,0,0,0,0,0,0,0,0,0,0,9,54,8,27,97,4,10,524,66,3,2,0,283,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00400,Brtonigla - Verteneglio,1533,708,19,0,45,31,0,0,0,0,0,0,0,0,8,7,3,3,20,2,0,71,0,0,0,2,106,1,55,4,0,0,0,0,0,0,4,0,0,0,0,0,305,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00418,Budinscina,1963,787,14,0,0,0,0,0,0,0,0,0,0,0,3,36,1,1,34,6,0,267,0,2,0,5,349,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00426,Buje - Buie,4810,1941,45,0,144,60,0,0,0,6,7,0,1,4,8,19,9,4,102,11,0,264,0,6,0,10,528,8,156,2,0,0,0,0,0,0,12,1,0,0,0,0,481,0,0,40,3,0,0,0,0,3,2,2,1,2,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00434,Buzet,5191,2784,91,0,6,0,0,1,0,0,6,0,0,1,4,36,4,3,135,44,0,245,0,6,0,8,763,15,199,7,0,0,0,0,0,0,11,0,0,0,0,0,1128,0,0,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HR_00442,Cerna,3786,1784,56,0,0,0,0,0,0,0,0,0,0,0,10,39,8,15,127,11,10,853,94,2,4,8,424,10,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
