gisco_id,name,registered,turnout,invalid,blank,Abeceda,AM,A-HSP,DPS [Demokratska Prigorsko-Zagrebačka Stranka],DSŽ-HSN-ASBU,HDZ-HSS-HSP-BUZ-ZDS-HDS,HRS,HSR,HDSSB-ABH-A-HSS-HRAST-HSP-HZ-OS-ZZH,HL,MDS,NF-HSLS-PGS-RI,NS-NSS,Ðapić,ORaH,PS,HB,KLJUČ,SRH,SDP-HNS-IDS-HSU,SPH,SRP,SHZ,HSU,ZH-AMD-ZS
HR_00990,Duga Resa,9640,2724,92,0,15,20,17,7,16,1223,14,5,123,245,3,50,4,6,249,9,6,11,5,565,2,1,2,24,10
HR_01007,Dugi Rat,6310,1283,40,0,2,14,2,4,7,598,4,1,163,24,0,30,2,2,79,4,4,8,6,272,0,1,0,11,5
HR_01015,Dugo Selo,15659,3037,73,0,8,27,6,7,10,1357,13,6,301,87,4,82,3,22,291,12,4,9,5,681,1,0,6,12,10
HR_01023,Dvor,5394,993,41,0,8,12,4,8,3,223,2,0,15,6,4,10,8,4,12,0,4,5,4,604,3,3,2,6,2
HR_01031,Đakovo,23703,5199,122,0,25,37,7,13,30,2450,23,8,678,138,7,89,6,8,373,11,13,32,3,1074,2,4,5,27,14
HR_01040,Đelekovec,1314,242,8,0,0,2,3,1,4,105,1,0,9,14,1,1,1,0,18,0,1,0,1,66,1,0,0,4,1
HR_01058,Đulovac,2795,530,27,0,6,0,5,0,1,275,2,2,22,33,0,24,2,4,16,2,1,3,0,97,2,0,1,5,0
HR_01066,Đurđenovac,5656,1416,56,0,1,3,2,0,7,683,2,3,188,38,4,11,0,5,58,1,1,4,3,333,0,3,0,8,2
HR_01074,Đurđevac,6762,1313,40,0,5,8,9,2,10,367,10,14,96,57,0,27,3,5,158,8,1,18,33,409,3,4,0,18,8
HR_01082,Đurmanec,3476,1364,120,0,17,35,6,5,19,603,16,2,31,96,2,9,6,6,93,2,4,16,3,234,5,7,4,19,4
HR_01104,Erdut,6833,1080,42,0,8,7,3,2,5,276,3,2,153,26,3,6,10,5,56,1,0,3,5,448,1,2,1,7,5
HR_01112,Ernestinovo,1953,401,7,0,1,1,0,0,2,172,0,0,81,13,0,1,0,13,32,0,1,5,1,68,0,0,0,2,1
HR_01139,Ervenik,1317,462,25,0,2,0,1,1,0,1,2,0,1,3,1,0,2,1,1,0,0,1,0,418,0,1,0,1,0
HR_01147,Farkasevac,1449,345,9,0,8,2,2,0,3,169,4,2,19,9,2,4,0,0,44,0,1,1,1,55,1,0,0,8,1
HR_01155,Ferdinandovac,1448,292,8,0,0,2,1,1,2,158,4,1,26,2,0,0,0,0,14,0,0,0,0,71,2,0,0,0,0
HR_01163,Fericanci,1829,489,22,0,4,2,3,0,5,219,5,0,39,50,1,1,1,1,31,1,0,6,0,90,0,0,0,5,3
HR_01171,Fuzine,1447,346,8,0,0,4,1,3,1,56,5,1,11,17,0,8,0,0,43,5,6,2,2,153,1,4,1,5,9
HR_01180,Garcin,4135,1008,37,0,4,7,4,5,5,620,2,2,48,12,0,20,1,3,70,1,1,4,1,145,0,2,0,8,6
