gisco_id,name,registered,turnout,invalid,blank,AS,A-HSP,DA,DP,HDZ,HSGO,HSU,Ilčić,L9,JD,MOST-HS-HSP,Možemo!,OIP,HB,PZŽ,PHR,PIP,RF,Republika,Ričard,Skočak,SDP,SIP,UZ-SU-BUZ-DSU,ORaH
HR_03964,Slavonski Brod,48405,9006,145,0,19,14,5,724,3687,8,55,240,112,7,387,223,124,13,32,4,290,33,5,56,281,2456,25,49,12
HR_03972,Slavonski Samac,1665,311,7,0,0,2,0,22,146,1,2,2,2,0,8,1,10,0,0,0,10,0,0,2,17,73,1,2,3
HR_03999,Slivno,1650,498,10,0,1,0,1,39,283,1,3,5,20,0,39,2,1,0,2,0,7,1,1,13,3,65,0,1,0
HR_04006,Slunj,4048,901,5,0,4,2,0,73,463,1,9,2,57,1,22,15,23,1,2,0,25,2,2,17,32,139,1,3,0
HR_04022,Smokvica,769,236,3,0,0,0,0,22,114,0,2,1,0,0,12,0,0,0,0,0,5,1,0,3,3,66,1,2,1
HR_04057,Sokolovac,2422,543,10,0,4,4,0,26,294,1,0,1,16,1,11,4,1,0,1,0,7,0,0,1,30,126,4,1,0
HR_04065,Solin,21576,3512,50,0,13,7,5,449,1422,1,19,92,17,3,238,110,66,3,14,1,118,25,5,96,121,602,8,19,8
HR_04073,Sopje,1682,458,9,0,3,0,1,38,264,1,2,3,4,1,5,0,2,1,3,0,15,0,0,5,16,82,1,1,1
HR_04090,Split,140592,27523,376,0,49,32,95,2960,8519,19,119,531,302,45,1568,1246,415,19,97,16,812,225,23,515,834,8472,45,148,41
HR_04103,Sracinec,4060,888,19,0,3,1,0,30,123,1,6,26,355,5,20,15,8,1,4,0,23,7,2,2,27,197,3,8,2
HR_04111,Stankovci,1700,289,11,0,3,1,2,34,135,0,2,1,0,0,24,7,3,0,1,0,5,2,0,18,9,30,1,0,0
HR_04120,Stara Gradiska,993,227,4,0,2,2,0,13,107,0,2,0,10,1,8,4,8,0,0,0,13,1,0,0,6,43,0,3,0
HR_04138,Stari Grad,2646,634,18,0,4,3,6,40,240,2,3,5,2,1,34,31,9,1,1,0,7,1,0,15,16,189,0,4,2
HR_04146,Stari Jankovci,3317,507,11,0,2,2,0,100,244,1,3,8,25,0,9,7,8,0,0,0,19,1,0,1,21,38,3,2,2
HR_04154,Stari Mikanovci,2182,422,6,0,0,1,2,52,127,0,0,3,0,0,16,3,7,6,2,0,11,2,0,4,21,152,2,5,0
HR_04162,Starigrad,1830,403,11,0,1,0,0,40,220,1,3,1,4,0,11,13,6,1,0,0,12,0,0,6,10,59,0,2,2
HR_04189,Staro Petrovo Selo,4002,670,7,0,5,2,1,86,340,2,9,7,27,0,20,11,11,2,2,0,16,0,0,5,32,78,5,1,1
HR_04197,Ston,2059,474,9,0,0,1,4,55,204,0,1,6,7,0,40,7,9,0,0,0,15,4,0,11,9,87,1,2,2
HR_06068,Strahoninec,2347,445,5,0,1,1,1,15,74,2,3,3,66,0,15,25,3,1,1,0,15,2,0,3,23,181,1,2,2
HR_04219,Strizivojna,1918,264,2,0,1,0,0,28,159,0,1,9,0,0,7,1,3,0,0,0,3,0,0,2,15,29,2,2,0
HR_04227,Stubicke Toplice,2536,509,6,0,4,0,0,31,116,1,14,4,5,0,19,24,7,0,5,0,11,4,0,6,37,201,6,7,1
HR_05517,Stupnik,3298,594,7,0,2,0,1,85,163,2,4,15,2,0,31,28,5,0,0,0,32,7,3,2,39,157,2,1,6
HR_04243,Suhopolje,5132,1270,19,0,6,3,1,83,767,2,12,3,33,0,30,10,14,3,3,0,36,3,0,8,38,179,6,11,0
HR_04251,Sukosan,4184,867,14,0,4,0,2,84,445,1,4,4,5,2,45,14,12,2,0,0,25,3,0,32,28,137,2,2,0
HR_04260,Sunja,4194,814,23,0,6,1,4,69,399,2,2,4,25,1,23,15,3,1,1,1,18,2,0,8,35,158,5,7,1
HR_04278,Supetar,4083,931,11,0,1,2,1,44,312,0,2,4,2,15,28,22,3,1,3,0,28,9,1,23,27,383,3,3,3
HR_05924,Sutivan,1004,278,1,0,0,1,0,22,97,0,0,0,1,0,8,9,2,0,0,0,10,4,0,2,4,112,3,1,1
HR_04235,Sućuraj,450,183,2,0,2,0,1,8,65,0,3,2,1,0,4,3,1,1,1,0,3,1,0,6,1,76,0,2,0
HR_06076,Sveta Marija,1817,266,5,0,0,1,0,10,58,0,0,2,36,0,8,11,4,2,2,1,6,1,0,0,24,88,1,3,3
HR_04324,Sveta Nedelja,2527,585,7,0,2,1,0,2,37,1,3,9,348,0,5,18,3,0,6,0,9,8,1,3,25,93,2,2,0
HR_04367,Sveta Nedelja,16284,2919,27,0,13,3,2,306,842,5,13,38,25,2,133,224,58,4,11,4,107,17,5,27,188,821,15,22,7
HR_04286,Sveti Filip i Jakov,4108,880,12,0,5,7,1,82,499,2,3,5,5,0,46,17,14,2,1,2,19,3,1,26,17,105,1,3,2
HR_04383,Sveti Ilija,2840,593,6,0,4,1,0,16,234,1,1,13,12,0,21,25,6,0,4,0,30,3,0,4,30,167,2,10,3
HR_04294,Sveti Ivan Zelina,13377,2664,45,0,20,4,1,234,799,7,18,25,40,2,96,120,53,8,15,1,145,9,0,25,186,782,13,9,7
HR_04391,Sveti Ivan Zabno,3721,689,11,0,9,2,1,58,231,0,3,7,2,3,23,14,17,6,2,0,28,0,1,11,42,207,7,2,2
HR_04405,Sveti Juraj na Bregu,4419,636,12,0,1,2,0,21,113,1,4,4,105,0,12,30,5,1,3,0,22,4,0,5,38,237,4,9,3
HR_04308,Sveti Kriz Zacretje,4781,840,15,0,4,1,3,44,270,2,22,12,19,1,12,15,12,4,5,1,36,6,2,7,37,294,10,3,3
HR_04316,Sveti Lovrec,865,173,3,0,0,0,0,4,9,0,2,4,112,0,1,2,0,0,2,0,1,1,1,1,6,22,1,1,0
HR_04413,Sveti Martin na Muri,2242,311,6,0,1,0,0,2,81,0,6,17,38,0,8,8,4,0,1,0,4,4,0,2,13,104,2,10,0
HR_04421,Sveti Petar Orehovec,3321,547,9,0,6,0,0,38,257,12,3,8,1,0,18,14,4,2,4,0,18,5,1,4,28,107,5,2,1
HR_04332,Sveti Petar u Sumi,870,200,6,0,1,1,0,4,52,1,2,1,94,0,8,10,3,0,0,0,1,1,0,1,6,8,0,0,0
HR_04375,Sveti Đurđ,2830,425,11,0,5,0,0,16,91,2,2,18,19,3,17,14,2,1,4,0,17,2,0,8,39,151,1,2,0
HR_04359,Svetvincenat,1879,462,4,0,1,0,0,5,44,0,1,4,284,0,6,12,6,0,0,1,14,1,0,7,16,52,2,2,0
HR_06319,Tar-Vabriga - Torre-Abrega,2024,318,4,0,3,0,0,4,35,1,4,1,164,0,3,10,5,1,1,0,10,3,1,0,12,55,0,1,0
HR_04537,Tinjan,1373,296,4,0,2,1,2,3,29,0,0,5,151,0,8,12,3,0,3,0,3,4,1,3,10,48,3,0,1
HR_04545,Tisno,2838,704,15,0,4,3,0,46,194,0,7,15,4,1,24,35,22,1,3,0,18,3,1,31,13,255,3,3,3
HR_05754,Tkon,681,134,1,0,2,0,0,9,31,2,1,2,0,0,3,7,0,0,1,0,5,0,0,7,7,55,1,0,0
HR_04561,Tompojevci,1073,350,7,0,3,0,0,57,179,0,2,4,5,0,12,3,3,1,2,0,5,0,0,2,11,44,8,1,1
HR_04570,Topusko,2334,439,5,0,0,1,0,36,258,2,1,3,27,0,8,2,2,0,0,1,8,3,0,3,19,54,1,3,2
HR_04588,Tordinci,1594,392,7,0,0,0,0,32,218,2,2,7,24,0,11,2,3,1,1,1,8,0,0,6,16,50,0,1,0
HR_05576,Tounj,872,211,4,0,0,0,0,20,87,1,1,0,43,2,8,0,3,2,1,0,8,3,0,4,6,13,1,3,1
HR_04596,Tovarnik,1954,467,7,0,4,0,2,105,239,0,2,5,3,0,11,3,4,1,1,1,21,1,1,0,10,45,1,0,0
HR_06262,Tribunj,1513,332,1,0,1,0,6,28,109,0,1,16,1,1,14,17,1,0,2,0,13,1,0,7,8,104,0,0,1
HR_04600,Trilj,7746,1836,34,0,3,4,2,230,1140,1,14,10,5,2,91,13,25,0,2,0,24,3,0,30,24,166,8,2,3
HR_04618,Trnava,1216,201,5,0,4,1,0,37,79,0,1,2,4,0,5,3,0,2,0,1,5,0,0,3,10,37,0,2,0
HR_04626,Trnovec Bartolovecki,5629,825,15,0,3,1,1,36,227,2,8,20,32,0,18,27,9,0,4,1,28,4,0,6,67,300,3,13,0
HR_04634,Trogir,11944,2091,36,0,7,2,5,193,757,3,14,25,16,1,90,41,27,1,10,0,44,17,2,43,49,684,0,22,2
HR_06017,Trpanj,634,237,5,0,0,2,2,15,101,0,7,3,3,1,11,2,1,0,1,0,20,1,0,2,3,57,0,0,0
