gisco_id,name,registered,turnout,invalid,blank,A-HSP,Fokus,OIP,SIP,DA,DP,HDZ-HSLS-HDS-HNS,HSP-HB,JD,MOST-HS-HKS,Možemo!,RF,Ričard,SD-IDS-PGS-HL,SDP-Centar-HSS-DOSIP-NS-R-GLAS,SRP,UZ-SU-BUZ,IDS-PGS-UNIJA-ISU-NS-R,SDP-Centar-HSS-DOSIP,Crnogorac,Jeckov,Milaković,Pupovac,Šimpraga,AS,DP-PIP-DHSS,HSGO,MDS,Simunić,NPS,Horvat [Franjo Horvat],Kajtazi,Kralj,Bilek,Komak,AP,NS-R-PGS-IDS-UNIJA,SD-HL,DP-PIP-DHSS-ZL,Hodžić [Armin Hodžić],Prljaskaj,Šoipi,Tabaković,DP-PIP-BLOK,HB,PHR,Rogina,HDZ,Bilo,MOST,Dussich,Radin,HSP,SHZ,Jankovics
HR_00221,Biograd na Moru,5304,3276,105,0,9,23,48,20,0,275,1298,37,6,264,141,13,159,24,708,0,72,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,22,0,0,6,0,7,3,0,2,0,0,0,0,0,0,0,0,26,3,0
HR_00230,Bizovac,3427,2055,54,0,9,17,12,27,0,0,895,24,0,140,83,8,0,20,409,0,60,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0
HR_00248,Bjelovar,31270,19115,403,0,47,269,148,171,0,7,8101,82,1,1159,1019,133,1,183,4922,0,422,0,7,3,29,4,38,40,70,9,0,1,0,0,6,33,0,32,1,0,0,0,1759,2,45,12,0,2,0,0,0,0,0,0,1,0,0,0,15
HR_00256,Blato,3058,2159,66,0,5,6,11,7,4,93,1094,13,3,142,38,3,27,36,564,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00264,Bogdanovci,1352,757,21,0,3,2,3,8,0,194,279,5,0,92,7,3,0,0,97,0,2,0,0,2,12,4,8,9,1,0,0,0,0,0,2,3,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00272,Bol,1504,906,18,0,2,7,12,4,5,51,259,6,1,75,56,7,46,6,317,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00299,Borovo,2182,1368,77,0,2,0,0,3,0,20,31,1,1,3,8,8,0,1,72,0,7,0,0,135,975,147,934,897,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HR_00302,Bosiljevo,970,597,24,0,4,4,4,1,0,0,325,8,0,21,19,1,0,0,0,0,12,0,125,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00329,Bosnjaci,2916,1377,57,0,2,3,15,10,0,293,610,15,4,108,20,3,0,5,207,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00337,Brckovljani,5830,3038,92,0,10,110,66,33,0,0,1076,27,0,269,171,29,0,44,675,0,100,0,0,0,0,2,1,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,310,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00345,Brdovec,9809,6405,163,0,15,248,83,119,0,0,1619,41,0,599,735,49,0,35,1905,0,118,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,578,8,0,0,0,0,31,0,45,0,0,0,0,0,0,0,2
