gisco_id,name,registered,turnout,invalid,blank,I.Fem,CEUS,PSOE,ALTER,CXE,AR,Contigo,ADÑ,PACMA,SAIn,PCTE,FAC,PH,AxSÍ,PACT,MIEL,IzqEsp,PUM+J,MCR,Cs,JxCAT,Vox,IGRE,Volt,CV-EC,PP,Recortes Cero-LV-GVE,CEX-CREX-PR,CPE,PCPE-PCPC,Podemos-IU,Pirates,PCTC,PCTG,ELAK
ES_04058,Líjar,354,294,2,0,0,0,157,0,0,0,0,0,4,0,1,0,1,0,0,0,1,0,0,30,1,11,0,2,0,49,0,0,0,0,35,0,0,0,0
ES_04059,Lubrín,1105,818,11,8,0,1,551,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,48,1,26,0,1,0,145,0,0,1,0,21,0,0,0,0
ES_04060,Lucainena de las Torres,442,348,6,3,1,0,71,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,1,65,0,10,0,0,3,171,0,0,0,0,12,0,0,0,0
ES_04061,Lúcar,641,571,12,14,1,0,308,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,148,0,10,0,0,0,42,0,0,0,0,30,0,0,0,0
ES_04062,Macael,4455,3634,56,29,2,1,1505,0,3,1,1,0,25,1,0,2,0,5,2,1,1,0,0,270,1,176,0,5,5,1391,4,0,1,3,143,0,0,0,0
ES_04063,María,1070,747,12,6,0,0,261,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,61,0,65,0,3,1,301,0,0,0,0,29,1,0,0,0
ES_04064,Mojácar,3897,2527,27,29,7,3,810,0,2,2,3,0,24,0,2,1,0,1,4,1,1,0,1,259,3,146,0,5,7,990,4,0,3,4,184,4,0,0,0
ES_04065,Nacimiento,400,343,4,4,1,0,192,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,89,0,0,0,0,8,0,0,0,0
ES_04066,Níjar,14067,8957,180,80,6,0,3494,3,1,7,0,2,50,1,3,0,3,8,4,0,1,3,3,620,4,1383,2,28,6,2529,6,0,1,8,521,0,0,0,0
ES_04067,Ohanes,516,390,4,0,0,0,263,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,12,1,7,0,0,1,86,0,0,0,0,11,0,0,0,0
ES_04068,Olula de Castro,178,167,4,2,0,0,72,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,6,1,0,0,58,1,0,0,0,8,0,0,0,0
ES_04069,Olula del Río,4770,3601,84,56,9,0,1458,0,1,6,1,2,36,0,2,0,1,4,5,0,0,3,0,334,0,235,1,3,4,1160,5,1,0,2,187,1,0,0,0
ES_04070,Oria,1792,1371,32,10,1,1,555,0,1,0,1,1,14,0,0,0,1,0,0,0,0,2,0,96,0,135,0,4,3,461,0,1,0,0,52,0,0,0,0
ES_04071,Padules,368,317,3,4,0,0,194,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,12,0,0,0,75,0,0,0,0,14,0,0,0,0
ES_04072,Partaloa,736,266,3,5,0,0,102,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,24,0,22,0,0,0,92,0,0,0,0,11,0,0,0,0
ES_04073,Paterna del Río,337,261,2,1,0,0,130,0,0,2,1,0,5,0,0,0,0,3,0,0,0,0,0,27,0,22,0,0,0,63,0,0,0,0,5,0,0,0,0
ES_04074,Pechina,2932,1920,30,34,4,0,900,0,0,0,0,1,26,0,0,1,1,0,2,0,0,1,0,155,1,154,0,5,0,467,3,0,4,3,128,0,0,0,0
