gisco_id,name,registered,turnout,invalid,blank,IzqEsp,CEUS,FO,AR,PSOE,Andalucistas,IE,Vox,PP,EB,CRT,Podemos,PFAC,PCTE,PCPE-PCPC,Sumar,PACMA,Cree en Europa,PMR,SALF,F,Existe,Cs,FE-JONS,SAE,JUEX,PH,Volt,Recortes Cero,Junts UE,PREx-CREx,GLG,Piratas/Rebeldes,PREPAL,PCTC,PMR-RV-VN
ES_17116,Osor,355,175,2,4,0,0,0,44,20,0,0,4,6,1,0,3,0,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,83,0,0,0,0,0,0
ES_17117,Palafrugell,15250,5561,41,28,1,4,22,751,1729,3,5,406,566,3,1,136,6,0,6,155,77,3,4,122,0,1,25,1,0,2,1,10,0,1433,0,0,7,1,11,0
ES_17118,Palamós,13573,5281,27,33,6,3,4,809,1378,0,15,311,564,3,4,133,11,0,11,125,81,0,2,137,4,2,18,1,0,11,3,4,4,1535,1,1,17,2,21,0
ES_17119,Palau de Santa Eulàlia,100,59,0,0,0,0,0,18,6,0,0,2,2,0,2,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0
ES_17120,Palau-saverdera,975,386,0,5,0,0,0,66,62,0,0,43,41,1,0,12,3,0,0,5,7,0,0,10,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0
ES_17121,Palau-sator,233,104,0,0,0,1,0,20,9,0,1,3,5,0,0,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,57,0,0,1,0,0,0
ES_17123,Palol de Revardit,362,190,0,0,0,0,0,34,23,0,1,2,4,0,0,4,2,0,0,5,3,0,1,1,0,0,0,0,0,0,0,0,0,108,0,0,0,0,2,0
ES_17124,Pals,1777,750,11,10,0,6,0,112,144,0,0,26,45,0,0,12,1,0,1,23,7,2,2,11,0,0,1,0,1,1,0,4,0,329,0,0,1,0,0,0
ES_17125,Pardines,131,64,1,0,0,0,0,13,3,0,0,0,2,0,0,5,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,35,0,0,1,0,0,0
ES_17126,Parlavà,341,184,1,2,0,0,0,40,24,0,0,3,3,0,0,9,1,0,0,1,2,0,0,3,0,0,2,0,0,0,0,0,0,93,0,0,0,0,0,0
ES_17128,Pau,396,183,3,2,0,0,2,36,29,0,0,13,15,1,0,7,1,0,0,5,1,0,1,1,0,0,1,0,0,0,0,0,0,63,0,0,2,0,0,0
ES_17129,Pedret i Marzà,137,70,0,1,0,0,0,12,8,0,0,9,10,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,22,0,0,1,0,0,0
ES_17130,"Pera, La",345,173,1,1,0,0,0,32,20,0,0,4,3,0,0,6,0,0,0,10,2,0,0,1,0,0,0,0,0,0,1,0,0,92,0,0,0,0,0,0
ES_17132,Peralada,1484,651,3,6,0,2,3,114,120,0,2,45,40,0,0,9,0,0,0,9,7,0,3,19,0,0,2,1,0,0,0,0,0,264,0,0,2,0,0,0
ES_17133,"Planes dHostoles, Les",1326,607,8,8,0,1,3,78,83,1,1,16,14,0,0,17,1,0,0,11,7,0,0,4,0,0,2,0,1,1,0,0,0,350,0,0,0,0,0,0
ES_17134,Planoles,241,125,0,1,0,0,0,25,22,0,0,2,3,0,0,5,1,0,3,7,2,0,0,2,0,1,1,0,0,1,0,0,0,47,0,0,2,0,0,0
ES_17135,Pont de Molins,446,203,1,5,0,0,0,44,36,0,1,17,22,0,0,4,1,0,0,8,0,0,0,7,0,0,0,0,0,1,0,1,0,52,0,1,0,0,2,0
