gisco_id,name,registered,turnout,invalid,blank,Maldeikienė,Radžvilas,TTS,DP,LLS,LVŽS,LSDP,LRLS,LŽP,LCP,TS-LKD,LSDDP,Paksas,Lemiamas šuolis,LLRA,SLVE
LT_66,Panevėžio rajono savivaldybė,32515,16667,862,0,918,378,334,1918,191,2876,2945,810,415,920,2844,418,459,161,52,166
LT_LTZZ99,Pasaulio lietuvių,62525,40783,1460,0,5454,1287,737,1454,1165,2447,3719,4612,1560,1952,11746,488,1166,402,409,725
LT_67,Pasvalio rajono savivaldybė,21658,11169,609,0,466,262,445,1332,81,1910,2174,289,267,481,1979,337,295,67,49,126
LT_68,Plungės rajono savivaldybė,29838,14481,890,0,725,464,544,1345,152,2392,2416,957,366,858,2090,299,626,135,37,185
LT_69,Prienų rajono savivaldybė,23599,11798,771,0,523,293,731,890,144,1492,2497,359,228,693,1724,843,291,128,40,151
LT_71,Radviliškio rajono savivaldybė,31487,14801,904,0,584,579,407,1821,101,2764,2846,570,308,658,2049,404,509,77,69,151
LT_72,Raseinių rajono savivaldybė,28810,14405,919,0,511,310,594,1919,87,2552,2938,450,432,713,1960,338,362,110,38,172
LT_74,Rietavo savivaldybė,6769,3352,201,0,129,105,254,347,25,511,591,220,60,193,466,69,127,20,3,31
LT_73,Rokiškio rajono savivaldybė,26820,14310,834,0,725,295,662,1712,381,1743,2888,456,276,700,2267,442,542,99,73,215
LT_75,Skuodo rajono savivaldybė,15823,7394,493,0,422,185,230,781,53,1445,1107,270,236,362,1059,177,369,85,14,106
LT_77,Tauragės rajono savivaldybė,34855,16999,1245,0,634,401,562,1279,191,2431,3634,1145,417,1274,2536,444,423,124,38,221
LT_78,Telšių rajono savivaldybė,36265,17090,898,0,809,548,825,2142,100,2849,2937,642,379,1002,1920,445,1046,126,51,371
LT_79,Trakų rajono savivaldybė,28361,13861,745,0,638,296,193,1568,231,1307,1517,1018,235,658,1683,320,872,292,2170,118
LT_81,Ukmergės rajono savivaldybė,31242,15899,930,0,841,393,305,2426,191,2476,2895,579,298,886,2417,367,459,133,99,204
LT_82,Utenos rajono savivaldybė,34428,18868,1112,0,966,513,336,1585,227,2498,4243,923,501,981,3466,485,480,153,72,327
LT_38,Varėnos rajono savivaldybė,20465,10729,775,0,549,308,252,981,182,1241,2149,521,244,641,1724,306,334,91,100,331
LT_39,Vilkaviškio rajono savivaldybė,32448,15735,1109,0,612,448,285,1325,105,2136,4522,566,416,1025,1835,569,424,142,49,167
LT_13,Vilniaus miesto savivaldybė,434954,252072,8825,0,19814,10035,3201,16933,10577,14355,25666,20270,4307,7719,65635,4145,11427,2985,23563,2615
LT_41,Vilniaus rajono savivaldybė,82417,47634,1471,0,1632,758,572,3618,962,1914,3074,1893,572,952,5461,603,3251,339,20219,343
LT_30,Visagino savivaldybė,16808,5854,204,0,112,50,183,654,88,841,416,75,75,76,214,61,1282,18,1454,51
LT_43,Zarasų rajono savivaldybė,14685,7305,397,0,264,174,177,1088,82,1115,1372,393,174,255,886,194,330,49,280,75
LT_84,Šakių rajono savivaldybė,25246,13171,912,0,503,281,272,1246,81,2100,2872,356,345,718,2391,367,387,87,43,210
LT_85,Šalčininkų rajono savivaldybė,27337,15236,640,0,159,56,160,1191,112,347,449,74,95,151,273,136,1534,35,9764,60
LT_29,Šiaulių miesto savivaldybė,83696,45899,2845,0,3021,1553,1005,3659,522,7192,7824,3908,978,2905,6520,978,1551,419,334,685
LT_91,Šiaulių rajono savivaldybė,36198,17891,1038,0,857,441,393,1682,151,4530,2904,1100,466,886,2079,410,594,133,50,177
LT_87,Šilalės rajono savivaldybė,20331,9960,683,0,319,166,2557,677,96,1101,1429,240,171,384,1511,226,242,48,21,89
LT_88,Šilutės rajono savivaldybė,35626,16772,1275,0,709,359,2061,1447,122,2657,2558,734,442,808,2431,398,403,145,62,161
LT_89,Širvintų rajono savivaldybė,14192,7315,455,0,326,334,115,798,124,811,984,265,135,324,893,1005,211,97,328,110
LT_86,Švenčionių rajono savivaldybė,21682,10708,661,0,389,156,198,1401,493,1484,1215,288,290,326,968,226,1014,66,1420,113
