gisco_id,name,registered,turnout,invalid,blank,ÖVP,SPÖ,FPÖ,NEOS,JETZT,GRÜNE,KPÖ,WANDL,BZÖ,BIER,CPÖ,GILT,SLP
AT_10901,Bad Tatzmannsdorf,1270,831,15,0,324,184,178,46,9,72,1,0,0,0,2,0,0
AT_10902,Bernstein,1780,1243,20,0,423,489,207,37,3,61,2,1,0,0,0,0,0
AT_10903,Deutsch Schützen-Eisenberg,949,742,15,0,373,129,144,32,12,32,3,0,0,0,2,0,0
AT_10904,Grafenschachen,1051,809,23,0,247,299,188,22,2,25,2,1,0,0,0,0,0
AT_10905,Großpetersdorf,2881,1897,27,0,638,698,311,66,25,121,4,3,0,0,4,0,0
AT_10906,Hannersdorf,627,447,5,0,197,158,59,8,4,13,1,1,0,0,1,0,0
AT_10907,Kemeten,1236,876,9,0,217,286,258,40,15,47,4,0,0,0,0,0,0
AT_10908,Kohfidisch,1193,894,21,0,353,279,173,21,6,37,2,2,0,0,0,0,0
AT_10909,Litzelsdorf,951,691,11,0,215,169,202,20,4,65,4,1,0,0,0,0,0
AT_10910,Loipersdorf-Kitzladen,1051,839,16,0,300,252,210,15,10,34,1,1,0,0,0,0,0
AT_10911,Mariasdorf,990,708,10,0,238,193,182,21,10,49,2,3,0,0,0,0,0
AT_10912,Markt Allhau,1505,1117,17,0,384,293,243,68,14,93,3,0,0,0,2,0,0
AT_10913,Markt Neuhodis,554,412,4,0,177,154,54,5,4,10,3,0,0,0,1,0,0
AT_10914,Mischendorf,1342,1022,18,0,429,360,136,39,7,29,3,1,0,0,0,0,0
AT_10915,Oberdorf im Burgenland,849,644,14,0,222,237,127,14,7,22,0,0,0,0,1,0,0
AT_10916,Oberschützen,1891,1295,16,0,476,282,306,50,26,133,2,1,0,0,3,0,0
AT_10917,Oberwart,5653,3515,40,0,1220,991,708,172,37,320,12,7,0,0,8,0,0
AT_10918,Pinkafeld,4503,2873,49,0,858,706,787,140,33,268,15,9,0,0,8,0,0
AT_10919,Rechnitz,2409,1607,26,0,548,538,360,51,19,59,1,5,0,0,0,0,0
AT_10920,Riedlingsdorf,1334,912,23,0,190,295,288,33,13,65,2,3,0,0,0,0,0
AT_10921,Rotenturm an der Pinka,1153,887,12,0,316,352,121,20,12,45,5,4,0,0,0,0,0
AT_10922,Schachendorf,547,405,6,0,193,94,61,11,6,31,0,2,0,0,1,0,0
AT_10923,Stadtschlaining,1629,1117,16,0,408,389,221,25,10,42,4,2,0,0,0,0,0
AT_10924,Unterkohlstätten,830,661,6,0,271,265,83,13,6,17,0,0,0,0,0,0,0
AT_10925,Unterwart,673,478,6,0,209,136,88,10,5,23,0,0,0,0,1,0,0
AT_10926,Weiden bei Rechnitz,685,540,5,0,230,132,109,13,6,38,4,2,0,0,1,0,0
AT_10927,Wiesfleck,958,702,7,0,293,162,186,18,5,27,4,0,0,0,0,0,0
AT_10928,Wolfau,1116,798,10,0,296,205,188,27,11,53,3,5,0,0,0,0,0
AT_10929,Neustift an der Lafnitz,653,493,8,0,166,169,103,22,2,19,3,1,0,0,0,0,0
AT_10930,Jabing,590,457,7,0,170,141,79,27,5,24,4,0,0,0,0,0,0
AT_10931,Badersdorf,243,193,4,0,97,48,34,3,3,4,0,0,0,0,0,0,0
AT_10932,Schandorf,208,152,2,0,63,56,20,3,1,6,0,1,0,0,0,0,0
AT_10999,Wahlkarten - Oberwart,0,4318,38,0,1431,1215,687,289,60,551,25,17,0,0,5,0,0
AT_1A099,Wahlkarten - Burgenland Nord,0,359,1,0,86,58,57,44,14,87,7,4,0,0,1,0,0
AT_1B099,Wahlkarten - Burgenland Süd,0,359,5,0,86,56,59,39,12,98,1,2,0,0,1,0,0
AT_20099,Wahlkarten - Kärnten (ungültig nicht zuordenbar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_20101,Klagenfurt am Wörthersee,73873,43331,649,0,13677,10596,7166,3574,1120,5869,323,217,140,0,0,0,0
AT_20199,Wahlkarten - Klagenfurt Stadt,0,8347,52,0,2558,1960,889,994,178,1605,44,59,8,0,0,0,0
AT_20201,Villach,44596,27169,423,0,8254,7819,5010,1944,584,2735,190,163,47,0,0,0,0
AT_20299,Wahlkarten - Villach Stadt,0,4088,23,0,1196,1058,484,441,71,757,24,30,4,0,0,0,0
AT_20302,Dellach,1027,663,19,0,329,141,111,27,2,31,2,0,1,0,0,0,0
AT_20305,Hermagor-Pressegger See,5457,3452,60,0,1290,989,612,209,39,220,14,10,9,0,0,0,0
AT_20306,Kirchbach,2109,1401,23,0,640,272,283,76,16,81,6,4,0,0,0,0,0
AT_20307,Kötschach-Mauthen,2718,1666,57,0,792,375,234,84,18,90,8,6,2,0,0,0,0
AT_20316,Sankt Stefan im Gailtal,1304,868,25,0,370,257,133,24,8,43,2,5,1,0,0,0,0
AT_20320,Gitschtal,974,660,10,0,234,165,170,26,8,42,0,4,1,0,0,0,0
AT_20321,Lesachtal,1080,737,14,0,474,113,62,30,6,37,1,0,0,0,0,0,0
AT_20399,Wahlkarten - Hermagor,0,2074,17,0,749,541,318,194,22,221,2,8,2,0,0,0,0
AT_20402,Ebenthal in Kärnten,6359,4020,57,0,1276,1219,858,229,71,256,24,5,25,0,0,0,0
AT_20403,Feistritz im Rosental,1949,1143,24,0,347,393,182,46,15,120,9,3,4,0,0,0,0
AT_20405,Ferlach,5473,3363,79,0,1000,1112,647,185,54,255,19,8,4,0,0,0,0
AT_20409,Grafenstein,2327,1450,43,0,621,277,271,81,14,82,5,8,48,0,0,0,0
AT_20412,Keutschach am See,1967,1123,14,0,423,279,150,87,25,131,1,9,4,0,0,0,0
AT_20414,Köttmannsdorf,2380,1556,29,0,549,381,280,104,22,168,3,12,8,0,0,0,0
AT_20415,Krumpendorf am Wörther See,2625,1542,15,0,564,296,216,187,24,224,8,4,4,0,0,0,0
AT_20416,Ludmannsdorf,1444,915,9,0,331,262,119,40,19,132,2,0,1,0,0,0,0
AT_20417,Maria Rain,1986,1254,23,0,460,257,246,102,22,131,3,3,7,0,0,0,0
AT_20418,Maria Saal,3130,1959,34,0,731,462,315,133,35,224,12,11,2,0,0,0,0
AT_20419,Maria Wörth,1283,687,4,0,271,114,95,80,11,100,8,2,2,0,0,0,0
AT_20421,Moosburg,3612,2026,31,0,739,422,432,156,38,179,11,10,8,0,0,0,0
AT_20424,Pörtschach am Wörther See,2236,1269,16,0,559,196,186,106,21,173,7,4,1,0,0,0,0
AT_20425,Poggersdorf,2558,1793,37,0,700,418,346,109,32,124,11,5,11,0,0,0,0
AT_20428,Sankt Margareten im Rosental,879,538,14,0,187,187,76,31,9,27,3,2,2,0,0,0,0
AT_20432,Schiefling am Wörthersee,1962,1258,21,0,494,291,235,71,22,111,3,7,3,0,0,0,0
AT_20435,Techelsberg am Wörther See,1780,1000,27,0,357,253,193,64,13,85,2,2,4,0,0,0,0
AT_20441,Zell,502,324,9,0,85,126,12,15,8,63,1,2,3,0,0,0,0
AT_20442,Magdalensberg,2774,1746,34,0,641,449,307,114,29,142,15,4,11,0,0,0,0
AT_20499,Wahlkarten - Klagenfurt-Land,0,6146,57,0,2058,1582,813,543,84,926,30,39,14,0,0,0,0
AT_20501,Althofen,3795,2212,36,0,735,633,465,147,41,131,15,3,6,0,0,0,0
AT_20502,Brückl,2250,1407,38,0,506,413,293,76,13,56,7,3,2,0,0,0,0
AT_20503,Deutsch-Griffen,750,411,6,0,133,63,198,5,0,6,0,0,0,0,0,0,0
AT_20504,Eberstein,1020,607,14,0,239,121,168,21,3,31,5,3,2,0,0,0,0
AT_20505,Friesach,4235,2389,30,0,889,566,612,118,27,112,16,10,9,0,0,0,0
AT_20506,Glödnitz,667,396,7,0,163,77,116,14,2,12,2,1,2,0,0,0,0
AT_20508,Gurk,1015,730,17,0,279,148,221,21,8,32,3,1,0,0,0,0,0
AT_20509,Guttaring,1201,748,19,0,281,200,143,62,1,33,2,3,4,0,0,0,0
AT_20511,Hüttenberg,1182,711,7,0,176,238,241,12,6,25,4,1,1,0,0,0,0
AT_20512,Kappel am Krappfeld,1582,1062,21,0,431,242,229,55,6,64,6,4,4,0,0,0,0
AT_20513,Klein Sankt Paul,1458,938,20,0,347,218,250,41,10,44,1,5,2,0,0,0,0
AT_20515,Liebenfels,2661,1671,29,0,531,550,339,82,25,104,6,4,1,0,0,0,0
AT_20518,Metnitz,1663,1136,28,0,478,202,301,58,18,42,4,2,3,0,0,0,0
AT_20519,Micheldorf,846,444,15,0,122,155,100,15,9,22,1,2,3,0,0,0,0
AT_20520,Mölbling,1063,669,13,0,232,127,227,24,3,40,1,2,0,0,0,0,0
AT_20523,Sankt Georgen am Längsee,2926,1834,27,0,598,488,419,119,25,139,12,4,3,0,0,0,0
AT_20527,Sankt Veit an der Glan,9764,5364,100,0,1679,1670,1020,315,95,427,19,23,16,0,0,0,0
AT_20530,Straßburg,1678,1089,29,0,442,172,329,49,13,44,5,4,2,0,0,0,0
AT_20531,Weitensfeld im Gurktal,1724,1092,15,0,447,211,333,45,8,24,5,2,2,0,0,0,0
AT_20534,Frauenstein,2891,1906,28,0,671,418,431,137,29,180,5,4,3,0,0,0,0
AT_20599,Wahlkarten - St. Veit an der Glan,0,4864,57,0,1629,1299,898,325,76,535,16,23,6,0,0,0,0
AT_20601,Bad Kleinkirchheim,1295,636,4,0,251,109,181,44,5,35,1,2,4,0,0,0,0
AT_20602,Baldramsdorf,1553,915,20,0,274,254,258,41,13,51,1,0,3,0,0,0,0
AT_20603,Berg im Drautal,1050,672,14,0,339,139,71,39,1,66,2,0,1,0,0,0,0
AT_20604,Dellach im Drautal,1321,780,17,0,347,181,117,44,5,60,1,5,3,0,0,0,0
AT_20605,Großkirchheim,1074,713,4,0,333,54,212,61,10,32,2,3,2,0,0,0,0
AT_20607,Flattach,963,577,8,0,247,119,151,24,4,22,0,2,0,0,0,0,0
AT_20608,Gmünd in Kärnten,2139,1353,37,0,460,316,326,89,12,103,3,5,2,0,0,0,0
AT_20609,Greifenburg,1377,859,16,0,315,172,217,63,8,60,3,2,3,0,0,0,0
AT_20610,Heiligenblut am Großglockner,826,494,15,0,259,49,99,44,4,17,4,2,1,0,0,0,0
AT_20611,Irschen,1620,1089,21,0,453,264,212,56,7,70,1,3,2,0,0,0,0
AT_20613,Kleblach-Lind,973,675,17,0,235,215,122,31,11,42,1,1,0,0,0,0,0
AT_20616,Lendorf,1430,897,13,0,308,231,224,54,8,52,5,1,1,0,0,0,0
AT_20618,Mallnitz,627,415,2,0,147,165,51,21,6,20,2,1,0,0,0,0,0
AT_20619,Malta,1653,938,22,0,322,215,273,32,17,52,2,2,1,0,0,0,0
AT_20620,Millstatt am See,2757,1593,19,0,684,281,299,123,23,147,8,7,2,0,0,0,0
AT_20622,Mörtschach,679,416,5,0,221,36,117,11,2,23,1,0,0,0,0,0,0
AT_20624,Mühldorf,823,508,7,0,109,134,210,18,5,20,1,2,2,0,0,0,0
AT_20625,Oberdrauburg,969,616,15,0,278,120,127,21,13,41,0,1,0,0,0,0,0
AT_20627,Obervellach,1772,1036,7,0,442,199,249,59,8,62,5,3,2,0,0,0,0
AT_20630,Radenthein,4811,2834,59,0,934,709,713,174,50,168,14,10,3,0,0,0,0
AT_20631,Rangersdorf,1347,768,11,0,293,147,251,36,3,22,4,1,0,0,0,0,0
AT_20632,Rennweg am Katschberg,1471,979,22,0,461,185,207,52,6,38,4,3,1,0,0,0,0
AT_20633,Sachsenburg,1030,668,8,0,223,167,181,45,6,33,4,1,0,0,0,0,0
AT_20634,Seeboden am Millstätter See,5173,3130,60,0,1223,537,710,290,40,255,4,7,4,0,0,0,0
AT_20635,Spittal an der Drau,11790,6658,126,0,2115,1793,1448,431,110,564,30,22,19,0,0,0,0
AT_20636,Stall,1302,793,12,0,287,130,294,27,7,32,0,2,2,0,0,0,0
AT_20637,Steinfeld,1646,1027,16,0,366,296,236,42,9,55,3,4,0,0,0,0,0
AT_20638,Trebesing,947,590,16,0,266,96,152,36,5,17,2,0,0,0,0,0,0
AT_20639,Weißensee,617,384,4,0,197,39,72,46,2,23,0,0,1,0,0,0,0
AT_20640,Winklern,1004,537,7,0,228,122,133,23,3,20,0,1,0,0,0,0,0
AT_20642,Krems in Kärnten,1438,872,14,0,391,167,228,33,5,28,4,1,1,0,0,0,0
