gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,ÖVR
SE_1267,Höör,11837,10235,4,123,2263,704,486,381,2579,425,785,2122,238,125
SE_1276,Klippan,12476,10213,3,133,1923,531,281,409,3392,346,386,2581,135,93
SE_1290,Kristianstad,61995,52447,19,556,11650,2687,3331,1697,15452,1606,3073,11127,830,419
SE_1261,Kävlinge,21780,19534,8,197,5677,1081,1237,548,5237,396,1129,3657,225,142
SE_1282,Landskrona,31279,25606,14,238,5044,717,1767,502,9468,1063,1267,4768,493,265
SE_1262,Lomma,16756,15559,6,80,6176,905,1531,769,2690,203,897,1954,248,100
SE_1281,Lund,86390,76526,31,651,17244,4293,7400,3025,17159,4865,9350,6987,4516,1005
SE_1280,Malmö,226651,180707,55,1549,41510,4850,10000,4620,52460,13598,15367,24171,9999,2528
SE_1273,Osby,9759,8348,6,98,1331,488,219,401,2904,282,350,2094,97,78
SE_1275,Perstorp,5222,4220,3,46,727,203,128,116,1549,136,175,1055,41,41
SE_1291,Simrishamn,15594,13226,4,128,3284,995,593,475,3413,473,761,2512,512,76
SE_1265,Sjöbo,14210,11971,6,135,2743,916,337,400,2798,278,461,3544,232,121
SE_1264,Skurup,11300,9680,4,120,2259,643,360,223,2736,320,373,2396,160,86
SE_1230,Staffanstorp,16612,14897,1,130,4597,791,927,496,3756,349,877,2553,251,169
SE_1214,Svalöv,9797,8349,1,88,1467,799,285,215,2421,255,386,2180,181,71
SE_1263,Svedala,14695,13070,6,142,3471,567,694,378,3439,267,659,3113,193,141
SE_1270,Tomelilla,10009,8445,2,117,1702,800,251,193,2384,218,350,2127,202,99
SE_1287,Trelleborg,32473,27456,6,259,6487,1078,1068,684,8907,673,1165,6472,393,264
SE_1233,Vellinge,25895,23657,3,132,11420,1015,1859,1090,2814,233,852,3871,251,117
SE_1286,Ystad,23327,20000,4,245,5559,1215,930,588,5936,576,1040,3324,402,181
SE_1277,Åstorp,10550,8455,4,91,1484,335,263,270,3236,260,324,2017,89,82
SE_1292,Ängelholm,31705,27180,8,290,7932,1659,1251,1255,7112,734,1603,4722,427,187
SE_1257,Örkelljunga,7342,6130,2,57,1099,366,185,600,1700,143,229,1615,51,83
SE_1256,Östra Göinge,10457,8940,2,83,1454,511,273,327,3168,293,328,2305,113,83
SE_0127,Botkyrka,56650,44054,12,315,9670,1185,2078,2472,15806,2989,3545,4495,1027,460
SE_0162,Danderyd,23502,21329,8,57,10627,1516,2522,2234,1452,287,999,1126,379,122
SE_0125,Ekerö,18914,17158,17,128,6613,1208,1250,1068,2734,542,1404,1590,487,117
SE_0136,Haninge,56445,47149,19,464,13319,1640,2417,1719,14180,2377,3520,5741,1058,695
SE_0126,Huddinge,69110,57702,22,426,17455,2426,3434,2357,15401,3068,4845,5981,1703,584
SE_0123,Järfälla,49661,42477,12,265,12229,1694,2586,2110,12049,2489,3268,4317,1007,451
SE_0186,Lidingö,33410,29712,5,139,13224,2074,3439,2328,3238,606,1899,1900,738,122
SE_0182,Nacka,67112,59515,28,373,21946,3732,5044,3100,10479,2514,5657,3849,2307,486
SE_0188,Norrtälje,45561,38898,18,436,10723,2845,1784,1391,11478,1726,2417,4762,895,423
SE_0140,Nykvarn,6913,6180,3,71,1926,355,273,234,1603,155,339,1097,74,50
SE_0192,Nynäshamn,20172,17160,9,156,4481,739,908,653,5198,865,1082,2505,383,181
SE_0128,Salem,11161,9803,0,75,2984,515,672,549,2425,412,755,1108,230,78
SE_0191,Sigtuna,29983,24730,9,195,7406,1055,1237,1264,6930,1130,1600,3137,499,268
SE_0163,Sollentuna,48125,42185,23,284,15106,2337,3689,2687,8445,1762,3448,2984,1057,363
SE_0184,Solna,54785,47045,12,269,13986,2294,3795,2074,10543,3113,4687,3606,2176,490
SE_0180,Stockholm,677144,581065,247,3253,160166,28201,45365,24691,124792,44656,64392,38356,41488,5458
SE_0183,Sundbyberg,31004,26072,12,194,7014,1080,1600,923,7157,1835,2612,2369,976,300
SE_0181,Södertälje,61112,47630,17,462,10870,1807,2191,3242,15089,2755,3431,5821,1282,663
SE_0138,Tyresö,32109,28466,16,214,9745,1289,1827,1296,6777,1220,2376,2710,725,271
SE_0160,Täby,48994,44017,5,221,19836,2804,4944,3072,5487,976,2687,2824,823,338
SE_0114,Upplands-Väsby,29460,24763,13,223,6972,919,1501,1093,7428,1430,1680,2679,504,321
SE_0139,Upplands-Bro,17520,14995,5,116,4064,595,995,849,4397,727,958,1825,276,188
SE_0115,Vallentuna,22646,20226,10,165,7287,1364,1403,985,3925,649,1655,2071,466,246
SE_0187,Vaxholm,8190,7422,0,38,3033,580,644,407,1119,235,624,495,194,53
SE_0120,Värmdö,28522,25467,6,206,9448,1356,1577,1077,5136,946,2096,2626,790,203
SE_0117,Österåker,29513,26031,8,210,9652,1489,1956,1308,5262,914,2002,2518,517,195
SE_0484,Eskilstuna,73715,61951,32,702,13052,2624,2680,2206,21722,3284,3721,10170,1203,555
SE_0482,Flen,11982,10235,3,96,1892,762,347,355,3671,552,501,1802,164,90
SE_0461,Gnesta,7978,6955,3,72,1610,599,226,201,2081,404,529,911,249,70
SE_0483,Katrineholm,25078,21560,4,205,4064,1356,906,745,8432,999,1278,3054,390,127
SE_0480,Nyköping,41263,36077,15,378,8212,2139,1606,1554,12139,1722,2659,4477,909,267
SE_0481,Oxelösund,8948,7691,3,91,1301,206,260,209,3348,604,398,1066,148,57
SE_0486,Strängnäs,25376,22128,11,228,6307,1198,1188,1068,6017,1003,1282,3225,440,161
SE_0488,Trosa,9010,8054,3,68,2576,511,409,341,2124,278,525,973,179,67
SE_0428,Vingåker,6735,5954,0,59,977,379,154,209,2300,238,272,1209,107,50
SE_0381,Enköping,31416,27017,12,307,7068,2380,1329,1071,8067,985,1462,3607,464,265
SE_0331,Heby,10545,8968,3,141,1443,1156,237,427,3132,408,315,1454,162,90
SE_0305,Håbo,14561,12758,6,136,4262,613,613,537,3247,423,707,1874,197,143
SE_0330,Knivsta,11041,9829,4,109,2977,777,630,653,2111,383,774,1048,254,109
SE_0360,Tierp,15750,13477,3,166,2010,1294,380,390,5669,680,553,1898,259,175
SE_0380,Uppsala,156279,137770,33,927,30520,8135,10180,7108,35382,10498,14513,11118,7618,1738
SE_0319,Älvkarleby,7035,6096,2,58,774,187,171,132,2840,375,229,1198,85,45
SE_0382,Östhammar,17053,14525,9,173,3017,1285,601,458,5478,611,527,1894,278,194
SE_1784,Arvika,20131,17029,3,208,2962,1328,584,628,6621,1022,851,2320,405,97
SE_1730,Eda,5538,4412,1,67,767,485,103,138,1814,217,86,661,45,28
SE_1782,Filipstad,8072,6738,0,67,821,263,151,141,3081,446,203,1422,91,52
SE_1763,Forshaga,8779,7667,2,68,1135,496,233,266,3566,366,292,1066,117,60
SE_1764,Grums,7118,6013,3,75,900,439,140,181,2849,254,170,885,65,52
