gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,d,FRP,Kustkult,SF,BRP,AfS,CSIS,DD,DP,EAP,KLP,KrVP,Lpo,MED,NYREF,PV,SKP,SkåP,TRP,ViS
SE_1983,Köping,19360,8792,15.0,64,1065,984,170,755,2553,489,620,1944,25,40,0.0,0.0,0.0,0.0,0.0,51.0,0.0,4.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0
SE_1984,Arboga,10782,5461,17.0,62,791,590,124,412,1586,276,497,998,25,25,0.0,0.0,0.0,0.0,0.0,38.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0
SE_2021,Vansbro,5303,2541,7.0,50,253,471,25,282,580,170,117,536,7,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,1.0,0.0,21.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
SE_2023,Malung-Sälen,7881,4119,6.0,51,696,473,93,343,976,211,222,970,19,22,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
SE_2026,Gagnef,7854,4385,12.0,27,510,966,68,422,896,233,320,848,30,30,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
SE_2029,Leksand,12391,7163,17.0,58,1067,1139,171,764,1560,441,714,1092,60,29,0.0,0.0,0.0,1.0,0.0,18.0,0.0,1.0,5.0,0.0,0.0,5.0,2.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0
SE_2031,Rättvik,8888,4817,11.0,49,661,698,102,446,1047,213,422,1047,24,36,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,12.0,0.0,0.0,3.0,5.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0
SE_2034,Orsa,5386,2842,12.0,34,287,357,62,237,646,184,201,738,25,23,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
SE_2039,Älvdalen,5521,2695,2.0,33,241,361,42,243,636,122,138,788,14,19,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
SE_2061,Smedjebacken,8548,4248,6.0,43,485,407,52,258,1444,256,299,882,27,26,0.0,0.0,0.0,0.0,0.0,55.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
