gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,SPI,ÖVR
SE_2584,Kiruna,17847,14683,8,140,1922,374,468,469,7520,2031,759,827,45,88,0,32
SE_2580,Luleå,57939,50495,29,416,10036,2500,2863,1749,22972,3856,3584,1742,150,409,5,184
SE_2521,Pajala,5029,4100,4,31,512,132,86,225,2085,766,85,157,1,9,0,7
SE_2581,Piteå,32597,28846,16,232,3962,1410,1194,1134,16143,2289,1517,685,68,167,0,29
SE_2560,Älvsbyn,6639,5661,1,37,608,347,223,196,3073,659,154,292,8,48,0,15
SE_2513,Överkalix,3001,2499,0,12,201,227,75,35,1516,268,60,91,3,3,0,8
SE_2518,Övertorneå,3496,2824,1,22,378,318,78,95,1462,293,72,94,2,5,0,4
SE_1260,Bjuv,10463,8320,6,102,2124,305,405,219,3332,262,286,1223,14,22,11,9
SE_1272,Bromölla,9481,7991,32,106,1758,276,428,223,3230,364,310,1210,18,30,1,5
SE_1231,Burlöv,11783,9505,3,89,2909,254,652,232,3160,353,496,1177,26,59,28,67
SE_1278,Båstad,11599,9895,1,125,4308,1185,722,702,1493,183,538,549,18,46,20,5
SE_1285,Eslöv,23349,19311,8,239,5650,1324,1330,540,6138,610,908,2258,60,121,115,10
SE_1283,Helsingborg,98176,79979,41,857,28639,2649,6234,3450,21910,2693,5167,7115,193,449,492,90
SE_1293,Hässleholm,38526,32250,11,393,9248,2542,1877,1857,9004,1023,1919,4103,64,154,38,17
SE_1284,Höganäs,18964,16284,7,167,6823,862,1459,1079,3258,415,947,1026,30,57,144,10
SE_1266,Hörby,11356,9290,6,110,3048,901,549,388,2076,238,416,1282,17,48,205,6
SE_1267,Höör,11537,9648,2,122,3300,594,687,439,2172,356,707,1097,27,57,78,10
SE_1276,Klippan,12239,9800,1,146,2978,552,496,506,3078,389,358,1184,7,62,19,24
SE_1290,Kristianstad,60631,50914,24,651,15864,2711,4519,1893,14385,1677,2755,5948,168,233,40,46
SE_1261,Kävlinge,21238,18631,11,198,7363,972,1591,663,4676,389,865,1677,45,102,60,19
SE_1282,Landskrona,30056,24599,14,224,6877,605,2849,602,8730,999,1058,2408,52,133,22,26
SE_1262,Lomma,15731,14368,9,135,7079,781,1515,795,2021,201,698,834,36,61,196,7
SE_1281,Lund,83320,72698,13,742,23073,4775,8004,3596,14018,4155,9178,3586,569,772,130,87
SE_1280,Malmö,214326,170667,57,1502,55160,4795,11768,5274,48450,10118,14861,13256,1259,1101,2777,289
SE_1273,Osby,9702,8082,8,112,1949,724,378,437,2742,240,425,1021,4,30,0,12
