gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,AfS,CSIS,DD,DP,EAP,Enhet,FS,Gup,INI,KLP,KrVP,Lpo,MED,NMR,NS,NYREF,PP,RNP,FRP,SKP,SkåP,TRP,VL-S,ÖVR
SE_1984,Arboga,10678,9339,5,94,1724,629,357,473,3117,531,293,2004,21,26,0,7,4,0,7,0,0,1,1,0,5,18,3,0,0,9,0,0,0,0,0,0,3
SE_2021,Vansbro,5295,4565,1,63,599,657,96,436,1322,324,56,937,11,8,0,2,1,0,2,0,0,0,1,0,33,4,2,0,0,6,0,0,1,0,0,0,3
SE_2023,Malung-Sälen,7858,6835,3,76,1282,627,213,401,1958,411,117,1660,12,13,0,1,0,0,4,0,0,0,0,1,40,5,5,0,0,6,0,0,0,0,0,0,0
SE_2026,Gagnef,7834,6999,6,87,991,946,259,589,1893,418,191,1502,39,12,0,6,4,0,3,0,0,0,0,1,16,18,6,0,0,7,0,0,0,0,0,0,0
SE_2029,Leksand,12357,11057,5,102,2142,1408,396,1038,2860,771,399,1776,41,17,0,9,3,0,15,0,0,1,0,4,33,15,6,0,0,10,0,0,0,0,0,0,0
SE_2031,Rättvik,8884,7745,5,94,1287,933,237,544,2043,464,228,1787,25,29,0,7,0,0,8,0,0,1,1,1,29,12,2,0,0,6,0,0,0,0,0,0,0
SE_2034,Orsa,5376,4661,2,57,527,505,120,333,1285,371,137,1223,28,12,0,11,2,0,11,0,0,0,2,1,14,6,3,0,0,10,0,0,0,0,0,0,0
SE_2039,Älvdalen,5527,4789,6,85,510,553,121,252,1509,251,76,1340,9,8,0,4,1,0,3,0,0,0,0,1,42,8,1,0,0,6,0,0,1,0,0,0,0
SE_2061,Smedjebacken,8564,7545,4,101,1037,468,183,335,2900,563,158,1702,17,28,0,3,1,0,7,0,0,0,0,4,14,14,1,0,0,5,0,0,0,0,0,0,0
SE_2062,Mora,16056,13904,5,150,2157,1624,464,932,4016,842,397,3099,53,41,0,13,3,0,10,0,0,2,3,1,30,45,7,0,0,7,0,0,2,0,0,0,0
SE_2080,Falun,44894,39861,15,376,7778,4669,1822,2358,11057,3227,1926,6036,201,125,0,45,8,2,36,0,0,1,17,9,36,56,12,0,0,25,0,0,0,0,0,0,15
SE_2081,Borlänge,37646,32837,14,349,5547,2411,1421,1661,10617,2460,1273,6594,114,116,0,34,4,0,31,0,0,1,21,5,5,45,40,0,0,59,0,0,0,0,0,0,1
SE_2082,Säter,8713,7743,2,129,1290,945,239,469,2267,477,193,1648,19,27,0,5,3,0,1,0,0,0,0,0,5,11,8,0,0,3,0,0,0,0,0,0,0
SE_2083,Hedemora,11584,9942,4,111,1498,979,261,680,3004,733,285,2213,35,45,0,8,0,0,20,0,0,1,1,4,30,14,3,0,0,6,0,0,0,0,1,0,3
SE_2084,Avesta,16988,14731,3,148,2298,983,425,732,5072,950,323,3597,36,42,0,17,3,0,12,0,0,0,2,11,25,26,7,0,0,8,0,0,0,0,0,0,4
SE_2085,Ludvika,19629,17092,4,213,2377,1105,591,762,5973,1392,490,3915,60,63,0,18,1,0,9,0,0,0,1,9,9,18,60,0,0,5,0,0,3,0,0,0,7
SE_2101,Ockelbo,4499,3876,6,52,431,435,75,189,1212,286,108,1042,6,9,0,1,0,0,5,0,0,2,1,0,8,3,1,0,0,4,0,0,0,0,0,0,0
SE_2104,Hofors,7333,6205,8,75,691,320,215,243,2408,721,117,1336,16,11,1,8,1,0,4,0,0,0,0,2,11,1,4,0,0,6,0,0,0,0,0,0,2
SE_2121,Ovanåker,8968,7731,1,85,955,1297,206,770,2472,367,135,1362,15,13,1,3,2,0,3,0,0,0,3,6,15,7,1,0,0,9,0,0,0,0,0,0,3
SE_2132,Nordanstig,7363,6154,6,63,713,717,152,418,1978,586,117,1307,12,22,2,1,0,0,8,0,0,0,0,1,31,14,2,0,0,2,0,0,0,0,0,0,1
SE_2161,Ljusdal,14622,12233,12,153,1739,1480,405,616,4101,833,332,2409,49,21,0,8,1,0,9,0,0,0,1,0,41,13,0,0,0,3,0,0,3,0,0,0,1
SE_2180,Gävle,76433,66903,48,586,12033,4189,3551,3257,21258,5609,2573,12893,273,209,2,70,19,1,57,0,0,0,21,12,27,88,13,0,0,73,0,0,8,0,2,0,3
SE_2181,Sandviken,28827,25065,15,238,3559,1661,1066,1110,9164,2080,559,5311,55,73,0,13,8,0,43,0,0,0,3,0,46,18,2,0,0,17,0,0,1,0,0,0,5
SE_2182,Söderhamn,19702,16958,14,161,2407,1662,500,844,6128,1386,402,3285,32,38,5,15,5,0,19,0,0,0,2,0,16,12,3,0,0,11,0,0,0,0,0,0,4
SE_2183,Bollnäs,20306,17351,19,153,2400,1948,585,1016,5942,1313,430,3361,38,38,1,17,3,0,17,0,0,0,2,2,28,16,4,0,0,10,0,0,1,0,0,0,1
SE_2184,Hudiksvall,29182,24969,21,243,3406,3116,686,1319,8569,2302,888,4024,96,74,3,19,33,0,32,2,0,0,5,1,51,27,23,0,0,19,0,0,0,0,0,0,4
SE_2260,Ånge,7417,6352,3,68,707,537,100,306,2630,429,68,1390,18,23,0,4,1,0,2,0,0,0,2,1,43,4,8,1,0,6,0,0,0,0,0,0,0
SE_2262,Timrå,13876,12137,11,93,1433,818,368,597,5189,959,224,2335,26,32,0,3,0,0,6,0,0,0,7,1,9,18,2,0,0,4,0,0,1,0,0,0,0
SE_2280,Härnösand,18829,16438,10,142,2131,1618,522,862,5971,1443,702,2743,143,49,0,13,0,1,11,0,0,2,1,4,21,16,6,4,0,16,0,0,4,0,0,0,1
SE_2281,Sundsvall,75358,66479,38,493,10914,5448,3146,3305,24834,4915,2118,10305,314,187,0,65,8,0,59,0,0,4,16,11,74,107,36,3,0,48,0,0,1,0,0,0,4
SE_2282,Kramfors,14153,12201,7,124,1124,1503,247,480,4955,1423,226,1902,61,49,0,1,2,0,11,0,0,0,0,11,22,9,5,26,0,8,0,0,0,0,0,0,1
SE_2283,Sollefteå,14780,12778,3,123,1132,1622,202,550,4453,1933,190,2357,57,51,0,5,2,0,15,0,0,0,1,7,39,5,2,0,0,7,0,0,1,0,0,0,0
SE_2284,Örnsköldsvik,43087,38164,18,346,4814,4562,1016,2716,16850,2233,838,4328,69,120,0,27,3,0,19,0,0,2,8,27,65,39,9,2,0,28,0,0,2,0,0,0,9
SE_2303,Ragunda,4091,3494,1,47,272,510,57,137,1293,318,53,720,17,15,0,3,1,0,2,0,0,0,0,0,39,2,1,0,0,4,0,0,0,0,0,0,2
SE_2305,Bräcke,4921,4185,1,51,514,586,60,161,1576,307,58,793,16,11,0,13,2,0,6,0,0,0,0,0,17,7,1,0,0,3,0,0,0,0,0,0,0
SE_2309,Krokom,10751,9519,4,123,1325,1757,218,528,2920,781,293,1463,23,29,0,10,0,0,7,0,0,1,1,1,20,9,0,0,0,5,0,0,0,0,0,0,0
SE_2313,Strömsund,8989,7586,6,103,764,946,80,307,3071,576,107,1552,18,17,0,2,1,0,5,0,0,0,2,4,8,3,0,0,0,11,0,0,0,0,0,0,1
SE_2321,Åre,8330,7384,2,82,1127,1577,197,348,1911,602,451,960,31,17,0,4,3,1,9,0,0,0,0,8,25,16,2,0,0,6,0,0,0,0,0,0,2
SE_2326,Berg,5443,4659,2,46,704,779,77,210,1475,290,103,906,17,9,0,2,4,0,10,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0
SE_2361,Härjedalen,8016,6772,2,73,936,933,186,288,2339,476,126,1258,25,26,0,3,1,0,2,0,0,0,3,1,86,0,1,0,0,1,0,0,3,0,0,0,3
SE_2380,Östersund,48471,42597,29,378,6576,5998,1564,2139,14047,3829,1858,5605,227,106,0,29,6,0,39,0,0,3,4,8,21,76,8,0,0,29,0,0,1,0,1,0,2
SE_2401,Nordmaling,5478,4702,4,41,603,632,152,273,1672,426,79,760,12,21,0,1,1,0,7,0,0,0,0,0,2,2,2,2,0,8,0,0,0,0,0,0,1
SE_2403,Bjurholm,1886,1602,0,15,284,233,79,121,464,80,23,296,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SE_2404,Vindeln,4073,3460,1,26,509,500,92,252,1113,279,69,550,18,10,0,7,0,0,5,0,0,4,0,5,5,0,1,0,0,10,0,0,0,0,0,0,2
SE_2409,Robertsfors,5195,4526,1,35,473,831,107,226,1703,464,121,490,32,22,0,2,0,0,2,0,0,1,0,2,5,4,0,0,0,4,0,0,0,0,0,0,0
SE_2417,Norsjö,3092,2592,2,32,202,276,103,236,1079,257,27,332,7,13,0,3,0,0,1,0,0,0,0,2,13,0,0,0,0,5,0,0,0,0,0,0,2
SE_2418,Malå,2347,1996,1,33,176,157,76,110,843,278,20,283,4,2,0,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0
SE_2421,Storuman,4637,3858,0,57,459,416,132,299,1307,413,78,645,17,6,0,2,0,0,5,0,0,0,2,6,12,0,0,0,0,1,0,0,0,0,0,0,0
SE_2422,Sorsele,1922,1553,0,37,166,185,29,105,540,193,30,234,8,1,0,1,0,0,0,0,0,1,0,0,11,8,0,2,0,0,0,0,0,0,0,0,0
SE_2425,Dorotea,2076,1756,1,34,106,256,62,84,753,183,21,212,10,1,0,0,0,0,0,0,0,0,0,1,27,2,0,0,0,2,0,0,0,0,0,0,0
SE_2460,Vännäs,6523,5650,4,29,714,733,158,338,1944,737,173,740,23,14,0,8,1,0,3,0,0,1,1,12,2,6,3,0,0,3,0,0,1,0,0,0,0
SE_2462,Vilhelmina,5244,4428,5,47,327,623,79,319,1632,472,49,712,98,19,0,3,1,0,2,0,0,2,0,5,23,0,3,0,0,7,0,0,0,0,0,0,0
