gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),JL,SD,ÖVR
SE_0642,Mullsjö,5285,1985,1,50,246,95,88,373,359,210,89,463,4,7
SE_1430,Munkedal,7932,2382,4,67,286,335,131,93,575,278,120,440,46,7
SE_1762,Munkfors,3219,1105,1,29,72,87,50,19,470,183,40,109,34,11
SE_1481,Mölndal,42813,18223,26,400,2921,460,3140,1098,3719,2316,1160,2577,278,128
SE_0861,Mönsterås,10141,3180,4,62,337,566,106,182,958,300,105,510,6,44
SE_0840,Mörbylånga,10352,3968,12,97,652,671,247,190,1108,310,163,492,21,5
SE_0182,Nacka,55535,24605,22,453,7759,392,3516,1161,4092,1953,1405,3607,117,128
SE_1884,Nora,8046,3089,1,82,351,190,181,145,943,341,153,658,36,8
SE_1962,Norberg,4590,1523,0,59,160,79,57,23,454,322,84,279,3,3
SE_2132,Nordanstig,7781,2445,5,50,122,315,83,118,399,293,112,542,16,390
SE_2401,Nordmaling,5878,2127,5,39,125,255,128,138,460,764,45,153,4,11
SE_0581,Norrköping,94703,46393,74,3194,7172,3591,2309,2048,12976,4033,2693,7613,341,349
SE_0188,Norrtälje,41331,14571,11,412,2763,1104,975,658,3373,1342,809,2624,73,427
SE_2417,Norsjö,3529,1273,2,15,55,117,44,87,210,613,14,112,0,4
SE_0881,Nybro,15606,5093,12,145,563,682,239,327,1711,508,168,695,24,19
SE_0140,Nykvarn,5754,1965,0,59,368,99,154,84,497,189,120,348,17,30
SE_0480,Nyköping,38203,14982,43,376,2565,1096,1208,788,4274,1305,762,2455,41,69
SE_0192,Nynäshamn,18314,6435,6,198,1131,269,427,246,1757,678,445,1108,79,91
SE_0682,Nässjö,22354,7893,24,204,945,792,372,1075,2031,771,331,1208,57,83
SE_2101,Ockelbo,4748,1638,6,28,137,227,53,32,464,332,59,283,6,11
SE_1060,Olofström,10177,3132,10,100,335,238,185,191,1108,438,120,292,96,19
SE_2034,Orsa,5450,1901,5,41,196,127,82,155,404,278,146,430,20,17
SE_1421,Orust,11712,4421,6,120,617,383,462,182,954,615,262,722,75,23
SE_1273,Osby,9705,2985,10,91,353,310,148,192,858,321,141,445,95,21
SE_0882,Oskarshamn,20482,6292,15,216,855,454,312,512,2005,654,239,942,43,45
SE_2121,Ovanåker,9518,2692,19,63,191,525,110,303,585,201,119,474,1,101
SE_0481,Oxelösund,8786,3024,11,84,384,110,177,94,1084,416,154,490,10,10
SE_2521,Pajala,5516,1861,2,19,139,254,18,78,400,808,34,101,2,6
SE_1402,Partille,24062,11703,23,424,1886,196,1900,696,2515,1517,801,1583,137,25
SE_1275,Perstorp,5144,1367,6,53,277,102,94,60,370,126,51,191,27,10
SE_2581,Piteå,31706,13359,25,221,905,602,420,539,4604,3518,395,1974,13,143
SE_2303,Ragunda,4677,2305,2,142,114,296,39,27,542,477,81,446,7,132
SE_2409,Robertsfors,5409,2178,1,32,116,443,89,144,367,740,37,198,0,11
SE_1081,Ronneby,22323,7372,10,256,1093,716,540,272,1908,838,360,1182,178,19
SE_2031,Rättvik,8687,2928,4,75,417,205,195,173,670,342,183,614,13,37
SE_1981,Sala,16613,6174,6,206,783,893,325,294,1408,738,358,1106,22,35
SE_0128,Salem,9697,4120,4,81,945,108,503,260,822,348,249,736,32,32
SE_2181,Sandviken,28814,9593,10,191,1008,516,664,363,3134,1468,466,1569,101,103
SE_0191,Sigtuna,25531,8435,15,198,1976,342,738,489,1888,723,443,1439,127,57
SE_1291,Simrishamn,15532,5361,7,179,1330,530,462,242,1193,427,271,633,75,12
SE_1265,Sjöbo,13183,3745,11,150,700,497,185,184,816,259,172,575,179,17
SE_1495,Skara,14111,5136,8,136,887,539,442,321,1334,485,250,676,34,24
SE_2482,Skellefteå,55845,22877,58,407,1248,1425,1379,1204,5573,8329,786,2224,85,159
SE_1904,Skinnskatteberg,3628,1235,1,28,107,95,46,31,384,275,51,201,12,4
SE_1264,Skurup,10577,3269,2,119,708,368,256,106,760,232,151,410,153,4
SE_1496,Skövde,38198,13869,23,379,2300,1101,1209,1032,3647,1425,623,1992,109,29
SE_2061,Smedjebacken,8712,3009,3,60,287,155,92,99,1030,479,131,638,15,20
SE_2283,Sollefteå,16914,5667,12,147,445,487,184,202,1789,902,317,1062,21,99
SE_0163,Sollentuna,42022,18749,18,323,5463,482,2738,1192,3137,1361,1010,2814,95,116
SE_0184,Solna,46586,19619,23,418,5047,365,2831,875,3706,2030,1273,2870,113,68
SE_2422,Sorsele,2343,762,3,11,40,25,28,50,130,379,34,62,0,0
SE_1427,Sotenäs,7431,2506,16,57,430,112,295,137,684,225,100,430,13,7
SE_1230,Staffanstorp,14821,5793,6,164,1454,289,648,215,1500,250,209,912,118,28
SE_1415,Stenungsund,16587,6439,22,197,1005,325,817,364,1584,787,394,840,46,58
SE_0180,Stockholm,586256,257407,381,4542,64788,4571,37816,10634,48222,32424,19508,30773,2063,1685
SE_1760,Storfors,3520,1214,1,34,131,104,49,33,454,200,53,127,15,13
SE_2421,Storuman,5267,1921,1,23,145,82,72,140,313,830,43,262,9,1
SE_0486,Strängnäs,22699,8682,18,243,2010,502,920,416,1972,649,494,1208,12,238
