gisco_id,name,registered,turnout,invalid,blank,C,L,KD,S,V,MP (1981),SD,ÖVR
SE_2101,Ockelbo,4549,3852,0,52,276,71,190,1260,199,130,1170,38
SE_1060,Olofström,10168,8229,8,104,365,165,401,2678,375,162,2817,71
SE_2034,Orsa,5489,4650,4,48,299,127,304,1232,245,169,1512,94
SE_1421,Orust,12490,10979,10,109,701,472,703,3070,505,531,2795,136
SE_1273,Osby,9888,8371,6,117,392,191,539,2242,286,210,3004,77
SE_0882,Oskarshamn,20862,17922,10,217,740,576,1302,5516,782,325,4893,213
SE_2121,Ovanåker,9015,7604,5,89,747,154,864,2363,271,185,1820,63
SE_0481,Oxelösund,9072,7541,4,53,276,191,251,2923,515,215,1685,158
SE_2521,Pajala,4657,3704,4,31,127,55,306,1295,553,78,855,49
SE_1402,Partille,28286,24073,23,205,1610,1396,1276,6826,1551,1482,4248,277
SE_1275,Perstorp,5143,4075,12,30,164,80,223,1069,155,68,1648,40
SE_2581,Piteå,33405,29302,17,233,1739,589,1163,13957,2013,867,4687,306
SE_2303,Ragunda,3983,3376,1,51,288,38,195,1285,180,82,902,46
SE_2409,Robertsfors,5172,4359,4,53,556,90,219,1703,272,184,661,50
SE_1081,Ronneby,21933,18739,22,171,846,604,999,5699,865,456,5762,291
SE_2031,Rättvik,9064,7791,6,99,528,201,572,2201,281,281,2246,106
SE_1981,Sala,17496,15018,10,203,1074,440,828,4518,790,441,4026,201
SE_0128,Salem,11967,10169,13,86,674,513,577,2806,485,499,1969,152
SE_2181,Sandviken,29612,24649,30,245,1167,722,1000,9034,1413,627,6333,280
SE_0191,Sigtuna,33030,25566,36,250,1338,1029,1503,6974,1585,852,5646,726
SE_1291,Simrishamn,15679,13394,3,148,772,599,700,3379,665,815,3659,214
SE_1265,Sjöbo,14943,12786,13,156,543,369,871,2405,340,346,5370,146
SE_1495,Skara,14210,12061,12,145,778,375,712,3774,553,416,2916,144
SE_2482,Skellefteå,56888,48596,60,652,3536,1266,2123,21649,3184,1903,7338,499
SE_1904,Skinnskatteberg,3403,2831,2,42,114,117,147,958,145,77,876,29
SE_1264,Skurup,12295,10602,3,129,538,342,527,2517,395,247,3652,144
SE_1496,Skövde,43681,37198,39,411,2375,1452,2587,11481,1740,1310,7628,512
SE_2061,Smedjebacken,8649,7475,4,103,300,143,303,2676,393,180,2249,88
SE_2283,Sollefteå,14489,12179,14,184,1056,179,719,4681,996,276,3007,178
SE_0163,Sollentuna,52341,44358,33,294,4158,3385,1984,11804,2734,2565,5682,739
SE_0184,Solna,60293,50505,61,383,4308,3427,1903,14781,4438,3470,6267,851
SE_2422,Sorsele,1843,1499,0,42,113,32,103,571,107,33,317,15
SE_1427,Sotenäs,7627,6738,3,67,373,366,506,1864,199,216,1612,62
SE_1230,Staffanstorp,18852,16698,12,124,1025,892,748,4347,525,581,3845,149
SE_1415,Stenungsund,20770,18350,17,179,1046,882,1088,5042,768,728,4328,263
SE_0180,Stockholm,728089,611908,843,4311,51437,41663,19227,170308,71171,60791,64730,11721
SE_1760,Storfors,3092,2630,5,28,120,53,113,938,112,54,802,40
SE_2421,Storuman,4515,3685,5,56,232,142,288,1248,259,115,836,30
SE_0486,Strängnäs,28212,24309,23,233,1607,1097,1188,6541,961,998,5626,313
SE_1486,Strömstad,9106,7364,6,102,419,349,470,2113,357,324,1861,109
SE_2313,Strömsund,8831,7295,5,95,495,107,407,2742,382,138,1976,84
SE_0183,Sundbyberg,38222,31036,45,247,2318,1825,1088,9628,3357,1936,3912,516
SE_2281,Sundsvall,76665,65488,86,632,4122,2358,3212,24488,3662,2463,12984,686
SE_1766,Sunne,10393,8951,10,144,839,309,643,2468,295,272,2150,98
SE_1907,Surahammar,7495,6273,9,79,170,155,274,2148,312,119,2086,62
SE_1214,Svalöv,10158,8616,9,122,491,266,451,2100,379,311,3113,145
SE_1263,Svedala,16609,14842,6,162,712,508,794,3634,447,412,4799,140
SE_1465,Svenljunga,8140,6889,15,106,455,209,534,1721,249,185,2144,77
SE_1785,Säffle,11665,9896,14,96,887,266,735,2744,348,203,2869,101
SE_2082,Säter,8789,7672,8,101,594,196,494,2337,344,229,2017,96
SE_0684,Sävsjö,8376,7183,3,61,492,158,1051,1603,215,113,2112,146
SE_2182,Söderhamn,19646,16056,12,145,1001,372,775,5959,812,456,3962,212
SE_0582,Söderköping,11419,10138,13,99,715,440,708,2450,410,369,2675,110
SE_0181,Södertälje,67079,47338,55,497,2097,1682,3859,13355,3298,2250,9762,822
SE_1083,Sölvesborg,13897,11986,21,145,435,353,700,3156,379,211,4189,127
SE_1435,Tanum,10274,8877,8,110,733,386,652,2136,359,396,2108,96
SE_1472,Tibro,8641,7305,8,74,452,312,622,2288,266,173,1846,90
SE_1498,Tidaholm,9966,8686,15,112,450,262,650,3003,343,219,2366,93
SE_0360,Tierp,16185,13813,26,187,969,347,805,4641,642,445,3624,174
SE_2262,Timrå,13943,11919,17,92,590,256,577,4843,604,245,3103,102
SE_0763,Tingsryd,9188,7819,8,66,495,160,648,2113,303,187,2539,104
SE_1419,Tjörn,12792,11441,16,97,626,720,1125,2872,416,458,2754,102
SE_1270,Tomelilla,10419,8893,9,134,506,228,478,2036,346,310,3255,107
SE_1737,Torsby,8766,7296,5,114,424,168,460,2354,299,148,2076,84
SE_0834,Torsås,5526,4808,4,56,337,131,354,1256,180,132,1619,60
SE_1452,Tranemo,8981,7716,6,103,663,217,496,2280,309,231,1850,106
SE_0687,Tranås,14204,12152,14,129,761,412,832,4067,447,383,2783,135
SE_1287,Trelleborg,34670,29054,51,273,1287,1091,1623,7725,1030,675,9180,380
SE_1488,Trollhättan,43921,36452,37,368,1931,1211,1720,12872,2211,1263,7504,482
SE_0488,Trosa,11006,9744,8,86,632,397,484,2637,326,454,2253,102
SE_0138,Tyresö,35234,30630,42,266,1995,1663,1182,9038,1556,1615,5738,367
SE_0160,Täby,54267,48058,33,292,4749,4648,2503,9448,1322,2193,6175,503
SE_1473,Töreboda,7055,5975,7,92,384,141,332,1758,228,132,1754,128
SE_1485,Uddevalla,43062,36166,41,370,1807,1304,2337,11070,2021,1435,8790,720
SE_1491,Ulricehamn,18972,16375,13,199,1454,648,1155,4365,714,564,3860,201
SE_2480,Umeå,99226,86791,88,709,6826,3073,3102,34233,9074,6566,9328,968
SE_0114,Upplands-Väsby,32973,26207,33,266,1527,1124,1292,7809,1975,938,5424,503
SE_0139,Upplands-Bro,20468,16642,22,149,877,717,910,4652,1152,556,3759,320
SE_0380,Uppsala,175411,151383,151,1087,11729,8905,8060,44118,15294,13366,19520,2796
SE_0760,Uppvidinge,6679,5668,9,73,365,127,434,1540,231,121,1772,83
SE_0584,Vadstena,6185,5493,5,54,369,211,342,1721,247,279,1080,34
SE_0665,Vaggeryd,10637,9232,4,90,689,317,940,2724,303,229,2294,147
SE_0563,Valdemarsvik,6130,5337,4,48,339,141,388,1576,218,108,1543,69
SE_0115,Vallentuna,24580,21492,15,184,1690,1279,1104,5127,783,1114,4400,255
SE_2021,Vansbro,5305,4461,6,65,360,84,468,1259,211,82,1242,66
SE_1470,Vara,12219,10458,7,122,775,273,665,2584,393,189,3088,85
SE_1383,Varberg,51969,45807,63,496,3507,2141,2682,14142,2002,1747,9192,463
SE_0187,Vaxholm,9096,8160,10,40,817,641,424,1814,236,508,1268,76
SE_1233,Vellinge,28670,26263,19,142,1597,1980,1655,3870,325,570,6591,187
SE_0685,Vetlanda,20663,17584,16,160,1330,505,1679,4788,518,409,4853,243
SE_2462,Vilhelmina,5093,4162,5,77,265,59,364,1438,319,83,1051,71
SE_0884,Vimmerby,12022,10281,7,152,823,185,786,3080,462,303,2516,168
SE_2404,Vindeln,4091,3430,3,38,326,86,212,1152,179,97,735,38
SE_0428,Vingåker,6872,5968,9,56,298,126,309,1955,264,195,1699,66
SE_1442,Vårgårda,9013,7884,6,83,749,269,812,2086,336,317,1917,107
SE_1487,Vänersborg,30181,25705,18,268,1430,944,1478,8330,1434,864,6577,311
SE_2460,Vännäs,6699,5650,7,49,509,123,273,2049,447,250,1029,76
SE_0120,Värmdö,33811,29884,33,267,2368,1594,1327,7841,1383,1881,5852,319
SE_0683,Värnamo,26042,22190,20,212,1854,732,1995,6421,769,528,4870,229
SE_0883,Västervik,29293,24602,27,286,1484,858,1497,8349,1082,785,5632,380
SE_1980,Västerås,116663,96210,81,996,5533,4830,4505,29444,6074,3472,18963,1272
SE_0780,Växjö,70824,61224,75,541,3807,2425,3534,19715,3655,2755,10827,903
SE_0512,Ydre,2903,2601,2,25,289,84,278,667,75,103,631,31
SE_1286,Ystad,25215,21718,13,274,1057,980,1278,5854,772,769,5779,234
SE_1492,Åmål,9585,7977,3,79,392,230,452,2606,413,246,2228,92
SE_2260,Ånge,7292,6160,9,61,335,106,367,2265,292,91,1816,67
SE_2321,Åre,9076,7880,3,98,920,281,380,2497,425,663,1290,92
SE_1765,Årjäng,6896,5685,7,71,392,158,998,1341,141,110,1714,46
SE_2463,Åsele,2126,1743,0,18,173,55,92,651,93,30,386,23
SE_1277,Åstorp,11089,8803,5,92,284,182,434,2457,343,123,3315,112
SE_0561,Åtvidaberg,9075,7962,4,106,484,237,495,2734,287,241,2025,74
SE_0765,Älmhult,12132,10353,10,96,674,272,711,3265,400,301,2510,128
SE_2039,Älvdalen,5481,4684,4,65,304,86,370,1323,162,95,1657,129
SE_0319,Älvkarleby,7312,6156,3,65,203,148,264,2164,283,174,1887,84
SE_2560,Älvsbyn,6194,5162,6,46,338,115,276,2209,313,79,1046,54
SE_1292,Ängelholm,34038,29246,18,295,1667,1120,1808,7447,889,970,8107,310
SE_1407,Öckerö,10173,9232,5,81,442,413,1294,2271,381,407,2023,105
SE_0509,Ödeshög,4109,3577,1,41,277,76,455,861,98,137,952,60
SE_1880,Örebro,117940,99207,72,1017,6914,5795,5516,31963,7195,5093,16734,1722
SE_1257,Örkelljunga,7651,6408,8,68,277,156,712,1367,160,141,2486,133
SE_2284,Örnsköldsvik,43029,36960,32,356,3543,859,2437,15160,1635,1052,6246,445
SE_2380,Östersund,49635,42257,59,449,3728,1310,2099,15756,2492,2435,6936,547
SE_0117,Österåker,34684,30279,36,246,2256,1919,1421,7468,1112,1406,5809,370
SE_0382,Östhammar,17497,14867,18,190,789,491,1166,4450,544,388,3964,153
SE_1256,Östra Göinge,10574,8901,10,75,384,192,541,2242,284,176,3349,120
SE_2513,Överkalix,2574,2093,1,15,121,38,119,891,161,31,484,22
SE_2518,Övertorneå,3187,2492,0,19,302,42,219,926,169,40,490,25
