party_id,name_native,name_english,abbreviation,coalition_members,other_names,individual_candidate,region,founded_year,dissolved_year,european_party,ep_group,colors,wikipedia_page,wikidata_id,party_facts_id,ideology
REPER,Reînnoim Proiectul European al României,Renew the European Project of Romania,REPER,[],,,RO,2022.0,,[],"[{""year_start"": ""2019"", ""year_end"": ""2024"", ""party_id"": ""Renew""}]","[""#c40075""]",https://ro.wikipedia.org/wiki/Re%C3%AEnnoim_Proiectul_European_al_Rom%C3%A2niei,Q112266111,9580.0,"center, center-right or moderate right"
Revnic,Vasile-Marinel Revnic,Vasile-Marinel Revnic,Revnic,[],,Y,RO,,,[],[],"[""#0052A3"", ""#FF0021""]",,,,unknown
RîA,Partidul România în Acțiune,Party of Romania in Action,RîA,[],,,RO,2023.0,,[],[],"[""#02456f"", ""#d92453""]",https://ro.wikipedia.org/wiki/Partidul_Rom%C3%A2nia_%C3%AEn_Ac%C8%9Biune,Q130329144,,"center, center-right or moderate right"
RO.AS.IT.,Asociația Italienilor din România / Associazione degli Italiani di Romania,Association of Italians of Romania,RO.AS.IT.,[],,,RO,1993.0,,"[{""date_start"": ""1993"", ""date_end"": ""2022"", ""organization"": ""European Democratic Party (EDP)"", ""status"": ""member""}]","[{""year_start"": null, ""year_end"": null, ""party_id"": ""Renew""}]","[""#009900""]",https://it.wikipedia.org/wiki/Associazione_degli_Italiani_di_Romania,Q2748251,,"center, center-right or moderate right"
Rusu,Dănuț Rusu,Dănuț Rusu,Rusu,[],,Y,RO,,,[],[],[],,,,unknown
S.O.S. România,Partidul S.O.S. România,S.O.S. Romania,S.O.S. România,[],,,RO,2021.0,,[],"[{""year_start"": ""2024"", ""year_end"": null, ""party_id"": ""NI""}]","[""#89CFF0"", ""#FFFFFF""]",https://ro.wikipedia.org/wiki/Partidul_S.O.S._Rom%C3%A2nia,Q113470144,,radical right
Sărmaș,Ioan-Sabin Sărmaș,Ioan-Sabin Sărmaș,Sărmaș,[],,Y,RO,,,[],[],[],,,,unknown
Secară,Oana-Mihaela Secară,Oana-Mihaela Secară,Secară,[],,Y,RO,,,[],[],[],,,,unknown
SENS,"Partidul Sănătate, Educație, Natură, Sustenabilitate",Health Education Nature Sustainability Party,SENS,[],,,RO,,,[],[],"[""#a2da5a""]",,,,"left or center-left, including non-radical greens"
Şerban,Daniela Şerban,Daniela Şerban,Şerban,[],,Y,RO,,,[],[],[],,,,unknown
Sova,Sorin Șova,Sorin Șova,Sova,[],,Y,RO,,,[],[],[],,,,unknown
Spiridon [Ioan Spiridon],Ioan Spiridon,Ioan Spiridon,Spiridon,[],,Y,RO,,,[],[],[],,,,unknown
Spiridon [Silvian-Andrei Spiridon],Silvian-Andrei Spiridon,Silvian-Andrei Spiridon,Spiridon,[],,Y,RO,,,[],[],[],,,,unknown
Spiru,Valentin Spiru,Valentin Spiru,Spiru,[],,Y,RO,,,[],[],[],,,,unknown
Stancu,Ștefan-Alexandru Stancu,Ștefan-Alexandru Stancu,Stancu,[],,Y,RO,,,[],[],[],,,,unknown
Ștefan,Vasile Ștefan,Vasile Ștefan,Ștefan,[],,Y,RO,,,[],[],[],,,,unknown
Stegaru,Ciprian-Vasile Stegaru,Ciprian-Vasile Stegaru,Stegaru,[],,Y,RO,,,[],[],[],,,,unknown
Stochiţă,Aurel-Cătălin Stochiţă,Aurel-Cătălin Stochiţă,Stochiţă,[],,Y,RO,,,[],[],[],,,,unknown
Stoian,George-Bogdan Stoian,George-Bogdan Stoian,Stoian,[],,Y,RO,,,[],[],[],,,,unknown
Szűcs,János-Attila Szűcs,János-Attila Szűcs,Szűcs,[],,Y,RO,,,[],[],[],,,,unknown
Tabarac,Adrian Tabarac,Adrian Tabarac,Tabarac,[],,Y,RO,,,[],[],[],,,,unknown
Tiberiu,Andrian Tiberiu,Andrian Tiberiu,Tiberiu,[],,Y,RO,,,[],[],[],,,,unknown
Tîrnoveanu,Mihai-Sorin Tîrnoveanu,Mihai-Sorin Tîrnoveanu,Tîrnoveanu,[],,Y,RO,1924.0,,[],[],"[""#FFFFFF"", ""#000000""]",https://en.wikipedia.org/wiki/2024_Romanian_parliamentary_election,Q104033187,,unknown
Tița,Dumitrel-Victor Tița,Dumitrel-Victor Tița,Tița,[],,Y,RO,,,[],[],[],,,,unknown
