gisco_id,name,registered,turnout,invalid,blank,1 - Komitet Wyborczy Solidarna Polska Zbigniewa Ziobro,2 - Komitet Wyborczy Wyborców Ruch Narodowy,3 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej-Unia Pracy,4 - Komitet Wyborczy Prawo i Sprawiedliwość,5 - Koalicyjny Komitet Wyborczy Europa Plus Twój Ruch,6 - Komitet Wyborczy Polska Razem Jarosława Gowina,7 - Komitet Wyborczy Nowa Prawica – Janusza Korwin-Mikke,8 - Komitet Wyborczy Platforma Obywatelska RP,9 - Komitet Wyborczy Polskie Stronnictwo Ludowe,10 - Komitet Wyborczy Demokracja Bezpośrednia,11 - Komitet Wyborczy Samoobrona,12 - Komitet Wyborczy Partia Zieloni
PL_114291206,Dobre,4831,737,30,0,17,19,41,349,14,19,40,94,114,0,0,0
PL_114291207,Halinów,11255,2976,93,0,84,47,110,1107,123,86,286,814,226,0,0,0
PL_114291208,Jakubów,3996,734,23,0,26,15,17,331,10,15,33,63,201,0,0,0
PL_114291209,Kałuszyn,4730,986,26,0,39,28,36,460,11,13,66,165,142,0,0,0
PL_114291210,Latowicz,4279,538,14,0,20,5,16,236,6,16,36,45,144,0,0,0
PL_114291211,Mińsk Mazowiecki,11169,2451,77,0,65,62,126,1041,56,54,230,457,283,0,0,0
PL_114291212,Mrozy,7078,1352,69,0,25,30,58,458,70,28,92,279,243,0,0,0
PL_114291213,Siennica,5716,923,39,0,29,29,41,333,27,22,52,163,188,0,0,0
PL_114291214,Stanisławów,5232,1034,36,0,37,21,47,538,16,14,53,134,138,0,0,0
PL_114291215,Sulejówek,15277,4815,120,0,100,85,223,1774,185,134,430,1548,216,0,0,0
PL_114251301,Mława,24466,4625,187,0,130,85,434,1521,118,113,346,1250,441,0,0,0
PL_114251302,Dzierzgowo,2644,282,10,0,10,5,8,130,1,6,7,27,78,0,0,0
PL_114251303,Lipowiec Kościelny,3894,447,18,0,19,5,30,156,9,8,22,63,117,0,0,0
PL_114251304,Radzanów,2800,385,18,0,18,8,24,138,7,8,26,41,97,0,0,0
PL_114251305,Strzegowo,6381,771,31,0,29,15,56,301,7,17,53,114,148,0,0,0
PL_114251306,Stupsk,4076,572,35,0,11,10,52,201,11,7,31,53,161,0,0,0
PL_114251307,Szreńsk,3496,458,20,0,11,2,14,210,4,7,25,39,126,0,0,0
PL_114251308,Szydłowo,3718,478,23,0,10,8,36,134,10,2,26,48,181,0,0,0
PL_114251309,Wieczfnia Kościelna,3247,463,23,0,14,13,30,159,9,7,18,40,150,0,0,0
PL_114251310,Wiśniewo,4187,484,22,0,10,9,50,170,6,5,16,77,119,0,0,0
PL_114291401,Nowy Dwór Mazowiecki,22058,5016,155,0,143,109,650,1293,288,206,281,1718,154,0,0,19
PL_114291402,Czosnów,7940,2210,71,0,38,41,136,447,88,80,151,571,575,0,0,12
PL_114291403,Leoncin,4545,863,30,0,36,17,34,358,21,41,47,167,106,0,0,6
PL_114291404,Nasielsk,15790,2213,88,0,97,47,144,842,74,78,109,493,224,0,0,17
PL_114291405,Pomiechówek,7207,1387,35,0,47,18,132,428,68,59,98,407,78,0,0,17
PL_114291406,Zakroczym,5047,790,29,0,28,13,54,261,25,74,53,157,90,0,0,6
PL_114261501,Baranowo,5405,792,31,0,43,11,20,247,11,29,65,101,234,0,0,0
PL_114261502,Czarnia,2037,337,16,0,7,8,3,127,3,7,11,19,136,0,0,0
PL_114261503,Czerwin,4185,733,22,0,24,2,18,343,2,11,20,23,268,0,0,0
PL_114261504,Goworowo,6976,894,40,0,29,7,29,446,12,10,55,71,195,0,0,0
PL_114261505,Kadzidło,8847,1396,54,0,43,27,29,531,13,35,149,233,282,0,0,0
PL_114261506,Lelis,7017,1257,36,0,46,29,38,637,18,28,69,127,229,0,0,0
PL_114261507,Łyse,6587,823,30,0,16,14,15,278,10,34,56,76,294,0,0,0
PL_114261508,Myszyniec,8299,1306,50,0,43,14,30,594,21,19,72,122,341,0,0,0
PL_114261509,Olszewo-Borki,8002,1463,40,0,50,23,53,667,35,39,114,227,215,0,0,0
PL_114261510,Rzekuń,8607,1740,71,0,48,25,53,813,58,30,126,294,222,0,0,0
PL_114261511,Troszyn,4000,731,21,0,34,6,12,357,5,11,41,68,176,0,0,0
PL_114261601,Ostrów Mazowiecka,18460,3670,82,0,110,47,268,1773,73,52,234,752,279,0,0,0
PL_114261602,Andrzejewo,3583,718,10,0,10,9,10,357,17,7,51,94,153,0,0,0
PL_114261603,Boguty-Pianki,2261,499,4,0,16,2,9,305,2,15,25,31,90,0,0,0
PL_114261604,Brok,2374,465,7,0,19,10,30,209,9,1,26,89,65,0,0,0
PL_114261605,Małkinia Górna,9807,1780,40,0,62,34,84,916,48,46,100,279,171,0,0,0
PL_114261606,Nur,2551,547,24,0,32,6,11,283,2,13,21,57,98,0,0,0
PL_114261607,Ostrów Mazowiecka,10081,1662,57,0,36,21,86,891,28,18,77,204,244,0,0,0
PL_114261608,Stary Lubotyń,3064,492,13,0,10,3,3,281,5,2,13,35,127,0,0,0
PL_114261609,Szulborze Wielkie,1512,489,22,0,14,3,8,91,0,5,13,106,227,0,0,0
PL_114261610,Wąsewo,3646,826,43,0,18,10,34,267,9,10,34,30,371,0,0,0
PL_114261611,Zaręby Kościelne,3039,637,19,0,19,7,13,306,11,8,30,41,183,0,0,0
PL_114291701,Józefów,14750,5627,100,0,129,109,200,1777,234,198,517,2118,208,0,0,37
PL_114291702,Otwock,35848,11112,232,0,366,200,587,4046,420,389,817,3539,447,0,0,69
PL_114291703,Celestynów,9175,2806,95,0,93,21,104,1124,59,73,167,470,582,0,0,18
PL_114291704,Karczew,12837,3460,92,0,146,49,188,1414,96,141,208,836,273,0,0,17
PL_114291705,Kołbiel,6541,1395,62,0,76,30,76,538,34,53,76,204,228,0,0,18
PL_114291706,Osieck,2847,614,17,0,45,9,21,323,10,20,21,70,78,0,0,0
PL_114291707,Sobienie-Jeziory,5160,1092,44,0,35,24,64,377,29,33,54,161,262,0,0,9
PL_114291708,Wiązowna,8955,2554,69,0,79,37,116,914,108,102,182,784,146,0,0,17
PL_114301801,Góra Kalwaria,20315,4359,131,0,180,100,365,1360,204,144,271,1304,268,0,0,32
PL_114301802,Konstancin-Jeziorna,20015,6704,167,0,124,73,464,1820,340,255,392,2864,164,0,0,41
PL_114301803,Lesznowola,15920,5697,105,0,137,75,302,1318,323,262,403,2470,254,0,0,48
PL_114301804,Piaseczno,54506,18903,345,0,327,205,1101,4682,1084,724,1118,8274,919,0,0,124
PL_114301805,Prażmów,7732,1661,60,0,53,34,109,518,75,78,127,534,64,0,0,9
PL_114301806,Tarczyn,8736,1858,52,0,74,24,133,681,86,90,106,493,105,0,0,14
PL_114251901,Bielsk,7170,1167,47,0,34,8,70,467,22,20,61,115,323,0,0,0
PL_114251902,Bodzanów,6746,997,43,0,36,10,67,373,26,25,40,152,225,0,0,0
PL_114251903,Brudzeń Duży,6427,986,57,0,28,11,43,409,22,23,75,114,204,0,0,0
PL_114251904,Bulkowo,4657,654,30,0,14,16,31,232,14,11,35,38,233,0,0,0
PL_114251905,Drobin,6498,961,49,0,26,24,59,321,10,11,37,80,344,0,0,0
PL_114251906,Gąbin,8969,1682,74,0,63,21,59,766,30,36,93,245,295,0,0,0
PL_114251907,Łąck,4277,828,28,0,24,9,54,271,25,31,49,124,213,0,0,0
PL_114251908,Mała Wieś,5044,639,48,0,41,9,35,236,18,10,37,82,123,0,0,0
PL_114251909,Nowy Duninów,3226,524,25,0,19,3,25,196,11,18,17,84,126,0,0,0
PL_114251910,Radzanowo,6368,996,24,0,34,18,61,304,17,36,98,153,251,0,0,0
PL_114251911,Słubice,3705,667,53,0,17,2,28,299,9,10,18,62,169,0,0,0
PL_114251912,Słupno,5442,1309,50,0,27,7,73,353,47,54,102,353,243,0,0,0
PL_114251913,Stara Biała,8677,1708,80,0,84,30,125,582,36,66,104,331,270,0,0,0
PL_114251914,Staroźreby,5905,879,60,0,29,10,46,284,13,12,43,82,300,0,0,0
PL_114251915,Wyszogród,4771,722,38,0,30,3,46,177,48,6,32,103,239,0,0,0
PL_114252001,Płońsk,18097,3418,129,0,97,49,345,1081,142,87,214,963,311,0,0,0
PL_114252002,Raciąż,3716,592,29,0,14,7,46,230,17,14,53,133,49,0,0,0
PL_114252003,Baboszewo,6320,966,24,0,29,12,51,439,15,21,58,144,173,0,0,0
PL_114252004,Czerwińsk nad Wisłą,6282,491,24,0,17,5,26,222,10,7,21,70,89,0,0,0
PL_114252005,Dzierzążnia,3118,451,26,0,20,7,36,158,1,9,18,37,139,0,0,0
PL_114252006,Joniec,2196,343,17,0,12,4,24,88,10,3,21,83,81,0,0,0
PL_114252007,Naruszewo,5211,486,22,0,16,9,33,164,8,8,38,50,138,0,0,0
PL_114252008,Nowe Miasto,3855,539,27,0,12,1,42,141,8,6,35,98,169,0,0,0
PL_114252009,Płońsk,6050,767,49,0,24,5,45,246,28,16,45,114,195,0,0,0
PL_114252010,Raciąż,7125,922,56,0,46,6,55,394,17,7,38,55,248,0,0,0
PL_114252011,Sochocin,4837,695,14,0,26,19,44,255,12,9,30,113,173,0,0,0
PL_114252012,Załuski,4507,619,29,0,14,11,32,209,19,8,24,54,219,0,0,0
PL_114302101,Piastów,18114,6120,119,0,152,151,387,2075,287,307,371,2079,141,0,0,51
PL_114302102,Pruszków,46618,14367,332,0,380,238,1012,4203,801,796,884,5204,413,0,0,104
PL_114302103,Brwinów,19211,6472,102,0,142,92,367,1681,321,314,441,2585,374,0,0,53
PL_114302104,Michałowice,13085,5398,88,0,83,74,275,1453,247,320,335,2391,102,0,0,30
PL_114302105,Nadarzyn,9350,2749,51,0,48,51,176,667,157,200,190,1044,144,0,0,21
PL_114302106,Raszyn,16328,4862,133,0,155,76,236,1673,169,364,356,1487,168,0,0,45
PL_114262201,Przasnysz,13851,3184,104,0,70,47,222,1061,82,299,247,661,391,0,0,0
PL_114262202,Chorzele,8064,1175,62,0,35,7,47,439,18,34,36,140,357,0,0,0
PL_114262203,Czernice Borowe,3156,512,17,0,15,4,13,190,5,37,19,22,190,0,0,0
PL_114262204,Jednorożec,5682,758,32,0,19,7,31,236,8,31,51,65,278,0,0,0
PL_114262205,Krasne,3075,426,25,0,14,5,20,180,1,13,25,22,121,0,0,0
PL_114262206,Krzynowłoga Mała,2894,581,10,0,11,8,16,273,5,40,33,7,178,0,0,0
PL_114262207,Przasnysz,5826,922,31,0,24,13,32,343,6,74,72,69,258,0,0,0
PL_114272301,Borkowice,3754,655,31,0,27,12,57,251,18,9,17,64,169,0,0,0
PL_114272302,Gielniów,3886,607,33,0,23,12,23,323,12,18,39,51,73,0,0,0
PL_114272303,Klwów,2871,1034,41,0,33,7,18,353,5,11,44,24,498,0,0,0
PL_114272304,Odrzywół,3326,957,21,0,24,18,21,607,7,34,40,64,121,0,0,0
PL_114272305,Potworów,3397,542,25,0,28,10,14,256,4,19,50,36,100,0,0,0
PL_114272306,Przysucha,10424,2328,98,0,65,39,181,1068,62,68,167,365,215,0,0,0
PL_114272307,Rusinów,3625,748,14,0,35,5,15,435,19,17,41,25,142,0,0,0
PL_114272308,Wieniawa,4459,855,49,0,37,8,34,389,10,26,44,72,186,0,0,0
PL_114262401,Gzy,3223,595,25,0,17,9,17,213,5,18,38,38,215,0,0,0
PL_114262402,Obryte,3928,949,82,0,46,13,42,362,16,21,34,56,277,0,0,0
PL_114262403,Pokrzywnica,3851,631,14,0,14,3,29,225,14,44,24,59,205,0,0,0
PL_114262404,Pułtusk,19120,3589,69,0,66,45,526,1169,165,192,210,570,577,0,0,0
PL_114262405,Świercze,3779,509,21,0,15,7,39,173,10,16,38,58,132,0,0,0
PL_114262406,Winnica,3272,732,12,0,15,1,17,219,7,15,36,37,373,0,0,0
PL_114262407,Zatory,3857,767,33,0,12,3,41,293,16,14,19,51,285,0,0,0
PL_114272501,Pionki,16010,3243,102,0,82,69,288,1243,136,96,260,732,235,0,0,0
PL_114272502,Gózd,6622,1307,44,0,49,13,30,773,18,58,81,119,122,0,0,0
