gisco_id,name,registered,turnout,invalid,blank,Smer-SD,KDŽP,ĽSNS,KOREKTÚRA,SNS,SR,OĽaNO,STAN,SP,STS,HĽ,MKDA-MKDSZ,DOPRAVA,KDH,SZ,MH,PD,SRK,SKS,SNJ,SMK-MKP,DOMA DOBRE,KSS-VZDOR,EDS,SaS,SĽS,NAJ,KÚ,PS-Spolu,DS,NK
SK_502499,Lontov,514,60,2,0,6,0,17,0,2,1,2,0,0,0,0,0,0,0,2,6,0,0,0,0,19,1,0,0,0,0,0,0,2,0,0
SK_502502,Lula,152,31,0,0,17,1,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
SK_502511,Malas,421,60,1,0,14,0,4,0,0,5,4,0,1,0,0,1,0,1,1,13,0,0,0,1,12,0,0,0,1,0,0,0,1,0,0
SK_581135,Male Kozmalovce,325,56,2,0,12,1,7,1,8,2,2,0,0,0,1,0,0,0,1,2,0,0,1,8,0,0,0,0,2,0,0,3,3,0,0
SK_502537,Male Ludince,140,44,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,2,0,0
SK_502570,Mytne Ludany,774,146,6,0,10,0,6,2,0,8,3,0,0,0,0,3,0,5,2,12,1,0,0,1,63,1,0,0,3,1,0,2,17,0,0
SK_502588,Nova Dedina,1265,320,13,0,63,4,60,2,11,6,10,1,3,0,2,0,1,55,1,1,0,0,0,0,2,2,0,0,28,3,0,25,26,0,1
SK_502596,Novy Tekov,726,177,7,0,44,0,24,0,7,9,10,0,2,0,0,0,0,7,0,5,0,0,0,0,2,1,1,1,25,0,0,3,28,1,0
SK_502600,Nyrovce,466,124,1,0,5,0,6,0,0,2,0,0,1,0,0,1,0,0,0,50,0,0,0,0,48,0,0,0,3,1,0,0,6,0,0
SK_502618,Ondrejovce,357,62,2,0,14,0,6,0,2,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,12,0,0,0,3,1,0,0,16,0,0
SK_502626,Pastovce,431,71,0,0,2,0,4,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,55,0,0,0,2,0,0,0,0,0,0
SK_502634,Pecenice,118,42,1,0,6,0,9,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,5,0,0
SK_502642,Plastovce,1321,246,8,0,33,1,9,2,1,8,11,0,1,0,2,0,0,2,4,16,1,0,0,1,122,1,3,0,5,0,0,0,11,0,4
SK_502651,Plave Vozokany,604,82,1,0,23,2,17,0,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,5,0,0,0,15,0,2
SK_502669,Podlužany (okres Levice),646,196,3,0,43,0,27,4,12,8,6,2,1,0,0,0,0,23,0,0,1,0,0,1,0,8,0,0,19,0,0,9,29,0,0
SK_502677,Pohronsky Ruskov,1037,175,3,0,12,0,10,0,0,1,5,0,0,0,0,3,0,4,0,19,0,0,0,0,102,1,0,0,6,0,0,0,9,0,0
SK_502693,Pukanec,1606,334,12,0,80,2,66,1,20,11,22,1,1,1,0,0,1,21,7,2,0,1,0,0,0,6,2,2,21,1,1,1,50,0,1
SK_502707,Rybník (okres Levice),1189,290,5,0,56,3,53,3,13,8,8,1,1,0,3,0,0,51,2,0,0,0,0,13,0,2,2,0,22,1,0,7,33,0,3
SK_502715,Santovka,580,149,3,0,39,1,30,0,1,11,3,0,0,0,1,0,0,8,3,2,0,0,0,1,7,7,4,1,9,0,0,0,16,1,1
SK_502723,Sazdice,359,82,2,0,0,2,5,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,52,5,2,0,3,0,0,0,4,0,0
SK_502731,Sikenica,522,42,0,0,5,1,7,0,1,4,3,0,0,0,0,0,0,1,2,8,0,0,0,0,7,0,0,0,0,1,0,0,2,0,0
SK_502740,Slatina,253,47,0,0,3,2,2,0,0,1,0,0,0,2,0,0,0,1,0,6,0,0,0,0,24,0,0,0,2,0,0,1,1,1,1
SK_502758,Stary Hradok,152,33,1,0,8,1,5,0,0,3,2,0,0,0,0,0,0,1,1,0,2,0,0,0,4,0,0,0,1,0,0,0,4,0,0
SK_502766,Stary Tekov,1225,308,5,0,74,6,45,1,18,11,4,0,1,0,0,0,0,35,5,1,2,0,0,0,0,22,1,0,23,2,1,14,31,0,6
SK_502782,Sahy,6158,1217,23,0,82,10,72,3,8,43,55,0,1,1,3,15,0,11,9,92,3,0,0,4,540,6,6,0,82,1,1,16,126,1,3
SK_502791,Salov,265,36,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,23,0,0,0,2,0,0,0,0,0,0
SK_502804,Sarovce,1277,131,0,0,34,0,12,0,3,6,14,0,0,0,0,2,0,2,0,2,1,0,0,0,36,2,0,0,3,0,0,0,13,1,0
SK_502812,Tehla,394,51,1,0,7,0,13,0,2,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,14,0,0,0,8,0,0
SK_502821,Tekovske Luzany,2320,302,4,0,43,1,32,0,4,17,10,1,0,0,0,3,0,11,4,28,0,0,1,0,89,5,0,0,15,0,3,6,24,0,1
SK_502847,Tekovsky Hradok,304,47,2,0,4,0,9,0,0,4,2,0,0,0,0,0,0,1,0,3,0,0,0,0,11,0,0,0,10,0,0,0,1,0,0
SK_502863,Tlmace,3154,770,15,0,176,11,122,4,63,33,38,1,2,0,2,0,0,55,7,3,3,0,0,2,1,8,4,0,53,3,1,11,143,6,3
SK_502871,Tupa,482,85,1,0,9,0,9,1,1,11,6,0,1,0,0,2,1,2,0,1,0,0,0,4,21,2,0,0,0,2,0,0,11,0,0
SK_502880,Tura,186,52,0,0,3,0,13,0,1,27,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
SK_502898,Uhliska,180,32,0,0,3,0,2,0,1,1,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0
SK_581160,Velke Kozmalovce,589,161,2,0,20,0,23,0,12,4,6,0,0,0,0,0,0,39,1,0,0,0,0,0,0,13,2,1,7,0,0,7,22,1,1
SK_502910,Velke Ludince,1267,212,2,0,8,2,7,0,0,2,3,0,0,1,0,8,0,2,0,28,0,0,0,0,137,0,0,0,1,0,0,2,9,0,0
SK_502928,Velke Turovce,627,128,1,0,10,0,11,1,1,11,3,1,0,0,0,6,0,0,0,13,1,0,0,3,47,0,1,0,3,0,0,3,12,0,0
SK_502936,Velky Dur,1070,185,7,0,26,4,37,0,2,10,13,0,0,0,0,0,0,10,1,2,0,0,0,0,1,17,0,1,20,3,1,1,29,0,0
SK_502944,Vyskovce nad Iplom,559,111,1,0,4,0,16,2,0,1,1,1,0,0,0,4,0,0,0,16,1,1,0,3,56,0,0,0,3,0,0,0,1,0,0
SK_502952,Vysne nad Hronom,145,42,0,0,8,0,1,0,3,2,0,0,0,0,0,0,0,0,0,5,0,1,0,1,19,0,0,0,0,0,0,0,2,0,0
SK_502961,Zalaba,131,53,0,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,39,0,0,0,0,0,0,0,1,0,0
SK_502979,Zbrojniky,449,63,0,0,7,0,2,0,3,3,0,0,1,0,2,1,0,4,3,3,0,0,0,1,11,0,0,0,6,9,0,0,6,0,1
