gisco_id,name,registered,turnout,invalid,blank,"NOVA, Konzervatívni demokrati Slovenska, Občianska konzervatívna strana",Kresťanskodemokratické hnutie,SMER - sociálna demokracia,Slovenská ľudová strana,Národ a Spravodlivosť - naša strana,Magnificat Slovakia,DEMOKRATICKÁ OBČIANSKA STRANA,7 STATOČNÝCH REGIONÁLNA STRANA SLOVENSKA,Maďarská kresťanskodemokratická aliancia - Magyar Kereszténydemokrata Szövetség,Strana TIP,Ľudová strana Naše Slovensko,EURÓPSKA DEMOKRATICKÁ STRANA,NOVÝ PARLAMENT,MOST - HÍD,Kresťanská SLOVENSKÁ NÁRODNÁ STRANA,Strana demokratického Slovenska,Strana zelených,VZDOR - strana práce,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,PRÁVO A SPRAVODLIVOSŤ,Sloboda a Solidarita,Strana moderného Slovenska,Komunistická strana Slovenska,ÚSVIT,Strana občianskej ľavice,Slovenská národná strana,Slovenská demokratická a kresťanská únia - Demokratická strana,"PRIAMA DEMOKRACIA, Kresťanská ľudová strana",Strana maďarskej komunity - Magyar Közösség Pártja
SK_521248,Bukovec (okres Košice - okolie),682,88,6,0,5,29,10,0,3,2,0,3,0,3,0,2,0,0,0,6,0,0,4,2,7,0,0,0,0,1,5,0,0
SK_521256,Bunetice,71,20,0,0,3,4,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
SK_521264,Buzica,953,134,0,0,2,4,6,0,3,2,0,0,2,10,0,0,0,18,0,0,0,0,2,0,0,0,0,0,1,0,4,0,80
SK_521272,Cestice,689,87,3,0,3,0,5,1,2,0,0,0,0,17,0,0,0,7,0,0,0,0,3,0,1,0,0,0,0,0,1,0,44
SK_521281,Čakanovce (okres Košice - okolie),437,39,2,0,1,3,12,0,1,0,0,0,0,4,1,0,0,0,0,0,1,0,4,5,2,0,3,0,0,0,0,0,0
SK_521299,Cana,4157,350,13,0,11,35,96,3,6,3,3,5,0,19,5,6,2,9,3,10,1,1,25,10,24,2,10,1,1,21,20,4,1
SK_521302,Cecejovce,1652,185,0,0,12,9,19,0,1,0,0,26,2,14,0,2,0,30,0,0,1,0,5,0,9,0,1,0,0,0,18,0,36
SK_521311,Cizatice,316,73,4,0,3,16,9,0,5,1,0,1,0,1,8,0,0,0,0,0,1,0,7,4,6,2,1,0,0,0,4,0,0
SK_521329,Debrad,318,155,4,0,1,0,2,0,0,0,0,1,0,3,0,0,0,15,0,0,0,0,2,0,5,0,0,0,0,0,3,0,119
SK_521337,Drienovec,1505,115,2,0,11,2,8,2,3,1,0,0,0,5,3,0,1,24,0,0,0,0,4,0,5,0,0,0,0,0,1,0,43
SK_521345,Druzstevna pri Hornade,1923,157,1,0,19,28,34,0,6,2,0,7,0,13,1,0,0,1,1,4,0,1,9,4,7,1,2,0,0,4,12,0,0
SK_521353,Durdosik,341,50,0,0,8,9,11,0,4,2,0,0,0,1,2,0,1,0,0,0,0,0,2,0,4,2,0,0,0,2,2,0,0
SK_521361,Durkov,1180,83,1,0,11,8,20,0,0,0,0,4,0,1,1,0,0,1,0,1,1,0,16,0,3,0,5,1,0,0,9,0,0
SK_559873,Dvorniky-Vcelare,378,87,1,0,2,0,5,0,0,1,0,1,1,1,0,1,0,22,1,1,0,0,0,0,4,0,0,0,0,0,1,0,45
SK_521370,Geca,1323,93,4,0,6,17,7,0,1,3,0,2,0,2,4,0,0,2,0,1,0,0,16,5,5,1,4,0,1,2,5,5,0
SK_521388,Gynov,499,74,5,0,7,16,22,3,0,1,0,0,0,2,1,1,0,1,0,0,0,1,4,6,0,0,0,0,0,1,3,0,0
SK_521396,Hacava,158,22,1,0,5,0,5,1,4,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
SK_518123,Háj (okres Košice - okolie),258,104,5,0,2,0,3,0,0,0,0,2,0,0,0,0,0,28,1,0,0,0,2,1,3,0,0,0,0,0,0,0,57
SK_521400,Haniska (okres Košice - okolie),1134,124,1,0,4,60,16,0,1,4,0,1,0,2,2,2,0,0,0,0,0,0,11,2,3,3,0,0,3,2,6,0,1
