gisco_id,name,registered,turnout,invalid,blank,PATRIOT,MySlovensko,Demokrati,MSZ,SOSK,SOS,S.sk,SNS,Republika,SĽS,SRDCE-SNJ,ĽSNS,ZR,KSS,KÚ,Smer-SD,KDH,SaS,PS,Slovensko-ZĽ,Hlas-SD,Volt,SDKÚ-DS
SK_555487,Igram,458,185,0,0,0,0,14,0,0,0,0,2,16,0,0,0,1,0,5,35,39,10,50,5,8,0,0
SK_507938,Ivanka pri Dunaji,5482,2500,50,0,1,4,134,0,1,1,5,28,243,2,0,3,26,1,9,452,202,198,1025,31,82,2,0
SK_507997,Kalinkovo,1218,532,12,0,1,0,32,23,0,1,2,5,44,0,4,2,6,0,0,96,22,47,205,9,21,0,0
SK_555495,Kaplna,718,312,6,0,0,0,17,0,0,0,0,8,40,0,0,2,0,0,4,70,48,18,75,3,21,0,0
SK_503851,Kostolna pri Dunaji,637,245,4,0,0,0,13,47,0,0,0,0,14,0,0,0,1,0,1,36,20,14,81,5,9,0,0
SK_503894,Kralova pri Senci,1745,659,15,0,5,0,41,2,1,0,2,10,73,0,1,5,1,1,3,156,25,42,238,5,33,0,0
SK_508071,Malinovo,2898,1307,15,0,2,0,91,62,1,0,4,8,97,0,0,6,14,0,5,184,36,121,605,16,36,4,0
SK_508098,Miloslavov,4474,2094,48,0,3,1,111,2,1,0,3,20,150,0,0,4,14,1,16,295,74,238,1003,37,71,2,0
SK_508110,Most pri Bratislave,3247,1373,27,0,2,0,81,2,1,0,1,16,143,0,1,8,8,1,5,254,75,113,557,21,57,0,0
SK_508136,Nova Dedinka,2664,1107,14,0,1,0,68,41,1,0,1,12,77,0,1,3,15,1,2,187,54,92,474,20,41,2,0
SK_582549,Nový Svet,88,41,2,0,0,0,5,1,0,0,0,0,3,1,0,0,1,0,0,12,0,3,10,0,3,0,0
SK_503983,Reca,1347,455,12,0,1,0,16,84,0,0,1,5,29,0,0,0,1,2,0,89,10,25,148,6,26,0,0
SK_508209,Rovinka,4392,1947,18,0,2,1,101,5,2,0,1,23,138,1,0,1,16,0,11,337,94,192,897,24,82,1,0
SK_508217,Senec,15380,5901,113,0,7,5,340,299,6,1,9,74,527,4,0,13,62,1,34,1042,280,455,2265,110,244,9,1
SK_508276,Tomasov,2271,912,32,0,1,0,48,141,1,0,1,9,71,1,1,2,7,0,1,147,23,56,324,22,24,0,0
SK_508284,Turen,997,369,10,0,0,0,20,107,0,0,1,6,19,0,0,1,2,0,3,39,10,21,114,10,6,0,0
SK_508292,Velky Biel,2338,885,2,0,1,0,64,51,0,0,0,11,61,0,1,0,10,1,2,167,55,55,349,11,44,0,0
SK_508331,Vlky,366,136,2,0,0,1,3,47,0,0,0,0,10,0,0,0,1,0,0,15,6,5,38,5,3,0,0
SK_555509,Zálesie (okres Senec),1791,891,14,0,1,2,58,0,0,0,0,7,82,0,1,2,12,0,2,144,63,70,405,4,24,0,0
SK_501441,Bac,469,189,7,0,0,0,6,79,0,0,1,0,35,0,0,0,0,0,0,12,3,1,38,2,5,0,0
SK_501450,Baka,976,257,0,0,1,0,2,172,0,0,0,2,6,0,1,0,0,0,1,28,2,0,34,0,8,0,0
SK_501468,Balon,629,202,1,0,0,0,1,147,0,0,0,0,11,0,0,0,2,0,0,11,1,0,17,1,8,0,2
SK_555517,Bellova Ves,299,93,1,0,0,0,6,0,0,0,0,0,8,0,0,0,1,0,0,25,2,6,33,7,3,1,0
SK_501484,Blahova,381,119,3,0,0,0,6,7,0,0,0,1,22,0,0,0,1,0,1,32,4,3,32,0,6,1,0
SK_501492,Blatna na Ostrove,812,204,6,0,0,1,2,72,0,0,0,5,14,0,0,0,1,0,0,27,1,7,52,6,10,0,0
SK_503461,Bodiky,321,156,0,0,0,0,6,51,0,0,0,1,15,0,0,1,2,0,2,33,0,5,37,0,2,1,0
SK_501506,Bohelov,300,94,3,0,0,0,3,64,0,0,0,0,0,0,0,0,1,0,2,10,0,1,7,3,0,0,0
SK_501514,Cakany,487,140,1,0,0,0,9,42,0,0,0,2,7,0,1,0,1,0,1,14,2,3,49,5,3,0,0
SK_580554,Cenkovce,909,329,7,0,0,0,7,165,0,0,0,5,29,0,0,0,0,1,0,23,5,2,76,3,6,0,0
SK_501531,Cilizska Radvan,969,213,1,0,0,0,5,123,0,0,0,1,17,0,0,0,0,0,0,23,1,2,37,0,3,0,0
