gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,V,H,FrP,Dem,K,KSP,KP,MDG,Piratpartiet,PP,DLF,SP,NKP,FM,Folkelisten,StA
NO_0704,Tønsberg,30564,24357,5,152,6988,1158,162,437,1318,1322,7650,4015,15,98,25,26,676,94,64,0,0,0,0,0,0
NO_0706,Sandefjord,32712,25266,3,87,6692,882,156,327,1080,1176,8379,5269,13,146,63,47,496,83,280,0,0,0,0,0,0
NO_0709,Larvik,32405,25431,5,135,7724,725,152,616,1419,937,6695,5964,14,148,41,10,575,63,73,0,0,0,0,0,0
NO_0711,Svelvik,4855,3698,2,18,1190,67,10,82,107,135,1057,897,2,14,1,7,73,11,7,0,0,0,0,0,0
NO_0713,Sande (Vestf.),6360,5130,2,36,1584,124,17,294,186,224,1338,1192,1,10,2,4,59,13,8,0,0,0,0,0,0
NO_0714,Hof,2260,1771,0,10,569,71,15,194,59,67,418,291,0,4,4,0,49,6,4,0,0,0,0,0,0
NO_0716,Re,6495,5235,3,44,1291,150,23,737,401,181,1245,952,2,41,5,6,81,17,12,0,0,0,0,0,0
NO_0719,Andebu,4102,3130,1,12,942,92,16,250,188,127,794,594,1,12,11,2,58,11,7,0,0,0,0,0,0
NO_0720,Stokke,8209,6539,3,37,1861,252,35,294,434,259,1892,1177,3,55,9,4,142,19,26,0,0,0,0,0,0
NO_0722,Nøtterøy,15750,12896,11,31,3445,591,104,139,552,673,4579,2155,3,49,12,17,429,41,34,0,0,0,0,0,0
NO_0723,Tjøme,3730,3020,2,14,780,134,28,41,91,128,990,605,1,5,3,6,157,13,8,0,0,0,0,0,0
NO_0728,Lardal,1849,1463,0,9,544,36,8,188,72,37,296,209,0,13,4,3,26,4,5,0,0,0,0,0,0
NO_0805,Porsgrunn,26605,20662,9,105,7635,733,219,223,1047,753,5085,4023,9,161,11,18,478,48,0,0,0,0,0,0,0
NO_0806,Skien,39656,30294,55,140,10716,978,205,557,2156,1025,7040,6193,34,307,52,18,604,74,0,0,0,0,0,0,0
NO_0807,Notodden,9460,7136,2,23,2937,204,100,306,536,254,1291,1140,6,120,11,2,162,19,0,0,0,0,0,0,0
NO_0811,Siljan,1796,1463,0,8,569,55,6,91,101,35,262,272,0,26,4,1,22,3,0,0,0,0,0,0,0
NO_0814,Bamble,10751,8408,11,40,2879,159,75,178,538,218,1935,2093,2,91,5,9,109,26,0,0,0,0,0,0,0
NO_0815,Kragerø,8171,6366,1,27,2425,227,128,129,444,244,1310,1134,2,65,5,8,171,19,0,0,0,0,0,0,0
NO_0817,Drangedal,3082,2401,1,16,988,74,8,218,199,74,366,348,0,46,3,0,37,7,0,0,0,0,0,0,0
NO_0819,Nome,4974,3914,4,24,1528,108,16,308,232,128,723,696,0,46,1,2,63,11,0,0,0,0,0,0,0
NO_0821,Bø (Telem.),4180,3154,4,14,1048,150,26,273,259,193,587,428,0,26,6,5,111,10,0,0,0,0,0,0,0
NO_0822,Sauherad,3252,2463,6,11,817,71,17,271,210,123,402,412,1,21,4,2,77,7,0,0,0,0,0,0,0
NO_0826,Tinn,4473,3425,3,17,1282,114,31,321,106,98,771,570,1,9,1,1,76,7,0,0,0,0,0,0,0
NO_0827,Hjartdal,1252,938,1,1,365,15,2,176,105,16,113,116,0,10,1,0,16,0,0,0,0,0,0,0,0
NO_0828,Seljord,2227,1730,8,4,505,49,12,206,124,54,391,270,0,43,1,1,57,1,0,0,0,0,0,0,0
NO_0829,Kviteseid,1911,1403,0,2,456,41,8,212,161,41,228,207,0,11,4,1,27,2,0,0,0,0,0,0,0
NO_0830,Nissedal,1078,862,1,2,279,8,2,101,147,18,125,147,0,14,0,0,16,0,0,0,0,0,0,0,0
NO_0831,Fyresdal,948,725,0,5,282,15,2,142,25,23,134,73,0,3,0,0,15,1,0,0,0,0,0,0,0
NO_0833,Tokke,1730,1398,0,9,573,46,8,245,100,29,183,160,1,10,2,0,20,3,0,0,0,0,0,0,0
NO_0834,Vinje,2806,2158,6,7,679,145,19,403,120,67,354,282,0,8,5,0,55,1,0,0,0,0,0,0,0
NO_0901,Risør,5202,4054,17,29,1411,118,41,125,273,224,970,653,0,36,11,2,94,10,11,0,0,0,0,0,0
NO_0904,Grimstad,15176,11701,6,53,2534,284,53,376,1721,690,3223,2217,9,166,15,3,222,36,40,0,0,0,0,0,0
NO_0906,Arendal,31832,24715,68,130,7630,731,150,607,2051,1210,6205,4672,12,266,39,10,515,86,203,0,0,0,0,0,0
NO_0911,Gjerstad,1856,1433,3,6,459,29,8,135,122,56,298,260,1,21,2,1,16,3,7,0,0,0,0,0,0
NO_0912,Vegårshei,1461,1208,0,5,378,7,3,125,234,28,240,143,2,12,4,0,16,2,4,0,0,0,0,0,0
NO_0914,Tvedestrand,4514,3515,3,22,971,101,15,192,320,165,945,605,4,36,10,2,87,4,11,0,0,0,0,0,0
NO_0919,Froland,3869,2920,2,14,844,45,8,235,431,57,479,635,1,93,6,3,35,4,14,0,0,0,0,0,0
NO_0926,Lillesand,7245,5831,3,8,1278,192,25,115,547,363,2213,817,9,62,6,5,136,12,32,0,0,0,0,0,0
NO_0928,Birkenes,3444,2614,5,18,494,31,8,202,476,73,749,425,3,45,5,1,49,6,6,0,0,0,0,0,0
NO_0929,Åmli,1306,1032,1,6,385,28,12,156,95,32,126,145,1,22,4,1,5,1,6,0,0,0,0,0,0
NO_0935,Iveland,928,767,0,5,144,9,9,87,152,17,136,160,1,26,2,0,9,2,3,0,0,0,0,0,0
NO_0937,Evje og Hornnes,2526,1905,0,11,568,27,3,140,377,48,336,298,0,27,9,6,28,7,9,0,0,0,0,0,0
NO_0938,Bygland,922,742,0,1,214,13,4,137,94,22,132,91,3,14,1,0,7,3,5,0,0,0,0,0,0
NO_0940,Valle,946,700,0,3,175,14,3,126,82,25,132,95,0,26,3,1,10,0,2,0,0,0,0,0,0
NO_0941,Bykle,637,503,2,4,138,23,3,57,44,23,119,62,0,10,0,0,13,0,1,0,0,0,0,0,0
NO_1001,Kristiansand,60894,47476,76,175,11717,1535,271,459,5983,2517,13936,7450,398,594,0,8,1425,161,556,20,0,20,0,0,0
NO_1002,Mandal,10978,8529,10,28,2061,236,32,209,809,355,2366,1892,11,195,0,6,209,16,63,3,0,0,0,0,0
NO_1003,Farsund,6891,5262,10,25,1165,133,9,203,653,185,1377,1225,6,105,0,8,70,8,49,1,0,5,0,0,0
NO_1004,Flekkefjord,6560,5122,7,18,1145,118,30,216,676,195,1417,1083,5,86,0,3,68,15,14,7,0,1,0,0,0
NO_1014,Vennesla,9941,7792,1,29,2077,115,31,278,1509,159,1528,1499,37,304,0,6,90,26,49,17,0,8,0,0,0
NO_1017,Songdalen,4342,3344,5,12,826,57,14,231,451,106,756,692,23,74,0,1,46,9,24,4,0,1,0,0,0
NO_1018,Søgne,7758,6084,7,7,1291,169,32,121,707,291,1956,1184,18,99,0,2,125,18,48,1,0,1,0,0,0
NO_1021,Marnardal,1611,1276,3,8,344,23,4,180,146,39,240,194,3,37,0,3,25,3,6,9,0,1,0,0,0
NO_1026,Åseral,623,489,0,1,110,5,1,97,93,9,77,73,1,14,0,1,2,0,4,0,0,0,0,0,0
NO_1027,Audnedal,1205,1009,3,1,191,8,1,131,290,12,160,153,0,45,0,0,7,1,3,0,0,2,0,0,0
NO_1029,Lindesnes,3372,2604,18,7,455,39,10,139,403,129,688,538,5,93,0,1,32,5,33,1,0,1,0,0,0
NO_1032,Lyngdal,5462,4267,3,8,682,71,6,222,936,104,1224,797,3,139,0,2,29,10,22,0,0,1,0,0,0
NO_1034,Hægebostad,1205,985,1,2,150,2,0,126,243,11,159,184,0,90,0,0,11,1,3,0,0,0,0,0,0
NO_1037,Kvinesdal,4196,3236,18,22,824,43,18,191,456,56,705,746,5,74,0,2,37,10,6,1,0,0,0,0,0
NO_1046,Sirdal,1279,1016,1,1,189,14,1,159,181,37,229,153,1,26,0,0,20,1,1,1,0,0,0,0,0
NO_1101,Eigersund,10357,7702,19,28,1864,178,28,457,838,306,2200,1491,2,89,9,7,115,18,23,0,0,2,0,0,0
NO_1102,Sandnes,46925,36850,41,180,7994,1110,163,1321,3817,1687,11325,7416,24,270,41,35,809,195,172,56,0,14,0,0,0
NO_1103,Stavanger,87180,68025,56,165,17528,3549,499,1052,4212,4376,22588,10690,22,279,48,21,2155,253,291,55,0,21,0,0,0
NO_1106,Haugesund,25003,19254,8,83,5310,565,86,306,1060,826,6299,3465,10,156,62,64,458,85,283,39,0,6,0,0,0
NO_1111,Sokndal,2445,1918,0,5,433,28,5,121,316,45,418,413,1,82,13,1,21,4,4,0,0,3,0,0,0
NO_1112,Lund,2282,1796,0,2,399,21,5,185,297,46,341,397,2,57,4,1,25,5,6,0,0,1,0,0,0
NO_1114,Bjerkreim,1903,1575,0,1,196,16,2,452,330,27,318,182,1,27,1,2,14,2,2,1,0,0,0,0,0
NO_1119,Hå,11592,9262,12,36,1348,168,18,1316,1805,175,2185,1773,3,188,29,7,106,28,19,10,0,0,0,0,0
NO_1120,Klepp,12141,9592,7,41,1522,172,27,911,1279,302,2829,2100,8,97,22,6,157,31,27,9,0,4,0,0,0
NO_1121,Time,12233,10012,1,39,2043,302,21,1001,1381,382,2740,1597,1,133,15,5,255,27,22,8,0,0,0,0,0
NO_1122,Gjesdal,7384,5858,2,18,1204,146,16,459,969,182,1485,1164,1,36,7,1,97,31,14,7,0,1,0,0,0
