gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,MDG,V,H,FrP,ND,DNI,EP,FOR,GP,VIPartiet,INP,K,PP,Sentrum,RUS,NKP,Pasientfokus
NO_3201,Drammen,91800,79524,25,325,17670,3088,2202,641,1912,4964,7767,23928,14702,380,41,0,226,263,95,295,128,447,100,0,0,0
NO_3203,Kongsberg,69815,59319,37,308,13950,2541,2080,981,1651,3995,4528,14241,12657,409,54,0,174,358,88,244,162,482,71,0,0,0
NO_3205,Ringerike,66324,52234,117,429,15895,3226,2237,1851,1273,1973,1730,7883,13129,336,71,0,146,335,86,209,178,440,261,0,0,0
NO_3207,Nordre Follo,45695,38568,71,249,10942,2226,1530,670,1131,2411,2086,7779,7857,275,25,0,102,199,62,114,78,415,97,0,0,0
NO_3209,Ullensaker,29846,22415,45,229,6077,1111,1150,844,415,587,587,3048,7091,211,35,0,86,152,33,92,80,202,111,0,0,0
NO_3212,Lier,14756,12951,21,58,3454,958,1076,176,316,1816,729,1788,1985,85,8,0,96,135,17,44,26,83,22,0,0,0
NO_3214,Øvre Eiker,12146,10491,29,42,2486,446,375,230,215,653,584,2402,2486,67,8,0,31,91,13,35,26,203,27,0,0,0
NO_3216,Modum,13930,11429,26,118,3170,529,579,364,277,633,463,1858,2774,121,19,0,41,92,17,52,42,118,18,0,0,0
NO_3218,Krødsherad,15095,12655,33,85,3450,927,721,539,385,1138,567,1773,2497,93,7,0,49,67,15,39,46,108,31,0,0,0
NO_3220,Flå,7917,6269,8,58,1577,294,295,327,199,168,155,797,2033,54,9,0,11,48,11,43,30,82,12,0,0,0
NO_3222,Nesbyen,34582,26513,40,207,8060,2127,1300,381,524,1050,1008,4292,6211,145,18,0,88,153,44,60,91,282,225,0,0,0
NO_3224,Gol,13902,11113,21,95,3524,619,452,241,306,417,377,1692,2791,77,14,0,27,84,20,37,74,112,38,0,0,0
NO_3226,Hemsedal,13053,10414,12,124,3247,274,477,1015,382,181,129,923,3045,98,24,0,21,106,17,59,47,94,15,0,0,0
NO_3228,Ål,17529,13810,20,144,4182,541,678,1033,307,403,290,1245,4099,166,30,0,39,110,40,115,81,125,18,0,0,0
NO_3230,Hol,5209,4362,23,35,1205,133,132,272,157,161,138,739,1156,31,7,0,8,25,14,14,24,48,5,0,0,0
NO_3232,Sigdal,18001,14832,16,109,4430,870,627,406,367,834,631,2479,3462,92,13,0,55,96,30,44,38,85,39,0,0,0
NO_3234,Flesberg,6964,5819,12,66,1859,221,282,414,153,220,153,698,1413,60,11,0,14,46,5,28,37,55,6,0,0,0
NO_3236,Rollag,5164,4214,17,61,1349,166,197,262,72,101,81,479,1171,37,4,0,12,38,10,38,10,43,5,0,0,0
NO_3238,Nore og Uvdal,10750,8297,18,86,2177,357,354,503,261,235,175,927,2664,126,6,0,27,76,22,42,46,82,27,0,0,0
NO_3240,Eidsvoll,19733,15373,40,193,4411,828,821,853,407,503,326,1685,4241,157,32,0,51,142,37,123,61,251,18,0,0,0
NO_3242,Hurdal,2181,1729,8,16,412,54,98,193,78,85,39,126,496,23,2,0,9,35,3,10,12,13,1,0,0,0
NO_3301,Bærum,75486,57788,122,501,17214,3004,2647,1179,1545,2368,2032,9245,15013,457,97,0,162,347,74,232,231,419,398,0,0,0
NO_3303,Asker,21401,17241,32,176,5486,758,657,886,419,721,596,2516,4097,152,29,0,62,109,42,127,71,113,16,0,0,0
NO_3305,Lillestrøm,23634,18594,61,225,5501,721,883,934,430,530,434,2464,5289,151,24,0,38,155,28,208,44,233,16,0,0,0
NO_3310,Hole,4939,4107,8,31,969,153,138,199,156,149,154,930,1016,50,5,0,7,32,10,29,7,29,4,0,0,0
NO_3312,Nesodden,19468,16103,33,107,4440,642,524,560,365,714,651,3214,4228,109,16,0,35,92,27,58,47,80,54,0,0,0
NO_3314,Frogn,14871,11959,5,123,3115,393,339,750,509,267,266,1459,4027,144,33,0,35,87,27,78,85,78,16,0,0,0
NO_3316,Vestby,10855,8492,0,86,2498,243,342,664,170,208,144,851,2838,103,18,0,14,69,14,48,31,50,15,0,0,0
NO_3318,Ås,1574,1286,0,12,366,34,42,149,21,19,14,163,395,20,3,0,2,4,0,11,2,14,3,0,0,0
NO_3320,Enebakk,787,648,0,8,167,14,20,108,16,5,7,76,188,5,2,0,4,7,1,3,1,8,0,0,0,0
NO_3322,Lørenskog,2452,1930,0,13,636,51,75,263,70,30,34,241,415,14,2,0,4,13,4,11,21,19,1,0,0,0
NO_3324,Rælingen,3446,2731,10,25,720,102,80,321,85,52,58,420,752,25,1,0,6,13,6,7,13,9,1,0,0,0
NO_3326,Aurskog-Høland,1635,1407,1,6,297,78,38,208,95,57,50,223,302,6,2,0,3,10,5,4,9,3,4,0,0,0
NO_3328,Nes,3526,2995,4,23,856,130,59,525,172,102,67,339,609,16,2,0,9,17,4,8,19,10,1,0,0,0
NO_3330,Gjerdrum,3135,2602,3,22,589,101,60,370,76,74,71,420,701,17,4,0,11,20,4,6,17,11,3,0,0,0
NO_3332,Nittedal,2682,2173,4,10,503,45,57,501,32,20,18,217,646,34,10,0,3,29,4,17,2,10,1,0,0,0
NO_3334,Lunner,1999,1606,4,11,370,45,59,217,37,21,30,150,574,22,3,0,7,15,2,5,9,14,0,0,0,0
NO_3336,Jevnaker,1075,877,3,5,275,18,43,185,36,13,10,64,184,7,7,0,1,12,0,5,1,3,0,0,0,0
NO_3338,Nannestad,1840,1456,1,16,345,40,47,334,46,33,8,117,384,30,6,0,3,4,3,13,5,4,1,0,0,0
NO_3401,Kongsvinger,14073,10764,17,126,3736,402,516,820,183,221,185,1040,2855,115,21,0,16,59,13,38,31,235,9,0,0,0
NO_3403,Hamar,25582,20831,24,170,7945,1408,1068,1091,598,1021,731,2758,3083,103,14,0,40,98,24,73,55,328,29,0,0,0
NO_3405,Lillehammer,21997,17783,5,150,6471,1216,924,1130,445,991,599,2277,2777,84,24,0,55,101,17,81,38,214,34,0,0,0
NO_3407,Gjøvik,23568,18205,31,175,6647,836,836,1420,505,538,526,2125,3729,112,26,0,40,107,35,98,81,135,28,0,0,0
NO_3411,Ringsaker,26992,20811,13,257,7575,769,809,2285,426,543,380,1875,4495,206,19,0,37,133,37,151,35,483,26,0,0,0
NO_3412,Løten,6008,4778,12,57,1704,170,218,705,125,132,46,252,1014,76,11,0,8,45,16,32,23,69,6,0,0,0
NO_3413,Stange,16165,13174,24,148,4740,716,674,1488,571,452,252,1050,2259,192,16,0,34,77,29,62,52,179,11,0,0,0
NO_3414,Nord-Odal,4075,3142,0,54,1005,143,210,443,44,43,41,164,767,46,3,0,10,12,5,28,5,61,4,0,0,0
NO_3415,Sør-Odal,6336,4985,4,58,1414,193,292,593,54,85,96,355,1472,58,14,0,15,36,11,51,13,107,6,0,0,0
NO_3416,Eidskog,4903,3743,2,63,1156,79,170,469,59,50,55,264,1103,53,12,0,17,26,1,28,10,60,3,0,0,0
NO_3417,Grue,3654,2729,5,28,811,69,115,570,22,31,23,178,671,42,6,0,6,12,12,25,11,61,3,0,0,0
NO_3418,Åsnes,5789,4396,14,55,953,91,199,1278,58,50,35,157,1219,50,9,0,4,28,8,23,28,79,3,0,0,0
NO_3419,Våler (Innlandet),2785,2165,5,26,535,66,98,505,15,23,29,110,510,30,8,0,6,18,3,8,12,127,5,0,0,0
NO_3420,Elverum,16721,13227,16,168,4474,493,550,1502,188,338,182,1413,3011,135,11,0,32,85,16,105,11,317,12,0,0,0
NO_3421,Trysil,4896,3907,6,61,1349,169,111,719,88,58,47,342,733,38,1,0,6,23,2,25,18,45,5,0,0,0
NO_3422,Åmot,3252,2481,0,43,729,91,123,430,27,43,31,199,604,34,6,0,5,16,1,12,7,34,3,0,0,0
NO_3423,Stor-Elvdal,1736,1343,3,14,455,38,85,258,5,24,29,79,259,28,5,0,8,7,0,9,5,18,0,0,0,0
NO_3424,Rendalen,1403,1183,4,8,377,40,58,351,9,16,12,72,170,10,3,0,5,8,0,12,2,15,3,0,0,0
