gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,MDG,V,H,FrP,Alliansen,Dem,VIPartiet,K,KP,Lib,PP,Piratpartiet,NKP,SP,F!,NP [Norgespartiet],Verdi,NL,NT
NO_0612,Hole,4696,3850,7,20,862,157,51,382,135,115,162,1321,577,4,8,20,2,1,6,0,0,0,0,0,0,0,0,0
NO_0615,Flå,791,612,0,5,157,9,8,196,8,14,12,93,101,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
NO_0616,Nes (Busk.),2538,1920,0,9,463,61,18,518,82,44,44,398,244,3,2,19,4,1,1,0,0,0,0,0,0,0,0,0
NO_0617,Gol,3275,2485,1,11,550,106,13,576,73,47,60,639,379,1,3,9,2,0,4,0,0,0,0,0,0,0,0,0
NO_0618,Hemsedal,1514,1217,2,2,194,52,11,321,107,30,57,292,135,2,0,4,4,1,1,0,0,0,0,0,0,0,0,0
NO_0619,Ål,3420,2832,10,18,612,98,41,905,142,62,103,475,328,1,2,10,4,1,2,0,0,0,0,0,0,0,0,0
NO_0620,Hol,3226,2590,5,14,535,78,26,635,64,43,78,688,380,3,1,14,7,2,3,0,0,0,0,0,0,0,0,0
NO_0621,Sigdal,2603,2036,1,14,398,37,13,734,20,14,42,428,303,7,0,9,1,0,1,0,0,0,0,0,0,0,0,0
NO_0622,Krødsherad,1622,1277,4,13,374,42,11,329,15,18,28,244,173,1,0,9,2,0,1,0,0,0,0,0,0,0,0,0
NO_0623,Modum,10328,7835,4,63,2373,320,76,1226,194,151,144,1429,1688,3,10,67,15,2,7,0,0,0,0,0,0,0,0,0
NO_0624,Øvre Eiker,13251,10215,5,70,2756,493,111,1418,266,198,236,2457,1946,14,19,58,28,14,56,0,0,0,0,0,0,0,0,0
NO_0625,Nedre Eiker,17290,12996,24,102,4077,700,177,777,377,236,344,3267,2627,34,20,72,30,7,23,0,0,0,0,0,0,0,0,0
NO_0626,Lier,17694,14413,33,69,3740,726,155,1074,330,400,752,4609,2293,16,13,74,22,8,30,0,0,0,0,0,0,0,0,0
NO_0627,Røyken,14886,12286,34,78,3012,631,217,566,307,415,686,3866,2268,16,10,46,11,16,29,0,0,0,0,0,0,0,0,0
NO_0628,Hurum,6841,5504,1,36,1464,275,128,371,157,192,242,1535,982,6,4,37,14,5,19,0,0,0,0,0,0,0,0,0
NO_0631,Flesberg,1956,1493,7,8,275,43,18,447,26,34,29,269,312,1,2,4,7,1,2,0,0,0,0,0,0,0,0,0
NO_0632,Rollag,1084,863,1,2,206,16,6,360,27,5,21,107,100,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0
NO_0633,Nore og Uvdal,1890,1469,0,20,322,46,7,554,33,23,6,223,208,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0
NO_0701,Horten,19981,15596,18,121,5023,954,478,776,390,540,541,4153,2308,18,18,73,12,8,18,0,26,0,0,0,0,0,0,0
NO_0702,Holmestrand,8108,6349,2,41,1879,302,138,487,230,166,226,1744,989,6,11,34,20,3,20,0,10,0,0,0,0,0,0,0
NO_0704,Tønsberg,33140,26280,31,177,7299,1551,509,1151,1102,788,1162,8059,3916,26,21,118,72,12,72,0,37,0,0,0,0,0,0,0
NO_0709,Larvik,32921,25421,24,169,7326,1085,410,1499,1089,664,861,6880,4882,31,33,127,100,12,28,0,32,0,0,0,0,0,0,0
NO_0710,Sandefjord,44901,34478,37,226,8806,1544,482,1902,1237,903,1354,11319,5838,48,49,176,137,35,96,0,63,0,0,0,0,0,0,0
NO_0711,Svelvik,4873,3689,3,36,1021,124,59,280,78,90,89,1053,775,4,4,21,5,0,7,0,4,0,0,0,0,0,0,0
NO_0713,Sande (Vestf.),6785,5494,5,39,1454,184,74,540,131,113,192,1473,1170,13,9,27,4,4,16,0,7,0,0,0,0,0,0,0
NO_0714,Hof,2303,1810,0,11,477,80,34,299,54,61,41,438,278,1,3,7,8,0,2,0,5,0,0,0,0,0,0,0
NO_0716,Re,6831,5429,6,44,1222,207,64,955,325,138,118,1279,948,5,5,26,11,8,16,0,8,0,0,0,0,0,0,0
NO_0722,Nøtterøy,16123,13065,40,88,3429,704,260,437,416,478,614,4573,1789,21,4,40,26,17,27,0,14,0,0,0,0,0,0,0
NO_0723,Tjøme,3817,3069,14,34,714,153,73,159,68,141,149,965,522,8,0,9,3,8,6,0,9,0,0,0,0,0,0,0
NO_0728,Lardal,1829,1426,2,12,468,39,21,292,39,25,26,243,213,5,3,14,5,4,1,0,2,0,0,0,0,0,0,0
NO_0805,Porsgrunn,27248,20677,57,155,7225,1076,482,1082,797,533,654,4624,3514,29,30,102,100,21,41,0,0,0,0,0,0,0,0,0
NO_0806,Skien,40581,30388,86,203,9886,1704,569,2095,1673,772,833,6692,5235,46,54,112,160,28,37,0,0,0,0,0,0,0,0,0
NO_0807,Notodden,9401,7086,3,35,2357,300,233,1001,422,116,172,1235,1079,12,7,21,50,1,7,0,0,0,0,0,0,0,0,0
NO_0811,Siljan,1766,1409,0,4,474,54,21,271,59,27,29,250,194,2,2,1,15,1,1,0,0,0,0,0,0,0,0,0
NO_0814,Bamble,10751,8268,24,57,2536,290,121,721,379,122,186,1820,1838,10,12,27,43,12,13,0,0,0,0,0,0,0,0,0
NO_0815,Kragerø,8050,6158,0,19,1972,269,287,581,353,159,191,1327,914,7,6,19,29,1,5,0,0,0,0,0,0,0,0,0
NO_0817,Drangedal,3097,2370,4,8,728,100,26,644,140,36,41,284,305,5,5,2,30,2,2,0,0,0,0,0,0,0,0,0
NO_0819,Nome,4938,3762,0,27,1230,147,43,734,156,100,63,658,538,2,3,3,26,2,3,0,0,0,0,0,0,0,0,0
NO_0821,Bø (Telem.),4455,3269,11,12,839,212,60,595,164,187,123,529,477,5,4,12,19,1,7,0,0,0,0,0,0,0,0,0
NO_0822,Sauherad,3211,2435,7,6,684,85,51,487,125,88,99,390,385,2,1,11,6,2,0,0,0,0,0,0,0,0,0,0
NO_0826,Tinn,4393,3362,11,35,778,234,34,1236,45,64,48,462,335,5,1,22,9,2,6,0,0,0,0,0,0,0,0,0
NO_0827,Hjartdal,1204,963,1,6,245,13,10,334,63,9,4,108,153,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0
NO_0828,Seljord,2208,1683,3,12,373,68,20,441,59,45,43,327,256,2,2,4,11,2,3,0,0,0,0,0,0,0,0,0
NO_0829,Kviteseid,1886,1366,4,10,320,48,19,354,142,44,38,182,186,2,0,3,2,0,2,0,0,0,0,0,0,0,0,0
NO_0830,Nissedal,1083,870,3,3,223,22,7,207,110,18,13,125,124,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0
NO_0831,Fyresdal,964,755,2,5,241,11,6,302,13,13,6,65,77,2,0,2,4,0,1,0,0,0,0,0,0,0,0,0
NO_0833,Tokke,1705,1358,3,8,404,41,14,499,61,20,19,130,133,1,0,6,7,3,1,0,0,0,0,0,0,0,0,0
NO_0834,Vinje,2771,2178,21,20,416,126,38,873,64,39,29,237,270,4,0,6,9,2,4,0,0,0,0,0,0,0,0,0
NO_0901,Risør,5275,4080,15,25,1290,174,69,272,243,130,124,1023,635,5,2,5,17,0,1,20,5,0,0,0,0,0,0,0
NO_0904,Grimstad,15968,12441,17,59,2558,472,120,781,1623,418,466,3351,2239,11,31,33,107,2,14,56,24,0,0,0,0,0,0,0
NO_0906,Arendal,32534,25066,11,128,7231,1149,346,1396,1681,640,763,6413,4488,29,37,144,156,12,59,214,41,0,0,0,0,0,0,0
NO_0911,Gjerstad,1865,1440,11,7,385,36,10,295,94,19,25,288,240,1,1,6,5,2,2,5,1,0,0,0,0,0,0,0
NO_0912,Vegårshei,1491,1235,2,8,330,25,8,194,233,12,20,238,145,0,3,2,4,0,1,1,1,0,0,0,0,0,0,0
NO_0914,Tvedestrand,4498,3483,7,9,877,113,52,357,258,106,117,993,520,2,0,7,17,0,3,33,3,0,0,0,0,0,0,0
NO_0919,Froland,4119,3123,2,20,690,78,19,397,437,39,53,559,698,4,4,17,60,2,9,11,4,0,0,0,0,0,0,0
NO_0926,Lillesand,7707,6209,6,28,1279,287,84,264,530,186,379,2111,861,1,9,22,21,3,21,79,10,0,0,0,0,0,0,0
NO_0928,Birkenes,3605,2729,11,14,518,68,32,346,443,41,62,653,476,2,2,4,25,1,0,11,6,0,0,0,0,0,0,0
NO_0929,Åmli,1332,1065,0,4,327,31,19,217,99,6,11,166,156,2,2,2,6,1,2,8,2,0,0,0,0,0,0,0
NO_0935,Iveland,933,762,1,7,111,16,10,148,152,13,14,116,147,1,1,0,15,0,1,0,2,0,0,0,0,0,0,0
NO_0937,Evje og Hornnes,2587,1967,10,13,467,55,16,266,374,25,40,339,308,3,5,3,13,1,5,9,2,0,0,0,0,0,0,0
NO_0938,Bygland,934,736,0,3,172,19,9,188,79,13,10,125,93,0,4,1,8,0,3,5,1,0,0,0,0,0,0,0
NO_0940,Valle,910,663,3,3,136,12,6,161,61,10,16,123,117,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
NO_0941,Bykle,668,540,1,5,110,27,7,103,45,18,21,116,72,0,1,3,4,0,1,1,0,0,0,0,0,0,0,0
NO_1001,Kristiansand,64351,49807,100,259,11352,2810,888,1436,5717,1878,2311,14870,6536,43,519,122,269,12,129,207,90,0,0,0,0,0,0,0
NO_1002,Mandal,11327,8756,25,40,1812,341,93,486,794,260,282,2515,1872,11,31,22,57,5,13,49,8,0,0,0,0,0,0,0
NO_1003,Farsund,7028,5455,16,33,1064,165,82,337,575,76,150,1501,1295,7,16,14,38,6,7,32,8,0,0,0,0,0,0,0
NO_1004,Flekkefjord,6512,4910,1,20,865,162,50,521,612,69,124,1153,1215,3,20,13,30,8,8,10,6,0,0,0,0,0,0,0
NO_1014,Vennesla,10326,7936,0,35,1758,226,55,652,1423,113,172,1646,1540,11,69,9,130,4,10,40,8,0,0,0,0,0,0,0
NO_1017,Songdalen,4508,3400,4,21,732,99,38,382,420,78,82,764,651,4,32,6,27,11,8,6,14,0,0,0,0,0,0,0
NO_1018,Søgne,8146,6399,12,30,1173,244,54,542,600,218,240,2041,1051,1,26,14,82,1,9,24,7,0,0,0,0,0,0,0
NO_1021,Marnardal,1668,1322,1,1,256,30,16,396,114,28,34,236,175,1,5,2,11,1,10,1,3,0,0,0,0,0,0,0
NO_1026,Åseral,661,534,0,4,89,8,2,135,85,2,5,111,79,0,1,2,3,1,1,2,0,0,0,0,0,0,0,0
NO_1027,Audnedal,1227,1010,1,3,129,18,7,193,269,11,5,166,180,0,4,2,14,2,1,2,0,0,0,0,0,0,0,0
NO_1029,Lindesnes,3456,2699,12,10,398,63,29,284,358,35,81,787,545,3,7,6,36,4,1,30,0,0,0,0,0,0,0,0
NO_1032,Lyngdal,5721,4478,0,11,578,89,18,360,911,51,84,1324,950,5,9,9,38,2,7,15,6,0,0,0,0,0,0,0
NO_1034,Hægebostad,1229,1009,0,1,103,5,4,204,242,13,12,183,205,1,0,1,30,2,1,1,0,0,0,0,0,0,0,0
NO_1037,Kvinesdal,4249,3349,6,5,759,54,34,404,480,54,44,630,813,5,7,4,20,7,6,9,3,0,0,0,0,0,0,0
NO_1046,Sirdal,1275,1025,2,4,170,19,6,210,147,25,28,219,177,4,2,0,8,0,0,0,0,0,0,0,0,0,0,0
NO_1101,Eigersund,10609,8130,18,42,1825,224,59,752,598,129,225,2202,1881,13,7,15,31,7,16,33,7,4,0,0,0,0,0,0
NO_1102,Sandnes,49899,39196,136,268,8950,1476,475,2168,3245,1055,1393,10760,8214,46,52,81,183,28,116,172,82,7,0,0,0,21,0,0
