gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,MDG,V,H,FrP,Alliansen,Dem,VIPartiet,K,KP,Lib,PP,Piratpartiet,NKP,SP,F!,NP [Norgespartiet],Verdi,NL,NT
NO_1246,Fjell,17694,14518,38,109,2702,604,143,526,1160,308,462,5170,2961,5,17,34,61,34,32,0,28,0,0,15,0,0,0,0
NO_1247,Askøy,19907,16271,28,147,3552,969,278,633,780,404,639,5408,3044,10,29,43,48,19,33,0,28,0,0,32,0,0,0,0
NO_1251,Vaksdal,3002,2387,6,19,726,169,16,388,142,51,36,403,374,3,2,12,12,2,1,0,4,0,0,2,0,0,0,0
NO_1252,Modalen,266,215,1,1,36,8,3,83,12,7,5,35,18,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
NO_1253,Osterøy,5735,4694,3,28,924,194,77,606,353,131,127,1271,868,14,9,5,25,6,10,0,7,0,0,8,0,0,0,0
NO_1256,Meland,5468,4554,5,23,985,213,55,402,525,152,125,1276,686,5,3,9,31,6,12,0,9,0,0,9,0,0,0,0
NO_1259,Øygarden,3397,2822,5,19,541,109,20,125,272,32,61,864,708,2,2,6,28,4,0,0,4,0,0,1,0,0,0,0
NO_1260,Radøy,3582,2916,6,10,626,112,34,517,180,45,85,803,441,3,8,8,15,4,4,0,4,0,0,1,0,0,0,0
NO_1263,Lindås,11137,9067,32,57,1625,366,102,1055,1003,174,249,2641,1545,8,11,23,69,14,15,0,14,0,0,7,0,0,0,0
NO_1264,Austrheim,2015,1638,3,6,330,50,8,159,136,24,43,544,309,0,3,4,2,1,3,0,4,0,0,3,0,0,0,0
NO_1265,Fedje,420,368,1,1,88,9,3,21,50,3,8,112,52,0,5,0,8,5,0,0,1,0,0,0,0,0,0,0
NO_1266,Masfjorden,1270,1064,0,3,215,25,3,251,61,18,30,300,141,1,1,3,3,2,3,0,0,0,0,1,0,0,0,0
NO_1401,Flora,8455,6485,4,61,1945,304,92,908,169,217,248,1670,751,4,4,7,29,0,11,0,0,0,0,0,0,0,0,0
NO_1411,Gulen,1708,1380,0,4,260,35,8,432,80,18,27,355,151,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
NO_1412,Solund,589,452,0,0,93,12,5,123,14,10,3,145,43,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
NO_1413,Hyllestad,1020,813,2,7,202,20,8,311,27,23,14,136,52,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
NO_1416,Høyanger,3080,2431,3,18,916,68,99,581,58,36,51,375,189,5,3,3,8,0,0,0,0,0,0,0,0,0,0,0
NO_1417,Vik,1975,1539,0,7,341,38,7,740,42,16,22,180,133,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0
NO_1418,Balestrand,893,746,0,5,141,46,15,247,77,20,22,119,44,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
NO_1419,Leikanger,1695,1478,1,7,418,105,19,535,42,32,58,159,89,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
NO_1420,Sogndal,5691,4640,6,25,1075,357,46,1483,179,141,165,708,409,2,2,6,8,0,3,0,0,0,0,0,0,0,0,0
NO_1421,Aurland,1302,1033,0,3,275,34,9,304,14,50,39,193,103,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
NO_1422,Lærdal,1575,1260,1,6,340,66,26,460,7,19,31,167,127,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
NO_1424,Årdal,4054,3235,20,9,1913,84,29,530,15,37,39,309,213,1,3,14,6,0,4,0,0,0,0,0,0,0,0,0
NO_1426,Luster,3791,3128,0,11,855,108,27,1233,167,60,61,339,230,1,2,5,17,0,1,0,0,0,0,0,0,0,0,0
NO_1428,Askvoll,2301,1869,7,4,326,68,13,600,107,24,76,497,115,3,1,3,15,0,6,0,0,0,0,0,0,0,0,0
NO_1429,Fjaler,1953,1557,4,6,309,83,32,648,35,49,64,216,93,3,0,2,6,0,1,0,0,0,0,0,0,0,0,0
NO_1430,Gaular,2106,1750,5,9,292,64,11,660,123,37,33,363,133,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0
NO_1431,Jølster,2126,1753,5,7,319,78,15,668,79,37,81,317,124,1,0,2,10,0,3,0,0,0,0,0,0,0,0,0
NO_1432,Førde,9067,7251,10,36,1965,497,103,1667,311,215,298,1500,544,6,5,16,33,0,9,0,0,0,0,0,0,0,0,0
NO_1433,Naustdal,2070,1658,3,7,369,102,24,536,72,28,34,309,154,1,1,4,6,0,1,0,0,0,0,0,0,0,0,0
NO_1438,Bremanger,2675,2094,5,8,523,85,20,592,94,39,58,390,253,2,3,4,6,0,4,0,0,0,0,0,0,0,0,0
NO_1439,Vågsøy,4266,3331,13,18,518,101,78,521,157,44,203,923,696,0,3,16,21,0,1,0,0,0,0,0,0,0,0,0
NO_1441,Selje,2098,1653,1,7,178,37,20,343,142,38,68,328,466,0,1,6,8,0,3,0,0,0,0,0,0,0,0,0
NO_1443,Eid,4352,3468,2,24,481,150,28,1085,159,66,533,507,393,2,2,3,8,0,1,0,0,0,0,0,0,0,0,0
NO_1444,Hornindal,884,726,1,6,120,11,5,335,7,13,47,123,46,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
NO_1445,Gloppen,4232,3505,1,10,501,163,18,1691,336,93,149,321,184,1,0,4,21,0,2,0,0,0,0,0,0,0,0,0
NO_1449,Stryn,4735,3631,2,14,583,65,33,1213,170,48,108,923,418,3,4,5,26,0,2,0,0,0,0,0,0,0,0,0
NO_1502,Molde,19475,15512,10,75,2872,1007,180,950,928,559,651,5166,2748,19,10,0,74,19,29,132,0,0,0,0,0,0,8,0
NO_1504,Ålesund,33387,25945,21,152,5416,997,294,1178,1698,653,1017,7827,6133,34,27,0,152,22,33,134,0,0,0,0,0,0,5,0
NO_1505,Kristiansund,17971,13156,23,106,3801,486,581,2103,207,234,675,1077,1863,18,8,0,24,14,25,62,0,0,0,0,0,0,1743,0
NO_1511,Vanylven,2523,1995,0,10,320,37,6,343,144,21,82,354,636,0,0,0,17,5,2,8,0,0,0,0,0,0,0,0
NO_1514,Sande (M. og R.),1727,1398,0,8,231,29,6,178,80,7,34,412,390,1,1,0,6,3,0,4,0,0,0,0,0,0,0,0
NO_1515,Herøy (M. og R.),6337,5003,8,23,756,97,23,316,450,54,131,1494,1556,4,8,0,43,4,4,9,0,0,0,0,0,0,0,0
NO_1516,Ulstein,5620,4538,8,15,732,163,19,320,430,78,170,1426,1104,4,3,0,36,3,3,8,0,0,0,0,0,0,1,0
NO_1517,Hareid,3556,2799,3,19,457,94,23,256,185,38,105,706,873,1,0,0,12,0,2,5,0,0,0,0,0,0,1,0
NO_1519,Volda,6618,5424,2,33,1060,402,108,859,522,212,162,844,1144,4,4,0,21,1,4,5,0,0,0,0,0,0,4,0
NO_1520,Ørsta,7914,6231,2,41,1218,218,48,1232,313,146,153,1142,1600,9,11,0,36,4,5,12,0,0,0,0,0,0,0,0
NO_1523,Ørskog,1592,1308,4,14,250,31,9,195,64,35,37,304,333,0,0,0,5,1,0,11,0,0,0,0,0,0,1,0
NO_1524,Norddal,1209,931,3,4,136,42,15,317,43,18,18,138,178,0,1,0,6,3,2,3,0,0,0,0,0,0,0,0
NO_1525,Stranda,3178,2475,2,7,401,69,18,596,164,35,64,521,558,4,2,0,10,0,2,15,0,0,0,0,0,0,0,0
NO_1526,Stordal,684,522,1,4,91,5,1,113,28,6,3,168,89,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0
NO_1528,Sykkylven,5446,4273,1,18,736,125,29,539,242,64,136,1093,1195,7,4,0,42,2,9,13,0,0,0,0,0,0,0,0
NO_1529,Skodje,3201,2564,4,26,424,81,23,257,213,47,79,685,668,4,2,0,11,1,2,11,0,0,0,0,0,0,0,0
NO_1531,Sula,6119,4839,10,20,952,146,20,249,479,73,132,1225,1431,0,6,0,42,2,10,20,0,0,0,0,0,0,2,0
NO_1532,Giske,5569,4542,2,21,632,115,31,288,677,81,200,1294,1127,0,1,0,39,1,3,8,0,0,0,0,0,0,1,0
NO_1534,Haram,6417,5180,5,28,1001,99,30,864,375,102,152,1154,1268,6,4,0,34,6,5,17,0,0,0,0,0,0,2,0
NO_1535,Vestnes,4826,3721,4,21,556,154,32,629,179,60,109,836,984,3,2,0,18,2,3,103,0,0,0,0,0,0,5,0
NO_1539,Rauma,5511,4134,9,17,774,328,32,684,209,85,96,936,869,6,2,0,12,2,7,43,0,0,0,0,0,0,6,0
NO_1543,Nesset,2260,1682,0,13,382,40,5,317,72,18,24,376,402,0,1,0,6,0,0,12,0,0,0,0,0,0,1,0
NO_1545,Midsund,1409,1088,0,1,168,22,5,169,64,5,33,371,224,0,1,0,9,0,2,13,0,0,0,0,0,0,0,0
NO_1546,Sandøy,888,699,0,4,152,20,6,55,36,9,30,254,116,0,0,0,5,3,0,5,0,0,0,0,0,0,0,0
NO_1547,Aukra,2461,1890,1,11,364,76,16,211,106,28,71,540,428,4,1,0,7,2,1,10,0,0,0,0,0,0,2,0
NO_1548,Fræna,7009,5353,9,30,847,155,35,767,293,82,99,1440,1453,22,11,0,32,4,6,36,0,0,0,0,0,0,2,0
NO_1551,Eide,2479,1928,5,12,430,48,4,271,71,30,55,454,494,6,3,0,5,2,2,14,0,0,0,0,0,0,10,0
NO_1554,Averøy,4213,3178,3,13,841,90,40,541,170,57,182,379,706,2,3,0,8,4,7,23,0,0,0,0,0,0,96,0
NO_1557,Gjemnes,1924,1508,5,8,293,55,14,426,110,27,33,248,238,2,0,0,6,1,0,10,0,0,0,0,0,0,24,0
NO_1560,Tingvoll,2314,1826,3,13,501,56,11,524,82,53,54,190,277,2,0,0,4,1,2,3,0,0,0,0,0,0,37,0
NO_1563,Sunndal,5416,4268,4,22,1951,247,53,646,111,76,111,453,535,5,3,0,0,2,1,14,0,0,0,0,0,0,12,0
NO_1566,Surnadal,4610,3427,8,16,1175,74,20,1050,101,68,46,407,417,5,1,0,3,3,1,7,0,0,0,0,0,0,9,0
NO_1567,Rindal,1574,1224,0,6,360,25,14,501,39,16,4,138,102,0,1,0,0,0,2,8,0,0,0,0,0,0,2,0
NO_1571,Halsa,1209,951,3,6,253,23,16,268,24,31,17,155,132,5,1,0,0,2,0,3,0,0,0,0,0,0,6,0
NO_1573,Smøla,1610,1258,2,4,350,45,13,287,30,16,47,211,171,0,0,0,10,0,1,2,0,0,0,0,0,0,65,0
NO_1576,Aure,2631,2018,6,6,470,44,29,547,78,43,76,290,308,4,6,0,5,2,0,8,0,0,0,0,0,0,90,0
NO_1601,Trondheim,139442,112646,306,712,36715,10926,4309,5925,2622,5649,5642,24517,11339,127,96,245,112,69,279,2091,253,0,0,0,0,0,0,0
NO_1612,Hemne,3239,2397,1,12,914,51,32,536,63,35,41,393,279,1,1,4,4,2,1,14,1,0,0,0,0,0,0,0
NO_1613,Snillfjord,763,578,0,1,149,10,9,197,28,7,4,83,77,1,0,2,1,0,0,8,0,0,0,0,0,0,0,0
NO_1617,Hitra,3120,2282,7,5,563,107,55,302,64,42,41,484,457,3,2,7,4,3,2,126,3,0,0,0,0,0,0,0
NO_1620,Frøya,3078,2248,18,18,795,83,53,212,42,31,80,420,420,3,1,10,2,6,1,31,4,0,0,0,0,0,0,0
NO_1621,Ørland,4044,3097,4,40,786,91,41,515,58,52,55,821,502,7,2,10,1,7,9,41,15,0,0,0,0,0,0,0
NO_1622,Agdenes,1304,1037,0,8,262,19,13,271,39,21,12,226,135,3,0,0,2,0,1,16,1,0,0,0,0,0,0,0
NO_1624,Rissa,4876,3651,9,17,866,166,38,756,127,88,68,792,546,6,9,12,8,5,3,112,6,0,0,0,0,0,0,0
NO_1627,Bjugn,3618,2642,4,27,766,92,52,472,64,45,45,502,479,5,2,6,1,1,3,45,4,0,0,0,0,0,0,0
NO_1630,Åfjord,2557,1937,4,7,468,65,14,471,111,33,29,375,318,2,2,7,4,0,2,17,1,0,0,0,0,0,0,0
NO_1632,Roan,718,545,1,4,133,13,7,159,26,10,8,90,80,0,0,2,0,3,0,5,0,0,0,0,0,0,0,0
NO_1633,Osen,761,587,3,8,171,21,6,178,9,12,20,59,73,0,2,1,0,5,0,11,0,0,0,0,0,0,0,0
NO_1634,Oppdal,5128,3990,0,12,1120,123,34,1018,167,68,125,809,462,5,3,5,7,0,2,10,8,0,0,0,0,0,0,0
NO_1635,Rennebu,1976,1549,2,9,421,40,10,480,163,26,36,172,171,0,0,0,2,1,2,2,3,0,0,0,0,0,0,0
NO_1636,Meldal,2995,2343,2,13,916,47,16,605,59,25,33,298,261,12,3,0,5,4,2,25,4,0,0,0,0,0,0,0
NO_1638,Orkdal,8875,6671,8,28,2438,253,73,941,175,99,191,1143,1124,22,8,11,14,7,7,94,7,0,0,0,0,0,0,0
NO_1640,Røros,4399,3613,1,29,1466,290,103,672,24,90,103,556,217,3,5,6,0,0,1,17,1,0,0,0,0,0,0,0
NO_1644,Holtålen,1607,1353,0,8,469,46,11,542,7,13,12,96,118,6,1,2,0,1,1,12,0,0,0,0,0,0,0,0
NO_1648,Midtre Gauldal,4376,3390,10,23,1057,87,19,1063,131,38,60,443,382,4,5,8,10,2,1,20,4,0,0,0,0,0,0,0
NO_1653,Melhus,11781,9218,16,60,2930,359,124,1534,476,196,205,1756,1303,12,7,24,23,10,13,95,15,0,0,0,0,0,0,0
NO_1657,Skaun,5743,4649,10,29,1387,248,64,811,210,114,112,847,657,17,4,7,10,6,11,71,5,0,0,0,0,0,0,0
NO_1662,Klæbu,4203,3350,11,25,1067,197,53,330,108,84,106,718,532,10,9,13,5,7,11,33,6,0,0,0,0,0,0,0
NO_1663,Malvik,9687,7890,15,51,2745,537,167,640,163,259,316,1682,1006,15,5,21,10,2,14,174,17,0,0,0,0,0,0,0
NO_1664,Selbu,3113,2378,10,24,848,122,34,542,33,40,32,396,254,0,1,2,0,1,2,10,3,0,0,0,0,0,0,0
NO_1665,Tydal,664,541,2,1,158,15,7,237,5,5,9,41,56,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
NO_1702,Steinkjer,16662,12901,22,69,4476,594,237,3725,164,228,276,1609,1225,8,29,45,8,5,13,69,30,0,0,0,0,0,0,0
NO_1703,Namsos,9667,7274,19,36,2788,506,108,994,220,125,177,1208,936,8,7,48,21,0,7,22,8,0,0,0,0,0,0,0
NO_1711,Meråker,1859,1363,3,7,475,89,23,339,9,25,21,161,184,1,3,2,0,1,0,10,3,0,0,0,0,0,0,0
NO_1714,Stjørdal,17526,13811,20,102,4763,634,351,2071,388,315,343,2654,1807,21,23,32,34,8,23,100,20,0,0,0,0,0,0,0
NO_1717,Frosta,1906,1549,3,13,412,52,18,400,82,21,53,297,163,0,1,4,0,0,1,15,1,0,0,0,0,0,0,0
NO_1718,Leksvik,2572,2021,4,14,549,75,19,480,61,30,46,378,292,3,2,5,3,1,2,41,2,0,0,0,0,0,0,0
NO_1719,Levanger,14565,11666,10,74,4224,642,192,2383,597,226,262,1620,1153,11,6,54,38,9,4,73,14,0,0,0,0,0,0,0
NO_1721,Verdal,11229,8419,6,57,3048,352,144,2143,117,138,128,1138,942,8,6,44,15,5,13,46,12,0,0,0,0,0,0,0
NO_1724,Verran,1866,1388,0,2,483,41,9,384,33,18,63,154,178,0,2,8,1,1,1,8,0,0,0,0,0,0,0,0
NO_1725,Namdalseid,1250,961,0,3,253,25,11,397,37,7,21,93,94,0,3,6,2,2,1,1,2,0,0,0,0,0,0,0
NO_1736,Snåase - Snåsa,1610,1325,0,3,427,60,20,589,4,20,17,107,62,3,2,0,1,1,1,5,0,0,0,0,0,0,0,0
NO_1738,Lierne,1028,752,0,5,224,14,4,350,21,5,4,53,61,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0
NO_1739,Raarvihke - Røyrvik,350,301,0,0,100,5,1,115,11,3,4,29,27,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0
NO_1740,Namsskogan,687,534,0,2,194,29,3,160,4,7,7,56,59,0,3,2,1,0,0,4,1,0,0,0,0,0,0,0
NO_1742,Grong,1804,1454,0,5,460,107,14,504,10,21,15,165,121,7,2,3,2,2,1,8,2,0,0,0,0,0,0,0
NO_1743,Høylandet,928,769,2,2,273,16,0,364,10,4,13,39,34,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0
NO_1744,Overhalla,2756,2177,2,7,668,88,12,819,24,21,31,238,245,2,2,2,2,1,0,6,0,0,0,0,0,0,0,0
NO_1748,Fosnes,483,362,0,1,67,72,2,124,11,1,2,29,49,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
NO_1749,Flatanger,828,662,1,4,156,53,7,163,16,14,12,118,105,2,0,1,0,5,0,0,1,0,0,0,0,0,0,0
NO_1750,Vikna,3158,2375,0,11,657,91,11,426,72,34,98,452,470,2,0,2,11,8,2,10,7,0,0,0,0,0,0,0
NO_1751,Nærøy,3775,2781,5,20,689,112,33,772,81,36,78,435,451,5,1,7,8,8,7,9,4,0,0,0,0,0,0,0
NO_1755,Leka,466,388,0,2,97,13,1,206,2,1,6,25,25,1,1,0,1,1,1,3,0,0,0,0,0,0,0,0
NO_1756,Inderøy,5056,4209,5,22,1339,281,62,1247,141,86,81,510,331,4,3,24,17,3,1,27,3,0,0,0,0,0,0,0
NO_1804,Bodø,37751,29870,85,234,6718,2294,1034,2664,765,903,1194,8164,5171,23,42,110,64,40,68,0,47,16,0,0,0,0,0,0
NO_1805,Narvik,13812,10310,11,82,3200,767,208,902,255,215,202,2468,1716,10,29,88,8,16,22,0,24,5,0,0,0,0,0,0
NO_1811,Bindal,1159,1002,0,7,329,36,10,346,18,19,22,116,86,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0
NO_1812,Sømna,1535,1223,2,3,281,47,26,539,26,19,9,107,149,0,0,8,1,0,2,0,1,0,0,0,0,0,0,0
NO_1813,Brønnøy,5878,4425,5,36,1267,265,118,909,64,106,83,764,697,4,2,26,9,20,7,0,4,3,0,0,0,0,0,0
NO_1815,Vega,962,789,0,5,227,35,29,253,9,11,13,107,82,2,0,4,0,7,0,0,0,0,0,0,0,0,0,0
NO_1816,Vevelstad,376,287,0,1,81,7,9,123,5,3,3,26,24,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
NO_1818,Herøy (Nordl.),1253,897,0,8,315,40,12,184,16,8,9,154,118,1,2,8,2,9,0,0,2,1,0,0,0,0,0,0
NO_1820,Alstahaug,5494,3964,0,19,1097,241,168,824,64,76,76,683,636,4,2,16,4,16,11,0,8,0,0,0,0,0,0,0
NO_1822,Leirfjord,1627,1215,2,2,358,79,36,303,22,22,21,143,208,5,0,1,0,2,7,0,2,0,0,0,0,0,0,0
NO_1824,Vefsn,10351,7668,20,52,2399,439,329,1445,132,134,151,1141,1270,6,9,26,22,11,15,0,13,2,0,0,0,0,0,0
NO_1825,Grane,1100,871,1,3,347,18,11,266,9,5,7,73,122,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0
NO_1826,Hattfjelldal,1076,855,3,3,270,27,18,368,13,8,6,61,66,1,1,2,0,0,2,0,3,0,0,0,0,0,0,0
NO_1827,Dønna,1057,810,3,3,182,66,22,271,9,9,6,106,103,1,1,1,3,17,1,0,3,0,0,0,0,0,0,0
NO_1828,Nesna,1285,1032,1,8,254,116,20,260,24,24,19,161,123,0,0,4,0,5,2,0,2,1,0,0,0,0,0,0
NO_1832,Hemnes,3463,2695,7,21,776,192,96,578,53,65,51,464,349,7,1,4,1,0,4,0,2,3,0,0,0,0,0,0
NO_1833,Rana,19935,14948,44,84,4846,1117,529,1883,253,305,303,3062,2256,17,26,53,19,12,26,0,22,7,0,0,0,0,0,0
NO_1834,Lurøy,1444,1103,0,4,263,49,17,272,38,26,27,165,208,0,1,3,3,17,4,0,2,0,0,0,0,0,0,0
NO_1835,Træna,293,217,0,1,48,17,3,63,21,1,4,16,34,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0
NO_1836,Rødøy,926,705,0,4,124,29,11,230,40,10,6,105,122,0,2,1,5,10,2,0,0,0,0,0,0,0,0,0
NO_1837,Meløy,4804,3422,3,28,841,163,38,617,180,42,76,675,673,0,8,9,17,5,12,0,5,2,0,0,0,0,0,0
NO_1838,Gildeskål,1469,1136,4,12,265,57,25,222,44,28,20,204,209,2,2,9,10,2,2,0,6,1,0,0,0,0,0,0
NO_1839,Beiarn,850,686,3,2,194,21,8,235,10,10,8,92,94,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0
NO_1840,Saltdal,3589,2752,5,25,726,134,59,614,59,36,38,530,482,2,1,4,2,3,3,0,3,1,0,0,0,0,0,0
NO_1841,Fauske,7491,5699,9,42,1714,376,180,700,112,95,123,1152,1091,2,8,20,4,8,14,0,6,1,0,0,0,0,0,0
NO_1845,Sørfold,1509,1163,2,7,386,66,30,266,12,12,11,188,159,0,2,4,0,2,3,0,4,2,0,0,0,0,0,0
NO_1848,Steigen,1951,1484,1,7,316,104,58,463,38,29,36,188,226,0,0,2,5,3,0,0,1,0,0,0,0,0,0,0
NO_1849,Hamarøy - Hábmer,1347,1031,4,11,212,84,23,231,14,37,38,199,156,1,1,3,1,4,0,0,1,0,0,0,0,0,0,0
NO_1850,Divtasvuodna - Tysfjord,1522,1173,5,6,359,70,27,171,50,16,19,254,176,0,2,8,1,0,2,0,0,1,0,0,0,0,0,0
NO_1851,Lødingen,1602,1220,0,10,306,87,15,259,13,18,28,267,183,1,3,9,1,7,2,0,1,0,0,0,0,0,0,0
NO_1852,Tjeldsund,1011,795,1,10,204,27,6,74,16,8,14,230,184,0,1,1,5,1,1,0,2,0,0,0,0,0,0,0
NO_1853,Evenes,1044,818,4,5,181,44,13,141,27,16,23,212,136,1,1,3,1,1,0,0,3,1,0,0,0,0,0,0
NO_1854,Ballangen,1920,1382,0,8,326,52,11,312,63,19,18,233,295,2,4,16,2,1,8,0,1,3,0,0,0,0,0,0
NO_1856,Røst,416,314,0,6,83,24,13,55,5,8,14,45,44,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0
NO_1857,Værøy,506,375,2,2,64,23,3,91,27,3,10,47,92,0,1,1,2,4,0,0,1,0,0,0,0,0,0,0
NO_1859,Flakstad,1032,710,0,1,117,79,8,240,19,22,32,87,66,2,0,1,2,30,2,0,1,0,0,0,0,0,0,0
NO_1860,Vestvågøy,8232,5958,18,58,1188,553,93,1102,328,131,130,1211,943,4,5,13,37,58,13,0,12,3,0,0,0,0,0,0
NO_1865,Vågan,6747,4820,22,36,1043,458,212,780,65,115,244,981,761,10,6,23,7,7,10,0,4,0,0,0,0,0,0,0
NO_1866,Hadsel,6030,4461,4,30,1070,293,117,1118,82,86,139,596,805,6,7,45,5,15,8,0,3,2,0,0,0,0,0,0
NO_1867,Bø (Nordl.),2054,1518,1,7,306,82,18,533,35,22,34,167,281,3,1,4,6,9,0,0,2,0,0,0,0,0,0,0
NO_1868,Øksnes,3289,2379,4,27,442,149,40,622,87,35,47,378,468,1,3,7,9,28,1,0,4,0,0,0,0,0,0,0
NO_1870,Sortland,7663,5663,8,42,1127,423,173,1372,98,104,141,1084,921,4,7,64,19,14,10,0,9,1,0,0,0,0,0,0
NO_1871,Andøy,3724,3099,7,20,230,177,23,2189,48,61,43,83,173,0,4,5,4,6,1,0,2,3,0,0,0,0,0,0
NO_1874,Moskenes,745,518,2,5,114,40,6,117,16,10,11,84,90,1,0,2,4,10,0,0,1,0,0,0,0,0,0,0
NO_1902,Tromsø,53347,41966,48,360,9459,6097,1414,3561,997,1599,1675,9200,6556,55,56,138,75,80,174,0,0,21,0,0,0,0,0,41
NO_1903,Harstad,18583,13820,25,107,3640,906,224,1410,288,344,375,3308,2924,20,16,53,12,22,28,0,0,8,0,0,0,0,0,3
NO_1911,Kvæfjord,2252,1700,4,17,432,141,27,314,29,37,59,277,324,1,2,8,3,0,7,0,0,1,0,0,0,0,0,0
NO_1913,Skånland,2270,1734,0,8,503,82,20,195,32,26,33,479,325,1,2,14,1,3,2,0,0,0,0,0,0,0,0,0
NO_1917,Ibestad,1095,798,1,2,207,23,8,167,17,7,14,182,161,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
NO_1919,Gratangen,824,597,1,3,166,39,6,124,19,9,8,97,110,3,1,3,1,1,3,0,0,0,0,0,0,0,0,0
NO_1920,Loabák - Lavangen,786,633,1,2,190,16,1,189,11,7,5,116,86,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0
NO_1922,Bardu,2992,2313,1,15,554,87,20,811,22,44,45,424,245,4,9,3,2,2,7,0,0,2,0,0,0,0,0,1
NO_1923,Salangen,1666,1284,0,10,359,106,26,367,39,16,8,172,164,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0
NO_1924,Målselv,5215,3924,2,23,806,213,55,1598,52,59,108,445,494,1,5,7,8,2,12,0,0,6,0,0,0,0,0,5
NO_1925,Sørreisa,2566,1962,4,20,491,120,14,536,39,12,33,292,362,2,6,4,3,1,3,0,0,0,0,0,0,0,0,0
NO_1926,Dyrøy,918,730,0,4,163,48,5,176,13,9,13,102,186,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0
NO_1927,Tranøy,1149,886,4,6,248,53,11,197,13,24,20,154,139,0,2,3,0,0,2,0,0,4,0,0,0,0,0,0
NO_1928,Torsken,639,513,4,4,178,18,5,118,13,3,3,67,87,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0
NO_1929,Berg,640,507,1,2,112,28,3,166,10,3,2,77,93,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0
NO_1931,Lenvik,8465,5999,8,32,1284,362,56,1063,254,97,95,1235,1401,6,8,16,6,20,15,0,0,5,0,0,0,0,0,4
NO_1933,Balsfjord,4359,3271,4,29,741,176,44,710,93,54,43,523,775,6,2,7,19,5,8,0,0,1,0,0,0,0,0,2
NO_1936,Karlsøy,1733,1256,1,9,268,157,14,259,17,22,25,132,317,4,1,3,6,5,6,0,0,0,0,0,0,0,0,1
NO_1938,Lyngen,2251,1694,6,13,389,87,19,294,84,48,21,344,351,0,4,9,0,4,7,0,0,1,0,0,0,0,0,0
NO_1939,Storfjord - Omasvuotna - Omasvuono,1403,1090,0,8,270,85,23,189,32,33,13,194,220,3,1,0,3,2,5,0,0,1,0,0,0,0,0,0
NO_1940,Gáivuotna Kåfjord,1674,1210,0,6,300,79,33,301,66,53,14,129,209,4,0,2,2,1,2,0,0,2,0,0,0,0,0,1
NO_1941,Skjervøy,2071,1449,3,17,308,111,15,252,117,16,20,220,338,0,1,1,1,8,3,0,0,1,0,0,0,0,0,0
NO_1942,Nordreisa,3699,2617,4,20,627,159,36,510,120,56,32,449,556,1,0,4,9,1,11,0,0,1,0,0,0,0,0,1
NO_1943,Kvænangen,963,679,0,3,187,20,2,133,31,10,10,91,181,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0
NO_2002,Vardø,1518,1136,1,29,398,72,17,245,3,57,24,107,124,4,5,2,2,14,1,0,2,0,0,0,0,0,0,0
NO_2003,Vadsø,4297,3338,7,20,1346,411,49,411,61,67,29,594,275,4,3,13,11,8,6,0,3,0,0,0,0,0,0,0
NO_2004,Hammerfest,7194,5215,24,50,2329,510,62,325,73,92,67,894,634,11,13,35,9,19,10,0,8,0,0,0,0,0,0,0
NO_2011,Guovdageaidnu Kautokeino,2165,1489,0,13,342,87,11,497,62,19,70,206,123,3,0,6,18,1,7,0,11,0,0,0,0,0,0,0
NO_2012,Alta,14429,10762,10,101,1698,707,213,1496,332,277,1205,1020,3417,10,5,20,47,58,30,0,15,0,0,0,0,0,0,0
NO_2014,Loppa,720,529,1,3,178,38,6,84,9,12,2,92,85,0,4,0,1,8,0,0,3,0,0,0,0,0,0,0
