gisco_id,registered,turnout,invalid,blank,PPD/PSD.CDS-PP.PPM,PS,CH,B.E.,IL,ADN,L,PAN,PCP-PEV,VP,E,JPP,R.I.R.,ND,PCTP/MRPP,MPT.A,NC,PTP,PPD/PSD.CDS-PP,PPM
PT_040611,273,148,1,6,44,73,14,2,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0
PT_040612,189,103,2,2,39,31,14,2,2,4,2,2,0,0,1,0,0,2,0,0,0,0,0,0
PT_040613,326,128,1,3,57,53,7,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0
PT_040620,1373,754,19,18,273,234,130,21,22,16,7,3,3,0,2,0,2,4,0,0,0,0,0,0
PT_040621,508,219,6,2,119,42,34,3,0,6,2,1,1,0,0,0,2,1,0,0,0,0,0,0
PT_040616,329,166,3,4,63,53,23,1,1,8,5,1,3,0,0,0,1,0,0,0,0,0,0,0
PT_040701,384,239,2,0,102,55,59,4,3,6,1,1,3,0,0,0,1,2,0,0,0,0,0,0
PT_040702,247,130,2,3,43,25,44,0,0,5,2,0,4,0,1,0,1,0,0,0,0,0,0,0
PT_040703,326,141,3,0,68,36,21,0,2,5,1,1,1,0,0,0,2,1,0,0,0,0,0,0
PT_040704,255,108,0,0,37,29,26,4,1,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0
PT_040738,417,203,2,2,76,55,51,4,1,4,0,1,4,0,1,0,0,0,0,2,0,0,0,0
PT_040739,450,276,3,3,109,63,75,9,1,5,1,3,2,0,1,0,0,0,0,1,0,0,0,0
PT_040740,380,204,1,4,63,60,63,4,0,2,2,0,2,0,1,0,0,2,0,0,0,0,0,0
PT_040708,293,134,0,1,70,29,25,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
PT_040709,383,202,2,0,98,43,39,3,1,7,1,4,2,0,0,0,0,2,0,0,0,0,0,0
PT_040710,201,119,0,1,43,25,24,4,3,6,2,3,4,0,0,0,1,3,0,0,0,0,0,0
PT_040711,1198,639,11,8,199,176,165,13,19,12,7,4,20,0,2,0,2,1,0,0,0,0,0,0
PT_040712,347,197,8,2,56,69,37,4,3,4,2,0,6,0,1,0,0,4,0,1,0,0,0,0
PT_040713,154,104,0,1,54,16,24,1,0,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0
PT_040714,255,123,2,1,49,35,27,2,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PT_040741,304,173,0,0,63,38,52,3,2,6,3,2,1,0,0,0,0,3,0,0,0,0,0,0
PT_040716,803,488,3,7,155,180,100,8,4,13,3,2,12,0,0,0,0,1,0,0,0,0,0,0
PT_040742,165,88,2,1,44,20,13,0,2,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0
PT_040718,449,274,7,4,134,26,79,2,1,12,1,3,0,0,3,0,0,2,0,0,0,0,0,0
PT_040720,564,303,3,3,103,97,65,3,7,7,2,2,9,0,0,0,0,2,0,0,0,0,0,0
PT_040721,10861,6694,74,57,2576,1705,1490,173,184,101,81,83,131,0,3,0,13,19,0,4,0,0,0,0
PT_040722,305,142,3,2,69,28,26,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_040724,390,232,3,6,77,60,60,6,4,8,3,0,2,0,0,0,0,2,0,1,0,0,0,0
PT_040727,322,170,2,1,89,42,18,5,3,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0
PT_040728,215,132,1,2,50,44,28,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0
PT_040729,596,321,5,8,126,86,68,5,5,8,1,1,5,0,0,0,3,0,0,0,0,0,0,0
PT_040730,982,475,8,4,184,132,108,4,4,17,2,4,3,0,1,0,1,3,0,0,0,0,0,0
PT_040731,281,127,4,0,68,19,26,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0
PT_040732,326,145,2,1,51,43,36,2,0,5,1,1,1,0,1,0,0,1,0,0,0,0,0,0
PT_040733,360,239,3,3,119,48,41,3,2,8,1,1,4,0,0,0,0,6,0,0,0,0,0,0
PT_040734,282,139,1,3,43,44,36,1,1,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0
PT_040801,327,160,3,1,73,42,29,5,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0
PT_040802,656,296,4,1,107,86,66,6,3,8,3,5,4,0,0,0,0,3,0,0,0,0,0,0
PT_040803,151,100,4,1,34,32,21,2,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
PT_040804,301,141,1,3,69,41,18,1,0,0,3,1,1,0,0,0,0,3,0,0,0,0,0,0
PT_040829,263,165,0,1,85,27,39,3,1,4,2,0,1,0,0,0,0,2,0,0,0,0,0,0
PT_040807,447,249,2,2,88,73,62,7,0,6,2,1,4,0,0,0,0,2,0,0,0,0,0,0
PT_040808,337,171,0,0,65,49,43,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_040809,282,184,1,2,46,73,51,4,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PT_040830,3636,2105,32,26,935,489,481,20,22,36,21,15,16,0,1,0,1,6,0,4,0,0,0,0
PT_040811,155,94,1,0,45,28,14,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_040812,378,224,4,2,100,53,47,3,3,7,0,3,1,0,0,0,0,1,0,0,0,0,0,0
PT_040813,211,138,1,1,79,21,27,1,0,3,0,1,1,0,0,0,2,1,0,0,0,0,0,0
PT_040831,475,221,4,4,109,44,46,2,4,2,1,1,0,0,0,0,1,3,0,0,0,0,0,0
PT_040815,141,86,1,2,63,10,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_040817,421,169,3,1,76,43,35,2,0,2,0,1,3,0,0,0,0,1,0,2,0,0,0,0
PT_040819,182,113,1,0,73,22,14,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PT_040820,152,71,0,2,42,20,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_040821,338,184,5,2,89,46,31,2,0,5,1,2,0,0,0,0,0,1,0,0,0,0,0,0
PT_040822,136,85,3,0,35,13,29,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
PT_040826,244,126,0,2,64,19,29,3,2,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
PT_040832,407,217,2,5,82,58,57,0,4,2,3,1,0,0,0,0,0,2,0,1,0,0,0,0
PT_040901,392,253,8,1,104,88,39,3,2,3,1,0,3,0,0,0,1,0,0,0,0,0,0,0
PT_040918,554,265,4,2,120,80,42,3,2,5,3,0,3,0,0,0,0,1,0,0,0,0,0,0
PT_040903,380,185,5,3,79,50,37,2,1,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0
PT_040905,607,353,7,0,163,84,72,6,1,5,5,1,4,0,2,0,1,2,0,0,0,0,0,0
PT_040906,161,82,3,1,20,25,26,0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0
PT_040919,1027,558,3,8,224,179,98,6,9,11,4,7,7,0,0,0,1,1,0,0,0,0,0,0
PT_040920,372,203,2,1,97,78,14,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PT_040909,284,131,3,2,50,27,37,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_040910,399,191,2,2,67,72,24,8,2,9,1,1,1,0,1,0,0,1,0,0,0,0,0,0
PT_040911,402,150,3,2,56,53,25,1,1,0,1,0,6,0,0,0,1,1,0,0,0,0,0,0
PT_040913,149,72,0,1,21,37,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_040916,2476,1547,13,21,642,479,261,21,20,23,22,16,21,0,1,0,4,3,0,0,0,0,0,0
PT_040921,370,181,5,1,71,71,18,4,0,4,0,0,5,0,0,0,0,2,0,0,0,0,0,0
PT_041020,268,130,1,2,32,51,29,2,0,3,1,1,7,0,0,0,0,1,0,0,0,0,0,0
PT_041002,195,135,3,0,45,51,19,3,4,4,2,1,1,0,0,0,0,2,0,0,0,0,0,0
PT_041021,314,169,2,5,67,58,27,4,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
PT_041005,638,328,5,3,122,123,50,4,2,7,2,2,4,0,2,0,0,2,0,0,0,0,0,0
PT_041009,151,99,4,0,32,32,20,2,3,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0
PT_041010,363,214,4,1,67,64,55,3,5,8,1,1,1,0,2,0,0,2,0,0,0,0,0,0
PT_041011,152,98,0,0,52,19,22,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_041012,426,213,2,1,57,82,49,5,2,3,2,2,6,0,0,0,1,1,0,0,0,0,0,0
PT_041013,436,257,3,4,136,46,45,7,2,7,1,1,3,0,2,0,0,0,0,0,0,0,0,0
PT_041014,145,75,0,1,46,11,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PT_041015,169,104,0,1,40,34,20,1,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0
PT_041022,419,202,0,2,93,51,37,4,1,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0
PT_041023,2257,1299,18,16,484,403,268,19,27,25,10,13,14,0,0,0,0,2,0,0,0,0,0,0
PT_041024,667,385,1,3,143,99,103,6,5,11,1,4,4,0,0,0,2,3,0,0,0,0,0,0
PT_041115,706,358,7,7,219,58,47,5,3,7,1,1,1,0,0,0,0,2,0,0,0,0,0,0
PT_041103,821,329,10,0,111,164,28,6,1,5,0,1,2,0,0,0,0,1,0,0,0,0,0,0
PT_041116,296,177,3,2,82,48,24,3,1,8,0,1,3,0,0,0,0,2,0,0,0,0,0,0
PT_041107,489,171,7,1,84,45,26,1,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0
PT_041108,284,109,2,0,64,23,6,4,2,3,2,0,0,0,2,0,0,1,0,0,0,0,0,0
PT_041109,205,90,1,4,50,21,8,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0
PT_041110,535,185,5,0,90,47,27,1,0,10,1,2,0,0,0,0,0,2,0,0,0,0,0,0
PT_041117,349,143,2,0,64,40,22,0,4,4,1,2,0,0,0,0,2,2,0,0,0,0,0,0
PT_041113,191,88,2,3,47,23,6,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PT_041114,1302,617,8,8,219,236,98,13,4,14,3,8,3,0,1,0,0,2,0,0,0,0,0,0
PT_041201,231,118,2,3,48,25,19,2,2,7,2,1,3,0,0,0,1,3,0,0,0,0,0,0
PT_041203,330,157,1,0,55,62,23,1,1,6,0,0,2,0,2,0,2,1,0,1,0,0,0,0
PT_041204,254,108,0,1,45,30,21,4,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0
PT_041236,340,175,6,0,62,63,29,1,2,8,1,1,0,0,1,0,0,1,0,0,0,0,0,0
PT_041206,212,77,1,0,20,43,9,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_041207,191,82,1,0,34,30,11,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
PT_041208,399,192,3,2,68,79,23,2,0,11,0,0,1,0,3,0,0,0,0,0,0,0,0,0
PT_041237,282,118,3,2,30,52,24,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PT_041238,227,129,4,2,38,53,15,3,0,6,0,3,0,0,2,0,2,1,0,0,0,0,0,0
PT_041215,224,103,0,2,48,15,29,2,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0
PT_041216,301,134,2,4,51,35,24,1,8,3,1,1,0,0,1,0,2,0,0,1,0,0,0,0
PT_041239,341,95,2,0,31,49,9,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_041219,630,367,3,2,111,159,73,3,2,5,0,1,6,0,0,0,0,2,0,0,0,0,0,0
PT_041221,284,107,0,0,55,30,11,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PT_041240,459,191,1,1,92,60,29,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PT_041241,229,101,1,7,33,41,15,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PT_041242,184,118,1,1,52,35,20,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
PT_041226,385,133,1,3,71,25,19,1,0,4,1,1,3,0,1,0,0,2,0,1,0,0,0,0
PT_041227,362,176,1,1,80,62,25,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
PT_041229,164,75,4,0,28,20,13,3,0,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0
PT_041243,276,132,2,1,58,40,16,0,3,8,0,2,0,0,0,0,1,1,0,0,0,0,0,0
PT_041232,242,132,3,1,52,46,15,3,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
PT_041233,177,85,0,1,39,31,8,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PT_041234,241,114,0,0,47,50,9,0,2,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0
PT_041230,198,85,3,1,32,29,12,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PT_041235,2141,1243,20,5,443,470,186,30,15,38,14,7,7,0,2,0,2,3,0,1,0,0,0,0
PT_050106,3226,1993,38,25,433,808,413,74,32,28,24,28,70,1,1,0,7,6,5,0,0,0,0,0
PT_050102,1730,996,18,16,253,342,213,39,15,19,20,22,25,3,0,0,2,4,5,0,0,0,0,0
PT_050104,599,338,6,9,69,143,56,15,7,8,3,5,12,2,0,0,1,0,2,0,0,0,0,0
PT_050105,289,176,4,6,45,87,9,8,2,4,1,3,5,0,0,0,0,1,1,0,0,0,0,0
PT_050201,4313,2665,41,46,634,834,674,116,98,34,68,47,45,2,3,0,6,10,7,0,0,0,0,0
PT_050202,506,262,2,1,77,115,34,9,7,4,1,2,5,0,1,0,1,1,2,0,0,0,0,0
PT_050203,605,429,7,12,96,138,102,23,17,9,12,4,5,0,0,0,2,0,2,0,0,0,0,0
PT_050205,31215,21601,216,282,6436,5702,5400,972,860,245,556,339,403,30,17,0,61,31,51,0,0,0,0,0
PT_050226,1591,1095,16,10,171,483,233,51,29,6,15,25,44,1,0,0,1,3,7,0,0,0,0,0
