gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,CDS-PP.PPM,B.E.,PCP-PEV,MPT,NC,PAN,PNR,PCTP/MRPP,PDR,PTP-MAS,PURP,L/TDA,PPD/PSD.CDS-PP,PPV/CDC,JPP,PPM,CDS-PP,PTP
PT_420508,Rabo De Peixe,7060,1770,50,28,505,712,19,251,33,5,122,7,5,13,8,2,5,5,0,0,0,0,0,0
PT_420509,Ribeira Grande (Conceição),2175,974,19,32,418,339,17,90,24,3,4,19,1,2,1,2,2,1,0,0,0,0,0,0
PT_420510,Ribeira Grande (Matriz),3503,1239,15,20,543,467,19,106,19,5,6,10,2,9,7,2,6,3,0,0,0,0,0,0
PT_420511,Ribeira Seca,2515,956,24,16,301,453,16,72,19,4,10,12,0,13,3,4,6,3,0,0,0,0,0,0
PT_420512,Ribeirinha,2154,617,11,17,219,260,11,48,13,3,8,9,0,5,2,4,5,2,0,0,0,0,0,0
PT_420513,Santa Bárbara,1143,478,8,15,216,182,6,28,5,1,2,5,1,1,3,2,2,1,0,0,0,0,0,0
PT_420514,São Brás,564,305,3,7,96,162,2,20,5,5,1,0,1,2,1,0,0,0,0,0,0,0,0,0
PT_440101,Guadalupe,1142,489,4,15,167,267,7,14,2,1,1,1,0,0,4,5,1,0,0,0,0,0,0,0
PT_440102,Luz,762,286,5,16,167,75,5,1,2,3,4,0,0,6,1,0,1,0,0,0,0,0,0,0
PT_440104,Santa Cruz Da Graciosa,1740,753,7,32,407,235,14,30,16,2,1,2,0,2,3,1,1,0,0,0,0,0,0,0
PT_440103,São Mateus,812,468,5,15,252,174,2,10,5,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0
PT_480201,Caveira,68,47,0,2,26,11,2,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
PT_480202,Cedros,120,60,2,3,20,15,2,0,13,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0
PT_480203,Ponta Delgada,317,158,2,4,48,76,15,3,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
PT_480204,Santa Cruz Das Flores,1414,628,16,25,301,157,34,37,23,1,13,6,2,5,2,3,3,0,0,0,0,0,0,0
PT_460301,Prainha,547,252,3,7,103,98,9,15,7,0,1,1,0,1,3,2,0,2,0,0,0,0,0,0
PT_460302,Santa Luzia,398,165,1,6,63,82,1,1,3,0,1,1,0,0,0,1,3,2,0,0,0,0,0,0
PT_460303,Santo Amaro,279,173,1,6,78,67,2,9,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0
PT_460304,Santo António,712,296,4,11,151,83,4,22,8,1,2,1,1,2,0,2,1,3,0,0,0,0,0,0
PT_460305,São Roque Do Pico,1266,566,4,27,216,232,15,33,14,1,1,3,3,4,7,2,3,1,0,0,0,0,0,0
PT_450201,Manadas (Santa Bárbara),366,170,8,2,58,75,15,5,1,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0
PT_450202,Norte Grande (Neves),567,288,8,9,78,124,46,11,3,2,0,3,3,0,0,0,0,1,0,0,0,0,0,0
PT_450203,Rosais,680,317,8,5,91,67,125,10,3,1,1,2,1,2,0,0,1,0,0,0,0,0,0,0
PT_450204,Santo Amaro,798,357,6,14,120,118,58,16,8,2,1,6,0,2,3,1,1,1,0,0,0,0,0,0
PT_450205,Urzelina (São Mateus),811,381,6,17,99,158,40,32,13,2,3,6,2,2,0,1,0,0,0,0,0,0,0,0
PT_450206,Velas (São Jorge),1798,794,16,20,351,224,89,50,22,3,1,0,1,7,3,0,4,3,0,0,0,0,0,0
PT_430201,Agualva,1331,592,3,22,272,252,19,14,3,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0
PT_430202,Biscoitos,1431,577,8,17,232,216,27,48,13,3,2,4,1,2,1,0,0,3,0,0,0,0,0,0
PT_430203,Cabo Da Praia,641,315,6,14,115,112,33,27,2,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0
PT_430204,Fonte Do Bastardo,1087,426,19,19,173,147,19,31,6,1,0,2,0,3,4,0,0,2,0,0,0,0,0,0
PT_430205,Fontinhas,1438,1039,12,41,421,403,78,57,8,1,5,2,2,6,2,0,0,1,0,0,0,0,0,0
