gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
PT_420323,Ajuda da Bretanha,663,206,2,13,94,50,10,20,0,1,1,6,0,0,0,5,1,3,0,0,0,0,0,0,0
PT_420301,Arrifes,6646,1704,26,64,818,356,67,178,21,16,14,33,10,9,2,47,9,18,3,7,6,0,0,0,0
PT_420303,Candelária,958,285,3,11,127,84,14,23,2,1,1,4,0,1,0,10,2,1,0,1,0,0,0,0,0
PT_420304,Capelas,3694,1271,21,48,636,266,50,103,3,12,11,26,4,3,4,41,20,6,2,8,7,0,0,0,0
PT_420305,Covoada,1173,362,7,10,168,84,23,26,8,1,1,13,2,1,0,11,1,1,1,2,2,0,0,0,0
PT_420306,Fajã De Baixo,4666,1899,29,84,677,567,84,198,31,36,20,49,10,18,2,71,6,9,0,6,2,0,0,0,0
PT_420307,Fajã De Cima,3062,949,12,35,396,247,35,94,10,11,12,15,7,17,0,42,5,5,1,3,2,0,0,0,0
PT_420308,Fenais Da Luz,1837,572,8,23,188,163,30,58,13,9,10,24,4,8,0,24,7,2,0,1,0,0,0,0,0
PT_420309,Feteiras,1430,335,4,16,195,57,12,24,2,0,3,5,1,2,0,7,4,0,0,1,2,0,0,0,0
PT_420310,Ginetes,1110,378,8,8,190,88,18,27,3,5,1,7,6,2,1,7,5,1,1,0,0,0,0,0,0
PT_420311,Mosteiros,1060,352,6,3,126,150,20,18,2,1,2,8,2,2,1,5,3,0,0,1,2,0,0,0,0
PT_420324,Pilar da Bretanha,598,204,5,13,87,50,18,14,0,1,3,4,1,1,0,6,0,0,0,0,1,0,0,0,0
PT_420313,Ponta Delgada (São José),5902,2305,36,82,751,732,101,266,18,39,44,61,16,34,4,82,15,7,2,10,5,0,0,0,0
PT_420314,Ponta Delgada (São Pedro),7620,2908,43,106,932,971,95,335,22,44,62,80,17,45,2,110,14,13,1,11,5,0,0,0,0
PT_420312,Ponta Delgada (São Sebastião),4187,1731,21,61,493,654,65,174,20,28,29,42,15,29,2,61,6,13,2,12,4,0,0,0,0
PT_420315,Relva,2706,965,14,43,329,298,40,95,6,16,8,31,5,8,2,44,8,4,7,4,3,0,0,0,0
PT_420316,Remédios,845,316,5,13,158,54,23,29,1,2,5,6,2,0,1,4,3,5,1,2,2,0,0,0,0
