gisco_id,name,registered,turnout,invalid,blank,PPD/PSD ,PS ,CDS-PP ,PCP-PEV ,P.H. ,B.E. ,PCTP/MRPP ,PPM ,MPT ,POUS ,PNR ,B.E.-UDP 
PT_111601,Caneças,8946,5536,63,82,1866,2154,402,655,9,193,51,20,24,6,11,0
PT_111602,Famões,6440,4389,42,70,1539,1734,386,371,9,151,37,22,17,4,7,0
PT_111603,Odivelas,44828,29384,235,385,10208,12237,2221,2313,45,1301,176,92,98,24,49,0
PT_111604,Olival De Basto,5595,3608,33,51,1073,1505,321,432,2,119,24,19,18,4,7,0
PT_111605,Pontinha,20888,12933,132,143,3622,5793,1093,1349,28,480,152,55,40,24,22,0
PT_111606,Póvoa De Santo Adrião,12586,8450,62,98,2970,3234,769,693,14,481,48,26,32,7,16,0
PT_111607,Ramada,11694,7913,53,117,2862,2967,700,651,13,392,61,37,33,4,23,0
PT_111009,Porto Salvo,18813,12511,55,169,5306,4350,1022,756,9,687,52,39,41,15,10,0
PT_111002,Barcarena,9453,6280,49,95,2008,2547,530,628,15,295,52,22,24,4,11,0
PT_111003,Carnaxide,15366,10209,72,147,3798,3794,781,813,9,647,51,23,50,9,15,0
PT_111011,Caxias,6197,3931,25,40,1610,1377,393,238,8,170,25,15,22,5,3,0
PT_111008,Linda-a-Velha,6173,3777,22,28,1170,1589,290,377,8,225,30,15,16,6,1,0
PT_111006,Algés,18793,12463,70,166,4767,4808,964,758,9,773,48,26,58,8,8,0
PT_111004,Oeiras E São Julião Da Barra,30438,20227,102,261,8818,6560,1920,998,25,1301,58,57,93,15,19,0
PT_111005,Paço De Arcos,12848,8167,42,103,3234,2761,820,491,11,590,23,40,32,9,11,0
PT_111010,Queijas,9222,5999,50,63,1778,2641,455,583,16,299,49,19,21,8,17,0
PT_111007,Cruz Quebrada - Dafundo,8164,5667,29,64,2096,2160,421,522,7,295,38,14,15,4,2,0
PT_111118,Agualva,28457,17677,127,211,5575,7343,1650,1562,28,837,95,61,94,15,79,0
PT_111102,Algueirão-Mem Martins,42544,24796,199,302,8639,9273,2468,2097,46,1354,146,94,127,13,38,0
PT_111103,Almargem Do Bispo,6850,4470,49,54,1628,1807,363,320,9,121,47,21,30,11,10,0
PT_111104,Belas,12959,7985,69,125,2685,3023,786,840,14,307,55,23,34,7,17,0
PT_111119,Cacém,15630,9738,91,96,2917,4088,874,981,20,485,70,37,52,6,21,0
PT_111115,Casal De Cambra,7084,4428,55,66,1506,1771,419,357,4,152,45,18,18,6,11,0
PT_111105,Colares,5789,3623,23,47,1499,1366,346,145,6,120,24,16,15,10,6,0
PT_111116,Massamá,17472,11418,51,159,4011,4544,959,849,13,697,52,24,35,9,15,0
PT_111120,Mira-Sintra,6124,3866,28,41,1019,1724,293,527,9,164,29,9,14,3,6,0
PT_111117,Monte Abraão,15299,9372,58,102,3097,3784,804,786,6,612,43,32,35,6,7,0
PT_111106,Montelavar,3177,1862,15,22,612,772,115,222,3,43,21,14,14,5,4,0
PT_111114,Pêro Pinheiro,3981,2306,14,22,1022,779,193,170,6,49,21,11,10,5,4,0
PT_111107,Queluz,23724,14450,113,143,4402,6042,1160,1537,14,779,96,56,71,12,25,0
PT_111108,Rio De Mouro,28507,17902,144,233,5966,6926,1699,1574,35,990,139,70,92,9,25,0
PT_111111,Sintra (São Martinho),4782,2852,30,31,1062,1134,280,131,3,118,20,19,14,6,4,0
PT_111112,Sintra (São Pedro De Penaferrim),6947,4359,38,49,1506,1697,451,344,10,166,42,15,29,6,6,0
PT_111109,Sintra (Santa Maria E São Miguel),7833,5197,37,76,1969,1975,415,309,9,330,25,20,25,3,4,0
PT_111110,São João Das Lampas,6779,4316,49,76,1795,1507,374,256,10,137,37,37,19,9,10,0
PT_111121,São Marcos,6752,3980,28,47,1324,1500,428,338,10,247,22,10,21,1,4,0
PT_111113,Terrugem,3553,2167,17,35,849,815,174,153,4,74,21,12,7,4,2,0
PT_111201,Santo Quintino,2739,1488,18,11,381,592,114,276,3,41,35,7,3,6,1,0
PT_111202,Sapataria,1902,1059,10,11,290,413,86,175,4,26,25,7,3,5,4,0
PT_111203,Sobral De Monte Agraço,2198,1453,17,18,478,496,95,254,6,55,28,5,1,0,0,0
PT_111301,A Dos Cunhados,5413,3364,26,33,1735,1085,290,73,3,77,11,17,6,5,3,0
PT_111302,Campelos,2213,1346,12,11,825,333,132,7,0,9,3,8,2,4,0,0
PT_111303,Carmões,717,457,1,3,141,235,33,28,2,2,6,2,0,3,1,0
PT_111304,Carvoeira,1512,915,11,5,281,409,47,126,0,13,9,7,4,2,1,0
PT_111305,Dois Portos,1968,1174,10,6,348,527,82,139,1,22,21,7,4,3,4,0
PT_111306,Freiria,1905,1261,9,11,692,375,110,28,1,13,7,4,5,4,2,0
PT_111320,Maceira,1497,899,6,10,296,390,78,75,1,24,6,6,6,1,0,0
PT_111307,Matacães,1039,713,12,8,207,316,57,76,1,15,12,6,1,1,1,0
PT_111308,Maxial,2416,1362,10,3,475,633,83,118,1,14,13,1,4,6,1,0
PT_111309,Monte Redondo,669,448,8,5,141,173,46,51,1,13,6,2,1,1,0,0
PT_111319,Outeiro Da Cabeça,941,496,4,2,174,212,40,40,1,8,7,3,3,2,0,0
PT_111310,Ponte Do Rol,1684,1158,6,11,490,502,74,34,1,21,9,4,3,2,1,0
PT_111311,Ramalhal,2541,1670,17,14,571,698,143,155,4,41,13,5,6,3,0,0
PT_111312,Runa,906,626,7,9,212,221,38,99,0,25,9,3,2,1,0,0
PT_111314,São Pedro Da Cadeira,3355,1975,20,12,897,811,125,58,3,24,10,4,5,4,2,0
PT_111316,Silveira,5271,3392,35,28,1591,1137,307,140,8,110,20,5,6,2,3,0
PT_111317,Turcifal,2329,1355,19,7,406,651,98,110,1,33,18,3,9,0,0,0
PT_111315,Torres Vedras (São Pedro E São Tiago),14116,9069,62,98,3647,3154,693,807,7,452,78,25,34,4,8,0
PT_111313,Torres Vedras (Santa Maria Do Castelo E São Miguel),4004,2481,29,15,826,1046,167,250,2,90,27,12,10,6,1,0
PT_111318,Ventosa,4390,2752,19,24,1303,1049,186,104,3,35,11,9,5,1,3,0
PT_111401,Alhandra,6605,4267,35,31,790,1960,180,1000,6,176,40,13,19,8,9,0
PT_111402,Alverca Do Ribatejo,21542,14139,99,197,3332,6374,755,2458,11,664,127,32,51,15,24,0
PT_111403,Cachoeiras,631,409,7,10,81,179,24,86,0,11,7,2,1,1,0,0
PT_111404,Calhandriz,796,506,6,8,112,236,31,91,0,16,4,0,1,0,1,0
PT_111405,Castanheira Do Ribatejo,5811,3573,29,46,872,1597,214,636,2,119,36,6,12,2,2,0
PT_111411,Forte Da Casa,8813,5593,57,70,1708,2336,544,525,10,242,53,18,25,2,3,0
PT_111406,Póvoa De Santa Iria,16907,10956,65,141,3021,4724,893,1371,21,554,68,23,50,3,22,0
PT_111407,São João Dos Montes,3139,2150,25,34,453,899,111,496,3,66,40,5,8,6,4,0
PT_111410,Sobralinho,3388,2221,14,28,413,1110,114,432,6,62,19,11,9,2,1,0
PT_111408,Vialonga,11355,6774,65,96,1566,2714,536,1381,15,235,95,31,26,4,10,0
PT_111409,Vila Franca De Xira,16036,9943,59,101,2828,4327,626,1341,13,489,80,37,21,13,8,0
PT_120101,Alter Do Chão,2185,1357,12,10,522,530,119,116,5,22,15,5,1,0,0,0
