gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,SZDSZ,MCF ROMA Ö.,MUNKÁSPÁRT,MSZP,JOBBIK,LMP-HP,MDF
HU_1757,Lesencefalu,266,93,1,0,65,0,0,0,16,9,2,0
HU_2196,Lesenceistvánd,788,233,4,0,178,2,0,2,15,29,0,3
HU_1787,Lesencetomaj,789,185,2,0,133,0,0,0,20,18,2,10
HU_0455,Litér,1686,555,7,0,307,10,0,5,95,76,20,35
HU_0556,Lovas,388,170,1,0,92,5,0,1,22,33,5,11
HU_0508,Lovászpatona,978,255,5,0,166,3,2,3,38,29,1,8
HU_1885,Lókút,392,96,0,0,68,0,0,1,6,16,0,5
HU_2637,Magyargencs,478,98,0,0,66,3,0,2,18,8,0,1
HU_2043,Magyarpolány,1052,341,2,0,232,9,0,2,39,29,7,21
HU_0361,Malomsok,462,158,3,0,116,1,0,1,13,18,1,5
HU_2929,Marcalgergelyi,339,80,1,0,54,1,0,4,11,7,2,0
HU_2222,Marcaltõ,673,212,0,0,130,1,0,2,51,15,0,13
HU_3221,Márkó,924,314,1,0,192,4,0,4,26,54,6,27
HU_0498,Megyer,43,16,0,0,6,0,0,0,8,2,0,0
HU_2713,Mencshely,228,96,1,0,66,1,2,0,10,14,0,2
HU_2356,Mezõlak,828,276,2,0,211,0,0,4,30,23,2,4
HU_0466,Mihályháza,641,172,0,0,135,0,0,1,5,26,3,2
HU_0453,Mindszentkálla,268,128,3,0,94,0,0,1,13,16,0,1
HU_2404,Monostorapáti,923,245,0,0,153,1,1,2,20,56,2,10
HU_2251,Monoszló,116,63,1,0,37,4,0,0,5,9,2,5
HU_2355,Nagyacsád,540,136,1,0,81,1,0,5,29,9,2,8
HU_2797,Nagyalásony,413,164,3,0,135,0,0,1,7,14,0,4
HU_1000,Nagydém,312,90,1,0,54,1,0,0,15,18,0,1
HU_2318,Nagyesztergár,1005,311,3,0,228,4,0,5,26,27,4,14
HU_0826,Nagygyimót,482,206,0,0,161,0,0,0,11,23,0,11
HU_2140,Nagypirit,252,111,0,0,71,1,1,1,8,24,3,2
