gisco_id,name,registered,turnout,invalid,blank,ΠA.ΣO.K,K.K.E.,ΣYN,ΛΑ.Ο.Σ.,Γυν.Ευρ.,Οικ.Πρασ.,Εν.Κεντρ.,Βεργής,Ελλ.Μετ.,ΜΕΡ.Α.,Δ.Π.Ε.,Αντ.Συμμ.,Πατ.Συμ.,M-Λ KKE,ΔΗΣΟΚ,ΑΣΚΕ,Οραμα,Ευρ.Συμπ,ΟΑΚΚΕ,Ουρ.Τόξο,Οικ.Εναλ.,Χριστ.,N.Δ.
EL_010102,Αιγείρου,5986,3755,113,0,1472,164,106,69,22,20,13,18,5,6,24,5,4,14,14,14,6,5,5,9,0,0,0
EL_010202,Αρριανών,5596,3199,403,0,453,210,344,48,39,18,27,55,31,31,27,17,15,42,37,28,23,25,20,25,0,0,0
EL_010301,Ιάσμου,9057,5281,337,0,1214,234,298,129,60,34,33,33,19,25,47,28,32,22,36,25,19,11,13,22,0,0,0
EL_010101,Κομοτηνής,41034,25840,1502,0,7894,1608,1192,717,211,217,150,191,111,88,419,125,55,183,103,138,71,69,77,91,0,0,0
EL_010402,Μαρωνείας,9842,6607,290,0,2163,239,400,217,25,40,38,43,18,14,71,24,14,33,36,27,17,11,13,11,0,0,0
EL_010103,Νέου Σιδηροχωρίου,4635,2941,173,0,742,150,308,54,6,13,15,20,9,10,18,6,6,15,8,12,2,19,7,9,0,0,0
EL_010401,Σαπών,13222,7690,314,0,2477,459,267,204,37,25,29,68,19,34,180,22,15,60,28,25,23,23,26,24,0,0,0
EL_010303,Σώστου,8700,4636,578,0,986,278,372,79,47,42,74,98,26,43,62,37,37,63,63,50,43,32,25,26,0,0,0
EL_010201,Φιλλύρας,9027,5298,408,0,1725,189,234,39,29,27,29,65,12,18,36,16,8,39,41,32,25,23,13,33,0,0,0
EL_010302,Αμαξάδων,1540,967,45,0,222,64,47,20,9,5,9,11,6,7,20,7,8,8,8,6,3,5,1,6,0,0,0
EL_010203,Κέχρου,2126,1192,131,0,335,49,12,12,5,0,4,10,16,4,11,8,5,12,6,11,1,3,3,4,0,0,0
EL_010204,Οργάνης,3305,2173,144,0,570,146,67,25,8,14,20,25,17,14,17,4,3,22,23,20,14,12,12,26,0,0,0
EL_540101,Αγίου Κηρύκου,5031,2061,59,0,415,0,163,24,17,7,4,5,4,7,2,6,1,11,8,6,0,3,6,1,2,0,640
EL_560101,Βαθέος,13862,7338,275,0,2329,738,328,201,53,36,24,55,15,10,38,13,8,25,31,16,8,7,10,7,0,0,0
EL_540102,Ευδήλου,3745,1867,41,0,383,0,213,16,5,13,6,16,2,10,1,6,0,24,2,4,6,1,2,0,0,0,298
EL_560201,Καρλοβασίων,11177,5858,168,0,1840,775,183,119,47,33,13,27,15,10,20,13,4,34,15,9,9,5,5,6,0,0,0
EL_560202,Μαραθοκάμπου,3679,2014,55,0,0,394,123,27,8,5,5,4,2,5,1,5,1,5,1,2,1,0,1,3,0,0,616
EL_560102,Πυθαγορείου,12191,5952,184,0,1864,794,175,201,33,34,25,55,11,9,8,7,5,36,14,4,6,2,9,5,5,0,0
EL_540103,Ραχών,2962,1050,39,0,91,0,49,16,6,6,2,2,1,2,1,11,0,8,1,27,0,1,1,0,0,0,228
EL_540200,Φούρνων Κορσεών,1656,731,16,0,0,169,11,2,0,3,1,0,3,1,0,1,2,1,0,3,0,1,1,0,0,0,227
EL_120602,Αλιστράτης,5220,3422,73,0,1045,157,66,194,16,16,11,10,4,1,72,5,2,5,6,5,4,2,5,1,0,0,0
EL_120202,Αμφίπολης,4374,2952,76,0,870,227,59,105,7,10,12,11,7,2,68,5,7,14,9,10,1,2,6,2,0,0,0
EL_120302,Αχινού,5363,3695,49,0,1182,304,70,205,20,9,15,9,8,4,33,7,4,17,7,5,4,4,2,0,0,0,0
EL_120303,Βισαλτίας,8981,6012,146,0,1469,227,78,266,19,24,22,13,14,4,113,8,13,14,17,13,4,4,1,4,0,0,0
EL_120401,Εμμανουήλ Παππά,14801,10092,280,0,2901,691,263,353,47,44,54,34,21,17,47,17,11,25,20,21,7,15,3,4,0,0,0
EL_120103,Καπετάν Μητρουσίου,8167,6206,117,0,1924,227,103,219,23,23,20,15,16,6,87,5,4,15,13,16,2,5,4,0,0,0,0
EL_120704,Κερκίνης,12664,7981,107,0,1911,292,119,363,38,30,40,21,14,9,115,15,4,21,17,15,8,2,1,4,0,0,0
EL_120203,Κορμίστας,4510,2251,42,0,506,250,44,82,10,3,10,9,5,3,17,2,0,4,3,3,3,4,2,0,0,0,0
EL_120104,Λευκώνα,5273,3655,101,0,1155,157,59,118,26,10,14,13,12,8,144,6,2,7,12,8,3,3,4,3,2,1,0
EL_120601,Νέας Ζίχνης,14474,9311,250,0,2640,571,235,339,51,20,40,24,23,24,54,22,8,27,20,17,14,7,8,7,0,0,0
EL_120301,Νιγρίτης,13235,8140,224,0,2279,980,231,347,52,38,64,40,17,17,60,13,6,55,16,27,12,9,7,6,0,0,0
EL_120705,Πετριτσίου,9923,5760,103,0,1991,193,92,198,31,30,33,27,14,6,112,9,4,8,15,17,6,5,2,3,0,0,0
EL_120204,Πρώτης,4340,3053,74,0,571,237,107,100,11,15,13,4,1,3,13,3,1,5,7,4,2,1,7,1,0,0,0
EL_120201,Ροδολίβους,4162,2807,76,0,672,374,170,100,12,12,8,8,5,6,53,8,2,16,9,6,5,1,4,2,0,0,0
EL_120101,Σερρών,48843,30956,1079,0,8781,2238,1131,1706,183,206,155,138,85,112,225,38,42,121,66,62,23,7,30,19,0,0,0
EL_120701,Σιδηροκάστρου,14598,8295,207,0,2365,417,184,426,30,36,26,27,19,25,50,6,16,24,19,15,7,7,14,11,1,0,0
EL_120502,Σκοτούσσης,7476,4732,122,0,1600,164,89,176,15,21,29,11,7,8,49,4,7,12,15,6,7,1,7,2,0,0,0
EL_120106,Σκουτάρεως,8463,6257,132,0,2200,189,84,291,20,22,20,14,25,11,17,10,3,7,13,13,3,2,2,4,0,0,0
EL_120402,Στρυμώνα,10479,6277,140,0,1862,331,159,205,30,22,26,15,21,22,27,11,9,19,17,13,8,6,7,3,0,0,0
EL_120503,Στρυμονικού,6163,3816,57,0,914,112,67,180,16,8,14,10,8,5,83,2,3,7,4,6,1,0,2,1,0,0,0
EL_120304,Τραγίλου,7921,5099,136,0,1397,271,126,168,13,22,12,22,12,9,24,6,3,9,15,6,2,2,8,3,0,0,0
EL_120702,Αγκίστρου,974,486,5,0,163,6,3,23,4,2,2,2,1,0,11,0,0,1,1,0,0,0,0,1,0,0,0
