gisco_id,name,registered,turnout,invalid,blank,Arbeiderpartiet,Sosialistisk Venstreparti,Rødt,Senterpartiet,Kristelig Folkeparti,Venstre,Høyre,Fremskrittspartiet,AML,Demokratene i Norge,Kristent Samlingsparti,Kystpartiet,Miljøpartiet De Grønne,Pensjonistpartiet,ES,Det Liberale Folkepartiet,Norges Kommunistiske Parti,NRA,SAMT,Samfunnspartiet,VIGRID,NPAT,SALL,TPF
NO_0532,Jevnaker,4742,3620,0,0,1678,186,23,198,67,61,483,890,0,3,2,2,13,14,0,0,0,0,0,0,0,0,0,0
NO_0533,Lunner,6420,5095,0,0,2115,255,23,365,189,138,784,1171,0,6,9,4,16,20,0,0,0,0,0,0,0,0,0,0
NO_0534,Gran,10192,7661,0,0,3104,330,33,903,200,205,1062,1746,0,1,9,3,21,44,0,0,0,0,0,0,0,0,0,0
NO_0536,Søndre Land,4475,3185,0,0,1686,180,22,286,71,63,233,611,0,0,4,2,12,15,0,0,0,0,0,0,0,0,0,0
NO_0538,Nordre Land,5234,3742,0,0,1982,174,16,482,99,72,285,601,0,0,5,1,6,19,0,0,0,0,0,0,0,0,0,0
NO_0540,Sør-Aurdal,2404,1820,0,0,727,43,4,340,89,53,158,389,0,1,2,1,6,7,0,0,0,0,0,0,0,0,0,0
NO_0541,Etnedal,1068,825,0,0,284,42,2,193,45,32,72,150,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0
NO_0542,Nord-Aurdal,4905,3550,0,0,1407,122,11,483,112,174,383,829,0,3,4,2,9,11,0,0,0,0,0,0,0,0,0,0
NO_0543,Vestre Slidre,1668,1195,0,0,403,41,0,260,27,106,90,257,0,1,3,1,2,4,0,0,0,0,0,0,0,0,0,0
NO_0544,Øystre Slidre,2414,1715,0,0,549,81,17,373,38,105,187,348,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0
NO_0545,Vang,1179,860,0,0,214,34,7,310,24,27,83,154,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0
NO_0602,Drammen,44996,33629,0,0,12383,1613,223,561,1092,1043,7714,8709,0,28,56,26,107,0,0,0,24,0,0,0,50,0,0,0
NO_0604,Kongsberg,18120,14007,0,0,5829,805,86,812,371,498,2535,2987,0,6,22,9,31,0,0,0,2,0,0,0,14,0,0,0
NO_0605,Ringerike,21974,16174,0,0,6728,763,194,824,361,556,2545,4084,0,13,18,12,36,0,0,0,19,0,0,0,21,0,0,0
NO_0612,Hole,4285,3377,0,0,978,165,25,243,125,117,842,854,0,1,6,5,9,0,0,0,4,0,0,0,3,0,0,0
NO_0615,Flå,773,588,0,0,216,11,1,107,16,6,71,153,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0
NO_0616,Nes (Busk.),2613,1917,0,0,707,95,6,266,92,50,262,429,0,1,3,1,1,0,0,0,1,0,0,0,3,0,0,0
NO_0617,Gol,3307,2450,0,0,764,122,9,349,106,98,382,597,0,1,4,3,9,0,0,0,1,0,0,0,5,0,0,0
NO_0618,Hemsedal,1370,1095,0,0,253,48,4,207,123,35,216,200,0,0,5,0,3,0,0,0,0,0,0,0,1,0,0,0
