gisco_id,name,registered,turnout,invalid,blank,Arbeiderpartiet,SV - Sosialistisk Venstreparti,Rødt,Senterpartiet,Kristelig Folkeparti,Miljøpartiet De Grønne,Venstre,Høyre,Fremskrittspartiet,Alliansen - Alternativ for Norge,Demokratene,Folkeaksjonen Nei til mer bompenger,Helsepartiet,Industri- og Næringspartiet,Partiet De Kristne,Kystpartiet,Liberalistene,Norges Kommunistiske Parti,Piratpartiet,Pensjonistpartiet,Partiet Sentrum,Feministisk Initiativ,Generasjonspartiet,Redd Naturen,Pasientfokus
NO_3043,Ål,3445,2826,7,8,609,156,75,982,142,75,74,387,265,2,12,0,4,1,4,0,4,0,0,4,7,0,0,0,0
NO_3044,Hol,3192,2519,2,14,505,117,62,742,47,56,84,572,256,1,9,2,11,9,9,0,1,0,1,4,1,0,0,0,0
NO_3045,Sigdal,2642,2054,0,13,382,50,35,948,11,21,18,286,239,3,22,1,3,1,1,0,0,0,1,4,2,0,0,0,0
NO_3046,Krødsherad,1577,1234,0,14,339,35,33,391,13,10,26,209,114,1,19,2,3,5,0,0,2,0,0,2,2,0,0,0,0
NO_3047,Modum,10566,7917,1,53,2466,316,243,1654,141,150,138,1119,1315,8,140,6,24,11,14,0,10,0,4,23,28,0,0,0,0
NO_3048,Øvre Eiker,14084,10573,16,64,2695,471,273,2103,387,228,258,2063,1577,5,189,7,29,26,33,0,23,0,11,33,18,0,0,0,0
NO_3049,Lier,18528,14888,32,110,4002,799,421,1499,277,537,726,4336,1616,24,155,11,43,33,19,0,17,0,15,66,40,0,0,0,0
NO_3050,Flesberg,2010,1545,3,11,289,44,40,571,9,24,22,200,279,1,21,1,2,3,6,0,1,0,1,4,2,0,0,0,0
NO_3051,Rollag,1087,875,2,7,241,33,21,377,25,12,11,64,55,2,6,0,0,2,2,0,0,0,1,3,4,0,0,0,0
NO_3052,Nore og Uvdal,1866,1441,1,11,304,51,36,619,26,15,9,162,151,2,25,0,1,3,7,0,0,0,2,2,3,0,0,0,0
NO_3053,Jevnaker,5111,3949,3,23,1322,209,140,738,46,76,77,677,487,10,63,4,17,8,4,0,1,0,2,13,6,0,0,0,0
NO_3054,Lunner,6700,5369,14,39,1588,280,234,1020,120,176,158,894,651,8,59,14,19,6,21,0,5,0,1,19,3,0,1,0,0
NO_3401,Kongsvinger,13940,10234,10,55,3632,614,328,2111,131,138,236,1272,1151,5,117,7,25,13,19,0,21,0,0,266,15,0,0,13,0
NO_3403,Hamar,24247,18952,16,104,6443,2209,775,2808,488,683,873,2774,1169,13,134,7,32,23,30,0,24,0,0,189,42,0,0,12,0
NO_3405,Lillehammer,21568,16710,20,93,5979,1615,849,2146,288,804,690,2700,1034,5,100,15,33,19,26,0,9,0,16,133,43,0,0,0,0
NO_3407,Gjøvik,22865,17080,23,96,6429,1050,655,2891,388,449,546,2687,1356,8,110,11,35,16,55,0,17,0,16,118,28,0,0,0,0
NO_3411,Ringsaker,26269,19519,5,151,6888,1154,593,4641,291,405,437,2245,1777,30,210,18,50,46,25,0,15,0,0,345,31,0,0,11,0
NO_3412,Løten,5858,4583,0,31,1556,209,137,1546,99,95,64,309,353,3,55,6,16,3,12,0,8,0,0,37,11,0,0,2,0
NO_3413,Stange,15812,12640,15,82,4205,960,449,3505,419,286,290,1145,880,8,93,12,29,13,46,0,11,0,0,78,29,0,0,3,0
NO_3414,Nord-Odal,4075,3050,4,21,1113,176,112,901,27,18,40,196,279,2,57,1,20,4,4,0,4,0,0,21,8,0,0,21,0
NO_3415,Sør-Odal,6200,4626,4,46,1451,250,177,1246,23,71,74,507,521,4,67,4,42,13,7,0,10,0,0,55,7,0,0,1,0
NO_3416,Eidskog,4906,3559,3,35,1102,126,93,1085,42,45,59,359,411,5,54,1,11,4,12,0,4,0,0,66,7,0,0,0,0
NO_3417,Grue,3702,2758,0,20,914,101,78,898,14,30,31,235,303,2,45,2,8,2,1,0,9,0,0,29,6,0,0,10,0
NO_3418,Åsnes,5810,4230,7,32,1368,172,129,1343,45,37,47,295,501,4,113,5,9,7,14,0,2,0,0,58,6,0,0,4,0
NO_3419,Våler (Innlandet),2871,2151,9,14,599,111,76,806,13,16,23,117,209,1,44,2,4,2,8,0,3,0,0,75,4,0,0,1,0
NO_3420,Elverum,16200,12471,17,84,3727,800,419,3823,93,256,209,1429,1097,9,160,8,29,16,11,0,3,0,0,167,22,0,0,8,0
NO_3421,Trysil,4988,3927,4,21,1221,188,84,1408,64,47,57,410,309,2,42,0,4,4,12,0,8,0,0,17,3,0,0,1,0
NO_3422,Åmot,3341,2552,9,19,705,134,90,949,7,38,46,221,210,1,64,3,5,6,3,0,3,0,0,12,3,0,0,5,0
NO_3423,Stor-Elvdal,1820,1405,0,6,437,76,54,517,3,21,17,97,112,3,22,3,0,5,5,0,1,0,0,17,2,0,0,1,0
NO_3424,Rendalen,1420,1157,0,5,345,45,34,564,7,8,5,56,52,0,15,0,1,3,0,0,0,0,0,9,2,0,0,1,0
NO_3425,Engerdal,1024,859,0,1,226,26,17,428,0,18,4,71,53,1,4,1,3,0,0,0,0,0,0,4,1,0,0,0,0
NO_3426,Tolga,1144,949,0,1,234,112,35,450,5,27,17,37,21,0,6,0,0,1,0,0,0,0,0,2,0,0,0,0,0
NO_3427,Tynset,4134,3424,8,13,919,247,84,1492,46,87,64,212,147,2,39,1,5,5,6,0,3,0,0,21,9,0,0,1,0
NO_3428,Alvdal,1787,1470,1,9,389,68,32,671,32,33,24,124,60,2,6,0,0,1,1,0,5,0,0,3,0,0,0,0,0
NO_3429,Folldal,1243,1062,0,5,314,52,44,514,5,7,8,45,47,1,4,0,0,0,2,0,0,0,0,8,1,0,0,0,0
NO_3430,Os,1468,1187,0,6,348,72,36,580,22,16,17,35,34,2,4,0,0,1,1,0,1,0,0,3,1,0,0,2,0
NO_3431,Dovre,1995,1509,1,8,473,59,33,631,13,19,17,108,107,2,14,0,3,3,2,0,4,0,2,0,2,0,0,0,0
NO_3432,Lesja,1498,1218,3,5,282,34,29,674,11,11,11,60,77,1,6,0,2,2,3,0,0,0,0,2,0,0,0,0,0
NO_3433,Skjåk,1745,1382,4,7,326,63,59,711,5,22,11,58,69,0,15,1,2,6,2,0,1,0,2,8,3,0,0,0,0
NO_3434,Lom,1773,1350,0,8,362,75,37,669,8,14,7,62,73,5,13,0,3,1,3,0,0,0,1,1,0,0,0,0,0
NO_3435,Vågå,2809,2162,1,10,704,148,71,823,12,28,14,112,174,4,34,0,2,2,2,0,1,0,0,9,1,0,0,0,0
NO_3436,Nord-Fron,4446,3208,1,22,1364,83,62,941,36,23,33,290,261,7,32,3,5,3,6,0,0,0,3,7,4,0,0,0,0
NO_3437,Sel,4427,3197,0,21,1241,167,130,942,21,41,31,246,254,3,39,2,4,10,8,0,1,0,1,9,5,0,0,0,0
NO_3438,Sør-Fron,2277,1727,0,6,634,51,30,684,7,14,11,97,154,2,19,1,4,1,0,0,0,0,0,5,1,0,0,0,0
NO_3439,Ringebu,3329,2531,0,11,914,82,68,958,14,33,30,175,171,5,20,7,9,1,3,0,1,0,0,11,7,0,0,0,0
NO_3440,Øyer,3729,2879,1,14,1106,159,78,887,58,58,49,260,137,1,24,1,8,6,1,0,1,0,3,5,8,0,0,0,0
NO_3441,Gausdal,4746,3563,0,23,1318,133,110,1261,35,65,54,219,261,1,24,0,2,1,3,0,4,0,4,15,7,0,0,0,0
NO_3442,Østre Toten,11351,8527,19,51,2987,377,285,2202,148,162,195,986,843,8,84,3,9,14,11,0,8,0,5,63,16,0,0,0,0
NO_3443,Vestre Toten,10498,7732,6,67,2877,297,316,1589,136,127,178,980,863,6,100,6,16,8,24,0,15,0,1,42,11,0,0,0,0
NO_3446,Gran,10504,8091,14,54,2471,328,270,1884,116,126,206,1358,985,8,66,14,23,15,19,0,13,0,6,48,13,0,0,0,0
NO_3447,Søndre Land,4366,3167,7,17,1156,181,124,812,33,54,54,336,288,4,44,0,6,3,5,0,3,0,1,15,7,0,0,0,0
