gisco_id,name,registered,turnout,invalid,blank,DeSUS,DOM,Resni.ca,GS,ZSi,Levica,LBP,LMŠ,ND,NP-DD,ZD (2018),NSi,PIRATI,PoS,SDS,SNS,SD,SAB,VESNA,ZLS,ZSi-SSN
SI_3002,Vrhnika,20084,15546,123,0,46,23,353,5873,0,711,67,665,129,281,349,1089,311,403,3341,148,816,439,262,117,0
SI_3003,LJ-Vič-Rudnik I,25494,19889,151,0,60,51,561,7054,0,751,63,690,138,509,353,1513,391,736,4639,244,997,565,287,136,0
SI_3004,LJ-Vič- Rudnik II,16849,12570,78,0,38,33,226,5199,0,932,37,508,55,227,229,762,270,286,2142,104,759,442,193,50,0
SI_3005,LJ-Vič- Rudnik III,16336,12589,76,0,49,28,235,5099,0,1083,36,495,54,233,189,651,251,281,1922,78,992,528,245,64,0
SI_3006,LJ-Vič- Rudnik IV,21800,16847,117,0,41,28,299,5811,0,1030,33,628,172,260,312,1192,353,467,4269,141,893,467,256,78,0
SI_3007,LJ- center,22220,14464,66,0,42,26,198,5461,0,2123,21,518,66,275,241,747,318,303,2158,92,939,547,278,45,0
SI_3008,LJ-Šiška I,14089,10282,44,0,33,31,172,4500,0,1074,23,416,59,260,173,427,243,167,1302,59,690,369,185,55,0
SI_3009,LJ-Šiška II,18149,13490,79,0,53,33,313,5389,0,1235,45,549,74,321,216,693,251,259,1865,88,1172,542,237,76,0
SI_3010,LJ-Šiška III,16955,12867,66,0,37,25,306,5330,0,905,30,543,83,241,225,717,246,309,2112,95,836,472,215,74,0
SI_3011,LJ-Šiška IV,22472,17813,133,0,66,33,506,6641,0,759,67,771,172,285,317,1533,386,420,3657,186,912,570,291,108,0
SI_4001,Kočevje,14210,9043,101,0,67,11,289,3196,0,307,48,248,57,168,110,550,96,112,1806,226,1242,281,76,52,0
SI_4002,Ribnica,14529,10410,109,0,49,12,175,2299,0,270,26,291,151,199,177,1845,132,240,3574,155,374,177,107,48,0
SI_4003,Grosuplje,15897,12083,74,0,64,31,229,3726,0,469,24,411,111,184,273,928,189,345,3871,127,516,238,202,71,0
SI_4004,Litija,13132,10094,93,0,57,23,173,2560,0,311,23,348,222,151,160,709,157,285,3921,114,453,151,135,48,0
SI_4005,LJ-Moste- Polje I,23329,17195,132,0,60,23,406,6661,0,886,58,794,126,410,278,1109,352,336,3424,202,1029,480,270,159,0
SI_4006,LJ-Moste- Polje II,15339,10349,87,0,64,17,250,4433,0,808,61,428,50,442,178,358,180,163,1297,87,776,429,160,81,0
SI_4007,LJ-Moste- Polje III,20250,14149,112,0,88,31,376,5743,0,1162,60,595,69,339,242,730,302,261,2124,122,978,489,228,98,0
SI_4008,LJ- Bežigrad I,23372,18032,100,0,72,33,396,7321,0,1230,53,809,116,285,295,1182,371,337,3055,175,1163,631,321,87,0
