gisco_id,name,registered,turnout,invalid,blank,FKGP,Centrum,MP,MSZP,SZDSZ,MIÉP,FIDESZ-MDF,RK,ÚB,MAVEP,MRP,SZDP
HU_2584,Rigács,139,85,3,0,2,2,1,19,0,2,56,0,0,0,0,0
HU_3079,Salföld,57,45,0,0,1,2,0,17,2,2,21,0,0,0,0,0
HU_1377,Sáska,225,170,1,0,0,6,2,71,3,3,84,0,0,0,0,0
HU_0515,Somlójenõ,250,150,6,0,2,0,1,73,2,3,63,0,0,0,0,0
HU_2577,Somlószõlõs,611,382,4,0,1,3,3,119,25,16,210,0,1,0,0,0
HU_2656,Somlóvásárhely,892,569,19,0,1,7,15,148,27,23,329,0,0,0,0,0
HU_1424,Somlóvecse,86,69,0,0,0,2,1,13,3,0,50,0,0,0,0,0
HU_0360,Sóly,290,235,1,0,5,16,4,79,10,6,114,0,0,0,0,0
HU_2559,Sümeg,5483,3821,43,0,156,110,91,1069,87,231,2033,0,1,0,0,0
HU_0538,Sümegprága,523,344,3,0,12,4,9,55,4,11,246,0,0,0,0,0
HU_1648,Szápár,429,306,8,0,5,8,5,121,16,7,136,0,0,0,0,0
HU_0356,Szentantalfa,273,171,2,0,3,7,2,51,6,5,95,0,0,0,0,0
HU_0709,Szentbékkálla,190,161,1,0,2,6,1,41,11,9,90,0,0,0,0,0
HU_0792,Szentgál,2191,1316,20,0,8,26,28,425,60,42,706,0,1,0,0,0
HU_1006,Szentimrefalva,177,97,1,0,2,2,0,16,0,2,74,0,0,0,0,0
HU_1154,Szentjakabfa,94,76,0,0,0,3,0,20,1,2,50,0,0,0,0,0
HU_1626,Szentkirályszabadja,1510,1050,19,0,13,34,22,388,43,26,503,0,2,0,0,0
HU_2489,Szigliget,828,588,9,0,4,19,8,150,20,46,332,0,0,0,0,0
HU_1669,Szõc,368,222,12,0,5,6,8,49,16,6,117,0,3,0,0,0
HU_1703,Tagyon,73,59,0,0,3,2,0,19,1,1,33,0,0,0,0,0
HU_1312,Takácsi,780,560,4,0,4,6,10,219,12,23,279,0,3,0,0,0
HU_1732,Taliándörögd,561,338,3,0,1,11,5,91,10,6,211,0,0,0,0,0
HU_2943,Tapolca,14203,10582,84,0,45,413,219,3756,314,459,5289,0,3,0,0,0
HU_2057,Tés,808,551,8,0,4,13,21,157,28,11,307,0,2,0,0,0
HU_3046,Tihany,1142,899,5,0,3,49,9,244,34,63,491,0,1,0,0,0
HU_0271,Tótvázsony,937,690,3,0,6,29,7,176,30,20,417,0,2,0,0,0
HU_0463,Tüskevár,477,348,13,0,7,6,5,103,13,37,164,0,0,0,0,0
HU_2476,Ugod,1244,797,5,0,2,22,20,250,9,31,456,0,2,0,0,0
HU_2301,Ukk,307,218,3,0,5,6,9,76,2,20,97,0,0,0,0,0
HU_3421,Uzsa,323,267,2,0,2,6,5,153,6,6,87,0,0,0,0,0
HU_2085,Úrkút,1792,1146,23,0,4,40,14,489,55,40,479,0,2,0,0,0
HU_2177,Vanyola,464,293,5,0,2,3,0,64,1,4,214,0,0,0,0,0
HU_2664,Vaszar,1330,934,12,0,18,12,14,153,17,25,683,0,0,0,0,0
HU_2620,Várkeszõ,179,136,3,0,1,7,4,35,1,5,80,0,0,0,0,0
HU_0706,Városlõd,1140,767,13,0,9,19,7,214,45,12,447,0,1,0,0,0
HU_1143,Várpalota,17629,12371,136,0,47,507,345,6129,947,323,3931,0,6,0,0,0
HU_1665,Vászoly,169,141,1,0,1,2,4,38,2,10,82,0,1,0,0,0
HU_1176,Veszprém,48030,37465,319,0,119,1991,623,14981,2738,1133,15531,0,30,0,0,0
HU_2143,Veszprémfajsz,215,188,2,0,4,11,1,30,15,5,120,0,0,0,0,0
HU_1933,Veszprémgalsa,226,147,3,0,0,0,5,23,3,3,110,0,0,0,0,0
HU_0950,Vid,109,60,3,0,1,1,0,24,3,8,19,0,1,0,0,0
HU_0973,Vigántpetend,173,119,2,0,2,4,2,31,4,6,68,0,0,0,0,0
HU_1570,Vilonya,498,341,9,0,4,10,6,158,8,5,141,0,0,0,0,0
HU_2465,Vinár,187,158,2,0,3,3,36,32,1,5,76,0,0,0,0,0
HU_1170,Vöröstó,89,61,1,0,1,2,0,14,0,2,41,0,0,0,0,0
HU_2999,Zalaerdõd,277,192,1,0,6,1,1,53,1,5,124,0,0,0,0,0
HU_2720,Zalagyömörõ,384,248,4,0,16,5,3,51,3,14,152,0,0,0,0,0
HU_1265,Zalahaláp,817,590,2,0,1,17,9,182,15,9,355,0,0,0,0,0
HU_3303,Zalameggyes,38,27,0,0,0,2,1,1,1,3,19,0,0,0,0,0
HU_2359,Zalaszegvár,113,86,0,0,7,5,1,21,2,6,44,0,0,0,0,0
HU_2082,Zánka,709,558,7,0,0,22,5,216,24,20,264,0,0,0,0,0
HU_2649,Zirc,5877,4353,30,0,16,240,52,1696,306,137,1870,0,6,0,0,0
HU_0264,Alibánfa,356,249,3,0,1,8,7,103,4,9,114,0,0,0,0,0
HU_2338,Almásháza,46,36,0,0,0,0,1,3,1,0,31,0,0,0,0,0
HU_1951,Alsónemesapáti,597,319,5,0,1,11,9,94,10,27,162,0,0,0,0,0
HU_3208,Alsópáhok,990,697,9,0,17,20,6,221,22,35,367,0,0,0,0,0
HU_1882,Alsórajk,343,217,2,0,8,8,1,74,7,9,108,0,0,0,0,0
HU_0876,Alsószenterzsébet,79,64,1,0,3,3,0,18,1,0,38,0,0,0,0,0
HU_2126,Babosdöbréte,400,266,7,0,0,8,6,60,12,2,171,0,0,0,0,0
HU_1105,Baglad,60,47,2,0,1,2,1,14,1,3,23,0,0,0,0,0
HU_3036,Bagod,1033,732,9,0,3,37,13,208,24,12,426,0,0,0,0,0
HU_0473,Bak,1441,1037,3,0,8,33,18,397,44,16,518,0,0,0,0,0
HU_1509,Baktüttös,273,170,2,0,9,10,3,42,3,4,97,0,0,0,0,0
HU_1700,Balatongyörök,713,569,3,0,1,12,9,166,30,54,294,0,0,0,0,0
HU_2646,Balatonmagyaród,461,278,3,0,2,11,5,130,11,1,115,0,0,0,0,0
HU_2744,Barlahida,146,105,1,0,2,2,2,28,2,2,66,0,0,0,0,0
HU_2486,Batyk,348,257,5,0,0,1,6,78,5,8,154,0,0,0,0,0
HU_0843,Bánokszentgyörgy,552,387,4,0,12,5,8,134,8,14,202,0,0,0,0,0
HU_1869,Bázakerettye,744,546,5,0,1,19,8,292,23,11,187,0,0,0,0,0
HU_2314,Becsehely,1793,1057,12,0,17,42,25,335,55,28,543,0,0,0,0,0
HU_1836,Becsvölgye,687,431,0,0,13,10,16,129,9,10,244,0,0,0,0,0
HU_0916,Belezna,706,371,6,0,10,7,9,119,18,8,194,0,0,0,0,0
HU_2095,Belsõsárd,103,89,3,0,0,6,1,12,3,1,63,0,0,0,0,0
HU_1283,Bezeréd,165,119,5,0,0,2,2,30,0,1,79,0,0,0,0,0
HU_1754,Bocfölde,821,588,5,0,3,22,11,168,14,17,348,0,0,0,0,0
