gisco_id,name,registered,turnout,invalid,blank,MEMO,LMP,DK-MSZP-P,2RK,MKKP,Jobbik,FIDESZ-KDNP,TISZA,MHM
HU_31927,Beremend,1899,1233,32,0,9,21,115,6,44,31,594,317,64
HU_16461,Berkesd,643,460,16,0,2,4,34,2,19,22,276,53,32
HU_30049,Besence,92,72,6,0,0,0,2,0,2,0,47,13,2
HU_14119,Bezedek,169,100,3,0,1,0,1,1,0,1,74,16,3
HU_13310,Bicsérd,810,529,13,0,1,13,33,2,29,29,254,129,26
HU_04899,Bikal,547,315,9,0,3,6,26,3,11,16,108,107,26
HU_05139,Birján,427,295,9,0,1,2,11,3,12,10,132,102,13
HU_24925,Bisse,199,154,5,0,2,2,9,0,9,8,89,22,8
HU_20899,Boda,344,205,6,0,0,7,11,0,8,12,100,45,16
HU_33002,Bodolyabér,168,87,2,0,0,0,5,0,6,3,54,12,5
HU_32151,Bogád,919,492,3,0,0,9,26,3,36,26,206,157,26
HU_21892,Bogádmindszent,331,238,4,0,3,5,9,1,15,5,149,42,5
HU_10694,Bogdása,197,121,4,0,0,0,5,0,2,2,88,13,7
HU_13116,Boldogasszonyfa,295,223,4,0,0,4,12,3,4,8,142,27,19
HU_06725,Borjád,313,206,11,0,1,2,6,1,6,5,98,52,24
HU_14368,Bosta,107,91,7,0,0,0,3,0,2,0,58,14,7
HU_13365,Botykapeterd,271,183,8,0,0,2,11,1,5,4,118,21,13
HU_33154,Bóly,2740,1778,29,0,11,32,107,14,72,81,819,511,102
HU_23162,Bükkösd,871,536,20,0,3,4,38,0,20,15,268,109,59
HU_07533,Bürüs,61,44,5,0,0,0,0,0,2,1,28,3,5
HU_30614,Csarnóta,111,66,5,0,1,1,4,0,2,3,30,11,9
HU_19901,Csányoszró,493,296,10,0,0,2,20,1,7,9,173,54,20
HU_21591,Csebény,62,50,1,0,1,0,4,0,0,3,30,8,3
HU_26082,Cserdi,291,211,20,0,2,2,11,0,3,5,106,51,11
HU_03896,Cserkút,554,355,8,0,0,9,29,2,25,12,125,109,36
HU_13851,Csertő,318,227,6,0,0,8,15,2,10,13,127,32,14
HU_22576,Csonkamindszent,128,88,4,0,0,0,4,0,4,3,60,10,3
HU_11086,Cún,159,114,8,0,0,2,11,0,1,3,73,8,8
HU_07773,Dencsháza,447,279,20,0,2,2,16,4,3,9,157,52,14
HU_11952,Dinnyeberki,69,54,4,0,0,1,3,0,2,4,29,9,2
HU_32373,Diósviszló,532,359,9,0,17,3,15,0,7,4,236,48,20
HU_28617,Drávacsehi,139,99,8,0,0,1,3,1,0,4,53,23,6
HU_28121,Drávacsepely,170,110,1,0,0,2,9,0,2,2,74,13,7
HU_17419,Drávafok,366,224,8,0,0,1,19,0,7,9,142,29,9
HU_32391,Drávaiványi,131,110,9,0,0,0,2,0,1,3,79,12,4
HU_09159,Drávakeresztúr,82,49,2,0,0,0,1,0,4,3,24,11,4
HU_22734,Drávapalkonya,224,173,10,0,0,4,14,0,9,4,106,12,14
HU_12380,Drávapiski,93,86,8,0,43,0,1,0,2,1,23,7,1
HU_28608,Drávaszabolcs,557,385,17,0,1,6,33,3,15,7,210,64,29
HU_30030,Drávaszerdahely,128,103,7,0,1,2,7,0,1,4,43,29,9
HU_21698,Drávasztára,304,227,11,0,0,2,12,1,8,3,146,25,19
HU_09186,Dunaszekcső,1516,889,25,0,3,10,53,6,43,23,520,156,50
HU_28918,Egerág,778,437,4,0,4,5,42,1,14,16,182,122,47
HU_16498,Egyházasharaszti,243,192,8,0,2,3,5,1,2,5,144,18,4
HU_27401,Egyházaskozár,587,298,2,0,1,5,42,0,11,15,121,66,35
HU_06099,Ellend,188,121,4,0,0,4,8,1,5,6,50,33,10
HU_28273,Endrőc,295,214,21,0,0,5,12,2,2,8,122,28,14
HU_25821,Erdősmárok,54,43,2,0,0,0,0,1,2,3,23,8,4
HU_18704,Erdősmecske,273,197,4,0,0,3,7,3,7,11,138,15,9
HU_13499,Erzsébet,227,170,7,0,2,6,9,0,5,2,90,30,19
HU_17835,Fazekasboda,147,87,1,0,0,0,0,0,1,2,55,21,7
HU_04543,Feked,164,139,8,0,1,5,6,1,4,6,62,38,8
HU_13286,Felsőegerszeg,106,59,3,0,0,1,3,0,2,5,36,6,3
HU_08819,Felsőszentmárton,671,442,11,0,2,3,39,1,18,13,272,48,35
HU_07560,Garé,241,190,6,0,5,3,12,0,12,3,102,41,6
HU_12751,Gerde,401,259,3,0,0,4,16,4,11,7,163,34,17
HU_02857,Geresdlak,591,387,6,0,0,10,22,2,16,8,213,90,20
HU_13347,Gerényes,147,103,5,0,0,2,5,1,4,1,78,3,4
HU_18333,Gilvánfa,259,189,29,0,0,2,3,0,3,2,140,8,2
HU_33084,Gordisa,218,126,10,0,1,1,12,0,0,2,84,11,5
HU_33233,Gödre,625,353,12,0,0,4,13,4,11,4,239,55,11
HU_30438,Görcsöny,1315,665,31,0,2,6,42,4,34,19,294,173,60
HU_09636,Görcsönydoboka,291,176,4,0,0,4,14,0,7,5,89,37,16
HU_18315,Gyód,629,365,9,0,1,5,25,3,25,13,176,76,32
HU_28404,Gyöngyfa,101,80,2,0,0,2,2,0,0,0,65,7,2
HU_22664,Gyöngyösmellék,221,137,7,0,1,2,9,2,3,2,94,16,1
HU_21528,Harkány,4296,2548,26,0,12,28,173,8,72,76,1263,705,185
HU_27881,Hásságy,255,166,6,0,0,2,9,1,11,4,97,32,4
HU_30951,Hegyhátmaróc,98,61,0,0,2,1,10,0,5,0,22,14,7
HU_21023,Hegyszentmárton,327,212,8,0,3,1,11,1,7,9,129,29,14
HU_17190,Helesfa,285,161,11,0,0,5,19,0,9,11,70,27,9
HU_07126,Hetvehely,372,269,12,0,1,2,22,4,7,6,153,45,17
HU_06798,Hidas,1662,995,30,0,8,11,49,11,33,34,519,210,90
HU_27933,Himesháza,815,508,10,0,1,0,39,0,14,22,255,115,52
HU_03285,Hirics,168,103,2,0,0,0,4,1,0,3,88,3,2
HU_33932,Hobol,746,391,9,0,2,4,35,0,18,19,175,107,22
HU_29966,Homorúd,459,312,7,0,0,3,9,0,14,2,177,33,67
HU_23074,Horváthertelend,45,37,0,0,0,0,2,0,0,1,32,1,1
HU_30836,Hosszúhetény,2715,1524,37,0,9,14,125,13,71,57,599,495,104
HU_31431,Husztót,40,32,3,0,0,0,0,0,0,2,17,8,2
HU_33066,Ibafa,152,98,7,0,0,0,7,0,3,2,50,24,5
HU_31936,Illocska,190,134,9,0,2,1,11,0,2,6,80,20,3
HU_29948,Ipacsfa,166,139,5,0,0,0,7,3,4,4,83,27,6
HU_03337,Ivánbattyán,90,74,2,0,0,2,5,0,3,1,42,16,3
HU_03346,Ivándárda,166,130,4,0,0,2,15,0,0,11,54,41,3
HU_04297,Kacsóta,215,175,8,0,1,1,17,0,1,14,103,22,8
HU_06965,Katádfa,104,76,6,0,2,0,2,1,5,3,50,7,0
HU_06415,Kákics,157,105,3,0,1,1,4,0,2,8,77,4,5
HU_05999,Kárász,264,150,3,0,0,4,13,0,3,13,70,35,9
HU_17464,Kásád,222,141,3,0,1,1,12,0,0,6,88,16,14
HU_19132,Kátoly,260,188,9,0,0,4,11,0,9,5,83,44,23
HU_06789,Kemse,46,38,0,0,0,1,0,0,3,0,24,9,1
HU_03832,Keszü,1145,804,19,0,1,10,57,6,39,43,292,280,57
HU_16805,Kékesd,135,106,2,0,1,1,6,0,8,1,61,16,10
HU_10542,Kémes,371,265,8,0,3,5,29,3,3,9,145,48,12
HU_08572,Kétújfalu,535,347,16,0,1,1,23,1,12,10,204,67,12
HU_20552,Királyegyháza,711,447,16,0,0,3,24,2,17,26,247,85,27
HU_18908,Kisasszonyfa,154,131,5,0,0,2,4,0,4,3,81,24,8
HU_05722,Kisbeszterce,63,35,1,0,0,1,4,0,0,1,19,7,2
HU_22868,Kisbudmér,73,49,0,0,0,0,3,0,2,3,31,8,2
HU_11183,Kisdér,99,64,3,0,0,2,4,0,2,0,35,13,5
HU_33905,Kisdobsza,185,136,8,0,1,2,8,3,2,3,83,17,9
HU_06831,Kishajmás,149,108,3,0,0,4,10,0,4,3,59,17,8
HU_27021,Kisharsány,404,230,4,0,1,3,19,0,11,14,123,39,16
HU_16975,Kisherend,162,102,2,0,0,1,6,0,6,3,63,16,5
HU_12849,Kisjakabfalva,81,47,0,0,0,0,8,0,0,2,32,4,1
HU_19910,Kiskassa,194,140,9,0,1,2,10,2,6,4,68,33,5
HU_21616,Kislippó,237,164,1,0,0,3,13,1,3,5,80,47,11
HU_33215,Kisnyárád,132,93,2,0,1,1,5,0,4,1,56,14,9
HU_08651,Kisszentmárton,189,143,3,0,0,2,7,1,1,0,120,3,6
HU_12353,Kistamási,97,68,5,0,0,0,2,0,2,1,49,5,4
HU_03151,Kistapolca,170,143,4,0,0,4,5,3,5,5,78,31,8
HU_10746,Kistótfalu,255,173,5,0,0,3,10,3,9,5,89,29,20
HU_09548,Kisvaszar,236,145,6,0,1,1,7,0,3,0,104,17,6
HU_26408,Komló,20862,9979,163,0,26,109,1332,37,285,369,4460,2662,536
HU_24226,Kovácshida,198,152,8,0,1,2,6,0,4,5,96,19,11
HU_14517,Kovácsszénája,55,44,8,0,0,2,1,0,2,2,13,12,4
HU_06336,Kozármisleny,5216,3546,54,0,15,69,265,39,161,166,1249,1309,219
HU_08110,Kórós,156,115,4,0,0,0,5,0,4,4,86,8,4
HU_25247,Köblény,165,72,0,0,2,2,7,0,1,1,43,14,2
HU_03540,Kökény,549,356,6,0,3,5,29,1,27,20,124,101,40
HU_17899,Kölked,801,478,13,0,1,1,15,1,11,15,326,66,29
HU_15538,Kővágószőlős,1386,946,27,0,4,11,78,2,57,64,422,229,52
HU_06479,Lapáncsa,137,109,1,0,0,0,2,0,6,1,74,14,11
HU_33330,Lánycsók,1968,1245,32,0,6,17,75,6,30,35,690,229,125
HU_17604,Liget,292,211,3,0,0,11,18,0,8,4,97,53,17
HU_22974,Lippó,396,194,5,0,1,1,16,0,5,4,109,41,12
HU_10038,Liptód,150,102,6,0,0,1,9,1,3,2,57,18,5
HU_31389,Lothárd,206,117,2,0,1,4,14,1,9,4,46,24,12
HU_24624,Lovászhetény,229,122,4,0,0,1,5,0,3,5,69,22,13
HU_18865,Lúzsok,157,132,8,0,0,1,6,1,1,6,92,15,2
HU_25177,Magyarbóly,755,428,15,0,3,8,22,1,8,20,261,61,29
HU_29753,Magyaregregy,571,396,6,0,2,11,27,2,11,17,204,91,25
HU_05430,Magyarhertelend,503,376,7,0,3,10,41,2,19,16,138,98,42
HU_23542,Magyarlukafa,64,39,0,0,0,0,2,0,2,2,24,8,1
HU_05412,Magyarmecske,252,189,3,0,0,0,8,0,1,4,134,23,16
HU_27067,Magyarsarlós,246,187,4,0,2,1,12,0,7,7,102,34,18
HU_22600,Magyarszék,802,563,10,0,3,11,55,3,25,20,268,127,41
HU_04385,Magyartelek,155,120,7,0,0,2,6,1,4,3,72,10,15
HU_27863,Majs,745,466,10,0,4,6,12,1,17,16,255,103,42
HU_29920,Maráza,148,75,1,0,0,0,5,0,3,2,53,10,1
HU_16443,Markóc,51,42,2,0,0,0,0,0,5,0,30,4,1
HU_15219,Marócsa,60,54,5,0,0,0,3,0,0,1,40,1,4
HU_02228,Martonfa,193,131,3,0,2,6,6,2,6,7,51,26,22
HU_15051,Matty,279,234,7,0,2,1,8,2,2,6,162,35,9
HU_06813,Mágocs,1808,1093,11,0,3,10,88,5,41,37,537,290,71
HU_33923,Mánfa,670,474,6,0,1,31,34,10,32,13,193,131,23
HU_09450,Márfa,155,128,4,0,2,1,8,0,5,4,63,27,14
HU_14483,Máriakéménd,435,247,10,0,4,3,17,1,8,11,132,39,22
HU_20659,Márok,351,260,6,0,0,2,8,2,3,7,172,42,18
HU_33756,Máza,928,596,31,0,0,6,77,2,16,19,238,149,58
HU_13444,Mecseknádasd,1260,830,14,0,4,14,47,1,22,34,425,201,68
HU_11402,Mecsekpölöske,336,209,1,0,0,5,29,3,9,10,108,37,7
HU_30492,Mekényes,212,108,3,0,0,2,11,1,2,3,40,40,6
HU_07737,Merenye,186,142,8,0,0,2,6,0,2,4,90,23,7
HU_03470,Meződ,104,48,7,0,0,0,4,0,2,2,20,9,4
HU_16285,Mindszentgodisa,598,323,9,0,1,3,25,0,6,8,198,57,16
HU_23959,Mohács,14536,8275,146,0,32,74,584,40,245,239,4147,2128,640
HU_29522,Molvány,145,101,4,0,1,1,6,0,2,0,56,19,12
HU_16027,Monyoród,147,103,3,0,1,1,5,0,9,7,38,23,16
HU_29540,Mozsgó,666,390,7,0,0,3,33,0,10,13,210,74,40
HU_03984,Nagybudmér,135,97,4,0,0,0,3,1,3,4,70,10,2
HU_18111,Nagycsány,99,87,1,0,0,0,11,0,2,4,36,26,7
HU_33899,Nagydobsza,460,302,17,0,2,3,30,1,7,8,165,54,15
HU_12858,Nagyhajmás,215,149,9,0,1,1,4,0,6,6,76,31,15
HU_02653,Nagyharsány,1143,657,20,0,6,10,42,4,15,24,349,152,35
HU_10940,Nagykozár,1618,1110,33,0,7,22,72,10,78,35,420,365,68
HU_14650,Nagynyárád,564,420,17,0,0,2,12,3,13,11,255,91,16
HU_19877,Nagypall,305,162,2,0,0,0,6,3,7,4,108,21,11
HU_27164,Nagypeterd,530,332,16,0,3,3,37,1,17,10,142,81,22
HU_28927,Nagytótfalu,264,192,3,0,0,6,12,0,4,3,136,28,0
HU_14191,Nagyváty,232,173,9,0,1,2,8,3,5,3,105,28,9
HU_18236,Nemeske,182,135,4,0,0,1,13,0,9,8,72,21,7
HU_26329,Nyugotszenterzsébet,189,136,2,0,0,2,7,2,3,9,68,29,14
HU_20686,Okorág,115,52,2,0,0,0,2,0,3,0,38,4,3
HU_08341,Okorvölgy,76,63,2,0,1,0,4,0,7,1,38,7,3
HU_18555,Olasz,475,349,12,0,4,6,34,1,6,7,173,75,31
HU_21704,Old,230,199,7,0,4,3,3,1,9,6,158,6,2
HU_11730,Orfű,946,662,15,0,4,13,52,4,55,35,228,217,39
HU_04482,Oroszló,244,177,2,0,0,1,11,0,8,13,85,43,14
HU_12645,Óbánya,102,81,4,0,0,1,0,0,4,1,38,25,8
HU_03780,Ócsárd,304,190,4,0,0,4,20,2,12,7,89,33,19
HU_19646,Ófalu,284,202,8,0,2,2,5,2,8,4,126,29,16
HU_18661,Ózdfalu,116,99,5,0,0,1,14,0,1,1,54,21,2
HU_23764,Palé,69,44,1,0,0,1,8,1,1,3,19,6,4
HU_07153,Palkonya,207,171,7,0,0,0,9,2,4,17,87,30,15
HU_10135,Palotabozsok,642,475,7,0,1,3,16,1,5,17,283,103,39
HU_17792,Patapoklosi,250,137,10,0,1,0,8,0,7,3,89,16,3
HU_07010,Páprád,127,104,3,0,0,0,3,0,0,2,66,18,12
HU_16115,Pellérd,1894,1028,22,0,4,24,96,9,67,33,352,351,70
HU_12867,Pereked,140,111,6,0,0,4,8,1,3,4,52,18,15
HU_32425,Peterd,171,130,7,0,0,1,5,0,7,5,68,19,18
HU_29762,Pettend,113,96,7,0,0,2,0,0,2,1,74,5,5
HU_19415,Pécs,109605,61993,592,0,216,566,7273,522,3155,3188,23017,20132,3332
HU_21519,Pécsbagota,78,58,1,0,0,0,1,0,3,5,26,12,10
HU_15389,Pécsdevecser,83,43,1,0,0,0,5,0,1,2,28,6,0
HU_21096,Pécsudvard,663,481,6,0,1,5,57,4,17,25,160,152,54
HU_10825,Pécsvárad,3217,1977,31,0,11,19,127,13,85,82,971,483,155
HU_23506,Piskó,173,132,5,0,0,0,1,0,0,0,123,3,0
HU_17242,Pogány,1064,673,8,0,6,10,55,8,34,46,238,208,60
HU_22266,Pócsa,146,78,2,0,1,1,4,0,4,1,48,11,6
HU_11518,Rádfalva,168,132,8,0,1,2,14,0,11,0,81,9,6
HU_25292,Regenye,136,91,6,0,0,1,7,0,1,3,51,16,6
HU_24855,Romonya,456,336,6,0,2,9,15,1,27,21,133,87,35
HU_04516,Rózsafa,255,171,5,0,0,2,18,1,8,3,87,27,20
HU_18050,Sámod,156,120,6,0,0,2,12,1,2,2,87,7,1
HU_20862,Sárok,80,68,5,0,0,0,4,0,3,1,37,14,4
HU_32160,Sásd,2417,1288,35,0,3,19,107,7,33,38,675,309,62
HU_33482,Sátorhely,508,308,3,0,2,3,14,2,9,15,164,53,43
HU_28741,Sellye,2145,1285,26,0,6,21,156,5,46,44,585,309,87
HU_05519,Siklós,7473,3833,75,0,9,41,317,19,118,101,1791,1162,200
HU_23205,Siklósbodony,105,84,8,0,2,1,2,0,2,0,66,2,1
HU_08800,Siklósnagyfalu,282,220,8,0,0,4,6,1,2,4,184,9,2
HU_23472,Somberek,1170,715,15,0,8,6,32,4,14,20,403,159,54
HU_23807,Somogyapáti,358,213,6,0,1,3,25,1,7,11,100,44,15
HU_25070,Somogyhatvan,238,188,10,0,0,3,14,0,4,7,102,42,6
HU_29142,Somogyhárságy,293,222,10,0,1,2,23,0,9,5,122,34,16
HU_21281,Somogyviszló,165,120,8,0,2,2,5,1,4,5,70,15,8
HU_31714,Sósvertike,117,101,12,0,0,1,7,0,1,5,65,6,4
HU_02547,Sumony,317,229,6,0,0,1,4,0,3,4,187,21,3
HU_15079,Szabadszentkirály,665,434,10,0,1,5,29,8,20,17,243,79,22
HU_08475,Szajk,645,427,9,0,0,4,17,1,13,18,255,76,34
HU_09007,Szalatnak,227,130,5,0,1,0,15,1,6,3,67,26,6
HU_22257,Szalánta,950,583,8,0,2,5,45,3,30,17,293,147,33
HU_34032,Szaporca,181,107,1,0,0,2,7,0,2,3,72,18,2
HU_31060,Szava,255,205,9,0,2,3,14,2,10,2,131,18,14
HU_27508,Szágy,97,86,0,0,1,2,0,1,0,4,69,3,6
HU_07366,Szárász,33,22,0,0,0,0,4,0,0,5,8,4,1
HU_33765,Szászvár,1890,1032,18,0,4,12,122,2,34,51,391,306,92
HU_03018,Szebény,271,172,2,0,0,0,2,1,6,3,118,26,14
HU_05607,Szederkény,1442,899,29,0,4,5,59,9,37,36,428,226,66
HU_16984,Szellő,111,61,0,0,1,2,4,0,2,0,27,13,12
HU_09308,Szemely,414,210,4,0,1,0,24,1,13,4,83,62,18
HU_32009,Szentdénes,256,170,6,0,0,1,10,0,10,1,107,25,10
HU_33613,Szentegát,261,199,6,0,1,1,13,0,5,10,114,37,12
HU_09803,Szentkatalin,76,53,4,0,0,1,4,0,3,1,32,2,6
HU_16355,Szentlászló,617,399,10,0,1,2,33,4,8,11,202,92,36
HU_15866,Szentlőrinc,5002,2759,54,0,14,25,254,16,89,116,1358,654,179
HU_16771,Székelyszabar,445,308,11,0,0,1,20,1,9,12,183,42,29
HU_26578,Szigetvár,8011,4659,56,0,16,30,544,19,133,135,2043,1456,227
HU_19831,Szilágy,225,136,3,0,0,0,15,0,1,8,80,17,12
HU_24712,Szilvás,115,72,4,0,0,2,5,0,8,5,39,7,2
HU_05528,Szörény,55,42,2,0,0,0,5,0,2,4,16,6,7
HU_22211,Szőke,94,65,0,0,0,0,1,0,1,5,42,11,5
HU_07694,Szőkéd,301,206,4,0,1,5,7,0,14,6,108,50,11
HU_15404,Szulimán,177,110,2,0,0,0,7,0,6,2,47,38,8
HU_11217,Szűr,205,106,2,0,0,2,2,0,5,2,55,21,17
HU_15635,Tarrós,71,59,1,0,1,2,5,0,0,0,31,13,6
HU_32072,Teklafalu,221,132,7,0,0,0,10,1,2,4,70,30,8
HU_13675,Tengeri,48,37,2,0,0,0,7,0,0,2,20,4,2
HU_27702,Tékes,177,121,5,0,2,0,12,0,3,3,75,16,5
HU_32744,Tésenfa,126,106,2,0,1,1,8,0,2,5,73,9,5
HU_20978,Téseny,235,117,5,0,1,2,10,1,2,4,66,14,12
HU_22424,Tormás,200,152,3,0,0,1,2,0,1,9,104,25,7
HU_04048,Tófű,91,74,3,0,1,2,4,0,3,2,41,13,5
HU_26994,Tótszentgyörgy,118,98,3,0,0,0,9,0,7,6,57,12,4
HU_04136,Töttös,411,304,7,0,1,3,14,1,16,16,189,30,27
HU_18582,Túrony,212,153,10,0,0,4,20,0,14,5,63,21,16
HU_04437,Udvar,110,87,0,0,0,1,2,1,6,1,52,15,9
HU_06062,Újpetre,811,498,17,0,4,9,38,0,21,18,237,111,43
HU_28538,Vajszló,1370,813,23,0,4,11,64,8,23,28,461,156,35
HU_28529,Varga,62,46,1,0,0,0,0,0,0,1,36,7,1
HU_08138,Várad,186,166,12,0,1,2,10,0,5,5,84,37,10
HU_24952,Vásárosbéc,149,113,8,0,0,1,8,1,9,4,49,24,9
HU_02264,Vásárosdombó,863,532,21,0,3,2,27,0,6,17,291,134,31
HU_07074,Vázsnok,87,62,1,0,1,0,4,0,2,3,35,10,6
HU_18519,Vejti,124,99,3,0,0,0,1,0,0,2,74,11,8
HU_22071,Velény,104,52,5,0,1,0,2,0,0,1,21,17,5
HU_19725,Versend,681,515,25,0,21,3,36,0,10,2,372,36,10
HU_24402,Vékény,114,80,2,0,0,0,6,0,6,2,34,19,11
HU_20279,Véménd,1085,755,27,0,3,6,42,1,26,21,445,125,59
HU_28024,Villány,1760,931,18,0,4,5,60,5,35,18,542,204,40
HU_05209,Villánykövesd,184,142,5,0,0,5,11,0,3,6,83,18,11
HU_05892,Vokány,656,453,15,0,2,9,26,2,13,15,270,77,24
HU_25122,Zaláta,185,103,2,0,1,1,6,0,1,0,72,18,2
HU_17747,Zádor,246,192,9,0,0,1,16,1,3,7,108,39,8
HU_15848,Zengővárkony,335,255,4,0,0,2,10,0,13,5,152,50,19
HU_12201,Zók,247,161,10,0,3,5,8,0,8,3,77,32,15
HU_21944,Akasztó,2626,1496,18,0,14,6,64,7,29,39,879,338,102
HU_21148,Apostag,1669,780,19,0,2,2,59,8,28,31,341,214,76
HU_17686,Ágasegyháza,1506,972,20,0,3,7,43,1,29,27,527,211,104
HU_03522,Baja,27761,16104,122,0,49,95,1267,70,480,594,7048,5272,1107
HU_13408,Ballószög,3255,1794,27,0,5,15,91,9,70,59,735,634,149
HU_25937,Balotaszállás,1145,594,22,0,0,3,35,4,18,12,303,112,85
HU_10719,Bácsalmás,5145,2417,42,0,7,15,308,16,91,71,1046,601,220
HU_10180,Bácsbokod,2073,935,18,0,7,3,84,6,20,28,484,182,103
HU_27234,Bácsborsód,903,491,25,0,1,2,26,2,13,22,284,50,66
HU_08697,Bácsszentgyörgy,116,74,1,0,0,0,5,1,1,0,43,13,10
HU_30155,Bácsszőlős,273,183,10,0,1,1,8,0,5,5,105,34,14
HU_03656,Bátmonostor,1259,779,17,0,2,4,34,1,26,37,399,172,87
HU_11961,Bátya,1626,871,16,0,1,2,55,1,33,31,451,224,57
HU_19327,Borota,982,591,9,0,1,6,33,5,17,28,285,135,72
HU_08305,Bócsa,1423,849,26,0,6,1,34,3,35,17,438,207,82
HU_32823,Bugac,2147,1047,10,0,2,5,30,11,33,21,532,303,100
HU_33631,Bugacpusztaháza,215,136,4,0,0,1,2,0,4,2,98,17,8
HU_10472,Császártöltés,1828,1152,27,0,7,0,87,6,35,50,502,318,120
HU_26471,Csátalja,1113,599,10,0,1,4,36,1,6,14,354,111,62
HU_16373,Csávoly,1377,617,14,0,1,1,36,6,24,26,334,113,62
HU_12344,Csengőd,1666,1072,23,0,5,0,33,7,29,17,642,218,98
HU_15699,Csikéria,607,349,5,0,0,1,40,3,2,3,178,54,63
HU_12025,Csólyospálos,1246,606,6,0,1,1,13,4,20,7,350,139,65
HU_10533,Dávod,1577,817,19,0,1,2,44,6,20,26,446,172,81
HU_07524,Drágszél,248,126,1,0,0,1,11,0,3,2,81,16,11
HU_21069,Dunaegyháza,1225,684,26,0,9,2,41,3,33,32,269,205,64
HU_12566,Dunafalva,692,444,11,0,0,2,22,0,10,15,259,72,53
HU_07861,Dunapataj,2582,1286,23,0,6,7,114,4,42,34,631,335,90
HU_11606,Dunaszentbenedek,620,311,7,0,2,4,17,2,9,11,179,55,25
HU_14766,Dunatetétlen,467,298,6,0,1,1,19,2,3,10,182,56,18
HU_07612,Dunavecse,3144,1433,29,0,5,10,113,10,50,58,694,368,96
HU_04109,Dusnok,2389,1588,45,0,1,6,35,5,36,44,876,350,190
HU_11864,Érsekcsanád,2279,1078,25,0,2,4,41,9,28,21,585,232,131
HU_33589,Érsekhalma,474,267,3,0,2,1,32,2,20,16,114,47,30
HU_03230,Fajsz,1301,745,5,0,2,2,55,1,17,31,410,154,68
HU_33598,Felsőlajos,799,406,6,0,1,3,22,4,12,6,223,96,33
HU_02954,Felsőszentiván,1519,836,16,0,2,1,54,4,28,34,404,208,85
HU_02149,Foktő,1194,712,22,0,3,8,49,2,19,20,301,219,69
HU_31468,Fülöpháza,693,448,10,0,1,0,21,3,18,8,214,125,48
HU_33622,Fülöpjakab,920,606,16,0,5,5,20,2,25,20,310,148,55
HU_14058,Fülöpszállás,1827,881,21,0,4,2,39,6,21,16,490,197,85
HU_31848,Gara,1525,683,26,0,5,2,48,3,10,28,361,150,50
HU_26383,Gátér,738,508,9,0,2,5,28,3,31,29,254,103,44
HU_03577,Géderlak,766,525,12,0,1,1,47,5,16,11,260,116,56
HU_18759,Hajós,2323,1563,70,0,8,11,82,10,57,68,675,432,150
HU_08350,Harkakötöny,652,492,4,0,3,7,21,0,9,16,281,92,59
HU_18458,Harta,2732,1580,25,0,2,9,201,2,62,38,610,518,113
HU_04093,Helvécia,4005,1975,18,0,5,16,69,12,107,65,877,635,171
HU_12937,Hercegszántó,1552,879,20,0,1,6,48,1,20,27,464,191,101
HU_27845,Homokmégy,1045,667,17,0,7,4,74,2,23,20,293,162,65
