gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,MSZP-EGYÜTT-DK-PM-MLP,LMP,Jobbik,SZDP,ÖP,SEM,4K!,KTI,FKGP,ZÖP,EGYÜTT,JESZ,AH,MP,MKSZU,SMS,MCP,FKGP-MIÉP,Ind.,ÚMP,UDP,EP,MCF,ERP,Élőlánc,AQP,MRP,MSZDP,A VÁLASZ,KMSZ,NÉ,HATMAP,MM2006,MGP,TEMPO,EGYIKSEM,SZMP,Rend,MDU,MACSEP,SZAVA,MAJP,SZEM-NŐPÁRT,TBP,NFP,MNP,NÉP,ÚGP,MEGÚJULÁSPÁRT,KALÓZPÁRT,NOP
HU_22275,Bakóca,256,109,2,0,64,25,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_03975,Baksa,642,368,6,0,78,180,4,70,1,0,12,0,2,0,0,0,0,4,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_20464,Baranyahídvég,164,106,4,0,60,17,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_24749,Baranyajenő,360,148,1,0,44,45,2,37,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_05485,Baranyaszentgyörgy,108,72,1,0,55,4,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_15495,Basal,162,85,0,0,43,22,1,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_07603,Bánfa,135,68,4,0,28,25,1,5,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_24378,Bár,464,262,1,0,155,38,12,48,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_19008,Belvárdgyula,340,181,5,0,66,41,7,43,0,0,0,0,10,0,0,0,1,1,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_31927,Beremend,2124,1116,14,0,456,292,44,260,0,4,6,0,2,0,0,0,1,6,16,0,5,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
