gisco_id,name,registered,turnout,invalid,blank,SZDSZ,FIDESZ-KDNP,MDF,MSZP,MSZP-SZDSZ,SZDSZ-MSZP,Ind.,MDF-FIDESZ-KDNP,Somogyért,Jobbik
HU_0440,Bekölce,644,424,1,0,0,211,13,199,0,0,0,0,0,0
HU_2751,Besenyõtelek,2205,1164,13,0,0,551,0,600,0,0,0,0,0,0
HU_3326,Bélapátfalva,2505,1492,9,0,0,602,32,849,0,0,0,0,0,0
HU_1493,Bodony,703,383,5,0,0,170,14,194,0,0,0,0,0,0
HU_1062,Bükkszenterzsébet,968,551,6,0,0,222,16,307,0,0,0,0,0,0
HU_2209,Bükkszentmárton,284,179,3,0,0,68,9,99,0,0,0,0,0,0
HU_0296,Bükkszék,740,527,5,0,0,277,7,238,0,0,0,0,0,0
HU_0866,Demjén,541,399,1,0,0,175,0,223,0,0,0,0,0,0
HU_0751,Domoszló,1740,1077,4,0,0,451,0,622,0,0,0,0,0,0
HU_3026,Dormánd,774,390,5,0,0,128,0,257,0,0,0,0,0,0
HU_2049,Eger,45623,31520,125,0,0,14442,0,16953,0,0,0,0,0,0
HU_1282,Egerbakta,1197,698,4,0,0,422,20,252,0,0,0,0,0,0
HU_2601,Egerbocs,517,356,1,0,0,171,12,172,0,0,0,0,0,0
HU_1661,Egercsehi,1233,726,3,0,0,282,8,433,0,0,0,0,0,0
HU_0298,Egerfarmos,591,412,3,0,0,177,0,232,0,0,0,0,0,0
HU_2475,Egerszalók,1482,1045,4,0,0,506,27,508,0,0,0,0,0,0
HU_1364,Egerszólát,924,643,0,0,0,270,18,355,0,0,0,0,0,0
HU_2855,Erdõkövesd,551,420,1,0,0,201,3,215,0,0,0,0,0,0
HU_1243,Fedémes,321,249,3,0,0,120,3,123,0,0,0,0,0,0
HU_2074,Feldebrõ,956,611,2,0,0,293,0,316,0,0,0,0,0,0
HU_1632,Felsõtárkány,2729,1719,13,0,0,801,0,905,0,0,0,0,0,0
HU_0327,Füzesabony,6354,4091,21,0,0,1914,0,2156,0,0,0,0,0,0
HU_0523,Gyöngyös,26642,17813,92,0,0,6732,0,10989,0,0,0,0,0,0
HU_1753,Gyöngyöshalász,2173,1442,4,0,0,613,0,825,0,0,0,0,0,0
HU_1333,Gyöngyösoroszi,1112,605,2,0,0,214,0,389,0,0,0,0,0,0
HU_0832,Gyöngyöspata,2137,1263,3,0,0,754,0,506,0,0,0,0,0,0
HU_1912,Gyöngyössolymos,2612,1734,7,0,0,758,0,969,0,0,0,0,0,0
HU_2808,Gyöngyöstarján,2011,1348,6,0,0,651,0,691,0,0,0,0,0,0
HU_1024,Hevesaranyos,531,363,6,0,0,208,7,142,0,0,0,0,0,0
HU_1007,Istenmezeje,1554,834,4,0,0,263,10,557,0,0,0,0,0,0
HU_1387,Ivád,335,221,2,0,0,69,53,97,0,0,0,0,0,0
HU_3217,Kál,2832,1686,9,0,0,647,0,1030,0,0,0,0,0,0
HU_1530,Kápolna,1218,721,14,0,0,232,0,475,0,0,0,0,0,0
HU_2807,Kerecsend,1614,976,6,0,0,559,0,411,0,0,0,0,0,0
HU_2246,Kisfüzes,140,108,1,0,0,54,1,52,0,0,0,0,0,0
HU_1250,Kisnána,887,507,6,0,0,208,0,293,0,0,0,0,0,0
HU_2399,Kompolt,1615,967,8,0,0,409,0,550,0,0,0,0,0,0
HU_2769,Maklár,1992,1246,6,0,0,578,0,662,0,0,0,0,0,0
HU_1654,Markaz,1490,1066,6,0,0,473,0,587,0,0,0,0,0,0
HU_1996,Mátraballa,725,470,3,0,0,214,10,243,0,0,0,0,0,0
HU_1487,Mátraderecske,1818,1045,13,0,0,323,22,687,0,0,0,0,0,0
HU_2904,Mátraszentimre,452,349,2,0,0,136,0,211,0,0,0,0,0,0
HU_2508,Mezõszemere,1047,514,6,0,0,259,0,249,0,0,0,0,0,0
HU_3166,Mezõtárkány,1304,730,1,0,0,337,0,392,0,0,0,0,0,0
HU_3128,Mikófalva,660,420,1,0,0,221,2,196,0,0,0,0,0,0
HU_3156,Mónosbél,308,202,1,0,0,48,2,151,0,0,0,0,0,0
HU_3148,Nagyréde,2742,1699,6,0,0,779,0,914,0,0,0,0,0,0
HU_2760,Nagytálya,707,476,3,0,0,184,0,289,0,0,0,0,0,0
HU_1041,Nagyút,639,410,1,0,0,170,0,239,0,0,0,0,0,0
HU_2828,Nagyvisnyó,912,508,2,0,0,246,3,257,0,0,0,0,0,0
HU_1881,Noszvaj,1385,914,2,0,0,540,0,372,0,0,0,0,0,0
HU_2927,Novaj,1173,791,2,0,0,383,0,406,0,0,0,0,0,0
HU_2721,Ostoros,2040,1318,10,0,0,506,0,802,0,0,0,0,0,0
HU_0743,Parád,1804,1085,4,0,0,372,34,675,0,0,0,0,0,0
HU_2021,Parádsasvár,437,311,0,0,0,95,7,209,0,0,0,0,0,0
HU_1207,Pétervására,1950,1236,11,0,0,584,25,616,0,0,0,0,0,0
HU_2219,Poroszló,2454,1370,9,0,0,537,0,824,0,0,0,0,0,0
HU_0960,Recsk,2498,1424,3,0,0,503,40,878,0,0,0,0,0,0
HU_0718,Sarud,988,620,1,0,0,278,0,341,0,0,0,0,0,0
HU_0852,Sirok,1733,1181,8,0,0,506,19,648,0,0,0,0,0,0
HU_1606,Szajla,504,360,0,0,0,193,0,167,0,0,0,0,0,0
HU_1323,Szentdomonkos,418,232,0,0,0,117,8,107,0,0,0,0,0,0
HU_1101,Szihalom,1700,1051,8,0,0,506,0,537,0,0,0,0,0,0
HU_0564,Szilvásvárad,1440,877,6,0,0,393,21,457,0,0,0,0,0,0
HU_1352,Szúcs,336,219,1,0,0,106,5,107,0,0,0,0,0,0
HU_1324,Tarnalelesz,1416,695,5,0,0,320,17,353,0,0,0,0,0,0
HU_0905,Tarnaszentmária,235,182,0,0,0,83,6,93,0,0,0,0,0,0
HU_1222,Terpes,164,122,0,0,0,72,1,49,0,0,0,0,0,0
HU_0996,Tófalu,527,358,8,0,0,176,0,174,0,0,0,0,0,0
HU_2762,Újlõrincfalva,210,142,0,0,0,53,0,89,0,0,0,0,0,0
HU_2701,Váraszó,497,385,1,0,0,184,2,198,0,0,0,0,0,0
HU_2414,Verpelét,3176,2038,9,0,0,985,33,1011,0,0,0,0,0,0
HU_0575,Vécs,578,378,6,0,0,102,0,270,0,0,0,0,0,0
HU_3124,Visonta,883,550,6,0,0,200,0,344,0,0,0,0,0,0
HU_0338,Szarvaskõ,311,216,1,0,0,115,0,100,0,0,0,0,0,0
HU_2526,Alattyán,1637,975,3,0,0,463,0,509,0,0,0,0,0,0
HU_1130,Besenyszög,2833,1667,10,0,0,915,0,742,0,0,0,0,0,0
HU_3417,Csataszög,249,168,3,0,0,84,0,81,0,0,0,0,0,0
HU_1664,Fegyvernek,5542,2945,23,0,0,1233,62,1627,0,0,0,0,0,0
HU_3405,Hunyadfalva,175,106,0,0,0,52,0,54,0,0,0,0,0,0
HU_2285,Jánoshida,2165,1212,12,0,0,668,0,532,0,0,0,0,0,0
HU_3071,Jászalsószentgyörgy,3086,1888,13,0,0,1048,0,827,0,0,0,0,0,0
HU_2220,Jászapáti,7210,4541,34,0,0,2049,0,2458,0,0,0,0,0,0
HU_2292,Jászágó,624,278,2,0,0,126,0,150,0,0,0,0,0,0
HU_2210,Jászárokszállás,6717,3578,22,0,0,1669,0,1887,0,0,0,0,0,0
HU_1820,Jászberény,22821,13762,65,0,0,5863,0,7834,0,0,0,0,0,0
HU_1581,Jászboldogháza,1479,942,10,0,0,614,0,318,0,0,0,0,0,0
HU_1797,Jászdózsa,1832,1105,12,0,0,465,0,628,0,0,0,0,0,0
HU_2357,Jászfelsõszentgyörgy,1405,626,3,0,0,283,0,340,0,0,0,0,0,0
HU_2333,Jászfényszaru,4688,2511,15,0,0,886,0,1610,0,0,0,0,0,0
HU_2408,Jászivány,364,263,2,0,0,98,0,163,0,0,0,0,0,0
HU_2518,Jászjákóhalma,2481,1389,5,0,0,649,0,735,0,0,0,0,0,0
HU_2279,Jászkisér,4488,2268,10,0,0,975,0,1283,0,0,0,0,0,0
HU_2111,Jászladány,4531,2165,20,0,0,936,0,1209,0,0,0,0,0,0
HU_1351,Jászszentandrás,2213,1342,7,0,0,729,0,606,0,0,0,0,0,0
HU_2313,Jásztelek,1280,727,6,0,0,282,0,439,0,0,0,0,0,0
HU_1714,Kenderes,4005,2079,15,0,0,1237,59,768,0,0,0,0,0,0
HU_0741,Kengyel,3052,1650,15,0,0,704,37,894,0,0,0,0,0,0
HU_1123,Kõtelek,1399,833,7,0,0,412,0,414,0,0,0,0,0,0
HU_0525,Kuncsorba,612,411,4,0,0,203,5,199,0,0,0,0,0,0
HU_2256,Kunhegyes,6845,3635,19,0,0,1746,132,1738,0,0,0,0,0,0
HU_1557,Nagykörû,1381,786,8,0,0,398,0,380,0,0,0,0,0,0
