gisco_id,name,registered,turnout,invalid,blank,MSZP,Jobbik,LMP,MDF,FIDESZ-KDNP,CM,ÖP,MSZDP,MP,MIÉP
HU_2851,Porrogszentpál,74,57,0,0,5,11,0,0,41,0,0,0,0,0
HU_2836,Potony,202,108,3,0,17,11,2,0,75,0,0,0,0,0
HU_1902,Pusztakovácsi,620,329,3,0,34,61,16,0,215,0,0,0,0,0
HU_2331,Pusztaszemes,323,211,2,0,43,23,7,0,136,0,0,0,0,0
HU_3086,Ráksi,380,204,0,0,35,23,13,0,133,0,0,0,0,0
HU_0507,Rinyabesenyõ,127,79,0,0,3,0,1,0,75,0,0,0,0,0
HU_3267,Rinyakovácsi,111,71,0,0,7,13,0,0,51,0,0,0,0,0
HU_2675,Rinyaszentkirály,312,182,0,0,27,42,6,0,107,0,0,0,0,0
HU_2062,Rinyaújlak,233,123,2,0,23,18,4,0,76,0,0,0,0,0
HU_2032,Rinyaújnép,45,24,1,0,4,8,1,0,10,0,0,0,0,0
HU_1494,Ságvár,1498,842,4,0,125,149,52,0,512,0,0,0,0,0
HU_3112,Sántos,482,287,3,0,54,50,20,0,160,0,0,0,0,0
HU_0205,Sávoly,398,226,1,0,44,30,2,0,149,0,0,0,0,0
HU_2736,Segesd,1981,898,11,0,149,233,39,0,466,0,0,0,0,0
HU_3213,Sérsekszõlõs,133,89,0,0,10,9,7,0,63,0,0,0,0,0
HU_3278,Simonfa,293,184,2,0,24,24,19,0,115,0,0,0,0,0
HU_1763,Siófok,20340,13136,80,0,2688,1841,1082,0,7445,0,0,0,0,0
HU_2309,Siójut,480,284,1,0,41,49,23,0,170,0,0,0,0,0
HU_0412,Som,543,319,2,0,72,43,19,0,183,0,0,0,0,0
HU_1382,Somodor,349,215,1,0,66,24,13,0,111,0,0,0,0,0
HU_3058,Somogyacsa,166,92,0,0,20,8,2,0,62,0,0,0,0,0
HU_0550,Somogyaracs,134,88,1,0,14,8,1,0,64,0,0,0,0,0
HU_3121,Somogyaszaló,626,417,2,0,86,69,31,0,229,0,0,0,0,0
HU_3247,Somogybabod,455,261,2,0,52,27,23,0,157,0,0,0,0,0
HU_2504,Somogybükkösd,88,53,1,0,1,2,2,0,47,0,0,0,0,0
HU_1148,Somogycsicsó,135,85,1,0,15,17,6,0,46,0,0,0,0,0
HU_1598,Somogydöröcske,144,78,0,0,25,11,10,0,32,0,0,0,0,0
HU_2005,Somogyegres,175,73,0,0,15,7,2,0,49,0,0,0,0,0
HU_1807,Somogyfajsz,387,246,2,0,25,25,4,0,190,0,0,0,0,0
HU_2033,Somogygeszti,376,250,2,0,46,24,3,0,175,0,0,0,0,0
HU_2896,Somogyjád,1314,742,8,0,191,92,41,0,410,0,0,0,0,0
HU_1287,Somogymeggyes,434,207,2,0,38,29,9,0,129,0,0,0,0,0
HU_1562,Somogysámson,523,236,4,0,34,21,3,0,174,0,0,0,0,0
HU_2872,Somogysárd,1062,565,9,0,91,85,24,0,356,0,0,0,0,0
HU_2753,Somogysimonyi,69,50,0,0,12,2,1,0,35,0,0,0,0,0
HU_0660,Somogyszentpál,549,227,1,0,43,30,1,0,152,0,0,0,0,0
HU_0341,Somogyszil,590,354,2,0,42,92,19,0,199,0,0,0,0,0
HU_1854,Somogyszob,1408,863,8,0,159,113,45,0,538,0,0,0,0,0
HU_3260,Somogytúr,364,255,1,0,22,59,5,0,168,0,0,0,0,0
HU_0485,Somogyudvarhely,925,625,1,0,57,38,18,0,511,0,0,0,0,0
HU_2185,Somogyvámos,618,346,3,0,51,30,69,0,193,0,0,0,0,0
HU_1944,Somogyvár,1411,914,11,0,86,108,17,0,692,0,0,0,0,0
HU_0483,Somogyzsitfa,439,216,1,0,54,43,6,0,112,0,0,0,0,0
HU_1485,Szabadi,252,148,1,0,18,14,4,0,111,0,0,0,0,0
HU_2857,Szabás,463,287,3,0,22,31,6,0,225,0,0,0,0,0
HU_3423,Szántód,526,359,6,0,68,36,31,0,218,0,0,0,0,0
HU_1860,Szegerdõ,165,110,1,0,13,17,0,0,79,0,0,0,0,0
HU_1510,Szenna,581,407,5,0,70,34,36,0,262,0,0,0,0,0
HU_1150,Szenta,348,210,3,0,28,15,6,0,158,0,0,0,0,0
HU_2570,Szentbalázs,275,206,2,0,29,19,10,0,146,0,0,0,0,0
HU_3284,Szentborbás,118,72,0,0,9,5,1,0,57,0,0,0,0,0
HU_1297,Szentgáloskér,429,248,3,0,63,26,4,0,152,0,0,0,0,0
HU_3014,Szenyér,224,105,3,0,10,12,4,0,76,0,0,0,0,0
HU_3246,Szilvásszentmárton,152,105,2,0,11,9,1,0,82,0,0,0,0,0
HU_0519,Szorosad,94,64,0,0,23,5,4,0,32,0,0,0,0,0
