gisco_id,name,registered,turnout,invalid,blank,SZDSZ,FIDESZ-MDF,MSZP,Centrum,MIÉP,Ind.,FKGP,MSZDP-MSZP,MSZP-SZDSZ
HU_2455,Abasár,2689,2057,16,0,0,912,1129,0,0,0,0,0,0
HU_2324,Adács,2312,1595,16,0,0,696,883,0,0,0,0,0,0
HU_0634,Aldebrõ,613,483,2,0,0,293,188,0,0,0,0,0,0
HU_1798,Andornaktálya,2189,1685,7,0,0,744,934,0,0,0,0,0,0
HU_1609,Atkár,1410,1086,11,0,0,385,690,0,0,0,0,0,0
HU_0650,Átány,1209,801,15,0,0,478,308,0,0,0,0,0,0
HU_1152,Balaton,1041,785,4,0,0,362,419,0,0,0,0,0,0
HU_2402,Bátor,391,328,2,0,0,142,184,0,0,0,0,0,0
HU_0440,Bekölce,686,542,3,0,0,321,218,0,0,0,0,0,0
HU_2751,Besenyõtelek,2217,1432,4,0,0,757,671,0,0,0,0,0,0
HU_3326,Bélapátfalva,2566,1879,13,0,0,962,904,0,0,0,0,0,0
HU_2235,Boconád,1149,758,5,0,0,286,467,0,0,0,0,0,0
HU_1493,Bodony,731,547,4,0,0,258,285,0,0,0,0,0,0
HU_1062,Bükkszenterzsébet,1000,728,7,0,0,382,339,0,0,0,0,0,0
HU_2209,Bükkszentmárton,307,248,1,0,0,148,99,0,0,0,0,0,0
HU_0296,Bükkszék,756,600,0,0,0,369,231,0,0,0,0,0,0
HU_0866,Demjén,539,424,1,0,0,171,252,0,0,0,0,0,0
HU_0920,Detk,999,693,5,0,0,319,369,0,0,0,0,0,0
HU_0751,Domoszló,1702,1280,4,0,0,632,644,0,0,0,0,0,0
HU_3026,Dormánd,765,473,1,0,0,182,290,0,0,0,0,0,0
HU_2049,Eger,46742,36336,117,0,0,16184,20035,0,0,0,0,0,0
HU_1282,Egerbakta,1201,804,6,0,0,479,319,0,0,0,0,0,0
HU_2601,Egerbocs,554,446,2,0,0,242,202,0,0,0,0,0,0
HU_1661,Egercsehi,1264,945,6,0,0,407,532,0,0,0,0,0,0
HU_0298,Egerfarmos,580,433,3,0,0,176,254,0,0,0,0,0,0
HU_2475,Egerszalók,1458,1196,3,0,0,609,584,0,0,0,0,0,0
HU_1364,Egerszólát,920,696,7,0,0,323,366,0,0,0,0,0,0
HU_2855,Erdõkövesd,569,475,8,0,0,225,242,0,0,0,0,0,0
HU_2423,Erdõtelek,2681,1686,10,0,0,743,933,0,0,0,0,0,0
HU_2011,Erk,628,395,6,0,0,216,173,0,0,0,0,0,0
HU_1243,Fedémes,335,269,4,0,0,178,87,0,0,0,0,0,0
HU_2074,Feldebrõ,951,674,1,0,0,355,318,0,0,0,0,0,0
HU_1632,Felsõtárkány,2628,1962,13,0,0,919,1030,0,0,0,0,0,0
HU_0327,Füzesabony,6375,4586,29,0,0,2045,2512,0,0,0,0,0,0
HU_0523,Gyöngyös,27190,21085,113,0,0,8045,12927,0,0,0,0,0,0
HU_1753,Gyöngyöshalász,2181,1729,10,0,0,782,937,0,0,0,0,0,0
HU_1333,Gyöngyösoroszi,1165,840,4,0,0,406,430,0,0,0,0,0,0
HU_0832,Gyöngyöspata,2155,1508,4,0,0,969,535,0,0,0,0,0,0
HU_1912,Gyöngyössolymos,2618,2065,10,0,0,933,1122,0,0,0,0,0,0
HU_2808,Gyöngyöstarján,1991,1551,7,0,0,698,846,0,0,0,0,0,0
HU_1141,Halmajugra,934,654,7,0,0,268,379,0,0,0,0,0,0
HU_1452,Heves,8967,6215,53,0,0,2814,3348,0,0,0,0,0,0
HU_1024,Hevesaranyos,555,431,4,0,0,282,145,0,0,0,0,0,0
HU_0408,Hevesvezekény,592,403,3,0,0,170,230,0,0,0,0,0,0
HU_1007,Istenmezeje,1619,1141,10,0,0,483,648,0,0,0,0,0,0
HU_1387,Ivád,367,287,2,0,0,115,170,0,0,0,0,0,0
HU_0593,Karácsond,2507,1695,8,0,0,655,1032,0,0,0,0,0,0
HU_3217,Kál,2839,1916,17,0,0,821,1078,0,0,0,0,0,0
HU_1530,Kápolna,1217,830,9,0,0,340,481,0,0,0,0,0,0
HU_2807,Kerecsend,1584,1098,4,0,0,608,486,0,0,0,0,0,0
HU_2246,Kisfüzes,149,128,0,0,0,67,61,0,0,0,0,0,0
HU_1828,Kisköre,2449,1498,16,0,0,587,895,0,0,0,0,0,0
HU_1250,Kisnána,938,703,3,0,0,346,354,0,0,0,0,0,0
HU_2399,Kompolt,1648,1172,4,0,0,533,635,0,0,0,0,0,0
HU_1579,Ludas,640,480,4,0,0,191,285,0,0,0,0,0,0
HU_2769,Maklár,1952,1453,3,0,0,746,704,0,0,0,0,0,0
HU_1654,Markaz,1511,1182,2,0,0,567,613,0,0,0,0,0,0
HU_1996,Mátraballa,771,601,7,0,0,239,355,0,0,0,0,0,0
HU_1487,Mátraderecske,1873,1408,5,0,0,560,843,0,0,0,0,0,0
HU_2904,Mátraszentimre,504,423,3,0,0,182,238,0,0,0,0,0,0
HU_2508,Mezõszemere,1037,635,7,0,0,368,260,0,0,0,0,0,0
HU_3166,Mezõtárkány,1293,862,5,0,0,405,452,0,0,0,0,0,0
HU_3128,Mikófalva,680,522,2,0,0,285,235,0,0,0,0,0,0
HU_3156,Mónosbél,325,251,1,0,0,80,170,0,0,0,0,0,0
HU_2687,Nagyfüged,1381,848,5,0,0,401,442,0,0,0,0,0,0
HU_3148,Nagyréde,2764,2061,15,0,0,1037,1009,0,0,0,0,0,0
HU_2760,Nagytálya,724,555,3,0,0,215,337,0,0,0,0,0,0
HU_1041,Nagyút,658,493,1,0,0,253,239,0,0,0,0,0,0
HU_2828,Nagyvisnyó,940,613,2,0,0,318,293,0,0,0,0,0,0
HU_1881,Noszvaj,1338,1057,7,0,0,647,403,0,0,0,0,0,0
HU_2927,Novaj,1149,886,4,0,0,467,415,0,0,0,0,0,0
HU_2721,Ostoros,1841,1380,9,0,0,590,781,0,0,0,0,0,0
HU_0743,Parád,1891,1366,9,0,0,513,844,0,0,0,0,0,0
HU_2021,Parádsasvár,457,380,3,0,0,93,284,0,0,0,0,0,0
HU_1956,Pély,1229,773,7,0,0,304,462,0,0,0,0,0,0
HU_1207,Pétervására,1984,1452,3,0,0,699,750,0,0,0,0,0,0
HU_2219,Poroszló,2521,1678,16,0,0,693,969,0,0,0,0,0,0
HU_0960,Recsk,2571,1916,2,0,0,827,1087,0,0,0,0,0,0
HU_0718,Sarud,1068,749,2,0,0,392,355,0,0,0,0,0,0
HU_0852,Sirok,1771,1470,8,0,0,667,795,0,0,0,0,0,0
HU_1606,Szajla,504,443,1,0,0,298,144,0,0,0,0,0,0
HU_1323,Szentdomonkos,429,328,3,0,0,185,140,0,0,0,0,0,0
HU_1101,Szihalom,1710,1162,10,0,0,585,567,0,0,0,0,0,0
HU_0564,Szilvásvárad,1477,1089,11,0,0,594,484,0,0,0,0,0,0
HU_1352,Szúcs,332,249,2,0,0,166,81,0,0,0,0,0,0
HU_3296,Tarnabod,510,309,8,0,0,105,196,0,0,0,0,0,0
HU_1324,Tarnalelesz,1463,1057,15,0,0,525,517,0,0,0,0,0,0
HU_2334,Tarnaméra,1396,1010,4,0,0,425,581,0,0,0,0,0,0
HU_1412,Tarnaörs,1357,755,7,0,0,373,375,0,0,0,0,0,0
HU_0905,Tarnaszentmária,260,220,1,0,0,101,118,0,0,0,0,0,0
HU_1616,Tarnaszentmiklós,758,463,4,0,0,138,321,0,0,0,0,0,0
HU_1716,Tarnazsadány,1014,753,4,0,0,160,589,0,0,0,0,0,0
HU_1407,Tenk,951,625,7,0,0,222,396,0,0,0,0,0,0
HU_1222,Terpes,178,156,0,0,0,111,45,0,0,0,0,0,0
HU_0708,Tiszanána,2012,1324,9,0,0,615,700,0,0,0,0,0,0
HU_0996,Tófalu,545,403,1,0,0,213,189,0,0,0,0,0,0
HU_2762,Újlõrincfalva,216,156,1,0,0,79,76,0,0,0,0,0,0
HU_1458,Vámosgyörk,1717,1181,9,0,0,513,659,0,0,0,0,0,0
HU_2701,Váraszó,506,408,3,0,0,249,156,0,0,0,0,0,0
HU_2414,Verpelét,3163,2341,15,0,0,1302,1024,0,0,0,0,0,0
HU_0575,Vécs,606,436,5,0,0,152,279,0,0,0,0,0,0
