gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,EGYÜTT-PM,Jobbik,MSZP,LMP,DK,SMS,AH
HU_16601,Balatonszabadi,2411,608,5,0,324,29,120,49,23,53,5,0
HU_24907,Balatonszárszó,1976,778,2,0,426,46,95,75,29,98,5,2
HU_22822,Balatonszemes,1633,655,0,0,374,26,118,39,22,72,4,0
HU_21324,Balatonszentgyörgy,1330,405,1,0,218,13,52,60,9,48,2,2
HU_16470,Balatonújlak,428,118,0,0,69,2,16,12,5,12,0,2
HU_32799,Barcs,9146,2099,5,0,986,139,373,250,71,259,9,7
HU_32337,Baté,673,137,0,0,69,6,20,22,4,12,0,4
HU_28316,Bábonymegyer,668,125,0,0,58,2,19,22,9,13,2,0
HU_24457,Bálványos,451,74,0,0,41,0,18,8,1,5,0,1
HU_03735,Bárdudvarnok,954,188,1,0,95,17,30,16,18,11,0,0
HU_20710,Bedegkér,324,62,3,0,48,2,4,2,1,0,1,1
HU_17127,Beleg,482,52,0,0,31,2,13,3,1,2,0,0
HU_30119,Berzence,1999,452,0,0,297,9,73,40,9,24,0,0
HU_06910,Bélavár,317,89,1,0,54,1,16,10,0,5,0,2
HU_10506,Bodrog,353,118,1,0,74,3,20,12,6,2,0,0
HU_13994,Bolhás,363,79,1,0,47,1,15,7,0,8,0,0
HU_18120,Bolhó,612,106,0,0,61,2,26,4,2,10,0,1
HU_22673,Bonnya,229,54,1,0,24,0,21,4,3,1,0,0
HU_26532,Böhönye,1880,292,1,0,143,11,81,28,10,15,3,0
HU_26277,Bőszénfa,430,87,1,0,39,1,28,12,2,3,0,1
HU_17358,Buzsák,1116,314,1,0,177,13,25,45,3,47,2,1
HU_08703,Büssü,237,42,0,0,22,1,11,5,0,2,1,0
HU_03799,Csákány,189,34,0,0,26,0,4,2,2,0,0,0
HU_25681,Cserénfa,184,74,0,0,51,3,15,3,0,2,0,0
HU_05971,Csokonyavisonta,1238,314,2,0,159,8,82,29,12,22,0,0
HU_08040,Csoma,373,111,0,0,69,2,24,11,0,4,0,1
HU_02477,Csombárd,230,66,0,0,23,4,7,12,4,15,0,1
HU_24314,Csököly,799,134,1,0,96,3,25,6,1,2,0,0
