gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,LMP,Jobbik,MSZP-PM,MM,DK,MKKP,EGYÜTT,MIÉP,CP,SEM,MP,REP,SZEM,KN2018,MCP,ERDJDP,NP,MEP,KÖSSZ,ÖP,IP,TAM
HU_09788,Sárfimizdó,77,65,0,0,51,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_21306,Sárvár,13570,10180,66,0,5150,879,1684,1280,413,338,179,35,29,24,18,11,2,12,10,7,5,2,5,7,3,3,11
HU_10278,Sé,1040,784,2,0,416,51,120,88,36,40,12,6,1,2,2,3,0,0,0,4,0,0,0,0,0,0,0
HU_26763,Simaság,425,298,0,0,223,13,31,18,4,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_30748,Sitke,550,414,6,0,281,26,45,33,9,6,2,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
HU_07171,Sorkifalud,546,383,9,0,241,17,58,32,4,11,6,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1
HU_27960,Sorkikápolna,207,155,2,0,110,10,14,10,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HU_29692,Sorokpolány,661,478,4,0,298,17,81,35,19,15,5,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
HU_22983,Sótony,518,372,10,0,252,11,69,12,8,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_24800,Söpte,638,486,1,0,243,36,100,56,7,26,11,0,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0
HU_16504,Szaknyér,45,43,1,0,31,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_20932,Szakonyfalu,288,221,2,0,163,8,24,7,2,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HU_10223,Szalafő,176,134,1,0,73,9,35,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
