gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΓΙΑ ΤΗΝ ΕΥΡΩΠΗ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,Ε.ΔΗ - Κ.Π.Ε. - ΕΥΡΩΠΑΙΚΗ ΚΥΠΡΟΣ,ΛΑΪΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ,ΝΕΟΙ ΟΡΙΖΟΝΤΕΣ,ΚΥΡΙΑΚΟΥ ΚΩΣΤΑΣ,ΑΓΑΠΙΟΥ Σ. ΑΝΤΩΝΗΣ,ΜΑΛΙΑΝ ΑΡΤΟ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΧΑΣΣΑΝ ΜΕΧΜΕΤ,ΕΥΑΓΟΡΟΥ ΚΑΙΤΗ,ΙΩΑΝΝΟΥ ΑΝΔΡΕΑΣ
CY_1307,Λιβάδια Λευκωσίας,67,52,4,1,16,15,9,0,5,1,0,0,1,0,0,0,0,0,0,0
CY_1309,Platanistasa,160,124,9,3,24,42,21,3,17,1,1,2,1,0,0,0,0,0,0,0
CY_1310,Παλαιχώρι Ορεινής,405,322,5,3,31,68,95,33,74,1,7,1,0,2,0,0,0,2,0,0
CY_1320,Ξυλιάτος,101,86,1,0,3,43,17,13,7,0,0,0,2,0,0,0,0,0,0,0
CY_1322,Νικητάρι,435,304,5,7,51,114,49,23,52,0,0,0,3,0,0,0,0,0,0,0
CY_1323,Βυζακιά,347,267,8,11,41,80,77,21,19,1,1,0,6,2,0,0,0,0,0,0
CY_1324,Αγία Μαρίνα Ξυλιάτου,572,419,14,8,35,124,144,34,43,1,8,0,7,1,0,0,0,0,0,0
CY_1326,Κάτω Μονή,266,215,5,3,36,57,62,25,20,2,1,0,4,0,0,0,0,0,0,0
CY_1327,Orounta,580,403,12,12,66,105,92,74,29,3,8,0,1,1,0,0,0,0,0,0
CY_1330,Potami,479,372,16,11,55,117,66,52,47,3,1,1,2,1,0,0,0,0,0,0
CY_1360,Akaki,2011,1431,34,18,413,277,364,130,143,9,22,1,14,2,1,0,0,3,0,0
CY_1361,Περιστερώνα Λευκωσίας,1981,1373,31,21,267,410,261,227,107,9,20,3,14,0,0,0,0,3,0,0
CY_1362,Αστρομερίτης,1903,1376,31,32,250,363,399,178,77,13,14,3,13,1,0,0,0,2,0,0
CY_1368,Meniko,739,534,14,9,106,106,139,51,73,11,12,1,7,0,0,0,2,3,0,0
CY_1400,Σπήλια,200,165,12,1,29,51,24,31,13,0,2,0,2,0,0,0,0,0,0,0
CY_1403,Καννάβια,281,227,4,0,43,77,28,48,15,3,0,0,8,0,0,0,0,1,0,0
CY_1404,Kakopetria,1089,882,26,18,114,257,157,177,82,2,26,1,20,0,1,0,0,1,0,0
CY_1405,Άγιος Θεόδωρος Σολέας,90,76,4,2,10,7,6,36,10,0,0,0,1,0,0,0,0,0,0,0
CY_1406,Galata,732,590,16,10,270,80,97,58,39,3,6,0,11,0,0,0,0,0,0,0
CY_1407,Sinaoros,169,156,1,0,32,12,16,87,5,2,1,0,0,0,0,0,0,0,0,0
CY_1408,Kaliana,240,198,4,4,54,23,24,69,13,1,2,0,3,0,0,0,0,1,0,0
CY_1409,Τεμβριά,634,488,12,1,69,52,225,108,9,5,2,0,1,0,0,0,0,3,1,0
CY_1410,Korakou,525,442,5,5,66,71,126,135,24,4,2,0,1,3,0,0,0,0,0,0
CY_1411,Ευρύχου,731,552,7,3,127,119,76,149,58,3,3,1,4,1,0,0,0,1,0,0
CY_1412,Φλάσου,299,241,4,2,46,43,62,52,27,1,2,0,2,0,0,0,0,0,0,0
CY_1415,Ληνού,239,185,4,0,34,56,51,29,8,2,0,0,1,0,0,0,0,0,0,0
CY_1416,Κατύδατα,225,191,3,7,22,26,47,53,31,1,0,0,0,0,0,0,0,1,0,0
CY_1420,Pedoulas,251,186,9,3,66,52,18,26,8,0,1,1,2,0,0,0,0,0,0,0
